Department,ServiceCode,Service Description,LOS,Type,NPHIES Code (Hyphenated )2, price vip & A,Price 2022 ( B-C-Referral)
LABORATORY,FMLAB-1023,Cbc With Automated Differential, ,Service,73100-00-80,147.62,134.2
LABORATORY,FMLAB-2023,Creatinine ( Serum ), ,Service,73050-09-80,96.8,88
Medication,FMPH-0002,I.V Admixture Pharmacy Service, ,Service,96199-19-00,72,64.8
LABORATORY,FMLAB-2040,Random Blood Sugar(Rbs), ,Service,73050-15-60,135,121.5
Physiotherapy,FMPTD-0032,TOTAL PT >3 MODALITIES - OP, ,Service,95550-03-00,199.65,181.5
LABORATORY,FMLAB-2065,Sgpt (Alt), ,Service,73050-36-00,96.8,88
Emergency,FMERDA0019,Iv Insertion, ,Service,90220-00-00,71.39,64.9
LABORATORY,FMLAB-5023,C Reactive Protein Test (Crp), ,Service,73100-11-40,181.5,165
LABORATORY,FMLAB-2046,Glycated Hemoglobin (Hba1C), ,Service,73050-18-50,467.5,420.75
LABORATORY,FMLAB-2030,Potassium In Serum, ,Service,73050-07-70,84.7,77
LABORATORY,FMLAB-3023,Tsh (Thyroid Stimulating Hormone), ,Service,73050-35-50,400,360
Medical Supervision,FMDER-1000,Day Care Supervisionfmder-1000, ,Service,83600-03-20,240,216
LABORATORY,FMLAB-2012,Blood Gases & Ph, ,Service,73050-14-50,327.91,298.1
LABORATORY,FMLAB-2029,Sodium In Serum, ,Service,73050-33-10,84.7,77
LABORATORY,FMLAB-2073,Urea Nitrogen (Bun), ,Service,73050-37-50,160,144
LABORATORY,FMLAB-2077,Urine Analysis, ,Service,73150-00-60,72.6,66
LABORATORY,FMLAB-2075,Uric Acid In Serum, ,Service,73050-37-70,160,144
Home Care ,FMHC-0019,I.V. Injection (Service + Disposables + Kits), ,Service,83620-00-00,130,117
Emergency,FMERDA0062,Glucotest, ,Service,73050-15-80,34.375,31.25
LABORATORY,FMLAB-2015,Calcium, ,Service,73050-05-50,275,250
Emergency,FMERDA0017,Iv Cannula Insertion, ,Service,90220-00-00,170,153
LABORATORY,FMLAB-9139,Vitamin D (25-Hydroxy-Cholecalciferol), ,Service,73050-05-30,907.5,825
LABORATORY,FMLAB-2019,"Lipid Profile( Cholesterol, Triglycerides, Ldl, Hdl)", ,Service,73000-00-60,705,634.5
LABORATORY,FMLAB-2056,Magnesium (Serum), ,Service,73050-24-00,200,180
LABORATORY,FMLAB-1022,Cbc Without Automated Differential, ,Service,73100-00-90,215,193.5
LABORATORY,FMLAB-2064,Sgot(Ast), ,Service,73050-35-90,96.8,88
Radiology ,FMXRAY1251,X-Ray Chest Pa View, ,Service,58500-00-10,193.6,176
Radiology ,FMXRAY1290,Us. Abdomen And Pelvis (Viscera And Abdomenal Wall), ,Service,55036-00-00,800,720
Physiotherapy,FMPTD-0019,THERAPEUTIC EXERCISES - OP, ,Service,96129-00-00,102.85,93.5
LABORATORY,FMLAB-1065,Prothromin Time (Pt) With Inr, ,Service,73100-08-70,280,252
Home Care ,FMHC-0016,E.C.G. (Service + Disposables + Kits), ,Service,83620-00-00,260,234
Room & Board,FMRMB-9901,Firstclass, ,Service,83610-01-00,660,600
LABORATORY,FMLAB-9211,Troponin I, ,Service,73050-36-70,465,418.5
Emergency,FMERDA0020,I.V. Medication Adminstration, ,Service,96199-19-00,85,76.5
Emergency,FMERDA0073,Nebulizer (Ventoline/ Atrovent), ,Service,92043-00-00,250,225
LABORATORY,FMLAB-1038,Erythrocyte Sedimentation Rate (Esr ), ,Service,73100-09-00,135,121.5
LABORATORY,FMLAB-9137,Vitamin B12 (Cyanocobalamine), ,Service,73050-10-40,753.5,685
LABORATORY,FMLAB-3013,Ferritin, ,Service,73050-13-10,296.45,269.5
NEPHROLOGY,FMNEP-0041,Hemodialysis One Session Package Deal, ,Service,13100-00-00,4950,4455
LABORATORY,FMLAB-3015,Ft4, ,Service,73050-35-30,400,360
Emergency,FMERDA0064,Im Inj/Subcut Inj, ,Service,96197-19-00,70,63
Room & Board,FMRMB-9905,Icu, ,Service,83610-03-70,1699.5,1545
LABORATORY,FMLAB-2003,Albumin, ,Service,73050-00-80,108.9,99
Dermatology ,FMDER-0091,I.V. Injection, ,Service,96199-19-00,15.73,14.3
LABORATORY,FMLAB-2011,"Bilirubin, Total", ,Service,73050-04-30,90.75,82.5
LABORATORY,FMLAB-1054,Partial Thromboplastin Time (Ptt), ,Service,73100-09-50,133.1,121
LABORATORY,FMLAB-2055,Lipase, ,Service,73050-23-00,133.1,121
LABORATORY,FMLAB-2060,Phosphorus In Blood, ,Service,73050-28-20,615,553.5
LABORATORY,FMLAB-1622,Albumin-Creatinine Ratio, ,Service,73050-00-70,528,475.2
LABORATORY,FMLAB-2053,Iron (Fe), ,Service,73050-21-10,180,162
Radiology ,FMXRAY1150,Ct. Msk (Hip Joint Protocol), ,Service,56619-00-01,1650,1485
Dental,FMDNTF0008,Composite Core, ,Service,97625-10-00,648.56,589.6
Emergency,FMERDA0089,Use Of Pulse Oximeter 30 Mnts., ,Service,99999-99-99,45.98,41.8
INTERNAL MEDICINE,FMINT-0072,Oxygen Inhalation, ,Service,92044-00-00,52.03,47.3
Physiotherapy,FMPTD-0126,Tense, ,Service,96155-00-00,420,378
Radiology ,FMXRAY1455,Panorama (2D), ,Service,57960-00-00,550,495
Dermatology ,FMDER-0150,I.M. Injection With Medicine, ,Service,96197-19-00,84.7,77
INTERNAL MEDICINE,FMINTR0014,Abg Extraction, ,Service,13842-00-00,225,202.5
LABORATORY,FMLAB-2068,Stool Analysis, ,Service,73050-40-10,72.6,66
LABORATORY,Fmlab-9913,Ldl Cholesterol, ,Service,73050-23-80,231.11,210.1
Pain Management,FMPN-0016,Intramuscular Injections, ,Service,96197-19-00,60,54
LABORATORY,FMLAB-6024,Urine Culture & Sensitivity (C/S), ,Service,73050-41-10,524.7,472.23
LABORATORY,FMLAB-2010,"Bilirubin, Direct", ,Service,73050-04-40,108.9,99
Dental,FMDNTN0065,Adhesive Restoration Four Surfaces Anterior Tooth Direct, ,Service,97521-01-00,750,675
Physiotherapy,FMPTD-2124,ULTRASOUND THERAPY, ,Service,96154-00-00,90.75,82.5
LABORATORY,FMLAB-9850,Brain Natriuretic Peptide, ,Service,73050-25-30,960,864
Home Care ,FMHC-0030,Chest Physiotherapy, ,Service,83620-00-00,129.47,117.7
LABORATORY,FMLAB-2072,Triglycerides, ,Service,73050-36-20,121,110
LABORATORY,FMLAB-1015,Blood Group & Rh Typing, ,Service,73250-00-90,90.75,82.5
LABORATORY,FMLAB-5084,H.Pylori Ag In Stool, ,Service,73050-48-70,475.2945,427.76505
Room & Board,FMRMB-9919,Ccu, ,Service,83610-04-00,2500,2250
Radiology ,FMXRAY1342,W.H. Obstetric Us, ,Service,55700-02-00,429,386.1
Room & Board,FMRMB-9924,Room Upgrade From Private To Deluxe, ,Service,83610-01-30,390,351
LABORATORY,FMLAB-2069,Tibc (Total Iron Binding Capacity), ,Service,73050-21-20,147.62,134.2
