Department,ServiceCode,Service Description,LOS,Type,NPHIES Code (Hyphenated )2, price vip & A,Price 2022 ( B-C-Referral)
Vascular Surgery,VAS-0033,Venous Thrombectomy And Vein Ligature,1,PKG,33551-00-00,14412,12970.800000000001
Vascular Surgery,VAS-0031,Ilio-Popliteal Bypass Graft,0,PKG,32751-00-01,46404,41763.6
Vascular Surgery,VAS-0019,Carotid Body Tumour Excision,0,PKG,33827-00-01,27942,25147.8
Vascular Surgery,VAS-0015,Excision Anyurism Femoral Artery,0,PKG,33142-00-00,35797,32217.3
Cardiology,VAS-0001,Angioplasty One Vessel,1,PKG,38300-00-00,18798,16918.2
Urology,URO-0120,Ureteroscopy + Check For Stone Residual + Dj Stent Removal,0,PKG,36833-01-00,8470,7700
Urology,URO-0034,Flexible Ureteroscopy  + Laser Fragmentation + Dj Stent Insertion,1,PKG,36806-02-00,26500,23850
UROLOGY,URO-0033,Litholopaxy End. Bladder Stone (1-2 Days).,1,PKG,36863-00-00,3760.8,3384.7200000000003
UROLOGY,URO-0007,Removal Of Urethteric Stent Unilateral,1,PKG,36833-01-00,4000,3600
SURGERY,SUR-9952,Entero - Enterostomy ( Surgical Open & Complicated Procedure ),0,PKG,30515-00-00,31320,28188
SURGERY,SUR-0500,Laproscopic Excision of Abdominal Mass/cyst,3,PKG,30394-01-00,30394-01-00,28000
General Surgery,SUR-0173,Subtotal Parathyroidectomy,1,PKG,30315-00-00,17000,15300
General Surgery,SUR-0172,Total Parathyroidectomy,3,PKG,30315-01-00,20000,18000
SURGERY,SUR-0120,Big Incisional Hernia With Hernioplasty (Mesh Price  Included) (4 Days).,1,PKG,30403-00-00,10027.2,9024.480000000001
Urology,PKURO-0005,Diagnostic Laparoscopy For Undescended Testis,1,PKG,37604-09-00,4500,4050
Urology,PKURO-0002,Cystoscopy +Bulking Agent Injection For Incontinence,1,PKG,37339-01-00,19000,17100
Urology,PKURO-0001,Cystoscopy + Bulking Agent Injection For Reflux,1,PKG,37339-00-00,19000,17100
SURGERY,PKSUR-0021,Conversion Of Vertical Banded Gastroplasty (Vbg) To R-Y Bypass/Sleeve/Mgbp/Bpd,3,PKG,31587-00-00,27000,24300
SURGERY,PKSUR-0020,"Conversion Of Gastric Banding To R-Y Gastric Bypass, Sleeve, Bpd, Bpb-Ds",3,PKG,31587-00-00,27000,24300
SURGERY,PKSUR-0019,Removal Of Gastric Banding,3,PKG,90942-00-00,24303,21872.7
SURGERY,PKSUR-0018,Single Anastomosis Duedonoileal Bypass (Sadi),1,PKG,30515-04-00,21000,18900
SURGERY,PKSUR-0017,Biliopancreatic Diversion (Bpd) – Duodenal Switch,3,PKG,30512-02-00,50000,45000
General Surgery,PKSUR0016,Diagnostic Laparoscopy,1,PKG,30390-00-00,3967.59,3606.9
Vascular Surgery,PKSUR-0015,Endov. Varicose Laser Abal Unilater,1,PKG,34106-09-00,13544,12189.6
General Surgery,PKSUR-0014,Laparoscopic Excision Of Large Pelvic Mass ,3,PKG,30390-00-00,35106,31595.4
General surgery,PKSUR-0013,Lateral Neck Discection ,1,PKG,31423-00-00,15000,13500
General surgery,PKSUR-0012,Cervical Lymph Node Biopsy ,1,PKG,30075-00-00,469.48,426.8
General surgery,PKSUR-0011,Central Lymph Node Discection ,1,PKG,31423-00-00,15000,13500
Orthopedics,PKORT-0023,Total Hip With Proximal Femural Replacement,4,PKG,49330-00-00,135000,121500
Orthopedics,PKORT-0022,Open Cheilectomy And Debridement Of Mp Joint,2,PKG,50115-00-00,16800,15120
Orthopedics,PKORT-0021,Revision Of Acl With Allograft&Removal Of Screws,4,PKG,49560-01-01,47000,42300
Orthopedics,PKORT-0020,Complex Spine Fracture/ Dissociation Reduction And Fixation,4,PKG,48678-00-00,65000,58500
Orthopedics,PKORT-0019,Mis/Open Complex Spino-Pelvic Dissociation Fixation,5,PKG,48681-00-00,81000,72900
Orthopedics,PKORT-0018,Patellar Tendon Repair,2,PKG,47582-00-01,24300,21870
Orthopedics,PKORT-0017,Allo Bone Graft,1,PKG,90670-00-00,6750,6075
Orthopedics,PKORT-0016,Laterjet Shoulder Surgery,4,PKG,48930-00-01,33750,30375
Orthopedics,PKORT-0015,Removal Of Bone Cement,1,PKG,30241-00-02,14850,13365
Orthopedics,PKORT-0014,Debridement Large,DAY CASE,PKG,90665-00-30,8100,7290
Orthopedics,PKORT-0013,Excision Of Osteophytes,1,PKG,49703-01-01,12150,10935
Orthopedics,PKORT-0012,Shoulder Decompression,4,PKG,90533-00-01,33750,30375
Orthopedics,PKORT-0009,POSTEROLATERAL W/INTERBODY LUMBAR SPINAL FUSION,5,PKG,48681-00-00,74750,74750
Neurosurgery,PKNEU-0002,Radio Frequency Ablation Of Trigeminal Ganglion,1,PKG,39109-00-00,23017,20715.3
Neurosurgery,PKNEU-0001,Replacement Of Hardware Of Dbs Excluding The Implant,4,PKG,90007-02-00,45000,40500
INTERNAL MEDICINE,PKINT-0002,Iv Iron Adminstration,1,PKG,96199-19-00,2000,1800
INTERNAL MEDICINE,PKINT-0001,Blood Transfusion,1,PKG,73250-00-60,173.37100067138672,157.61000061035156
ENT,PKENT-0016,Surgical Excision Of Preauricular Sinus,1,PKG,30104-00-01,4224.11,3840.1
ENT,PKENT-0015,Endoscopic Closure Of Septal Perforation,1,PKG,41671-01-00,15000,13500
ENT,PKENT-0014,Endocopic Dacryocystorhinostomy (Dcr),1,PKG,42623-00-01,15000,13500
ENT,PKENT-0013,Endoscopic Sphenopalatine Artery Ligation,1,PKG,41707-00-00,12000,10800
ENT,PKENT-0012,Endoscopic Bilateral Turbinectomy,3,PKG,41689-00-00,9000,8100
ENT,PKENT-0011,Direct Laryngobronchoscopy,2,PKG,41889-05-01,6000,5400
ENT,PKENT-0010,Supraglottoplasty,2,PKG,90160-00-00,25000,22500
Endoscopy,PKEND-0008,Endoscopic Ultasound Linear With Bilateral Celiac Plexus Block,1,PKG,30688-00-00,24200,21780
Endoscopy,PKEND-0007,Endoscopic Ultasound Linear With Unilateral Celiac Plexus Block,1,PKG,30688-00-00,12100,10890
Endoscopy,PKEND-0006,Endoscopic Ultasound Linear With Bilateral Celiac Plexus Neurolysis,1,PKG,30688-00-00,19800,17820
Endoscopy,PKEND-0005,Endoscopic Ultasound Linear With Psudocyst Drainage,1,PKG,30688-00-00,15400,13860
