Department,ServiceCode,Service Description,LOS,Type,NPHIES Code (Hyphenated )2, price vip & A,Price 2022 ( B-C-Referral)
consumable,7677,PHENYLEPHRINE 1% 10MG/ML X 10,0.0,consumable,99999,65.55,65.55
consumable,17762,NEBULIZER MISTY PEDIATRIC #64095/1484/8906,0.0,consumable,31309,17.5398,17.5398
consumable,18462,BANDAGE ELASTIC 15CMx5YDS LENKELAST,0.0,consumable,34864,11.9922,11.9922
consumable,18511,BANDAGE POP GYPSONA 15x270CM,0.0,consumable,99999,26.054399999999998,26.054399999999998
consumable,18856,CATHETER EMBOLECTOMY 3CH 80CM RUSCH #337000/54138/300380,0.0,consumable,58174,1526.8872,1526.8872
consumable,19092,CATHETER INTRA AORTIC BALLOON 7.5/8FR 40CC DATASCOPE #0684-00-0480-01/IAB-04840U.,0.0,consumable,99999,5739.0336,5739.0336
consumable,20017,BALLOON DILATOR URETERAL KIT 5FR 75CM BOSTON/ALLWIN #225-100/UBD5/4,0.0,consumable,34926,1699.056,1699.056
consumable,20252,SOLUTION MULTIBIC 2KMMOL 5000ML #9670201,0.0,consumable,99999,522.3023999999999,522.3023999999999
consumable,21582,MESH PROLENE 15X15CM ETHICON # PVMM1.,0.0,consumable,99999,2220.1025999999997,2220.1025999999997
consumable,22965,SUTURE PROLENE BLUE 4/0 45CM ETHICON #W525/D&G 4414-33,0.0,consumable,61353,35.465999999999994,35.465999999999994
consumable,24329,SUTURE PROLENE BLUE 6/0 60CM ETHICON/PETER #W8707/20S07A,0.0,consumable,99999,115.9476,115.9476
consumable,25415,CONTRAST MEDIA F/CT OMNIPAQUE 300MGx50ML,0.0,consumable,99999,70.36619999999999,70.36619999999999
consumable,36486,VASOPRESSIN 20 U/ML VAIL,0.0,consumable,99999,62.928,62.928
consumable,38994,SUTURE ETHIBOND EXCEL 2-0 GR/WH 10x75CM W/PLEDGET NEEDLE 26MM ETHICON #W10B77,0.0,consumable,17245,1404.5502,1404.5502
consumable,39953,HEART VALVE AORTIC SIZE 25MM SORIN #R5-025/ART25LFA,0.0,consumable,60240,13343.247599999999,13343.247599999999
consumable,42464,LANCETS ULTRA SOFT,0.0,consumable,61578,0.69,0.69
consumable,43979,IV ADM,0.0,consumable,99999,62.928,62.928
consumable,43980,IVP 01,0.0,consumable,99999,2517.12,2517.12
consumable,46155,STENT URETERAL LITHO 6FR 26CM BOSTON/ACMI/COLOPLAST #192133/5636026/ACB164.,0.0,consumable,99999,1075.3098,1075.3098
consumable,46374,PHARMACY ALCOHOL SWAB,0.0,consumable,33722,0.06899999999999999,0.06899999999999999
consumable,47268,COLOMYCIN 2 MILLION IU INJ,0.0,consumable,99999,62.928,62.928
consumable,47537,PHASEAL PROTECTOR P50,0.0,consumable,99999,44.0496,44.0496
consumable,47540,PHASEAL INFUSION ADAPTOR C100,0.0,consumable,99999,37.7568,37.7568
consumable,47541,PHASEAL INJECTOR N31,0.0,consumable,99999,41.538,41.538
consumable,47829,OPPO 2184 WRIST THUMB BRA,0.0,consumable,42874,37.7568,37.7568
consumable,47830,OPPO 1084 WRIST THUMB SUPPORT,0.0,consumable,42874,112.01459999999999,112.01459999999999
consumable,47840,OPPO 2123 BACK KNEE SUPP,0.0,consumable,64099,130.89299999999997,130.89299999999997
consumable,48573,SLOW K 600 MG X 100 TAB,0.0,consumable,99999,196.64999999999998,196.64999999999998
consumable,17503,SPIROMETER AIR INCENTIVE INTERTECT #2000/8888-719033,0.0,consumable,31266,55.199999999999996,55.199999999999996
consumable,17538,MASK LARYNGEAL SIZE 4 DISPOSABLE #321400000,0.0,consumable,45036,126.132,126.132
consumable,17539,MASK LARYNGEAL SZ 3 CHILD 30-50KG DISP. #100/220/300,0.0,consumable,99999,110.39999999999999,110.39999999999999
consumable,17556,CATHETER DOUBLE LUMEN CVC 7FR 20CM #ZKDND7F/20,0.0,consumable,99999,276.0,276.0
consumable,17571,ADMISSION KIT BLUE F/MALE PATIENT,0.0,consumable,33961,22.08,22.08
consumable,17592,CABLE PACING TEMPORARY MYOCARDIAL LEAD #TME66Z/45041-02,0.0,consumable,99999,1328.25,1328.25
consumable,17601,SYRINGE 50/60ML CATHETER TIP STERILE #9664,0.0,consumable,64940,5.52,5.52
consumable,17605,GELFOAM SPONGE STERILE 12-7MM NDC #0009-0315-02,0.0,consumable,48170,276.0,276.0
consumable,17634,MASK FACE SURGEON BLUE TIE ON,0.0,consumable,35177,0.345,0.345
consumable,17644,DIAPER INFANT MEDIUM (5 -9 KG),0.0,consumable,99999,3.6984,3.6984
consumable,17670,INFLATION DEVICE KIT #1003326/91600012/AC2205P,0.0,consumable,47489,552.0,552.0
consumable,17686,ID BAND ADULT #JM-B3403,0.0,consumable,99999,0.9246,0.9246
consumable,17765,BANDAGE COTTON GAUZE 10CMx4M,0.0,consumable,47011,11.04,11.04
consumable,18101,CATHETER FOLEY BALLOON 2WAY 16FR 30ML SILICONE.,0.0,consumable,32031,51.349799999999995,51.349799999999995
consumable,18130,CATHETEREMBOLECTOMY4CH80CMRUSCH#337000/300480/54148,0.0,consumable,58174,1526.8872,1526.8872
consumable,18136,DRESSING SURGICAL 9x15CM MOLNLYCKE #67100/072590,0.0,consumable,64853,4.3469999999999995,4.3469999999999995
consumable,18137,BANDAGE ELASTIC 10CMx5YDS LENKELAST,0.0,consumable,10284,11.04,11.04
consumable,18175,SUCTION TUBE 270/260CM BOTH SIDES W/CONNECTOR,0.0,consumable,34923,22.08,22.08
consumable,18210,DRESSING SURGICAL 9x20CM MOLNLYCKE #30513/671100,0.0,consumable,64853,5.795999999999999,5.795999999999999
consumable,18351,BLOOD ADMINISTRATION SET #JM-S2422/TB-A200B,0.0,consumable,38569,11.04,11.04
consumable,18358,DRESSING SURGICAL 6x7CM MOLNLYCKE #30510/670800,0.0,consumable,64853,1.1592,1.1592
consumable,18459,DIAPER INFANT SMALL (3-6 KG),0.0,consumable,35008,3.3533999999999997,3.3533999999999997
consumable,18473,BANDAGE DELTA ROLL 10CMx2.75M #51693,0.0,consumable,58963,11.04,11.04
consumable,18474,BANDAGE DELTA ROLL 15CMx2.75M #51694,0.0,consumable,58963,11.04,11.04
consumable,18495,DIAPERS ADULT SIZE LARGE,0.0,consumable,11239,5.52,5.52
consumable,18498,STOCKING ANTI-EMBOLISM THIGH LARGE LENGTH 31-36CM,0.0,consumable,30878,55.199999999999996,55.199999999999996
consumable,18499,WOUND DRAINAGE 14CH MEDINORM #50-11-505/50-22-505E,0.0,consumable,11305,55.199999999999996,55.199999999999996
consumable,18501,URINAL MALE PLASTIC DISPOSABLE #JM-U3015/13554-0030,0.0,consumable,40955,16.56,16.56
consumable,18502,BEDPAN PLASTIC DISPOSABLE,0.0,consumable,10335,16.56,16.56
consumable,18503,URINE METER/UREOFIX 500 #441500/0/40-0010/M06450,0.0,consumable,32072,49.68,49.68
consumable,18515,BAG URINE DRAINAGE 2000ML NON STERILE,0.0,consumable,58917,7.2036,7.2036
consumable,18537,BAG COLOSTOMY W/GUM 38-63MM DRAINABLE UNIDRESS #62446/8900/22771/3630.,0.0,consumable,37716,46.23,46.23
consumable,18541,DRAPE TOWEL SURGICAL 50x75CM STERILE #706300,0.0,consumable,62934,11.04,11.04
consumable,18548,SODIUM CHLORIDE 0.9% F/IRRIGATION 2000ML.,0.0,consumable,64871,95.15099999999998,95.15099999999998
consumable,18561,SODIUM CHLORIDE 0.9% F/IRRIGATION 1000ML W/SCREW CAP.,0.0,consumable,64871,20.285999999999998,20.285999999999998
consumable,18570,DRESSING IV CANNULA FIXATION 6x7/7x9CM #1623W/4923/691505,0.0,consumable,58300,2.3735999999999997,2.3735999999999997
consumable,18579,GOWN SURGEON XXL BARRIER #JM-G2070/580/2652,0.0,consumable,35091,16.56,16.56
consumable,18584,"DRAPE STERILE 48x118"""" F/ZEISS OPMI MD #326071-0000/326070/4862UK",0.0,consumable,62934,634.317,634.317
consumable,18616,TUBE FEEDING 8FRx50CM #JM-C2558,0.0,consumable,99999,1.9871999999999999,1.9871999999999999
consumable,18667,CATHETER THORACIC W/TROCAR 32CH 40CM,0.0,consumable,99999,55.199999999999996,55.199999999999996
consumable,18668,CATHETER TROCAR CHESTDRAIN 28CH 40CM ARGYLE #8888-561068/211-28,0.0,consumable,99999,55.199999999999996,55.199999999999996
consumable,18677,"CATHETER SUCTION 12CHx22"""" W/CONTROL",0.0,consumable,10749,1.9595999999999998,1.9595999999999998
consumable,18678,CATHETER SUCTION 10CHx53CM W/CONTROL,0.0,consumable,10749,2.2356,2.2356
consumable,18714,CANNULA IV VENFLON 24G W/O PORT,0.0,consumable,64574,7.300199999999999,7.300199999999999
consumable,18727,SYRINGE 10ML W/O NEEDLE STERILE #SS*10L/9604,0.0,consumable,64940,1.2696,1.2696
consumable,18729,SYRINGE 3ML W/O NEEDLE STERILE #SS*03L/9586,0.0,consumable,64940,0.7313999999999999,0.7313999999999999
consumable,18732,SYRINGE 50/60ML W/O NEEDLE STERILE #SS*50LZ/9663,0.0,consumable,64940,18.1608,18.1608
consumable,18736,MASK OXYGEN N/REBREATHER ADULT SALTER LAB #8130/1102/64060,0.0,consumable,57813,16.56,16.56
consumable,18737,SYRINGE 20ML W/O NEEDLE STERILE #SS*20L,0.0,consumable,64940,1.9043999999999996,1.9043999999999996
consumable,18738,INFUSIONSETINTRAFIXDISPOSABLEB/BRAUN,0.0,consumable,99999,4.360799999999999,4.360799999999999
consumable,18740,"CATHETER SUCTION 14CHx22"""" W/CONTROL",0.0,consumable,10749,1.9043999999999996,1.9043999999999996
consumable,18747,TUBING PERFUSOR MACHINE B.BRAUN #,0.0,consumable,99999,22.08,22.08
consumable,18750,SYRINGE TUBERCULIN 1ML 25-29G TERUMO #SS+01T2516,0.0,consumable,32592,0.7452,0.7452
consumable,18792,CARTRIDGE ACT MEDTRONIC/HEMOCHRON #402-03/JACT+.,0.0,consumable,45792,46.367999999999995,46.367999999999995
consumable,18817,ELECTRODE ECG PREGELLED ADULT STERILE #T716/JM-MDF400/2222,0.0,consumable,35035,1.2144,1.2144
consumable,18822,MASK OXYGEN ADULT W/NEBULIZER SALTER LABS #8924/1483,0.0,consumable,35171,11.04,11.04
consumable,18823,MASK OXYGEN W/CONNECTOR ADULT #JM-Y1003M,0.0,consumable,57813,19.7616,19.7616
consumable,18837,TRANSDUCER SINGLE KIT DISPOSABLE BD #682002.,0.0,consumable,45275,367.3698,367.3698
consumable,18841,"WIRE GUIDE 0.35x150/145CM ""J"" TIP #007042/SCH38025",0.0,consumable,99999,165.6,165.6
consumable,18844,TUBING RESPIRATORY SYSTEM INTERSURGICAL #2010/70156/1780/7,0.0,consumable,37704,138.74519999999998,138.74519999999998
consumable,18846,CATHETER MOUNT ELBOW 7.6MM/15FR W/PORT #3520/3508/03861316/440001000,0.0,consumable,99999,22.08,22.08
consumable,18859,TUBE FEEDING 6FRx48CM #JM-C2556,0.0,consumable,14221,1.9871999999999999,1.9871999999999999
consumable,18902,UNDERPAD BLUE 60x90CM DISPOSABLE,0.0,consumable,61850,3.5465999999999998,3.5465999999999998
consumable,18912,"SPONGELAPPREWASHED18x18""4-PLYSTERILEX-RAYDETECTABLERING",0.0,consumable,99999,7.1621999999999995,7.1621999999999995
consumable,19429,CLOTH WHITE F/WRAPPING DEAD BODIES 100% COTTON 150CMX20YDS,0.0,consumable,14077,8.238599999999998,8.238599999999998
consumable,19442,"SWAB GAUZE 4""x4"" 8PLY PLAIN NON-STERILE",0.0,consumable,33722,0.207,0.207
consumable,19924,FILTER FILTRA GUARD F/RESUSITOR #MP01805/1544000/1944.,0.0,consumable,31245,39.0816,39.0816
consumable,19935,CATHETER FOLEY BALLOON 2WAY 14FR 5ML SILICONE.,0.0,consumable,32031,45.471,45.471
consumable,19970,STOPCOCK 3 WAY CONNECTER 10CM EXTENTION #4631-8/394995,0.0,consumable,32172,6.002999999999999,6.002999999999999
