Internal Code,Item Name,Internal Code.1,Service Type,Department,Price (Gross),Disc,LOS,NPHIES Code,NPHIES Short Name,Comment,Department.1,ServiceCode,Service Description,LOS.1,Type,NPHIES Code (Hyphenated )2,Unified price,Internal Code.2,Item Name.1,Price,Internal Code.3,Item Name.2,Internal Code.4,Item Name.3,Internal Code.5,Item Name.4,Price.1,Similarity
FMSUR-3307,Biliopancreatic Diversion (BPD) Scopinaro procedure with Cholecystectomy and Band Removal,FMSUR-3307,PKG,SURGERY,54000.0,,3,90335-01-00,Other procedures on digestive system,,Anaesthia ,FMICU-0007,Ecg Portable,,Service,11708-00-00,178.0515,FMCAT-0042,"DIAGNOSTIC EP STUDY AND ABLATION OF SLOW PATHWAYS (CONVENTIONAL KIT) ,4DAY/S",92500.0,FMERD-0001,Ed Consultation,FMERD-0001,Ed Consultation,,,,0.0
PKSUR-0017,Biliopancreatic Diversion (BPD) – Duodenal Switch,PKSUR-0017,PKG,SURGERY,50000.0,,3,90335-01-00,Other procedures on digestive system,,Anaesthia ,FMANA-0014,Oxygen (O2) Per Hour,,Service,92044-00-00,170,FMCAT-0045,"DEVICE INFECTION REMOVAL OF THE DEVICE ,1DAY/S",4000.0,FMERDA0038,External Consultatnt Fee - With Permession,FMERDA0038,External Consultatnt Fee - With Permession,,,,0.0
FMSUR-3306,Biliopancreatic Diversion (BPD) Scopinaro procedure with Band Removal,FMSUR-3306,PKG,SURGERY,48000.0,,2,90335-01-00,Other procedures on digestive system,,Anaesthia ,FMANA-0032,Local Anaesthesia Assistant/Hr,0,Service,92514-10-00,240,FMCAT-0047,"PERMANENT PACEMAKER IMPLANTATION, SINGLE,4DAY/S",66000.0,FMENT-3125,Examination Under General Anesthesia,FMENT-3125,Examination Under General Anesthesia,,,,0.0
FMSUR-3305,Biliopancreatic Diversion (BPD) Scopinaro procedure with Cholecystectomy,FMSUR-3305,PKG,SURGERY,48000.0,,2,90335-01-00,Other procedures on digestive system,,Anaesthia ,FMANA-0010,Spinal Anesthesia,0,Service,18216-31-00,345,FMCAT-0051,"CARDIAC DEVICE LEAD REVISION ,4DAY/S",39000.0,FMDER-1000,Day Care Supervisionfmder-1000,FMDER-1000,Day Care Supervisionfmder-1000,,,,0.0
FMSUR-3313,Laparoscopic Mini Gastric Bypass,FMSUR-3313,PKG,SURGERY,25000.0,,2,30512-03-00,Laparoscopic gastric bypass,,Anaesthia ,FMANA-0054,Nitrous Oxide - 1/2 Tank,0,Service,92210-00-00,295,FMCAT-0052,"SUBCUTANEOUS ICD IMPLANTATION,5DAY/S",77000.0,VCPSY0001,Psychiatry Video Call (Consultant),VCPSY0001,Psychiatry Video Call (Consultant),,,,0.0
FMSUR-3314,Laparoscopic Roux-en-Y Gastric Bypass,FMSUR-3314,PKG,SURGERY,25000.0,,2,30512-03-00,Laparoscopic gastric bypass,,Anaesthia ,FMANA-0062,Use Of Zeus Monitoring,0,Service,92056-00-00,187,FMDNTS0431,"MANDIBULAR RECONSTRUCTION WITH ILIAC CREST/BONE GRAFT INCLUDE OBTAINING OF THE GRAFT,5DAY/S",50000.0,VCPSY0002,Psychiatry Video Call (Specialist),VCPSY0002,Psychiatry Video Call (Specialist),,,,0.0
FMSUR-3309,Resizing of Gastric Bypass Pouch following weight regain,FMSUR-3309,PKG,SURGERY,25000.0,,2,30514-01-00,Revision procedure for obesity,,Anaesthia ,FMANA-0067,Peripheral Nerve Block Procedure Ultrasound Guided,0,Service,90022-00-00,735,FMORT-2042,LAPAROSCOPIC MEDIAN ARCUATE LIGAMENT RELEASE/DECOMPRESSION (MALSYNDROME) PKG 5 LOS,50000.0,FMXRAY1524,Teleradiology Consultation,FMXRAY1524,Teleradiology Consultation,,,,0.0
FMSUR-3308,Total Reversal of Laparoscopic Roux-en-Y Gastric Bypass,FMSUR-3308,PKG,SURGERY,25000.0,,3,30512-00-00,Gastric bypass,,Anaesthia ,FMANA-0029,Icu Daily Rate,0,Service,92519-10-00,2361.758,,,,FMXRAY1579,Cd X-Ray Consultation,FMXRAY1579,Cd X-Ray Consultation,,,,0.0
FMSUR-3292,Laparoscopic Gastric Banding,FMSUR-3292,PKG,SURGERY,23000.0,,1,30511-13-00,Laparoscopic gastric banding,,Anaesthia ,FMANA-0031,Mask Ganaesthesia,0,Service,99999-99-99,560.6415,,,,FMXRAY1580,Cd Mammogram Consultation,FMXRAY1580,Cd Mammogram Consultation,,,,0.0
FMSUR-3245,Laparascopiic Gastric By Pass,FMSUR-3245,PKG,SURGERY,33000.0,,2,30512-03-00,Laparoscopic gastric bypass,,Anaesthia ,FMANA-0043,High Risk Anesthesia,0,Service,92514-10-00,1877.634,,,,FMXRAY1581,Cd Ultrasound Consultation,FMXRAY1581,Cd Ultrasound Consultation,,,,0.0
FMSUR-3293,Laparoscopic Sleeve Gastrectomy,FMSUR-3293,PKG,SURGERY,20000.0,,2,30511-09-00,Laparoscopic sleeve gastrectomy [LSG],,Anaesthia ,FMANA-9917,Anasthesia In Mri In The Mri Room,0,Service,83670-00-60,1350,,,,FMXRAY1582,Cd Ct Consultation,FMXRAY1582,Cd Ct Consultation,,,,0.0
PKSUR-0020,"Conversion of Gastric Banding to R-Y Gastric Bypass, Sleeve, BPD, BPB-DS",PKSUR-0020,PKG,SURGERY,27000.0,,3,90335-01-00,Other procedures on digestive system,,Anaesthia ,FMICU-0020,Infusomat 24 Hrs,0,Service,96199-19-00,85.347,,,,FMXRAY1583,Cd Mri Consultation,FMXRAY1583,Cd Mri Consultation,,,,0.0
PKSUR-0021,Conversion of Vertical Banded Gastroplasty (VBG) to R-Y Bypass/sleeve/MGBP/BPD,PKSUR-0021,PKG,SURGERY,27000.0,,3,90335-01-00,Other procedures on digestive system,,Anaesthia ,FMICU-0089,Continous Haemofiltration 12 To 24 Hours Per Session,0,Service,99999-99-99,9000,,,,FMXRAY1584,Cd Nuclear Imaging Consultation,FMXRAY1584,Cd Nuclear Imaging Consultation,,,,0.0
PKSUR-0019,Removal of Gastric Banding,PKSUR-0019,PKG,SURGERY,21000.0,,3,90942-00-00,R/O  gastric band,,Anaesthia ,FMANAP0018,Arterial Line,0,Service,34524-00-00,550,,,,FMXRAY1454,Ir. Outside Consultation Visit (Interventional Cons.),FMXRAY1454,Ir. Outside Consultation Visit (Interventional Cons.),,,,0.0
FMSUR-3316,Laparoscopic Band Removal,FMSUR-3316,PKG,SURGERY,23000.0,,1,90942-01-00,Laparoscopic removal of gastric band,,Anaesthia ,FMANA-0069,Patient Controlled Analegesia ,0,Service,18286-02-01,1100,,,,FMPSY-CONS,Psychiatric Consultation,FMPSY-CONS,Psychiatric Consultation,,,,0.0
FMSUR-3074,Circumcision (Adult) under GA,FMSUR-3074,PKG,SURGERY,3450.0,,1,30653-00-00,Male circumci,,Anaesthia ,FMANA-0070,Postoperative Pain Management,0,Service,18286-02-01,1100,,,,P16FUTUI1+,FUTURO KNIT KNEE STABILIZER-ALL SIZE .,P16FUTUI1+,FUTURO KNIT KNEE STABILIZER-ALL SIZE .,,,,0.0
FMURO-3009,Recircumcision under GA,FMURO-3009,PKG,UROLOGY,3300.0,,1,30653-00-00,Male circumci,,Anaesthia ,FMANA-0071,"I.V Medication Under Monitoring For Chronic Pain Management (Neuropathic Pain ,Headache ,Fibromyalgia ....)",0,Service,18286-02-01,1100,,,,P16STOCK3+,FUTURO THERAPUTIC ELASTIC STOCKING UNDER-KNEE ALL SIZE .,P16STOCK3+,FUTURO THERAPUTIC ELASTIC STOCKING UNDER-KNEE ALL SIZE .,,,,0.0
FMURO-3010,Recircumcision under LA,FMURO-3010,PKG,UROLOGY,2400.0,,DAY CASE,30653-00-00,Male circumci,,Cardiology,FMCARS0021,Echo Full Study -Cardiology,,Service,55118-00-00,2585,,,,FMXRAY1728,IR.VEIN OF GALEN MALFORMATION EMBOLIZATION,FMXRAY1728,IR.VEIN OF GALEN MALFORMATION EMBOLIZATION,,,,0.0
FMSUR-3075,Circumcision (Adult) under LA,FMSUR-3075,PKG,SURGERY,1800.0,,DAY CASE,30653-00-40,Male circumcision  surg exc  > 12 years,,Cardiology,FMCAR-0005,Echo Cardiogram 2D + M Mode + Doppler (Full Study),,Service,55113-00-00,1200,,,,FMSUR-8585,Peritonectomy with hyperthermic intraperitoneal chemotherapy (HIPEC) excluding discharge medication and room upgrade,FMSUR-8585,Peritonectomy with hyperthermic intraperitoneal chemotherapy (HIPEC) excluding discharge medication and room upgrade,,,,0.0
FMSUR-3064,Circumcision (Less than one year),FMSUR-3064,PKG,SURGERY,600.0,,DAY CASE,30653-00-00,Male circumci,,Cardiology,FMCAR-0007,Treadmill Exercise Stress Ecg,,Service,11712-00-00,830,,,,FMXRAY1732,IR. FISTULA EMBOLIZATION TREATMENT,FMXRAY1732,IR. FISTULA EMBOLIZATION TREATMENT,,,,0.0
FMXRAY1467,NM. V/Q Lung scan (Ventillation ONLY) + SPECT/CT,FMXRAY1467,Service,Radiology ,3850.0,,,56301-00-00,Computerised tomography of chest,,Cardiology,FMCAR-0002,Ecg -Cardiology,,Service,11708-00-00,200,,,,FMNEU-0318,stereotactic radiofrequency ablation of epileptic focus,FMNEU-0318,stereotactic radiofrequency ablation of epileptic focus,,,,0.0
FMXRAY1465,NM. V/Q Lung scan (Perfusion ONLY) + SPECT/CT,FMXRAY1465,Service,Radiology ,3575.0,,,56301-00-00,Computerised tomography of chest,,Cardiology,FMCAR-0004,Echo Cardiogram (2D + M Mode ),,Service,55113-00-00,1630,,,,FMCAT -0085 ,"(Transcatheter aortic valve implantation (including TAVI valve kit, vascular closure devices, temporary pacemaker )",FMCAT -0085 ,"(Transcatheter aortic valve implantation (including TAVI valve kit, vascular closure devices, temporary pacemaker )",,,,0.0
FMXRAY1129,CT. CHEST WITH CONTRAST (Mediastinum protocol),FMXRAY1129,Service,Radiology ,3445.0,,,56307-00-00,CT of chest w IV contrast medium,,Cardiology,FMCARS0014,Coronary Angiography,,Service,38215-00-00,8791.2,,,,NEU-0033,Aneurysm- Repair (Other),NEU-0033,Aneurysm- Repair (Other),,,,0.0
FMXRAY1135,CT. ABDOMEN & PELVIS WITH ORAL & IV CONTRAST,FMXRAY1135,Service,Radiology ,3315.0,,,56507-00-00,CT abd & pelv w/ I.V con medium,,Cardiology,FMCAR-0006,24 Hours Ecg Monitoring (Holter ),,Service,11709-00-00,1045,,,,FMCAR-0554,TGA REPAIR,FMCAR-0554,TGA REPAIR,,,,0.0
FMXRAY1551,"CT CHEST, ABDOMEN, PELVIS WITH CONTRAST (CAP Protocol)",FMXRAY1551,Service,Radiology ,3000.0,,,56307-01-00,CT chest & abdomen w IV contrast medium,,Cardiology,FMCARS0006,Transesophageal Echocardiography (Tee),,Service,55118-00-00,4970,,,,FMXRAY1698,Cerebral Thrombolysis,FMXRAY1698,Cerebral Thrombolysis,,,,0.0
FMXRAY1142,CT. SPINE (CERVICAL REGION),FMXRAY1142,Service,Radiology ,2850.0,,,56220-00-00,CT of spine cervical region,,Cardiology,FMCAR-0010,Venous Duplex,,Service,90908-00-00,520,,,,FMSUR-3701,Bentall WITHOUT prothesis + Arch Replacement,FMSUR-3701,Bentall WITHOUT prothesis + Arch Replacement,,,,0.0
FMXRAY1145,CT. SPINE (WHOLE),FMXRAY1145,Service,Radiology ,2700.0,,,56233-00-00,CT of spine multiple regions,,Cardiology,FMCAR-0020,24 Hours Ambulatory Bp Monitoring,,Service,11708-00-00,555,,,,FMCAR-3002,Insertion of  Cardiac Resynchronisation Therapy-Defibrillator  (CRT-D) with Implant,FMCAR-3002,Insertion of  Cardiac Resynchronisation Therapy-Defibrillator  (CRT-D) with Implant,,,,0.0
FMXRAY1120,CT. SKULL (P.N.S. protocol),FMXRAY1120,Service,Radiology ,2595.0,,,56022-01-00,CT of paranasal sinus,,Cardiology,FMCAR-1000,Day Care Supervision,,Service,83700-00-00,490,,,,FMCTS-2021,FONTAN SURGERY,FMCTS-2021,FONTAN SURGERY,,,,0.0
FMXRAY1550,CT ABDOMEN & PELVIS (Liver Volumetry protocol),FMXRAY1550,Service,Radiology ,2250.0,,,56501-00-00,CT abd & pelv,,Cardiology,FMCAR-0024,Thallium W/Pharmacological Stress (Cardio),,Service,11700-00-00,2280,,,,FMCAR-0555,Double Outlet Right Ventricle (DORV) REPAIR,FMCAR-0555,Double Outlet Right Ventricle (DORV) REPAIR,,,,0.0
FMXRAY1137,CT. ABDOMEN & PELVIS (Renal OR Suprarenal protocol),FMXRAY1137,Service,Radiology ,674.0,,,56507-00-00,CT abd & pelv w/ I.V con medium,,Cardiology,FMCAR-0003,Ecg With Ergometry,,Service,11700-00-00,1715,,,,FMCAR-0558,Atrioventricular Canal (AVC) REPAIR ,FMCAR-0558,Atrioventricular Canal (AVC) REPAIR ,,,,0.0
FMXRAY1136,CT. ABDOMEN & PELVIS (Triphasic Liver protocol),FMXRAY1136,Service,Radiology ,2250.0,,,56507-00-00,CT abd & pelv w/ I.V con medium,,Cardiology,FMCAR-0013,Pericardiocentsis,,Service,38359-00-00,4690,,,,FMPSD-1456,"DIEP flap breast reconstruction with abdominal flap harvest, intercostal artery dissection, and microsurgical anastomosis.",FMPSD-1456,"DIEP flap breast reconstruction with abdominal flap harvest, intercostal artery dissection, and microsurgical anastomosis.",,,,0.0
