Internal Code,Item Name,Service Type,NPHIES Code (Hyphenated )2,Price,LOS
FMCAT -0085 ,"(Transcatheter aortic valve implantation (including TAVI valve kit, vascular closure devices, temporary pacemaker )",PKG,38488-08-00,225000.0,(5 days)
FMNEU-3100,DEEP BRAIN STIMULATION INCLUING THE IMPLANTS,PKG,90007-02-00,200000.0,(5 days)
FMXRAY1728,IR.VEIN OF GALEN MALFORMATION EMBOLIZATION,PKG,35321-02-00,161250.0,5days including ICU
FMXRAY1442,IR. Neuro. INTRACRANIAL ANEURYSM COILING (5 COILS),PKG,35321-02-00,158400.0,(5 days)
FMXRAY1443,IR. Neuro. BRAIN ANEURYSM FLOW DIVERTER,PKG,35309-06-00,158400.0,(5 days)
FMNEU-3589,RE-EXPLORATION & ADJUST. OF SPINAL FIXATION FOR SCOLIOSIS/KYPHOSIS-W/OUT IMPLANT,PKG,90011-02-00,152000.0,(4 days)
FMNEU-3590,REVISION OF FAILED SCOLIOSIS OR KYPHOSIS SURGERY - W/OUT IMPLANT,PKG,90011-02-00,152000.0,(4 days)
FMXRAY1435,IR. TUMOR RADIO-EMBOLIZATION,PKG,35321-10-00,140800.0,(4 days)
FMNEU-3588,POSTERIOR SPINAL FUSION AND FIXATION FOR SCOLIOSIS OR KYPHOSIS - W/OUT IMPLANT,PKG,90011-02-00,136000.0,(3 days)
FMSUR-8585,Peritonectomy with hyperthermic intraperitoneal chemotherapy (HIPEC) excluding discharge medication and room upgrade,PKG,96211-00-00,132000.0,5 days LOS 2 days ICU 
FMXRAY1446,IR. Neuro. AVM EMBOLIZATION (1 SESSION),PKG,35412-00-00,132000.0,4 INCLUDING ICU 
FMXRAY1447,IR. Neuro. TUMOR EMBOLIZATION,PKG,35321-10-00,132000.0,(5 days)
FMXRAY1448,IR. Neuro. Spine AVM Embolization,PKG,40318-00-00,132000.0,(5 days)
FMXRAY1449,IR. Neuro. BLEEDING EMBOLIZATION,PKG,60503-00-11,132000.0,4 INCLUDING ICU 
FMNEU-3415,HEMISPHERECTOMY,PKG,40706-00-00,125000.0,(3 days)
FMCAR-3002,Insertion of  Cardiac Resynchronisation Therapy-Defibrillator  (CRT-D) with Implant,PKG,38393-00-00,120000.0,(5 days)
FMCAR-3027,"Radiofrequency Pulmonary valve Perforation Consumable (hotwire, cautery cable, nykaneing catheter, rent of baylis machine)",PKG,38456-18-00,120000.0,(2 days)
FMCAR-3095,Percutaneous Ventricular Assist Device (Impella),PKG,90218-02-00,120000.0,(5 days)
FMNUR-0105,ENUCLEATION OF CYSTIC,PKG,35412-00-00,120000.0,(4 days)
FMNEU-3583,POSTERIOR OR TRANSFORAMINAL LUMBAR INTERBODY FUSION - 4 TO 6 LEVELS - W/OUT IMPLANT,PKG,90011-02-00,118000.0,(3 days)
FMNEU-3397,CRANIOTOMY FOR SURGICAL CLIPPING OF CEREBRAL ANEURYSM - POSTERIOR CIRCULATION,PKG,39800-00-00,116000.0,4 INCLUDING ICU 
FMNEU-3399,CRAINIOTOMY AND SURGICAL EXCISION OF INFRATENTORIAL CRANIAL ARTERIO-VENOUS MALFORMATION,PKG,39806-00-00,116000.0,4 INCLUDING ICU 
FMNEU-3587,LUMBAR DISCECTOMY ANTERIOR/LATERAL APPROACH + FUSION - 4 TO 6 LEVELS - W/OUT IMPLANT,PKG,40300-01-00,116000.0,(3 days)
FMNEU-3413,AWAKE CRANITOMY AND CORTICAL RESECTION FOR EPILESPY,PKG,39706-00-00,115000.0,(3 days)
FMCAR-3032,"ASD device closure (atrial septal defect) Consumable (sheath, wire, catheter, long sheath and device)",PKG,38742-00-00,112000.0,(1day)
FMCAR-3037,"Melody valve implantation Consumable (sheath, wire, catheter, long sheath and valve)",PKG,38490-00-00,112000.0,(2 days)
NEU-0043,WITH PEDICAL SCREW FIXATION ( TWO LEVEL ) 1 Day ICU,PKG,47732-00-01,112000.0,(3 days)
FMORW-0043,Upperarm Prosthesis (Myoelectr Ic 4 Channels),PKG,96092-00-00,111032.0,(2 days)
FMORT-0762,CORRECTION AND POSTERIOR INSTRUMENTATION OF SCOLIOSIS,PKG,90011-02-00,109200.0,(4 days)
FMXRAY1732,IR. FISTULA EMBOLIZATION TREATMENT,PKG,90223-01-00,108750.0,5days including ICU
FMNEU-3407,Reinforcement of cerebral aneurysm,PKG,59970-02-00,108000.0,6 including ICU 
FSLAB0018,COMPLETE  TUMOR  MOLECULAR   INTELLIGENCE TEST ,Service,73200-06-00,108000.0,
PKORT-0023,Total hip with Proximal femural replacement,PKG,49330-00-00,108000.0,(4 days)
FMORW-0042,Upperarm Prosthesis (Myoelectr Ic 2 Channels),PKG,96092-00-00,107208.0,(2 days)
FMXRAY1384,IR. STENTING OF AORTA (EVAR),PKG,35321-11-00,105600.0,(6 days)
FMXRAY1438,IR. Neuro. ACUTE STROKE THROMBECTOMY,PKG,90230-00-00,105600.0,4 INCLUDING ICU 
FMXRAY1441,IR. Neuro. INTRACRANIAL ANEURYSM COILING (2 COILS),PKG,35412-00-00,105600.0,(5 days)
FMNEU-3480,ANTERIOR THORACIC CORPECTOMY AND STABILIZATION - THREE LEVELS W/OUT IMPLANT,PKG,40348-00-00,105000.0,(2 days)
fmxray1680,transjugular intrahepatic portosystemic shunt (TIPS) placement - 4 DAYS,PKG,90334-00-00,105000.0,(4 days)
FMCAR-3094,Coronary Artery Chronic Total Occlusion (CTO) ,PKG,38309-00-00,104000.0,(5 days)
FMNEU-3582,POSTERIOR OR TRANSFORAMINAL LUMBAR INTERBODY FUSION - THREE LEVELS - W/OUT IMPLANT,PKG,90011-02-00,102000.0,(3 days)
FMENTE6026,COCHLEAR IMPLANT SURGERY,PKG,41617-00-01,101640.0,(1day)
FMNEU-0318,stereotactic radiofrequency ablation of epileptic focus,PKG,40801-00-00,101250.0,(4 days)
