Department,ServiceCode,Service Description (Unified),Type,NPHIES Code (Hyphenated )2,LOS,Column7,Class A ,VIP,Comment
Admission,FMADM-0540,DISPOSABLES OR MINOR,Service,99999-99-99,0.0,380.0,380.0,380.0,current Price
Admission,FMADM-0541,DISPOSABLES OR MEDIUM,Service,99999-99-99,0.0,475.0,475.0,475.0,current Price
Admission,FMADM-0542,DISPOSABLES OR MAJOR,Service,99999-99-99,0.0,570.0,570.0,570.0,current Price
Admission,FMADM-0545,DISPOSABLES I.C.U.,Service,99999-99-99,0.0,285.0,285.0,285.0,current Price
Admission,FMADM-0546,DISPOSABLES WARD,Service,99999-99-99,0.0,149.0,149.0,149.0,current Price
Anaesthia ,FMICU-0089,Continous Haemofiltration 12 To 24 Hours Per Session,Service,99999-99-99,0.0,7125.0,7125.0,7125.0,current Price
Cardiology,FMCAR-3067,Permanent Pacemaker Biventricular Plus Icd (Crtd),PKG,38368-00-00,0.0,76000.0,76000.0,76000.0,current Price
Cardiology,FMCAR-3068,Implantation Of Icd Single,PKG,90203-08-00,0.0,59185.0,59185.0,59185.0,current Price
Cardiology,FMCAR-3073,Ep Study And Ablation For Atrial Tachycardia Or Wpw,PKG,38213-00-00,0.0,54957.5,54957.5,54957.5,current Price
Cardiology,FMCAR-3085,Prosthetic Valve Endocarditis – Valve Replacement Excluding Valve,PKG,38553-03-00,0.0,71867.5,71867.5,71867.5,current Price
ENT,FMENT-3153,Adenotonsilectomy,PKG,41789-01-00,0.0,4360.5,4360.5,4360.5,current Price
Cardiology,fmcar-3097,"Arteriovenostomy, For Renal Dialysis",PKG,34512-00-00,0.0,28785.0,28785.0,28785.0,current Price
consultation,FMPSY-CONS,Psychiatric Consultation,Service,83600-00-00,0.0,80.0,110.0,110.0,current Price
Dental,fmden-0100,Composite Resin (Involving Incisal Edge),Service,97521-01-00,0.0,642.0,642.0,642.0,current Price
Dental,fmden-0102,Removal Of Teeth (Partially Bony) + L.A.,Service,97324-01-10,0.0,523.0,523.0,523.0,current Price
Dental,fmden-0103,Surgical Extraction - Complex  (Bone Removal),Service,97324-01-10,0.0,642.0,642.0,642.0,current Price
Dental,fmden-0104,Surgical Extraction - Simple,Service,97311-01-00,0.0,475.0,475.0,475.0,current Price
Dental,FMDNT-3003,Closure Oroantral Fistula Under La (Minor),PKG,41722-00-01,0.0,3092.25,3092.25,3092.25,current Price
Dental,FMDNT-3004,Closure Oroantral Fistula Under Ga (Major),PKG,41722-00-02,0.0,10032.0,10032.0,10032.0,current Price
Dental,FMDNTF0009,Temporary Filling,Service,97572-01-00,0.0,81.0,81.0,81.0,current Price
Dental,FMDNTP0071,Bleaching Teeth,Service,97118-00-00,0.0,1425.0,1425.0,1425.0,current Price
Dental,FMDNTP0089,Stainless Steel Crown,Service,97613-04-00,0.0,247.0,247.0,247.0,current Price
Dental & Maxillofacial,DNT-0028,Superficial Parotidectomy,PKG,30253-00-00,0.0,18711.0,18711.0,18711.0,current Price
Dermatology ,FMDER-0091,I.V. Injection,Service,96199-19-00,0.0,24.0,24.0,24.0,current Price
Emergency,FMERDA0070,Skin Test,Service,12000-00-00,0.0,475.0,475.0,475.0,current Price
Endoscopy,fmint-2003,"Ercp, W/ Sphincterotomy - Biliary Stent Placement. (Implant Not Included)",Service,30484-00-00,0.0,5938.0,5938.0,5938.0,current Price
Endoscopy,FMSUR-3072,Endoscopic Polypectomy,PKG,30478-13-00,0.0,2811.0,2811.0,2811.0,current Price
Endoscopy,FMSUR-3111,Endoscopic Sphincterotomy,PKG,30485-00-00,0.0,5158.0,5158.0,5158.0,current Price
Dental & Maxillofacial,DNT-0006,Removal Of Salivary Stone,PKG,30266-02-00,0.0,12000.0,12000.0,12000.0,Service to PKG
Dental & Maxillofacial,DNT-0007,Frenectomy Lip / Tongue G.A.,PKG,30278-00-00,0.0,12000.0,12000.0,12000.0,Service to PKG
OB & GYNE,END-0004,Colposcopy With Biopsy,PKG,35614-00-00,0.0,2304.0,2304.0,2304.0,Service to PKG
Cardiology,FMCAT-0099,Intravascular Ultrasound (IVUS) ,PKG,57360-00-00,0.0,13500.0,13500.0,13500.0,Service to PKG
