S/No,ItemCode,Name,price of 1/2/2021,GMDN 1,GMDN 2,GMDN 3
272.0,MS-C-001711,CRTD ITREVIA 5 HF-T-QP PRO MRI BIOTRONIK # 402657,124839.0,47263,,
1887.0,MS-S-004523,STENT GRAFT VALIANT  THORACIC CAPTIVIA 28X28MM X 100MM MEDTRONIC # VAMF2828C100T,113850.0,48060,,
806.0,MS-K-000153,KNEE PROSTHESIS ROTATIONAL CUSTOM MADE MEDIUM RIGHT LINK # SA-F,112200.0,33692,,
801.0,MS-K-000132,KNEE PROSTHESIS ROTATIONAL WITH PATELLAR FLANGE AND TIBIAL PLATEAU WITH ANTI-LUXATION DEVICE.(CUSTOM,108900.0,33692,,
,16873,ICD SINGLE CHAMBER PRO MRI ELLIPSE VR DEVICE SYS. ABBOTT # CD1377-36QC,99903.38,35852,,
2558.0,MS-S-009225,STENT GRAFT ENDURANT 28 X 13 MM X 166 MM MEDTRONIC # ETBF2813C166EE,83672.0,35281,,
1200.0,MS-P-000947,"PACEMAKER ICD SINGLE CHAMBER W/ARTIRIAL DIAGNOSTICS,BIOTRONIK #368852",82500.0,47267,,
2963.0,MS-T-001635,Thoracic Endoprosthesis Vascular Graft Gore TAG Conformable 45mmx20cm,77592.0,35281,,
2160.0,MS-S-005779,STENT GRAFT ENDURANT 25 MM X 14 MM MEDTRONIC # ETUF2514C102EE,74448.0,35281,,
2993.0,MS-V-000165,VENTILATOR F/HOME PURPOSE ASTRAL 150 # 27063,72600.0,47083,,
530.0,MS-E-000515,ENDO MODULAR REVISION KNEE COMPLETE SYSTEM # 572000905,57750.0,33692,,
269.0,MS-C-001613,CRT-P PRO MRI ETRINSA 8 HF ¿T DEVICE SYSTEM BIOTONIK#405362,49500.0,47263,,
,MS-I-000101,IMPLANT CHONDROTISSUE F/CARTILAGE BIOTISSUE #CT20301,43042.75,33863,,
,MS-S-48981,Total Hip prosthesis implant cast Germany #00135,42735.0,99999,,
,MS-T-000282,TISSUE CHONDRO#CHO-113,39744.0,46426,,
,19031,VALVE MITRAL TISSUE MOSAIC CINCH 31MM MEDTRONIC# 310C31,38424.38,99999,,
301.0,MS-C-002053,CAGE LUMBAR THORACIC IRINE # A23000,34313.0,61230,61958.0,
362.0,MS-C-003646,CATHETER EKOSONIC ENDOVASCULAR DEVICE BRITISH TECHNOLOGY GROUP # 500-55112,33000.0,59223,,
1764.0,MS-S-002328,STENT GRAFT ENDURANT SYSTEM 16/13/95MM MEDTRONIC#ENLW16113C95E,33000.0,35281,,
2239.0,MS-S-007927,STENT ENDURANT EXTENSION ALL SIZES MEDTRONIC #ETLW1613C82EE,33000.0,56284,,
2429.0,MS-S-008762,STENT GRAFT ENDURANT II ILEXT 20MMX82MM MEDTRONIC #ETEW2020C82EE,33000.0,35281,,
2646.0,MS-S-009442,STENT GRAFT SYSTEM ENDURANT II MEDTRONIC # ETLW1613C124EE,33000.0,35281,,
574.0,MS-F-000339,FEMORAL X-SMALL RIGHT COMPONENT. JOH. & JOH. # 1987-14-105,32179.0,44855,,
1515.0,MS-R-000047,ROTATIONAL JOINT UNIT FOR FEMUR & TIBIA.,32175.0,41107,,
817.0,MS-K-000259,KNEE PROSTHESIS BELOW WITH LINER AND PIN SUSPENSION,29403.0,58716,,
560.0,MS-F-000233,FEMORAL STEM BI-METRIC POROUS SIZE 17.0X200MM RIGHT BIOMET #162348,29205.0,44855,,
622.0,MS-G-000388,GRAFT VASCULAR K DV 8MMX100/60CM AXILLO-BIFEMORAL RIGHT. B.BRAUN # 1104705,29123.0,35281,,
803.0,MS-K-000144,KYPHON ADVANCE OSTEO 15/3 INTRODUCER SYSTEM SOFAMORE #KPX153PB-C,28875.0,47129,,
531.0,MS-E-000522,ENDOANCHOR SYSTEM HELI-FX GUIDE F/AORTIC GUIDE 22 MM MEDTRONIC MEDTRONIC # SG-64,28191.0,58096,,
532.0,MS-E-000523,ENDOANCHOR SYSTEM HELI-FX APPLIER CASSETTE 86 CM MEDTRONIC MEDTRONIC # SA-85,28191.0,58097,,
184.0,MS-B-001823,BIPAP BI-LEVEL VENTILATOR WITH EVAPS  FEATURE AND HUMIDIFIER A30 PHILIPS # 1076491,27225.0,36990,,
2046.0,MS-S-004998,STENT VIABAHIN COVERED GRAFT HEP 3.18 10CM F/ VASCULAR GORE MED. ALL SIZES,26903.0,61856,,
2822.0,MS-S-010497,STEM LONG MUTRAS RS HA 14X200MM .IMPLANTCAST # 67622014,24750.0,13180,,
2990.0,MS-V-000124,VALVE TISSUE MITRAL STANDARD SIZE 25MM,24750.0,60241,,
78.0,MS-B-000800,BOLT CONNECTOR TWX SANATMETAL #257920009,24305.0,16077,,
543.0,MS-E-000588,ENDO MODULAR KNEE ROTATIONAL JOINT MED.RIGHT  D=65MM  LINK #15-2817/11,24033.0,33692,,
863.0,MS-M-000627,MODULAR JOINT COMP.SMALL RIGHT D=60MM  LINK #15-2816/11,24033.0,33692,,
181.0,MS-B-001802,"BALLOON EXPANDABLE VIABAHN,DIFFERENT SIZES#GORE MEDICAL USA#BXAXXXX2E GORE # BXAXXXX2E",23513.0,62218,,
2989.0,MS-V-000103,VALVE MITRAL TISSUE MOSAIC CINCH 29MM MEDTRONIC# 310C29,23100.0,60241,,
2830.0,MS-S-010559,STENT GRAFT AORTIC COVERED SIZE 12MM TO 24MM X L120CM VASCULAR  BENTLY #BGP2,22800.0,64344,,
2849.0,MS-S-010603,STEM HA MUTRAS RS 16X200MM FOR CUP.IMPLANTSCAST #67622016,22541.0,13180,,
170.0,MS-B-001776,BONE GRAFT ACH TENDON W/BLOCK 160 FROZEN . LIFENET # FATB,21450.0,16966,,
352.0,MS-C-003541,"CATHETER OUTBACK REENTRY,CORDIS CORDIS # OTB59120A",20625.0,32584,,
2451.0,MS-S-008812,STENT GRAFT COVERA FLAIRED#BARD-USA BARD # AALEOXXXX,20625.0,46689,,
575.0,MS-F-000558,FEMORAL TC3 CEMENTED 2 RIGHT JOH. & JOH. # 960087,20583.0,44855,,
613.0,MS-G-000370,GRAFT TIBIALIS TENDON POSTERIOR  8.5 MM X 24 CM MTF # 400340,20378.0,44874,,
367.0,MS-C-003686,CAGE EXPONDABLE CENTER PIECE 19X23MM 19B. MEDTRONIC # 9391923,20196.0,61230,61958.0,
1486.0,MS-P-004545,PIECECENTER 13X22MMX13C SOFAMOR DANEK. MEDTRONIC # 9391322,19965.0,57806,,
1505.0,MS-P-004659,PROXIMAL MUTRAS CMONENT 127/42MM PART FOR STEM.IMPLANTSCAST #67101627S,19889.0,12696,,
1512.0,MS-P-004680,PROXIMAL COMPONENET MUTARS  RS 135/32MM. IMPLANTCAST #67101535S,19889.0,63995,,
2200.0,MS-S-005840,STENT VENOUS UNCOVERED LARGE DIAMETER VENOVO DIFF. SIZES BARD #VENEL,19800.0,62528,,
595.0,MS-F-000714,"FEMORAL TC3 CEMENTED SIZE 3 LEFT . JOH,JOH #96-0081",18150.0,44855,,
795.0,MS-K-000026,KNEE TOTAL REPLACEMENT GEMINI DIFF.SIZES LEFT.,18150.0,33665,,
796.0,MS-K-000027,KNEE TOTAL REPLACEMENT GEMINI DIFF.SIZES RIGHT,18150.0,33665,,
2956.0,MS-T-001513,TRAY SLEEVE POROUS  45MM M.B.T REVISION METAPHYSEAL. JOH. & JOH. # 1294-50-110,17325.0,58148,,
818.0,MS-K-000260,KNEE PROSTHESIS BELO KNEE EXO SKELETAL,16707.0,64712,,
587.0,MS-F-000644,FEMORAL SLEEVE UNIVERSAL 40MM FULL POROUS. JOH. & JOH. # 1294-53-236,16500.0,44855,,
644.0,MS-H-000046,HIP TOTAL REPLACEMENT CEMENTLESS DIFFERENT SIZES,16500.0,61940,,
1208.0,MS-P-001439,PACEMAKER DUAL CHAMBER W/LEAD & FLEXTEND INGENIO MRI BOSTON #J176DR,16500.0,47265,,
1391.0,MS-P-003711,PLATE TROCHANTER 200MM. IMPLANTCAST # 84000200,16500.0,61573,,
2501.0,MS-S-009037,STENT ABRE #AB9G14060090#MEDTRONIC ALL SIZES MEDTRONIC # AB9G14060090,16500.0,43691,,
1344.0,MS-P-002675,PLATE LOCKING 2.4X5X11 RECONSTRUCTION MANDIBLE OSTEONIC,16434.0,61573,,
408.0,MS-C-003947,COMPONENT FOR PROXIMAL FEMUR RS MUTRAS METEAPHSEAL HA 40MM. IMPLANTCAST # 67304221,15911.0,63995,,
861.0,MS-M-000622,METAPHYSEAL MUTARS COMPONENT 40MM PART FOR STEM.IMPLANTSCAST #67304121,15911.0,61154,,
2926.0,MS-T-000971,TIBIAL INSERT XSMALL 21MM UNIVERSAL HINGE JOH. & JOH. # 1987-27-121,15675.0,46585,,
1188.0,MS-P-000822,PROBE FLOW SZ. 3MM FOR MEDISTIM MACHINE-VQ1111 MEDISTIM#PQ03215645,14850.0,61089,,
