WIPRO CODE,NAME,price 
MS-R-000830, ROD CARBON CONNECTING 8x300MM IMPLANTCAST #CF08-300,2178
MS-S-008854, SCREW LOCKING 5.0x30MM CHM #3.5210.030,1723
MS-A-000122,ABLATOR ASPIRATING SIZE 50 DEG ARTHREX #AR¿9803A-50,3581
MS-A-000123,ABLATOR ASPIRATION TOOTH BRUSH 90 DEG ARTHREX #AR-9705A-90,3605
MS-A-000147,ABLATOR MENISCECTOMY 90 DEGREE COOLCUT ARTHREX # AR-9802M-90,4043
MS-A-000513,"ACETABULAR CUP SIZE 56MM, HIPOKRAT # 77.2300",12994
MS-A-000087,ACETABULAR REVISION SYSTEM 54X20MM ZIMMER #4894-054-20,24750
SMF3112,ACID CITRIC POWDER F/HEAMODIALYSIS MACHINE 1KG/BAG PSI,68
MS-A-000517,"ACT+TEST CUVETTE-SILICA KAOLIN BASED ACTIVATED CLOTTING TIME TEST CUVVETTE, ACCRIVA DAIGNOSTICS # JACT",867
MS-A-000086,ADAPTER DRIVER SOFAMOR # 7480523,3949
MS-A-000481,"ADAPTOR -Y 9,5FR DOUBLE , B/BRAUN # 5020743 B.BRAUN # 5020743",1155
SML1517,ADAPTOR MALE LUER LOCK MEDINORM #15-00-310/4074-1,6
MS-A-000121,ADAPTOR WITH VALVE ROTATING BALTON # YCONV,717
MS-A-000120,ADAPTOR Y-TYPE ROTATING W/ VALVE BALTON # RYVA,1063
MS-A-000109,ADHESION BARRIER REF#9380003 MEDISHIELD 46516,9413
MS-A-000030,ADMISSION KIT BLUE F/MALE PATIENT,209
MS-A-000025,ADMISSION KIT RED F/FEMALE PATIENT,199
SMA1180,ADULT DIAPER LARGE SIZE,16
SMA1179,ADULT DIAPER MEDIUM SIZE,17
SMA1178,ADULT DIAPER SMALL SIZE # HARMONY,15
MS-A-000504,AIR MATTRESS WITH PUMP N/A # *,1463
SMI1654,AIRWAY GUEDEL INFANT SIZE 00 BLUE STER DISP. #1-1504-50,13
SMI8910,AIRWAY GUEDEL SIZE 0 CHILD BLACK,21
MS-A-000017,AIRWAY GUEDEL SIZE 00 STERILE DISPOSABLE.,29
SMI1166,AIRWAY GUEDEL SIZE 01 CHILD WHITE 60MM STR.DISP.#27166,29
SMI1167,AIRWAY GUEDEL SIZE 02 CHILD GREEN 70MM STER.DISP.#1-1504-70,29
SMI1169,AIRWAY GUEDEL SIZE 04 ADULT RED 90MM STER. DIS. #1-1504-90,29
SMI1168,AIRWAY GUEDEL SIZE 3 ADULT ORANGE 80MM STER. DISP. #1-1504-80,29
SMI1393,AIRWAY NASO PHARYNGEAL DISPOSABLE SIZE 7.0 MM #100/210/070/8888-247031,270
SMI9870,AIRWAY NASOPHARYNGEAL 32FR/8MM # 038-95-008,216
SMI5357,AIRWAY NASOPHARYNGEAL DISPOSABLE SIZE 8 PORTEX #100/210/080,216
MS-A-000136,ALLOGRAFT (BONE GRAFT) BIO-IMPLANT CANCELLOUS (1-8MM) 30CC SOFAMOR # PCAN30,7661
MS-A-000038,ALLOGRAFT CANCELLOUS CRUSHED 1-4MMX15CC ISOTIS# 03-0100-150,10107
MS-A-000037,ALLOGRAFT CANCELLOUS CRUSHED 1-4MMX30CC ISOTIS# 03-0100-300,12994
MS-A-000082,AMBU BAG DISPOSABLE ADULT,693
SMI1324,AMNIOHOOK STERILE DISPOSABLE,14
SMA3449,ANAESTHETIC FACE MASK (STRAWB) SIZE1 #038-52-430SFS,135
SMA3448,ANAESTHETIC FACE MASK (STRAWB) SIZE2#038-52-420SFS,751
MS-A-000079,ANCHOR BIOPUSHLOCK 3.5 X 19.5MM ARTHREX #AR-1926B,4764
MS-A-000514,"ANCHOR SUTURE 4.5 CORK SCREW W/ONE # 2 FIBER WIRE AND ONE #2 TIGER WIRE, ARTHREX # AR-1928SF-45",3404
MS-A-000515,"ANCHOR SUTURE CORK SCREW FT II # 2 FIBER WIRE AND ONE #2 TIGER WIRE, ARTHREX # AR-1928SF-2",3404
MS-A-000494,ANEURYSM EMBOLIZATION SYSTEM W4-7-3 TERUMO # W4-7-3,128700
