Departemnt,code,Discription,Price,SBS
CSS,LB-T-000348,TEST STRIP GLUCOSE NOVA,3,99999
CSS,MDMA16020339,BIOTITUS DERMA APPLICATOR 15 ML -1'S,49.75,99999
CSS,MDMA17060280,HEMAGEL PROCTO SUP 10'S,79.75,99999
CSS,MDMA18040120,LOYON TOPICAL SOLN 15 ML,50.4,99999
CSS,MDMA18040300,GLOUP SWALLOWING GEL 75 ML,35,99999
CSS,MDMA18110188,Hemagel 30 gm.,189.6,99999
CSS,MDMA19040115,BD MICRO-FINE NEEDLES X 100,79,99999
CSS,MDMA19110244,CANNULA IV VENFLON G22,500,99999
CSS,ME0000000650SFDAA000,ACCU-CHEK FASTCLIX LANCET X 204,400,99999
CSS,ME0000006340SFDAA0002,Easy Max SELF-MONITORING BLOOD GLUCOSE SYSTEM,200,99999
CSS,ME0000006340SFDAA0003,Easy Max blood glucose test strips,100,99999
CSS,ML00266SFDAA0079,ALCOHOL SWAB 200S,9,99999
CSS,ML00266SFDAA0102,Alcohol Swab Medium,6,99999
CSS,MM00006SFDAA0002,One Touch (Select) Strips,90,99999
CSS,MM00006SFDAA0005,ONE TOUCH ULTRA 50 STRIPS,130,99999
CSS,MM00021SFDAA0003,DIANATAL OBSTETRIC GEL 1'S, -   ,99999
CSS,MM00090SFDAA0049,OMRON COMPAIR COMPRESSOR NEBULIZER C-28,370,99999
CSS,MM00094SFDAA0001,CRESPINE GEL PLUS 30 MG PFS 1'S,2400,99999
CSS,MM00122SFDAA0005,NOVOPEN 4,231,99999
CSS,MM00122SFDAA0008,Insupen G 31 100 Pcs/Box,75,99999
CSS,MM00122SFDAA0009,Novofine 31G,90,99999
CSS,MM00189SFDAA0002,ECTOLLERG ED 0.5ML SDU 20'S,88.31,99999
CSS,MM00191SFDAA0002,CATIONORM ED SDU 30'S,88.31,99999
CSS,MM00194SFDAA0002,VISMED 0.3% EG SDU 20'S,73.75,99999
CSS,MM00194SFDAA0003,VISMED 0.18% ED SDU 20'S,68.7,99999
CSS,MM00226SFDAA0002,APISAL 0.74% NS 15 ML,19.9,99999
CSS,MM00226SFDAA0004,APISAL STUFFY NOSE KIT N/D 15 ML,29,99999
CSS,MM00228SFDAA0006,Insulin Syringe B-D Micro-Fine + 1 ml,7,99999
CSS,MM00275SFDAA0001,GENGIGEL 0.2% GEL 20 ML,54.6,99999
CSS,MM00275SFDAA0002,GENGIGEL 0.01% SPR 20 ML,60,99999
CSS,MM00275SFDAA0003,GENGIGEL BABY 0.2% GEL 15 ML,42,99999
CSS,MM00283SFDAA0001,GELOSITIN NS 15 ML,50.4,99999
CSS,MM00298SFDAA0007,SINOVIAL ONE 2.0% PFS 1'S,2350,99999
CSS,MM00331SFDAA0001,ACCU-CHEK SOFTCLIX LANCETS X 200,1,99999
CSS,MM00331SFDAA0004,Accu -Chek Glucose strips 50/B,75,99999
CSS,MM00331SFDAA0005,ACCU CHEK PERFORMA MG/DL KIT,250,99999
CSS,MM00331SFDAA0007,ACCU-CHEK PERFORMA 50'S,118,99999
CSS,MM00331SFDAA0011,ACCU CHEK ACTIVE 50STRIPS,80,99999
CSS,MM00331SFDAA0014,Accu-Check Softclix Lancets 100/Box,60,99999
CSS,MM00331SFDAA0142,Accu Check Performa Kit,400,99999
CSS,MM00364SFDAA0005,Aero Chamber,85,99999
CSS,MM00457SFDAA0002,Contour 50 Strips,120,99999
CSS,MM00457SFDAA0008,Contour Next 50 Strips,120,99999
CSS,MM00457SFDAA0011,MICROLET 200' LANCETS,75,99999
CSS,MM00457SFDAA0013,Contour TS 50 Strips,120,99999
CSS,MM00457SFDAA0017,CONTOUR NEXT KIT,250,99999
CSS,MM00522SFDAA0003,KELO COTE SPRAY 100 ML,299,99999
CSS,MM00567SFDAA0004,AVIZOR COMFORT ED 15 ML (LACRIFRESH),25,99999
CSS,MM00567SFDAA0005,AVIZOR COMFORT ED SDU 20'S (LACRIFRESH),32,99999
CSS,MM00567SFDAA0006,AVIZOR MOISTURE 0.1% ED 15 ML (LACRIFRESH),42,99999
CSS,MM00595SFDAA0003,Bene Check Glucose Test Strip,95,99999
CSS,MM00595SFDAA0005,Bene Check Multi-Monitoring Meter,200,99999
CSS,MM00784SFDAA0028,Medisafe Lancets,20,99999
CSS,MM00784SFDAA0044,MEDISAFE BLOOD GLUCOSE TEST TIP 30PCS MS*GC30 GREEN,49,99999
CSS,MM00784SFDAA0047,Medisafe Kit,400,99999
CSS,MM00784SFDAA0059,Nanopass (Insulin Needle),80,99999
CSS,MM00880SFDAA0001,MONOVISC 88 MG PFS 1'S,2300,99999
CSS,MM00893SFDAA0002,Click Fine Needle,90,99999
CSS,MM00957SFDAA0001,DISCOVISC 1 % 0.85 MLS FOR OPHTHALMIC,220,99999
CSS,MM00957SFDAA0004,SYSTANE ULTRA ED SDU 30'S,60,99999
CSS,MM00957SFDAA0005,SYSTANE GEL DROP EG 10 ML,62.17,99999
CSS,MM00994SFDAA0061,Derma-Tulle 50 Pieces,50,99999
CSS,MM01045SFDAA0001,Bionime Rightest GM260 Glucometer,170,99999
CSS,MM01045SFDAA0004,Bionime Rightest GS260 test strips 50 ea,99,99999
CSS,MM01096SFDAA0001,ASONOR NS 30 ML,160,99999
CSS,MM01155SFDAA0002,One Touch (Verio) Strips,135,99999
CSS,MM01155SFDAA0013,ONE TOUCH SELECT PLUS TEST STRIP 1*50 S,99,99999
CSS,MM01155SFDAA0015,ONE TOUCH SELECT PLUS MONITORING SYS,250,99999
CSS,MM01186SFDAA0004,Easy Max Strips,90,99999
CSS,MM01211SFDAA0001,MICROVISC 1% OPTHA INJ - 0.85MLS/SYRING,180,99999
CSS,MM01211SFDAA0002,MICROVISC 2.5% (OPTHAMLIC)  - 1'S,210,99999
CSS,MM01211SFDAA0003,MICROVISC 1.4%  PLUS 0.85 ML / SYRING,250,99999
CSS,MM01223SFDAA0001,SINOMARIN CHILDREN NS 100 ML,47,99999
