Department,ServiceCode,Service Description,LOS,Type,NPHIES Code (Hyphenated )2,Unified price
SFDA,7677,PHENYLEPHRINE 1% 10MG/ML X 10,0,SFDA,99999,65.55
SFDA,P15BLOOD2+C,BLOOD PRESSURE MONITOR ( BEURER ) BM40,0,SFDA,100000000000000,310.5
SFDA,P15MISSB1+,MISS BIBI NEBULZER (PIC SOLUTION) MACHINE X 1,0,SFDA,12719,494.5
SFDA,P15NEBUL3+,NEBULISER IH18 (BEURER),0,SFDA,12719,345.0
SFDA,P13SWABA1+,SWAB ALCOHOL PHARMACY X 200 .,0,SFDA,12-1433-2019,0.0805
SFDA,P13VASEL3O,VASELINE OINT 50GM .,0,SFDA,100000000000000,17.25
SFDA,P13WOUND1M  ,WOUNDIL CICACREAM 50GM .,0,SFDA,83700-00-00,74.4625
SFDA,P15ACCU13+,ACCU-CHECK SAFE-T-PRO LANCET X 200 .,0,SFDA,100000000000000,150.0
SFDA,P15ACCUC1+,ACCU-CHEK SOFTCLIX LANCETS X 200 .,0,SFDA,100000000000000,150.0
SFDA,P15ACCUC15+,ACCU-CHEK INSTANT SUGAR TEST STRIP X 50 .,0,SFDA,100000000000000,138.0
SFDA,P15ACCUC2+,ACCU-CHEK ACTIVE SUGAR TEST STRIPS X 50 .,0,SFDA,100000000000000,97.75
SFDA,P15ACCUC6+,ACCU-CHEK PERFORMA SUGAR TEST STRIPS X 50 .,0,SFDA,100000000000000,138.0
SFDA,P15AEROC2+C,AEROCHAMBER DEVICE W/MASK FOR CHILDREN,0,SFDA,62680,97.75
SFDA,P15AEROC3+C,AEROCHAMBER INFANTS W/MASK,0,SFDA,62680,143.75
SFDA,P15BIONI3+,BIONIME SUGAR TEST STRIPS X 50 .,0,SFDA,100000000000000,97.75
SFDA,P15CONTO4+,CONTOUR NEXT SUGAR TEST STRIPS X 50 .,0,SFDA,100000000000000,143.75
SFDA,P15CONTU1+,CONTOUR-TS SUGAR TEST STRIPS X 50 .,0,SFDA,100000000000000,103.49999999999999
SFDA,P15HEALT1M,HEALTHY SKIN CREAM 50GM .,0,SFDA,6-1254-2010,79.35
SFDA,P15INSUP1+,INSUPEN 33 G X 4MM X 100 PCS,0,SFDA,34973,115.0
SFDA,P15LANCE2+,LANCETS BOX 200 .,0,SFDA,100000000000000,150.0
SFDA,P15ONE-T5+,ONE TOUCH DELICA LANCETS X 100,0,SFDA,100000000000000,92.0
SFDA,P15ONETO1+,ONE TOUCH SELECT PLUS SUGAR TEST STRIP X 50,0,SFDA,41818,103.5
SFDA,P15ONETO2+,ONE TOUCH ULTRA SUGAR TEST STRIP,0,SFDA,100000000000000,3.105
SFDA,P15ONETV1+,ONE TOUCH VERIO SUGAR TEST STRIP,0,SFDA,100000000000000,2.99
SFDA,P15OXYGE1+,OXYGEN CONCENTRATOR-HOME DEVIC .,0,SFDA,83700-00-00,5635.0
SFDA,P15REGEN1+,REGEN A-CP KIT FOR PLASMA PREP.,0,SFDA,63938,1150.0
SFDA,P16ACCUF1+,ACCU-FINE PEN NEEDLE 31GX4MM X,0,SFDA,100000000000000,0.9775
SFDA,P16NOVOP6+,NOVOPEN FINE NEEDLE 31G X 4MM X 100 .,0,SFDA,100000000000000,115.0
SFDA,P16NOVOP9+,CLICKFINE NEEDLE 32G X 4MM X 100 .,0,SFDA,100000000000000,86.0
SFDA,P16ONETO1+,ONE TOUCH DELICA LANCETS X 100 .,0,SFDA,100000000000000,115.0
SFDA,P16OPPOM1+,OPPO MULTI ORTHOSIS KNEE BRACE-1036-ALL SIZE .,0,SFDA,83700-00-00,448.5
SFDA,P16STOCK8+,SURGICAL ELASTIC STOCKING OVER-KNEE ALL SIZE (FIRST) .,0,SFDA,83700-00-00,230.0
SFDA,P17OXYCO1J,OXYNORM 10MG/1ML AMP X 5 (OXYCODONE) .,0,SFDA,100000000000000,46.0
SFDA,P18AMITR3T,AMITRIPTYLINE 25MG TAB X 28 (TRYPTIZOL) .,0,SFDA,100000000000000,2.0585
SFDA,P20CHLOR1W,CHLORAL HYDRATE 100MG/1ML SYP 200ML .,0,SFDA,32-1066-2013,5.175
SFDA,P21GLYCE3Q,GLYCERIN LIQUID 100ML .,0,SFDA,83700-00-00,17.25
SFDA,P21HYDRO7Q,HYDROGEN PEROXIDE 6% SOLUTION 100ML .,0,SFDA,100000000000000,28.75
SFDA,P21LEADS1L,LEAD SUBACETATE LOTION 100ML .,0,SFDA,83700-00-00,46.0
SFDA,P21POTAS4L,POTASSIUM PERMANGANATE 1:8000 SOLUTION 100ML .,0,SFDA,100000000000000,17.25
SFDA,P-3-N-200219-26922,APTAMIL HA2 MILK 400 GM,0,SFDA,P-3-N-200219-26922,47.0
SFDA,P-3-N-210622-97255,Babywell 400 g,0,SFDA,P-3-N-210622-97255,25.0
SFDA,P-3-N-160114-12188,BEBELAC HA 400GM MILK,0,SFDA,P-3-N-160114-12188,40.0
SFDA,P-3-N-160114-12242,BEBELAC MILK LF 400 GM,0,SFDA,P-3-N-160114-12242,39.0
SFDA,P-3-N-040421-64239,Bibena 400 g,0,SFDA,P-3-N-040421-64239,31.0
SFDA,P-3-N-290718-115598,Bibena LF 400 g,0,SFDA,P-3-N-290718-115598,31.0
SFDA,P-3-N-070319-35194,NAN LF.MILK 12x400gm,0,SFDA,P-3-N-070319-35194,52.0
SFDA,P-3-N-040821-132761,NAN SUPREME PRO-1 12x400gm,0,SFDA,P-3-N-040821-132761,57.0
SFDA,P-3-N-120921-155025,NAN SUPREME PRO-1 6x800gm,0,SFDA,P-3-N-120921-155025,106.0
SFDA,P-3-N-120921-155033,NAN SUPREME PRO-2 6x800gm,0,SFDA,P-3-N-120921-155033,106.0
SFDA,P-3-N-200219-27093,NEOCATE JUNIOR 400 GM,0,SFDA,P-3-N-200219-27093,154.0
SFDA,P-3-N-211117-183140,NEOCATE SPOON 400gm,0,SFDA,P-3-N-211117-183140,85.0
SFDA,P-3-N-241220-206823,Novalac Aminova 400 g,0,SFDA,P-3-N-241220-206823,167.0
SFDA,P-3-N-261218-187847,Novalac Diarinova 400 g,0,SFDA,P-3-N-261218-187847,43.0
SFDA,P-3-N-251220-207533,NOVALAC MILK ALLERNOVA INFANT FOR.400gm,0,SFDA,P-3-N-251220-207533,98.0
SFDA,P-3-N-251220-207543,NOVALAC MILK AR PLUS 400gm,0,SFDA,P-3-N-251220-207543,41.0
SFDA,P-3-N-080216-16667,NURALAC AR 400gm,0,SFDA,P-3-N-080216-16667,40.0
SFDA,P-3-N-140814-120761,NURALAC COMFORT 400gm,0,SFDA,P-3-N-140814-120761,40.0
SFDA,P-3-N-120814-119856,NURALAC LF 400gm,0,SFDA,P-3-N-120814-119856,40.0
SFDA,P-3-N-030116-530,NURALAC PREMATURE 400gm,0,SFDA,P-3-N-030116-530,40.0
SFDA,P-3-N-140114-10689,NUTRICIA INFATRINI MILK 0-18m 400gm,0,SFDA,P-3-N-140114-10689,60.0
SFDA,P-3-N-180718-110204,NUTRIMILK PREMIUM AR1 400 GM,0,SFDA,P-3-N-180718-110204,50.0
SFDA,P-3-N-180718-110212,NUTRIMILK PREMIUM AR2 400 GM,0,SFDA,P-3-N-180718-110212,54.0
SFDA,P-3-N-111018-147938,NUTRIMILK PREMIUM LF 400 GM,0,SFDA,P-3-N-111018-147938,48.0
SFDA,P-3-N-230420-63419,NUTRIMILK PREMIUM SENSIBLE 400 GM,0,SFDA,P-3-N-230420-63419,50.0
SFDA,P-3-N-191121-192671,NUTRIMILK WH-1 400gm,0,SFDA,P-3-N-191121-192671,49.0
SFDA,P-3-N-191121-192673,NUTRIMILK WH-2 400gm,0,SFDA,P-3-N-191121-192673,49.0
SFDA,P-3-N-140114-10667,NUTRINI DRINK NEUTRL POWDR -400GM,0,SFDA,P-3-N-140114-10667,44.0
SFDA,P-3-N-140114-10661,NUTRINI DRINK POWDER -400GM,0,SFDA,P-3-N-140114-10661,44.0
SFDA,P-3-N-021019-150801,PEDIASURE 1+ CHOCOLATE 400 GM,0,SFDA,P-3-N-021019-150801,43.0
SFDA,P-3-N-021019-150822,PEDIASURE 1+ CHOCOLATE 900 GM,0,SFDA,P-3-N-021019-150822,93.0
SFDA,P-3-N-220517-85148,PEDIASURE 1+ HONEY 400 GM,0,SFDA,P-3-N-220517-85148,43.0
SFDA,P-3-N-021019-150839,PEDIASURE 1+ HONEY 900 GM,0,SFDA,P-3-N-021019-150839,93.0
SFDA,P-3-N-210114-16084,APTAMIL COMFORT 1 MILK 400 GM,0,SFDA,P-3-N-210114-16084,47.0
SFDA,P-3-N-210114-16104,APTAMIL COMFORT 2 MILK 400 GM,0,SFDA,P-3-N-210114-16104,47.0
SFDA,P-3-N-310515-74812,Biomil GASTRO-FIX INFANT FOR.400gm,0,SFDA,P-3-N-310515-74812,48.0
SFDA,P-3-N-070515-62654,BIOMIL LF MILK POWDER 400gm,0,SFDA,P-3-N-070515-62654,40.0
SFDA,P-3-N-150421-72089,Biomil plus 400 g,0,SFDA,P-3-N-150421-72089,35.0
SFDA,P-3-N-281121-197579,BIOMIL PLUS AR 400gm,0,SFDA,P-3-N-281121-197579,41.0
SFDA,P-3-N-020215-13372,BLEMIL PLUS 1HR RICE NO-1 400gm,0,SFDA,P-3-N-020215-13372,47.0
SFDA,P-3-N-060618-94507,BLEMIL PLUS 2HR RICE NO-2 400gm,0,SFDA,P-3-N-060618-94507,47.0
SFDA,P-3-N-150115-5782,BLEMIL PLUS AC 1 - 400GM,0,SFDA,P-3-N-150115-5782,41.0
SFDA,P-3-N-150115-5783,BLEMIL PLUS AC 2 - 400GM,0,SFDA,P-3-N-150115-5783,41.0
SFDA,P-3-N-230513-3621,BLEMIL PLUS AD 250 GM,0,SFDA,P-3-N-230513-3621,39.0
SFDA,P-3-N-070618-94958,BLEMIL PLUS AR 400gm,0,SFDA,P-3-N-070618-94958,43.0
SFDA,P-3-N-170520-73451,BLEMIL PLUS FLA 250gm,0,SFDA,P-3-N-170520-73451,47.0
SFDA,P-3-N-290620-91164,BLEMIL PLUS LF. MILK PWD 400gm,0,SFDA,P-3-N-290620-91164,47.0
SFDA,P-3-N-020620-77352,BLEMIL PLUS MAX 400gm,0,SFDA,P-3-N-020620-77352,47.0
SFDA,P-3-N-050515-61238,BLEMIL PLUS PRETERM 12x400gm,0,SFDA,P-3-N-050515-61238,47.0
SFDA,P-3-N-300420-66650,BLEVIT PLUS AC (ANTI CONST )-250GM,0,SFDA,P-3-N-300420-66650,22.0
SFDA,P-3-N-310816-125305,BRIGHT LF 400 G,0,SFDA,P-3-N-310816-125305,43.0
SFDA,P-3-N-131117-177642,Celia LF 400 g,0,SFDA,P-3-N-131117-177642,29.0
SFDA,P-3-N-050115-882,EXCEEDA MILK CHOCOLATE 400GM,0,SFDA,P-3-N-050115-882,50.0
SFDA,P-3-N-060414-62921,EXCEEDA MILK VANILLA 400GM,0,SFDA,P-3-N-060414-62921,48.0
SFDA,P-3-N-251114-156183,EXCEEDA MILK VANILLA 850 GM,0,SFDA,P-3-N-251114-156183,96.0
SFDA,P-3-N-200313-1457,FABI MILK (LF-88) 400gm,0,SFDA,P-3-N-200313-1457,42.0
SFDA,P-3-N-200313-1459,FABI MILK AR 400gm,0,SFDA,P-3-N-200313-1459,42.0
SFDA,P-3-N-090914-131246,Fabimilk Comfort 1 400 g,0,SFDA,P-3-N-090914-131246,33.0
SFDA,P-3-N-090914-131248,Fabimilk Comfort 1 800 g,0,SFDA,P-3-N-090914-131248,71.0
SFDA,P-3-N-090914-131249,Fabimilk Comfort 2 400 g,0,SFDA,P-3-N-090914-131249,33.0
SFDA,P-3-N-090914-131251,Fabimilk Comfort 2 800 g,0,SFDA,P-3-N-090914-131251,71.0
SFDA,P-3-N-110214-31711,FANTOMALT MILK -400GM,0,SFDA,P-3-N-110214-31711,22.0
SFDA,P-3-N-140619-93843,FRANCE LAIT AR 400 g,0,SFDA,P-3-N-140619-93843,40.0
SFDA,P-3-N-271019-163354,FRANCE LAIT LF 400 g,0,SFDA,P-3-N-271019-163354,40.0
