Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,, ,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,Department,ServiceCode,Service Description (Unified),NPHIES Code (Hyphenated )2,Type,LOS,Class B,Class A & ViP,Comment
,,,,Orthopedics,FMORT-0110,Debridement Of Compound Fract. At Carpals & Metacarpals,90580-00-01,PKG,1 DAY,14520,14520,Current Price
,,,,Physiotherapy,FMPTD-0083,Intra Articular,50124-01-10,Service,,243,243,Current Price
,,,,Physiotherapy,FMPTD-0117,Nebulizer Adaptor For Cold Neb,92043-00-00,Service,,58,58,Current Price
,,,,Orthopedics,FMORT-0445,Skin Traction,90531-00-00,Service,,274,274,Current Price
,,,,Orthopedics,FMORT-0661,Cotrel Built Exercises,90531-00-00,Service,,84,84,Current Price
,,,,Physiotherapy,FMPTD-0091,Nebulization For Aramco Patient Per,92043-00-00,Service,,163,163,Current Price
,,,,ONCOLOGY/NUCLEAR MED,FMONC-0029,Fine Needle Aspiration Breast Or Thyroid,99999-99-99,Service,,202,202,Current Price
,,,,ENT,FMENTN2062,NASAL SINUSCOPY,41764-01-00,Service,,184,184,Current Price
,,,,OB & GYNE,FMOBG-0123,ASPIRATION OF VULVAL CYST,35513-00-00,Service,,223,223,Current Price
,,,,neurology,FMNEU-0087,LOCAL INJ. - PAINFUL POINT,92513-99-00,Service,,101,101,Current Price
,,,,Emergency,FMERDA0070,Skin Test,12000-00-00,Service,,53,53,Current Price
,,,,Physiotherapy,FMPTD-0121,Spiro Meter Air Incentive,11506-00-00,Service,,100,100,Current Price
,,,,Physiotherapy,FMPTD-0047,EMG LUMBAR AREA & 2 LEGS,11012-00-00,Service,,637,637,Current Price
,,,,Physiotherapy,FMPTD-2088,ICE / HOT PACK LARGE,22065-00-90,Service,,131,131,Current Price
,,,,Orthopedics,FMORT-0568,Cervical Traction,47684-00-00,Service,,110,110,Current Price
,,,,Dermatology ,FMDER-0042,Electro-Cautery Per/Unit,99999-99-99,Service,,155,155,Current Price
,,,,Dental,FMDNTP0071,Bleaching Teeth,97118-00-00,Service,,273,273,Current Price
,,,,NEPHROLOGY,FMNEP-0032,Perm Cathether For Hemodialysis,13815-01-00,Service,,2472,2472,Current Price
,,,,UROLOGY,FMURO-0113,Re-Eswl From Addmission 1St Month,92199-00-00,Service,,192,192,Current Price
,,,,Physiotherapy,FMPTD-0115,Nebulizer Adaptor For Warm Neb,92043-00-00,Service,,62,62,Current Price
,,,,Physiotherapy,FMPTD-0056,EMG FACE - 2 SIDES,11012-00-00,Service,,692,692,Current Price
,,,,Plastic Surgery,MTPSD-0024,Removal Of Multiple Warty Or Novi,30189-01-10,Service,,591,591,Current Price
,,,,ORTHOPAEDIC WORKSHOP,FMEGD-0004,Cerebral Palsy,95550-03-00,Service,,257,257,Current Price
