Department,ServiceCode,Service Description (Unified),Type,NPHIES Code (Hyphenated )2,LOS,Class B,Class A & VIP,Comment
Consultation,CONS,Consultation,Service,83600-00-00,0,60,160,Current List
LABORATORY,FMLAB-1023,Cbc With Automated Differential,Service,73100-00-80,0,170,170,Current List
Dermatology ,FMDER-0091,I.V. Injection,Service,96199-19-00,0,121,121,Current List
LABORATORY,FMLAB-2023,Creatinine ( Serum ),Service,73050-09-80,0,118,118,Current List
Emergency,FMERDA0062,Glucotest,Service,73050-15-80,0,19,19,Current List
LABORATORY,FMLAB-5023,C Reactive Protein Test (Crp),Service,73100-11-40,0,206,206,Current List
LABORATORY,FMLAB-2077,Urine Analysis,Service,73150-00-60,0,85,85,Current List
LABORATORY,FMLAB-2065,Sgpt (Alt),Service,73050-36-00,0,118,118,Current List
LABORATORY,FMLAB-2046,Glycated Hemoglobin (Hba1C),Service,73050-18-50,0,233,233,Current List
Physiotherapy,FMPTD-0031,TOTAL PT - 3 MODAL. - OP,Service,95550-03-00,0,648,648,Current List
LABORATORY,FMLAB-3023,Tsh (Thyroid Stimulating Hormone),Service,73050-35-50,0,273,273,Current List
Emergency,FMERDA0019,Iv Insertion,Service,90220-00-00,0,67,67,Current List
Emergency,FMERDA0026,Cardiac Monitoring (Per 30 Min),Service,92056-00-00,0,67,67,Current List
LABORATORY,FMLAB-2075,Uric Acid In Serum,Service,73050-37-70,0,109,109,Current List
LABORATORY,FMLAB-2019,"Lipid Profile( Cholesterol, Triglycerides, Ldl, Hdl)",Service,73000-00-60,0,492,492,Current List
LABORATORY,FMLAB-2040,Random Blood Sugar(Rbs),Service,73050-15-60,0,83,83,Current List
LABORATORY,FMLAB-2073,Urea Nitrogen (Bun),Service,73050-37-50,0,109,109,Current List
Physiotherapy,FMPTD-0208,PHYSIOTHERAPY SESSION - MULTIPLE AREA,Service,83620-00-10,0,315,315,Current List
LABORATORY,FMLAB-2012,Blood Gases & Ph,Service,73050-14-50,0,348,348,Current List
LABORATORY,FMLAB-2064,Sgot(Ast),Service,73050-35-90,0,118,118,Current List
LABORATORY,FMLAB-2030,Potassium In Serum,Service,73050-07-70,0,130,130,Current List
LABORATORY,FMLAB-9139,Vitamin D (25-Hydroxy-Cholecalciferol),Service,73050-05-30,0,1180,1180,Current List
Emergency,FMERDA0017,Iv Cannula Insertion,Service,90220-00-00,0,31,31,Current List
LABORATORY,FMLAB-2029,Sodium In Serum,Service,73050-33-10,0,130,130,Current List
LABORATORY,FMLAB-2015,Calcium,Service,73050-05-50,0,118,118,Current List
Physiotherapy,FMPTD-2068,PT MULTIPLE AREAS (3 PROCS),Service,96129-00-00,0,315,315,Current List
LABORATORY,FMLAB-1038,Erythrocyte Sedimentation Rate (Esr ),Service,73100-09-00,0,85,85,Current List
INTERNAL MEDICINE,FMINT-0078,Iv Fluid Insertion,Service,96199-19-00,0,85,85,Current List
Emergency,FMERDA0064,Im Inj/Subcut Inj,Service,96197-19-00,0,7,7,Current List
