Service Code,Service Description,Service Type ID,Fee,Discount,Effective Date,Termination Date,Schedule Name,Unnamed: 8
8128077,I.V. TREATMENT OF LYMPHOMA WITH YITTRIUM 90 ANTI- CD20,OS   ,170187.5,20.0,2020-03-01 00:00:00,,Main Pricelist,
6014018,CORRECTION OF SPINAL DEFORMITY,P1   ,168300.0,15.0,2020-03-01 00:00:00,,IP Package,
4031010,PULMONARY VALVE PERFORATION BY RADIOFREQUENCY,P1   ,127500.0,15.0,2020-03-01 00:00:00,,IP Package,
4031004,VALVE IMPLANTATION / MELODY,P1   ,119000.0,15.0,2020-03-01 00:00:00,,IP Package,
9031172,SIR-SPHERE EMBOLIZATION FOR TUMOR (SIRASPHERE),P1   ,108800.0,15.0,2020-03-01 00:00:00,,IP Package,
9031173,SPHERE EMBOLIZATION FOR TUMOR ( SPHERE),P1   ,108800.0,15.0,2020-03-01 00:00:00,,IP Package,
7011009,CLIPPING OF CEREBRAL ANEURYSM,P1   ,100980.0,15.0,2020-03-01 00:00:00,,IP Package,
7011031,CRANIOTOMY FOR SURGICAL DIPPING OF CEREBRAL ANEURYSM,P1   ,95200.0,15.0,2020-03-01 00:00:00,,IP Package,
7011010,CRAINIOTOMY FOR SURGICAL EXCESSION OF CRANIAL ARTERIO-VENOUS MALFORMATION,P1   ,95200.0,15.0,2020-03-01 00:00:00,,IP Package,
4041053,OBLITERATION OF CEREBRAL ANEURYSMS BY COILS – LARGE ANEURYSMS (> 10 MM),P1   ,88880.0,15.0,2020-03-01 00:00:00,,IP Package,
4011010,CABG WITH DOUBLE MECHANICAL VALVE,P1   ,88850.0,15.0,2020-03-01 00:00:00,,IP Package,
4011003,ATRIAL FIBRILLATION BY CRYOTHERAPY,P1   ,85000.0,15.0,2020-03-01 00:00:00,,IP Package,
7011020,CRANIOTOMY AND EXCISION OF FORAMEN MANGUM TUMOUR,P1   ,85000.0,15.0,2020-03-01 00:00:00,,IP Package,
7011032,DEEP BRAIN STIMULATION EXCLUDING THE IMPLANTS,P1   ,85000.0,15.0,2020-03-01 00:00:00,,IP Package,
7011021,CRANIOTOMY AND EXESION OF DEEP SEALED / SKULL BASE BRAIN TUMOR,P1   ,83640.0,15.0,2020-03-01 00:00:00,,IP Package,
7011017,CRANIOTOMY AND EXCISION OF CLIVAL TUMOUR,P1   ,83600.0,15.0,2020-03-01 00:00:00,,IP Package,
4011048,PERMANENT PACEMAKER BIVENTRICULAR PLUS ICD (CRTD),P1   ,80000.0,15.0,2020-03-01 00:00:00,,IP Package,
9031061,ENDOVASULAR REPAIR OF AORTIC ANEURYSM WITHOUT STENT OR GRAFT,P1   ,79200.0,15.0,2020-03-01 00:00:00,,IP Package,
4041054,OBLITERATION OF CEREBRAL ANEURYSMS BY COILS – MEDIUM ANEURYSMS (5 TO 10 MM),P1   ,77770.0,15.0,2020-03-01 00:00:00,,IP Package,
7012030,"LAMINECTOPLASTY L LAMINECTOMY FOR SPINAL TUMOR DIFUSE (GLIOMA, EPENDYMOMA)",P1   ,76540.0,15.0,2020-03-01 00:00:00,,IP Package,
4011022,DOUBLE VALVE / MECHANICAL,P1   ,76406.5,15.0,2020-03-01 00:00:00,,IP Package,
7011028,CRANIOTOMY EXCISION OF SKULL BASE TUMOUR,P1   ,76406.5,15.0,2020-03-01 00:00:00,,IP Package,
7011052,MICRVASCULAR DECOMPRESSION FOR HEMIFACIAL SPASM,P1   ,76406.5,15.0,2020-03-01 00:00:00,,IP Package,
7011053,MICRVASCULAR DECOMPRESSION OF TRIGEMINAL NERVE,P1   ,76406.5,15.0,2020-03-01 00:00:00,,IP Package,
7012003,ANTEROLATERAL THORACO – LUMBER APPROACH – SINGLE LEVEL WITH FUSION,P1   ,76406.5,15.0,2020-03-01 00:00:00,,IP Package,
7011074,TANS-SPHENOIDAL EXCISION OF SELLAR TUMOUR,P1   ,75750.0,15.0,2020-03-01 00:00:00,,IP Package,
4051035,PROSTHETIC VALVE ENDOCARDITIS – VALVE REPLACEMENT EXCLUDING VALVE,P1   ,75650.0,15.0,2020-03-01 00:00:00,,IP Package,
7011018,CRANIOTOMY AND EXCISION OF C P ANGLE TUMOUR,P1   ,75650.0,15.0,2020-03-01 00:00:00,,IP Package,
4011011,CABG WITH DOUBLE TISSUE VALVE,P1   ,74626.5,15.0,2020-03-01 00:00:00,,IP Package,
4011006,BIVENTRICULAR IMPLANTABLE CARDIAC DEFIBRILLATOR,P1   ,71200.0,15.0,2020-03-01 00:00:00,,IP Package,
9031165,RENAL DENERVATION,P1   ,71200.0,15.0,2020-03-01 00:00:00,,IP Package,
9031166,RENAL DENERVATION ( RADIO FREQUENCY ),P1   ,71200.0,15.0,2020-03-01 00:00:00,,IP Package,
7012002,ANTERIOR THORACIC CORPECTOMY AND STABILIZATION,P1   ,69420.0,15.0,2020-03-01 00:00:00,,IP Package,
7011040,ENDOVASCULAR INTERVENTION FOR CEREBRO-VASCULAR LESION,P1   ,67195.0,15.0,2020-03-01 00:00:00,,IP Package,
4041027,EMBOLIZATION OF CRANIAL AND SPINAL ARTERIOVENOUS MALFORMATIONS BY GLUE AND COILS > 6 NEDAL INJECTI,P1   ,67165.0,15.0,2020-03-01 00:00:00,,IP Package,
4011028,IMPLANTATION OF ICD DOUBLE,P1   ,66750.0,15.0,2020-03-01 00:00:00,,IP Package,
4011023,DOUBLE VALVE / TISSUE,P1   ,66616.5,15.0,2020-03-01 00:00:00,,IP Package,
7011048,FONTO-ORBITAL ADVANCEMENT FOR CRANIOSYNOSTOIS,P1   ,66305.0,15.0,2020-03-01 00:00:00,,IP Package,
7011044,EXCISION OF CEREBRAL ARTERIOVENOUS MALFORMATION,P1   ,66305.0,15.0,2020-03-01 00:00:00,,IP Package,
7011027,CRANIOTOMY EXCISION OF PARASAGITTAL TUMOUR,P1   ,65860.0,15.0,2020-03-01 00:00:00,,IP Package,
7011037,ENDOSCOPIC EXCISION OF INTRA-VENTRICULAR TUMOUR,P1   ,65860.0,15.0,2020-03-01 00:00:00,,IP Package,
4041055,OBLITERATION OF CEREBRAL ANEURYSMS BY COILS – SMALL ANEURYSMS (<5 MM),P1   ,65650.0,15.0,2020-03-01 00:00:00,,IP Package,
7011025,CRANIOTOMY EXCISION OF DEEP CEREBRAL TUMOUR,P1   ,64970.0,15.0,2020-03-01 00:00:00,,IP Package,
9031060,ENDOVASCULAR REPAIR OF AORTIC ANEURYSM W/O STENT GRAFT,P1   ,64080.0,15.0,2020-03-01 00:00:00,,IP Package,
4011007,BIVENTRICULAR PERMANENT PACEMAKER CRT-P,P1   ,62300.0,15.0,2020-03-01 00:00:00,,IP Package,
4011027,IMPLANTABLE CARDIORATOR DEFIBRILLATOR,P1   ,62300.0,15.0,2020-03-01 00:00:00,,IP Package,
4011029,IMPLANTATION OF ICD SINGLE,P1   ,62300.0,15.0,2020-03-01 00:00:00,,IP Package,
4011050,PERMANENT PACEMAKET BIVENTRICULAR,P1   ,62300.0,15.0,2020-03-01 00:00:00,,IP Package,
4031003,LEFT ATRIAL APPENDAGE DEVICE CLOSURE,P1   ,62300.0,15.0,2020-03-01 00:00:00,,IP Package,
4051030,NATIVE VALVE ENDOCARDITIS – VALVE REPLACEMENT  (IMPLANT NOT INCLUDED),P1   ,62300.0,15.0,2020-03-01 00:00:00,,IP Package,
4051049,TAVI/ TRANS-CATHETER  AORTIC VALVE IMPLANTATION ( TRANS APICAL) (IMPLANT NOT INCLUDED),P1   ,62300.0,15.0,2020-03-01 00:00:00,,IP Package,
7012027,KHYPOPLASTY (PER LEVEL) BILATERAL,P1   ,62300.0,15.0,2020-03-01 00:00:00,,IP Package,
7012047,PERCUTANEOUS FIXATION WITHOUT SCREW WITH IMPLANT,P1   ,62300.0,15.0,2020-03-01 00:00:00,,IP Package,
7013022,VAGAL NERVE STIMULATOR ( IMPLANTS NOT INCLUDED ),P1   ,62300.0,15.0,2020-03-01 00:00:00,,IP Package,
4011009,"FEMORO-TIBIAL ARTERY BYPASS, IN-SITU,",P1   ,62166.5,15.0,2020-03-01 00:00:00,,IP Package,
