Department,ServiceCode,Service Description (Unified),Type,NPHIES Code (Hyphenated )2,LOS,Class B,Class A & VIP,Comment
Consultation,CONS,Consultation,consultation,83600-00-00,,100,180,Current Price
Anaesthia ,FMICU-0007,Ecg Portable,service,11708-00-00,,128.7,128.7,Current Price
Anaesthia ,FMANA-0032,Local Anaesthesia Assistant/Hr,service,92514-10-00,,220,220,Current Price
Anaesthia ,FMANA-0031,Mask Ganaesthesia,service,99999-99-99,,733.7000122070312,733.7000122070312,Current Price
Anaesthia ,FMANA-0014,Oxygen (O2) Per Hour,service,92044-00-00,,184.77999877929688,184.77999877929688,Current Price
Anaesthia ,FMANA-0010,Spinal Anesthesia,service,18216-31-00,,600.6,600.6,Current Price
Anaesthia ,FMANA-0062,Use Of Zeus Monitoring,service,92056-00-00,,293.4800109863281,293.4800109863281,Current Price
Cardiology,FMCAR-0020,24 Hours Ambulatory Bp Monitoring,service,11708-00-00,,484,484,Current Price
Cardiology,FMCAR-0006,24 Hours Ecg Monitoring (Holter ),service,11709-00-00,,735.9,735.9,Current Price
Cardiology,FMCARS0009,Ambulatory Bp Monitoring,service,11708-00-00,,8413.9,8413.9,Current Price
Cardiology,FMCAR-9910,Cardiac Monitoring / Day,service,92056-00-00,,397.1,397.1,Current Price
Cardiology,FMCARH-0002,Cardiac Profile,service,92204-00-00,,595.1,595.1,Current Price
Cardiology,FMCAR-3041,Catheterization Right Heart ( Day Case ),PKG,38200-00-00,1 DAY,7260,7260,Current Price
Cardiology,FMCAR-3000,Coronary Bypass (Cabg),PKG,38497-04-00,7 DAYS,38500,38500,Current Price
Cardiology,FMCAR-1000,Day Care Supervision,service,83700-00-00,,222.2,222.2,Current Price
Cardiology,FMCAR-3072,Diagnostic Ep Study,PKG,38209-00-00,1 ICU + 3 WARDS,22100,22100,Current Price
Cardiology,FMCAR-0002,Ecg -Cardiology,service,11708-00-00,,111.1,111.1,Current Price
Cardiology,FMCAR-0003,Ecg With Ergometry,service,11700-00-00,,933.9,933.9,Current Price
Cardiology,FMCAR-0004,Echo Cardiogram (2D + M Mode ),service,55113-00-00,,735.9,735.9,Current Price
Cardiology,FMCARS0022,Echo Follow Up (Within One Week) -Cardiology,service,11700-00-00,,426.8,426.8,Current Price
Cardiology,FMCARS0021,Echo Full Study -Cardiology,service,55118-00-00,,963.6,963.6,Current Price
Cardiology,fmcar-3098,Eecp 35 Sissions,service,99999-99-99,,14424.3,14424.3,Current Price
Cardiology,FMNUM-0145,EEG MONITORING - PACKAGE DEAL  12 HOURS (9:00PM - 9:00AM),service,92011-00-00,,2918.3,2918.3,Current Price
Cardiology,FMCAT-0006,Intra-Aortic Balloon Pump Use,service,38609-00-00,,724.9,724.9,Current Price
Cardiology,FMCAR-0018,Portable Echo Screening,service,11700-00-00,,304.7,304.7,Current Price
Cardiology,FMCAR-3085,Prosthetic Valve Endocarditis – Valve Replacement Excluding Valve,PKG,38553-03-00,1 ICU + 1 WARD,42350,42350,Current Price
Cardiology,FMCAR-3046,Ptca (Percutaneous Transluminal Coronary Agioplasty) – Sv + Stent ,PKG,38306-00-00,1 ICU + 1 WARD,30250,30250,Current Price
Cardiology,FMCARS0016,Ptca (Percutaneous Transluminal Coronary Angioplasty),PKG,38300-00-00,1 ICU + 1 WARD,18150,18150,Current Price
Cardiology,FMCAR-3045,Ptca (Percutaneous Transluminal Coronary Angioplasty) – Dv ,PKG,38303-00-00,1 ICU + 1 WARD,26620,26620,Current Price
Cardiology,FMCAR-3049,Ptca (Percutaneous Transluminal Coronary Angioplasty) – Dv + Stent ,PKG,38318-00-00,1 ICU + 3 WARDS,42350,42350,Current Price
Cardiology,FMCAR-3058,Ptca (Percutaneous Transluminal Coronary Angioplasty) – Tv + 4 Stents ,PKG,38300-00-00,1 ICU + 3 WARDS,84700,84700,Current Price
Cardiology,CAR-0015,THORACOSCOPY THERAPEUTIC,PKG,38436-00-00,Day Case,2420,2420,Current Price
Cardiology,FMCAR-0007,Treadmill Exercise Stress Ecg,service,11712-00-00,,743,743,Current Price
Cardiology,FMCAR-0010,Venous Duplex,service,90908-00-00,,269.5,269.5,Current Price
Cardiothoracic Surgery,FMCTS-0010,Decortication,service,38421-01-00,,8413.9,8413.9,Current Price
Cardiothoracic Surgery,FMCTS-0009,Excision Of Chest Wall Tumour,service,31350-00-01,,12020.8,12020.8,Current Price
Dental,FMDNL-0045,Acr.Partial Denture .8 Teeths & 1/2 Den,service,97765-00-00,,193.6,193.6,Current Price
Dental,FMDNTP0030,Acrylic Denture Upper/Lower Ii,service,97721-00-00,,2918.3,2918.3,Current Price
Dental,FMDNTP0031,Acrylic Denture Upper/Lower Iii,service,97721-00-00,,4383.5,4383.5,Current Price
Dental,FMDNL-0043,Acrylic Partial Denture 1 Unit,service,97721-00-00,,70.4,70.4,Current Price
Dental,FMDNL-0031,Acrylic Partial Denture 2 Teeths,service,97765-00-00,,128.7,128.7,Current Price
Dental,FMDNTS0236,Add`L Fee For Comp.Proc./ 3Hrs,service,83610-00-50,,700.7,700.7,Current Price
Dental,FMDNTS0002,Additional Fee For Complicated Operation - La,service,83700-00-00,,887.7,887.7,Current Price
Dental,FMDNTP0021,Additional Post,service,97625-20-00,,443.3,443.3,Current Price
Dental,FMDNL-0044,Additional Tooth,service,97765-00-00,,35.2,35.2,Current Price
Dental,FMDNL-0008,Additional Tooth Each Porcelain,service,97765-00-00,,47.3,47.3,Current Price
Dental,FMDNL-0006,Additional Tooth Each(Acrylic),service,97765-00-00,,18.7,18.7,Current Price
Dental,FMDNTX0006,Additional X-Ray,service,97022-00-10,,52.8,52.8,Current Price
Dental,FMDNTS0044,Alveoloplasty One Jaw,service,97331-00-10,,4383.5,4383.5,Current Price
Dental,FMDNTF0004,Amalgam Core,service,97625-10-00,,443.3,443.3,Current Price
Dental,FMDNTF0003,Amalgam Filling > 2 Surfaces,service,97521-01-00,,374,374,Current Price
Dental,FMDNTF0001,Amalgam Filling One Surface,service,97521-01-00,,228.8,228.8,Current Price
Dental,FMDNTF0002,Amalgam Filling Two Surfaces,service,97521-01-00,,298.1,298.1,Current Price
Dental,FMDNL-0026,Andersen Activator,service,97575-00-00,,257.4,257.4,Current Price
Dental,FMDNTS0076,Biopsy Of Soft Tissue - Medium,service,50200-00-01,,671,671,Current Price
Dental,FMDNTX0002,Bitewing X-Ray,service,97022-00-10,,77,77,Current Price
Dental,FMDNTP0023,Cementation Of Crown,service,97651-00-00,,77,77,Current Price
Dental,FMDNL-0020,Ceramic Fused Non-Precious Metal Cast,service,90595-00-00,,257.4,257.4,Current Price
Dental,FMDNTF0015,Child. Ketac Filling 1 Surface,service,97572-01-00,,228.8,228.8,Current Price
Dental,FMDNTF0016,Child. Ketac Filling 2 Surface,service,97572-01-00,,298.1,298.1,Current Price
Dental,FMDNTF0010,Children Tooth Filling One Surface,service,97521-01-00,,152.9,152.9,Current Price
Dental,FMDNTF0011,Children Tooth Filling Two Surfaces,service,97521-02-00,,228.8,228.8,Current Price
Dental,FMDNL-0038,Chrome Cobalt Five Teeth,service,97727-00-00,,635.8,635.8,Current Price
Dental,FMDNL-0037,Chrome Cobalt Pist Four Teeth,service,97727-00-00,,508.2,508.2,Current Price
Dental,FMDNL-0036,Chrome Cobalt Pist Three Teeth,service,97727-00-00,,380.6,380.6,Current Price
Dental,FMDNL-0035,Chrome Cobalt Pist Two Teeth,service,97727-00-00,,321.2,321.2,Current Price
Dental,FMDNTO0029,Clicking Tmj[Fjo],service,50115-00-00,,4166.8,4166.8,Current Price
Dental,FMDNT-1014,Complete chemo-mechanical preparation of root canal   one canal,service,97415-00-00,,443.3,443.3,Current Price
Dental,FMDNTP0036,Complete Denture Vitalium Type I,service,97711-00-00,,8752.7,8752.7,Current Price
Dental,FMDNTP0038,Complete Denture Vitalium Type Iii,service,97711-00-00,,14582.7,14582.7,Current Price
Dental,FMDNTP0037,Completel Denture Vitalium Type Ii,service,97711-00-00,,11669.9,11669.9,Current Price
Dental,FMDNTF0008,Composite Core,service,97625-10-00,,589.6,589.6,Current Price
Dental,FMDNTF0006,Composite Filling - Simple,service,97521-01-00,,298.1,298.1,Current Price
Dental,FMDNTF0007,Composite Filling Compound,service,97511-01-00,,443.3,443.3,Current Price
Dental,FMDNTS0123,Dressing Of Wound (Medium),service,30055-00-20,,298.1,298.1,Current Price
Dental,FMDNTS0122,Dressing Of Wound (Small),service,30055-00-00,,152.9,152.9,Current Price
Dental,FMDNL-0058,Ear Mold,service,41557-02-02,,128.7,128.7,Current Price
Dental,FMDNL-0059,Ear Plug,service,41647-01-00,,158.4,158.4,Current Price
Dental,FMDNTS0029,Enucleation Of Large Cyst,service,97379-00-00,,2918.3,2918.3,Current Price
Dental,FMDNTS0129,Excision Of Tongue (Partial),service,30272-00-00,,2918.3,2918.3,Current Price
Dental,FMDNTS0079,EXCISIONAL BIOPSY (MEDIUM),service,50200-00-01,,1331,1331,Current Price
Dental,FMDNTP0044,Extra Vitalium Teeth,service,97989-00-10,,298.1,298.1,Current Price
Dental,FMDNTP0087,Fiber Optic Post,service,97625-20-00,,363,363,Current Price
Dental,FMDNTS0310-O,Fibre Core Post,service,97625-10-00,,363,363,Current Price
Dental,FMDNTF0012,Flouride Treatment (Children) Per Visit,service,97281-00-00,,228.8,228.8,Current Price
Dental,FMDNL-0042,Full Denture (Upper & Lower),service,97711-00-00,,508.2,508.2,Current Price
Dental,FMDNTP0026,Full Denture Acrylic Type I,service,97711-00-00,,3319.8,3319.8,Current Price
Dental,FMDNTP0027,Full Denture Acrylic Type Ii,service,97711-00-00,,5111.7,5111.7,Current Price
Dental,FMDNTP0028,Full Denture Acrylic Type Iii,service,97711-00-00,,7300.7,7300.7,Current Price
Dental,FMDNL-0015,Full Denture Chrome Cobalt,service,97727-00-00,,635.8,635.8,Current Price
Dental,FMDNL-0003,Full Denture(Upper & Lower),service,97711-00-00,,508.2,508.2,Current Price
Dental,FMDNL-0010,"Full Denture, Upper Or Lower",service,97711-00-00,,193.6,193.6,Current Price
Dental,FMDNTO0002,Grade I Maloccl. 1St Depotsit,service,97343-00-00,,5556.1,5556.1,Current Price
Dental,FMDNTO0005,Grade Ii Malocclussion Total Rem. Stage I,service,97963-00-00,,13887.5,13887.5,Current Price
Dental,FMDNTO0009,Grade Iii Malocclussion Total,service,97968-00-00,,14424.3,14424.3,Current Price
Dental,FMDNTO0013,Grade Iv Malocclussion Total,service,97968-00-00,,16828.9,16828.9,Current Price
Dental,FMDNTO0017,Grade V Malocclussion Total,service,97963-00-00,,22214.5,22214.5,Current Price
Dental,FMDNTO0021,Grade Vi Malocclussion Total,service,97961-00-00,,21635.9,21635.9,Current Price
Dental,FMDNTO0025,Grade Vii Malocclussion Total,service,97343-00-00,,27769.5,27769.5,Current Price
Dental,FMDNTS0183,Grafting Hard Tissue (Large),service,97234-00-00,,7300.7,7300.7,Current Price
Dental,FMDNTS0182,Grafting Hard Tissue (Medium),service,97234-00-00,,5841,5841,Current Price
Dental,FMDNTS0181,Grafting Hard Tissue (Small),service,97234-00-00,,4383.5,4383.5,Current Price
Dental,FMDNTS0180,Grafting Soft Tissue (Large),service,97271-02-00,,5841,5841,Current Price
Dental,FMDNTS0179,Grafting Soft Tissue (Medium),service,97271-02-00,,4383.5,4383.5,Current Price
