Service Code,Service Description,type,Fee,1/1/2026 FEE,Discount,Effective Date,Termination Date,Schedule Name,NPHIES Code
NEU-0004,VENTICULO-ATRIAL SHUNT,P1   ,16573.72,16739.0,0.0,2022-01-01 00:00:00, ,IP Package,40003-00-00
MS-C-001711,CRTD ITREVIA 5 HF-T-QP PRO MRI BIOTRONIK # 402657,CM,104000,104000.0,15.0,2022-01-01 00:00:00, ,Consumables, 
MTORT-0005,OPER. CARPAL TUNNEL SYNDROME NS00355301,OS   ,2027.19,2027.19,15.0,2022-01-01 00:00:00, ,Main Pricelist,39331-01-01
ORT-0039,DIGITAL NERVE REPAIR,P1   ,15444.57,16827.0,0.0,2022-01-01 00:00:00, ,IP Package,39300-00-00
SUR-0062,PARTIAL OR SUB-TOTAL THYROIDECTOMY WITHOUT HISTOPATH,P1   ,11152.28,11878.0,0.0,2022-01-01 00:00:00, ,IP Package,30296-01-00
NEU-0012,Biopsy- Pineal Gland,P1   ,20157.1,20359.0,0.0,2022-01-01 00:00:00, ,IP Package,30075-08-00
OPT-0002,PTERYGIUM REMOVAL,P1   ,1934.82,1954.0,0.0,2022-01-01 00:00:00, ,IP Package,42686-00-01
OPT-0044,INTRA-CORNEAL RING IMPLANTATION ONE EYE,P1   ,4973.42,5023.0,0.0,2022-01-01 00:00:00, ,IP Package,90120-00-01
FMOPTE0013,CORNEAL DERMOID EXCISION AN00368236,OS   ,3179.26,3179.26,15.0,2022-01-01 00:00:00, ,Main Pricelist,90067-00-01
FMOPTA0006,GONIOSCOPY AN00368020,OS   ,FMORT-0541,81.83,15.0,2022-01-01 00:00:00, ,Main Pricelist,42503-00-01
MTNEU-0008,EPIDURAL INFILTRATION NE00378011,OS   ,775.26,775.26,15.0,2022-01-01 00:00:00, ,Main Pricelist,90018-00-00
FMORT-0700,CERVICAL POSTERIOR FUSION OT00385280,OS   ,5450.63,5832.0,15.0,2022-01-01 00:00:00, ,Main Pricelist,40331-00-00
NEU-0041,LUMBAR DISC NUCLEOPLASTY,P1   ,14364.03,14508.0,0.0,2022-01-01 00:00:00, ,IP Package,90024-00-00
ORT-0063,LUMBAR ONE DISC ONE LEVEL,P1   ,16618.78,20786.0,0.0,2022-01-01 00:00:00, ,IP Package,90024-00-00
NEU-0037,CERVICAL DISCECTOMY 2 LEVEL (ADD 7000 SR IF WITH FIXATION),P1   ,27742.63,29694.0,0.0,2022-01-01 00:00:00, ,IP Package,40333-01-00
FMORT-0659,REMOVAL OF TUMOR OF THE SPINE OT00385222,OS   ,5450.63,5450.63,15.0,2022-01-01 00:00:00, ,Main Pricelist,40309-00-00
FMPSDC0009,EAR PIERCING NS00511004,OS   ,119.04,119.04,15.0,2022-01-01 00:00:00, ,Main Pricelist,90111-00-10
FMENTE3001,EAR WASH + MICROSUCTION ET00352001,OS   ,65.13,65.13,15.0,2022-01-01 00:00:00, ,Main Pricelist,41647-00-00
MTENT-0045,REMOVAL OF GROMMET TUBE ET00352209,OS   ,130.25,130.25,15.0,2022-01-01 00:00:00, ,Main Pricelist,41644-00-01
FMENTE4016,TYMPANOPLASTY . OT00352241,OS   ,4009.66,4009.66,15.0,2022-01-01 00:00:00, ,Main Pricelist,41530-00-01
FMENTE4010,SIMPLE MASTOIDECTOMY OT00352230,OS   ,2839.81,2839.81,15.0,2022-01-01 00:00:00, ,Main Pricelist,41545-00-01
FMENTE6028,REVIS.A MAP - COCHLEAR IMPLANT,OS   ,318.27,318.27,15.0,2022-01-01 00:00:00, ,Additional Pricelist,41617-01-01
FMERDA0031,POST NASAL PACKING ET00352217,OS   ,336.2,336.2,15.0,2022-01-01 00:00:00, ,Main Pricelist,41656-00-00
FMENTN2007,ANTERIOR NASAL PACK ET00352004,OS   ,130.25,130.25,15.0,2022-01-01 00:00:00, ,Main Pricelist,41677-00-00
MTENT-0061,CONTROL OF EPISTAXSIS BY ANT. PACKING (L.A.),OS   ,1320.6,1320.6,15.0,2022-01-01 00:00:00, ,Additional Pricelist,41677-00-00
ENT-0024,Foreign Body Oesophagus,P1   ,2387.03,2507.0,0.0,2022-01-01 00:00:00, ,IP Package,41689-02-00
FMENTS0019,BONY TUMPURS OF NASAL SINUSES-,OS   ,5304.5,5304.5,15.0,2022-01-01 00:00:00, ,Additional Pricelist,41716-03-00
FMENTS0015,TRANSNASAL ETHMOIDECTOMY,OS   ,2546.16,2546.16,15.0,2022-01-01 00:00:00, ,Additional Pricelist,41737-02-00
FMENTS0013,ORO-ANTRAL FISTULA OT00352238,OS   ,4508.56,4508.56,15.0,2022-01-01 00:00:00, ,Main Pricelist,41722-00-00
ENT-0032,Oro-Antral Fistula,P1   ,6365.4,6429.0,0.0,2022-01-01 00:00:00, ,IP Package,41722-00-00
ENT-0043,External Ethmoid Operation,P1   ,7956.75,8036.0,0.0,2022-01-01 00:00:00, ,IP Package,41749-00-00
SUR-0090,PAROTIDECTOMY,P1   ,11601.38,12186.0,0.0,2022-01-01 00:00:00, ,IP Package,30247-00-00
