MS-S-005215,SOLUTION EX-TEM S F/THROBOELASTOMETER TEM INNOVATION # 503-13-20
MS-P-001439,PACEMAKER DUAL CHAMBER W/LEAD & FLEXTEND INGENIO MRI BOSTON #J176DR
MS-P-000947,"PACEMAKER ICD SINGLE CHAMBER W/ARTIRIAL DIAGNOSTICS,BIOTRONIK #368852"
SMB1005,BLADE SURG. #15 CARBON STL.STER. DISP. MARTIN #10-155-15
SML2060,SET QUICK INFUSION F/INSULIN PUMP
SME1262,BLANKET WARM FULL BODY ADULT MALLINCKRODT #503-0810
MS-O-000122,ORTHO PACK  DISPOSABLE KIMBARLY CLARK # 88438-23
SMO9850,ANCHOR SUPER REVO LINVATEC #C6141
SML328,CATHETER SUCTION 6CH GREEN TIP W/CONTROL
SMJ1891,SHEAR COAGULATION 5MM F/ULTRACIS.ETHICON #LCSC5
SMH1579,ENDO RETRACTOR 10MM AUTOSUTURE #176613
SME1195,GOWN SURGEON XXL BARRIER J&J #580/2652.
SMI9107,"BONNET DISP,F/BABY FLOW,MEDIUM DRAGER#8418535"
SML505,"EXTENSION SET 32"" W/2 PORT/ABBOTT #4522-48/4612/MG-V5404"
MS-S-005143,SHEAR FOCUS 9CM HARMONIC ETHICON# HAR9F
MS-M-000623,MESH VENTRAL HERNIA REPAIR SYMOTEX OPEN SKIRT 30CMX20CM. COVIDIEN #SYM3020OS
MS-R-000688,ROD 5.5X90MM CDH PREBENT. MEDTRONIC # 8690090
SME1264,DRESSING IV. CANNULA FIX.PORTED S&N#4006/3M#1623W/900 805 4
SMT1013,CANNULA IV VENFLON G20
SML50,"NEEDLE HYPO 18GX1.5"" STERILE BD #5196/304622"
SMH2777,SUTURE MONOCRYL 4-0 26MM ETHICON #W3212
SMO10515,SCREW F/BONE LOCKING 3.8X28MM SANATMETAL #SAN-932138028
MS-S-005519,SUTURE LASSO SD WIRE LOOP ARTHREX #AR-4068-05SD
MS-S-005796,SUTURE TIGER LOOP # 2 WHITE/GREEN W/STRAIGHT NEEDLE ARTHREX #AR-7234T
MS-C-001139,CHAIR COMMODE S/S WITH ADJUSTABLE LEGREST AND CASTERS MAXHEALTH #HE-2081000P
MS-T-000825,TUBING CONNECTING NIPPLE GREEN F/ OXYGEN FLOW METER OHIO #FM-SWIVEL-G
MS-S-004653,SUTURE MENISCAL CINCH DEVICE ARTHREX #AR-4500
MS-C-000640,CLIP MEDIUM PREMIUM TITANIUM  AUTOSUTURE #134031/MCM20
SMY1752,EARRING F/BABY GIRL W/FIFFERENT DESIGN CAFLON UK
MS-N-000996,NEEDLE PASSER SPECTRUM AUTOPASS CONMED # SMI-02N
MS-H-000337,HOOK LAMINAR 4.5MM MEDTRONIC # 7756073
MS-H-000099,HINGE HALF FEMALE 1 HOLE TIPMED #041801
SMY1470,"COTTON APPLICATOR 6"" STERILE"
SMA2027,BUDS COTTON J&J.
MS-S-004874,SCREW REDUCTION POLYAXIAL (NS3) SIZE 6.5x40MM IRINE #T04876540
MS-S-001738,SCREW CORTICAL S/STEEL SIZE 4.5X60 IRENE#S50004560
MS-H-000502,HEAD FEMORAL METAL 36MM X-2 /12/14TAPER JOH. & JOH. # 1365-50-000
SMI1161,CATHETER SUCTION/VACUTIP 10CHX53CM MAERSK #28182
MS-B-002074,BREAST IMPLANT GEL 320CC SMOOTH ROUND COHESIVE UTP MENTOR#350-5320BC
MS-O-000216,OXYGENATOR PORTABLE F/ PULMONARY HEPERTENSION QUINDAO KINGON#KINGON P2
MS-I-000161,INFULSION I.V SET VENTED WITH REGULATOR F/ PHOTOSENSITIVE DRUGS ANGIPLAST #
SML2034,SET INFUSION W/REGULATOR MEINNTECH #EZ
MS-S-005100,"STONE EXTRACTOR DORMIA 4WIRES,1.5FR 120CM  COLOPLAST # EXN934"
SMO12233,WIRE KIRSCHNER 0.8X120/150MM IRINE# E06018
P15AEROC2+,AEROCHAMBER DEV. W/MASK-CHILD
MM00331SFDAA0007,ACCU-CHEK PERFORMA GLUCOSE TEST STRIP X 50.
MM00331SFDAA0005,ACCU-CHEK PERFORMA KIT X 1.
SMI8809,"G.WIRE NITINOL 0.035"",150CM LENG.TIP 5CM OPTIMED #1125-0130"
SMA1101,DRESSING SURGICAL 9X20CM MOLNLYCKE#30513/671100
MS-S-005484,SUCTION FLOOR PUDDLEVAC CONMED LINVATEC # 9321
P15CONTO2+,CONTOUR TEST METER X 1
SMF1061,DISINFECTANT ALCHOLIC SKINDESS ISOPROPYL SPRAY
SMI1593,EPIDURAL KIT G16 B.BRAUN #451430/0
SMI1658,CATHETER EMBOLECTOMY CH3/80CM RUSCH#337000/ISOMED#300380
SMI1225,CATHETER EMBOLECTOMY CH6/80CM RUS#337000/BAX#120806F/300680
P15ONE-T1+,ONE TOUCH II GLUCOMETER
SMA1013,DIAPER MEDIUM EXTRA ABSORB 5-9KG DAMAD #876152/7
MS-M-000246,MASK N95 NIOSH HEALTH CARE & SURGICAL PARTICULATE RESPIRATOR SIZE SMALL 3M#
SML1689,CANNULA NASAL OXYGEN NEONATES SALTERLAB #1610
SMI8710,"HIGH FLEX PRESURE LINE 48"" BOSTON #91051482"
SMI1523,CANNULA ARTERIAL 20G VIGGO #4440-4/BD #682245
MS-C-001160,CATHETER URETERAL 6FR X 70CM OPEN TIP GEOTEK #GUC670-OE
MS-B-001639,BAG MULTIBIC SOLUTION FRESENIUS # N/A
MS-G-000737,GRAFT VASCULAR FILIXIENE GRADUATED WALL PTFF WITH DOUBLE SILDER GDS 4-7MMX45CM. MAQUET # 25138
SMA640,SWAB GAUZE XRAY DETECTABLE 10X10CM 12PLY STERILE
MS-S-009379,"STENT TIGRIS,DIFFERENT SIZES#GORE MEDICAL USA#PHBXXXX2 GORE # PHBXXXX2"
SMA2037,DRESSING TEGADERM TRANSPARENT 10CMX12CM 3M #1626W
SMO3004,SCREW CORTEX 1.5x12MM SYNTHES #400.82/400.712
SMO11534,PLATE 3.5MM LCP PROXIMAL HUMERUS 3X96 IRINE #A70490309
MS-M-000324,MESH PLATE 100X100MM 0.4MM MALLEABLE MATRIXNEURO SYNTHES# 04.503.083
MS-B-000467,BLADE SHAVER AGGRESSIVE BURR 4.2MM MEDIUM GRAY KARL STORZ #28205HCS
MS-H-000329,HEAD POSITIONER  UNIVERSAL ARTHREX # AR-1627-06
MS-P-003611,PLATE LOCKING 6 HOLES CLAVICLE HOOK 3.5MMX18MMX99MM L . IRENE # A93371806
SMO2756,PLATE BONE 85°X3 HOLES AESCULAP #KP301/40002068500 (FORK PLATE)
P15ACCU14+,ACCU-CHEK PEN X 1
MS-N-001941,"NEUROSTIMULATOR, EXTERNAL, WIRELESS, FOR INTELLIS, LD22, (MEDTRONIC) # 97725"
SMA1237,UNDERPAD BLUE 60X80CM DISP.
MS-C-003413,CANNULA THREADED NO-SQUIRT CAP 8.25MM X 9CM LONG. ARTHREX # AR-6575-09
SMO10254,SCREW F/BONE LOCK.6.5X70/20MM SANATMETAL #SAN-224065070
SMI7861,SLING SYSTEM CURVED OBTRYX TRANSOBTURATOR BOSTON #850-400
SML1517,ADAPTOR MALE LUER LOCK MEDINORM #15-00-310/4074-1
SME1362,PACK BASIC SURGICAL 3M  # 9000
SMH2851,MESH ULTRA PRO 10X15CM ETHICON #UMN3
MS-S-009643,SCREW REDUCTION POLYAXIAL 7.5X45MM SOFAMOR-DANEK. MEDTRONIC # 75497545
SMO11861,SCREW PEDICLE POLYAXIAL REDUCTION 5X35MM IRINE# T04775035
SMO11851,SCREW PEDICLE MONOAXIAL REDUCTION 6X45MM IRINE# T04756045
MS-B-000899,BOWL KIDNEY PLASTIC 500CC SINGLE USE
MS-S-010559,STENT GRAFT AORTIC COVERED SIZE 12MM TO 24MM X L120CM VASCULAR BENTLY #BGP2
SMO11003,IMPLANT DEVICE COCHLEAR WIDEX HIRES 90K.
MS-S-008324,SCREW CANNULATED CANCELLOUS 4.5X40MM PARTIALLY THREADED IRENE # S56034540
MS-S-009668,SCREW CORTICAL SELF-TAPPING 2.0X12MM IRENE #T500020012 IRENE # T500020012
SMO11679,SCREW LOCKING 3.5X18MM IRINE# T50093518
MS-S-009642,SCREW 7.5X50MM MAS TITANIUM CDH LEGACY SOFAMOR-DANEK. MEDTRONIC # 75447550
MS-S-008755,SCREW CORTICAL 2.7X20MM SELF TAPPING. IRENE # T50027720
MS-S-008286,SCREW 1.5X10 CORTICAL OSTEONIC#A5.15100
SMO11680,SCREW LOCKING 3.5X20MM IRINE# T50093520
MS-S-001977,SCREW 1.5x4MM SELF DRILLING SYNTHES #04.503.224.01C
MS-S-005483,"SCREW CANNULATED HEADLESS 3.0X26MM TITANIUM , OSTEONIC #D2E.30260"
MS-S-001144,SCREW 9.0MM X 25MM MATRYX INTERFERENCE LINVATEC #239025T5
MS-F-000565,FILTRATE BAG 10 LTRS FRESENIUS # N/A
SMO11998,SCREW CORTICAL TITANIUM 3.5X24MM IRINE# T50003524
SMO9560,TOTAL PLUS PAK W/ACCURUS PRDB #8065740252
MS-B-001618,BURR SHEAT 4.0MM HOODLES ARTHREX # AR-8400HSO
MS-N-001239,NAIL ELASTIC 3.5X300MM TITANIUM TIPMED # 123323
MS-G-000364,GLOVES SURGICAL HEAVY DUTY FOR INFECTED PATIENT SIZE 7
MS-S-005554,STENT MAGMARIS ABSORBABLE DRUG ELUTING MAGNESIUM BIOTRONIK # 412526
MS-S-005219,SOLUTION ROTROL N F/THROBOELASTOMETER TEM INNOVATION # 503-24
MS-P-002602,PUSH LOCK 4.5x28MM ARTHREX #AR-1922PSM
SMB1002,BLADE SURG. #20 CARBON STL.STER. DISP. MARTIN #10-155-20
MS-S-005830,STAPLE SPIKED LIGAMENT SIZE 8MMX20MM. ARTHREX # AR-1008
SME1320,GLOVES ORTHOPEDIC SIZE 8 PROFEEL (WRP) #P3380-35
