Service Code;Service Description;Service Type;SBS;"Gross Price Applicable Effective
01. Jan.2026 to 31. Dec.2026 (SR )";"Gross Price Applicable Effective 01.
Jan.2027 to 31. Dec.2027 (SR )";"Gross Price Applicable Effective 01. Jan.2028 (SR )
Onward";Service Discount
AN024;TAREK EL SAYED OMAR ZEDAN;CO;83600-00-10;175;185;190;0
AN07;THORYA MOHAMMED SALEM ELSAYED ABDRABOU;CO;83600-00-20;175;185;190;0
AN08;MAHMOUD ABDELAZIZ MAHMOUD ABDELHAKIM LABANA;CO;83600-00-20;175;185;190;0
AN10;MOHAMED SAYED AHMED SALEH;CO;83600-00-20;175;185;190;0
ANA01;MOHAMMAD ABDELNABY SALEM ATLAM;CO;83600-00-20;175;185;190;0
ANA02;AHMED MOHAMMED YAHIA;CO;83600-00-20;175;185;190;0
ANA03;SHOROOG MOHAMMED BUGIS;CO;83600-00-20;175;185;190;0
ANA04;ASMAA ABDELRASOUL SAADALLA;CO;83600-00-20;175;185;190;0
CAR01;SHERIF MOSTAFA AHMED HAAFIZ;CO;83600-00-20;175;185;190;0
CAR02;MOHAMED ADEL YOUSEF;CO;83600-00-20;175;185;190;0
CAR03;AYMAN SAAD ELFEKY;CO;83600-00-20;175;185;190;0
CAR04;HASHEM ABDELHAMID ELAMRI;CO;83600-00-20;175;185;190;0
CAR05;KHALEO USAIIIASALEH HASSAN EL DESOKY;CO;83600-00-10;175;185;190;0
CAR08;TAREK AHMED NOSSEIR;CO;83600-00-10;175;185;190;0
CAR09;ABDULLAH ESAM GHABASHI;CO;83600-00-20;175;185;190;0
CAR11;HAITHAM AHMAD ALZAHRANI;CO;83600-00-20;175;185;190;0
CAR20;AHMED BAKR HASSAN;CO;83600-00-20;175;185;190;0
CC35;MOHAMED MOHAMMED YOSSIF KHALED;CO;83600-00-20;175;185;190;0
CD01;MOHAMAD ALSHAHAT OMAR;CO;83600-00-20;175;185;190;0
CDBQ;MOHAMMAD ALRAJHI;CO;83600-00-20;175;185;190;0
CONS;OPD CONSULTATION;CO;83600-00-10;175;185;190;0
CT006;ASHRAF FAWAZY GABER;CO;83600-00-10;175;185;190;0
CTS1;OUSMANE – TOURE;CO;83600-00-20;175;185;190;0
DER01;ROWIDA ABDELSHAKOR ABDELRAHMAN ABDALLA;CO;83600-00-20;175;185;190;0
DER02;SALMA SAMIR AZIZELDEEN;CO;83600-00-20;175;185;190;0
DER03;AHMED MOHAMMED ALMEHDHAR;CO;83600-00-20;175;185;190;0
DER10;FAWAZ HAMDI ALJEHANI;CO;83600-00-20;175;185;190;0
DER11;HANADI ABDULLAH FARRASH;CO;83600-00-10;175;185;190;0
DNT01;AMIRA HUSSEIN AMIN ZEITOUN;CO;97014-00-00;175;185;190;0
DNT03;HETAF ABDULLAH SALIH;CO;97014-00-00;175;185;190;0
DNT04;MURTADA MOHAMED FARAJALLA;CO;97014-00-00;175;185;190;0
DNT05;MOHAMED A ALLAHYANI;CO;97014-00-00;175;185;190;0
DNT06;GHAIDA MOHAMMED A KHAN;CO;97014-00-00;175;185;190;0
DNT07;SAHAR MALIAN A ABDULMAJEED;CO;83600-00-10;175;185;190;0
DNT08;WAFA AHMED SALEM ALQADIRI;CO;83600-00-20;175;185;190;0
DNT10;FARAH HASSAN A SHURAYJI;CO;97014-00-00;175;185;190;0
DNT11;HAITHAM FAYEZ TAYEB;CO;97014-00-00;175;185;190;0
DNT15;ZUHOR ABDEULRAHMAN BUKHARI;CO;83600-00-10;175;185;190;0
DNT16;ALAA KAMIL H REDWAN;CO;83600-00-10;175;185;190;0
DNT4;BASEEM ABDULMOHSEN SEMBAWA;CO;97014-00-00;175;185;190;0
EEG01;EEG MACHINE;CO;83600-00-20;175;185;190;0
EMR88;AHMED FARAG AMER;CO;83600-00-20;175;185;190;0
ENT09;NAIF AHMAD ALFATTANI;CO;83600-00-20;175;185;190;0
ENT10;AYMAN HAMEED MUSLIH ALI;CO;83600-00-20;175;185;190;0
ENT11;KHALID MAHMOUD BADR;CO;83600-00-20;175;185;190;0
ENT12;MOSTAFA ABDELMONEIM MOHAMED ELTAHER MOHAMMED;CO;83600-00-20;175;185;190;0
ENT13;DEEMAH HOSNI O BUKHARI;CO;83600-00-20;175;185;190;0
ENT14;RACHID - LOUNICI;CO;83600-00-10;175;185;190;0
ENT16;WALID RAJAB ABUSERRE IBRAHIM;CO;83600-00-20;175;185;190;0
ENT17;ABDULAZIZ DAHIHSHALHARTI;CO;83600-00-10;175;185;190;0
ENT18;ZAINAB ABDEL RAHMAN ABU SABBA;CO;83600-00-10;175;185;190;0
ENT20;SAMAHER SAAD ALSHARIF;CO;83600-00-20;175;185;190;0
ER00;EMERGENCY EMERGENCY EMERGENCY;CO;83600-00-20;175;185;190;0
ER001;MAHMOUD MOHAMED REDA ELMETWALY ALSAYED;CO;83600-00-20;175;185;190;0
ER002;OSAMA FATHY IBRAHIM;CO;83600-00-20;175;185;190;0
ER003;YOUSEF AHMAD ALMALKI;CO;83600-00-20;175;185;190;0
ER004;MOHAMED ABDEL HAMID MOHAMMED ABDEL HAMID HAMID;CO;83600-00-20;175;185;190;0
ER005;MAHA HANY ELMENSHAWY;CO;83600-00-20;175;185;190;0
ER006;MUHAMMAD ELSAYED ABDELAZEEM MUHAMMAD ELGAMMAL;CO;83600-00-10;175;185;190;0
ER007;HAZEM SULIMAN M MUNSHI;CO;83600-00-10;175;185;190;0
ER010;HANADI SULAIMAN AHMED MUBARK;CO;83600-00-10;175;185;190;0
ER011;RWAYHAH OTHMAN GARDYA;CO;83600-00-10;175;185;190;0
ER022;ABDULLAH GHAZI SHALABI;CO;83600-00-10;175;185;190;0
ER055;KHALED MAHMOUD RASHWAN;CO;83600-00-20;175;185;190;0
ER14;ABDULLAH -- HUSEIN;CO;83600-00-20;175;185;190;0
ER200;MOHAMMED TALAAT;CO;83600-00-20;175;185;190;0
ER99;DOCTOR TEST TEST;CO;83600-00-20;175;185;190;0
FM006;TAMAM SALEM HUBTUR;CO;83600-00-20;175;185;190;0
FM007;WESSAM NAFIA;CO;83600-00-20;175;185;190;0
FM01;RABAH FAYEZ ELHASHASH;CO;83600-00-20;175;185;190;0
FM02;RAYAN ABDULSHAKUR NIYAZI;CO;83600-00-20;175;185;190;0
FM03;SHIMAA KHIRY ABOUELAZM MOHAMED;CO;83600-00-10;175;185;190;0
FM04;ALAA SAMI S BAKHSH;CO;83600-00-10;175;185;190;0
FMDNT-CONS;Dental Consultation;CO;83600-00-20;175;185;190;0
GS01;YASSER RABAE ABDELAZIZ TAALAB;CO;83600-00-20;175;185;190;0
GS02;SHAKER WAGIH ABDELWAHAB IBRAHIM;CO;83600-00-10;175;185;190;0
HE10;HAJER MUSA ABDALLAH;CO;83600-00-20;175;185;190;0
IC07R;AMR HANAFY HANAFY;CO;83600-00-20;175;185;190;0
ICU01;SAIF ALISLAM FAISAL MUSTAFA SAEED;CO;83600-00-20;175;185;190;0
ICU02;AMR AHMED ABDELSALAM;CO;83600-00-20;175;185;190;0
ICU03;YAHIA ADEL AHMED;CO;83600-00-20;175;185;190;0
ICU04;AHMED FAWZY ELHABASHY;CO;83600-00-20;175;185;190;0
ICU05;ABDELLATIF ABDEHAFEZ ABDALLA;CO;83600-00-20;175;185;190;0
ICU07;IBRAHIM ELSAYED IBRAHIM;CO;83600-00-20;175;185;190;0
ICU10;ABDOU MAHMOUD MOHAMED IBRAHIM;CO;83600-00-20;175;185;190;0
ICU12;WALAA SAMY MOKHTAR AKILA;CO;83600-00-10;175;185;190;0
ICU20;MAHMOUD ABDEL AZIZ MOHAMED;CO;83600-00-20;175;185;190;0
ICU6;ELSAYED SAMY ELSAYED MOHAMED;CO;83600-00-20;175;185;190;0
