Service Code,Service Description,Serv ice Type,Disco unt,Gross price Applicabl eEffective 1/5/2024,Gross price ApplicableEffective 1/1/2025    ,"Gross price Applicabl e
Effective 1/1/2026",Effective Date,Naphies,Notes
FMLABM0301, COVID-19 PCR,OS,0.25,,96.3,96.3,,,
FMPSYB0034,(1) SESSION OF BIOFEEDBACK,OS,0.25,160,168,176.4,,,
FMANA-0004,(Ankle) Nerve Block,OS,0.25,200,210,220.5,,,
FMANA-0027,(LMA) General Anaesthesia,OS,0.25,502.08,527.18,553.54,,,
FMLAB-9001,17 - HYDROXY PROGESTERONE,OS,0.25,555.58,583.36,612.53,,,
FMXRY-0981,18 FDG,OS,0.25,2500,2625,"2,756.2
5",,,
FMNUM-0020,24 HOURS MONITORING,OS,0.25,2142,2249.1,"2,361.5
6",,,
FMXRY-0470,29.5 MCI,OS,0.25,1200,1260,"1,323.0
0",,,
FMCARS0025,48 HRS. HOLTER MONITORING,OS,0.25,800,840,882,,,
FMLAB-9080,5 - HIAA (5-HYDROXY INDOLE ACETIC ACID ),OS,0.25,265,278.25,292.16,,,
FMLAB-1769,7-DEHYDROCHOLESTEROL,OS,0.25,682.29,716.4,752.22,,,
FMXRY-0490,99TC TECTROTYD FOR PATHOLOGICAL LESSION,OS,0.25,7500,7875,"8,268.7
5",,,
FMLAB-9002,A D H-ANTIDIURETIC HORMONE,OS,0.25,764.37,802.59,842.72,,,
FMLAB-2001,A.G. RATIO,OS,0.25,60,63,66.15,,,
IMIM011386,ABDALLAH ALBALSHA,CO,0,100,125,150,,,
CRCA011221,ABDELAZIZ AL ZAIDI,CO,0,100,125,150,,,
SRPL010755,ABDELAZIZ HANAFY,CO,0,100,125,150,,,
SRSR030913,ABDELAZIZMABROUKMOHAMEDKHIMAR,CO,0,100,125,150,,,
CRCA030990,ABDELKAREEM HAMED ABDELKAREEM HUSSIEN,CO,0,100,125,150,,,
ETEN030786,ABDELRAHMAN ATTEF WAHBA,CO,0,100,125,150,,,
FMXRY-0087,ABDOMEN ERECT.,OS,0.25,90,94.5,99.23,,,
FMXRY-0086,ABDOMEN FLAT (KUB),OS,0.25,90,94.5,99.23,,,
FMXRY-0088,ABDOMEN FLAT.ERECT/DECUBITUS,OS,0.25,260,273,286.65,,,
FMXRY-0752,ABDOMINAL ANGIOGRAM W/MULTIPLE SUPER SELECTION,OS,0.25,19494,20468.7,"21,492.
14",,,
VAS-0024,Abdominal Aortic Aneurysm,P1,0,19947,20944.35,"21,991.
57",,,
FMXRY-0916,ABDOMINAL AORTOGRAM,OS,0.25,4000,4200,"4,410.0
0",,,
FMOBG-0036,ABDOMINAL HYSTERECTOMY,OS,0.25,3705.6,3890.88,"4,085.4
2",,,
OBG-0038,Abdominal Panhysterectomy,P1,0,8000,8400,"8,820.0
0",,,
OBG-0047,Abdominal Sling for Prolapse,P1,0,21500,22575,"23,703.
75",,,
FMPSDD0006,ABDOMINOPLASTY,OS,0.25,4512.86,4738.5,"4,975.4
3",,,
EDHE091260,ABDULAZIZ ALABDULAALY,CO,0,100,125,150,,,
URUR011136,ABDULAZIZ ALI EMARA MOSTAFA EMARA,CO,0,100,125,150,,,
EDPL091354,ABDULAZIZ SALEH AMODUMEEGH,CO,0,100,125,150,,,
EDPE090855,ABDULHAKIM AL OTAY,CO,0,100,125,150,,,
EDPE091361,ABDULLA SAEED MOSLEH AL SHAMRANI,CO,0,100,125,150,,,
EDPE091383,ABDULLAH FADEL ALSHEHRI,CO,0,100,125,150,,,
EDSR091297,ABDULLAH SAAD ALFOZAN,CO,0,100,125,150,,,
EDPE091380,ABDULLAH YAHYA ALFAIFI,CO,0,100,125,150,,,
EDOP091362,ABDULMAJEED ABDULLAH ALZAKI,CO,0,100,125,150,,,
URGU030751,ABDULWAHAB E ALHAMS,CO,0,100,125,150,,,
PAPE011360,ABEER ATEEF AL ASHMAWY,CO,0,100,125,150,,,
FMICU-0120,ABG EXTRACTION,OS,0.25,20,21,22.05,,,
MS-A-000154,ABLATOR 90° MULTI-PORT ASPIRATING ARTHREX #AR-9811,OS,0.25,2192.42,2302.04,"2,417.1
4",,,
FMORT-0366,ABOVE ELBOW CIRCULAR CAST,OS,0.25,543.88,571.07,599.63,,,
FMORT-0362,ABOVE ELBOW SLAB,OS,0.25,305,320.25,336.26,,,
VAS-0027,Above Knee Amputation,P1,0,15000,15750,"16,537.
50",,,
FMORT-0368,ABOVE KNEE CAST,OS,0.25,455,477.75,501.64,,,
FMORT-0364,ABOVE KNEE SLAB,OS,0.25,385,404.25,424.46,,,
FMORT-0364- O,ABOVE KNEE SLAB.,OS,0.25,100,105,110.25,,,
FMENTS0014- O,ABR WITH SEDATION,OS,0.25,1641.6,1723.68,"1,809.8
6",,,
SUR-0001,Abscess Drainage GA,P1,0,1173,1231.65,"1,293.2
3",,,
FMSUR-9085,ABSCESS INCISION & DRAINAGE UNDER LOCAL ANAESTHESIA,OS,0.25,307.2,322.56,338.69,,,
FMSUR-1008,ABSCESS INCISION (SUPERFICIAL),OS,0.25,112.09,117.69,123.58,,,
FMSUR-1009,ABSCESS INCISION DEEP,OS,0.25,235,246.75,259.09,,,
FMERDA0002,ABSCESS INCISION DEEP.,OS,0.25,162.77,170.91,179.45,,,
IMIM080957,ABU BAKR ABDEL RAHAMAN HASSAN,CO,0,100,125,150,,,
IMIM031009,ABUBAKR ABDELRAHMAN HASSAN,CO,0,100,125,150,,,
