Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,SAUDI GERMAN HOSPITAL - DAMMAM,,,,
,,,SERVICES LIST 2019-2020,,,,
,,,,,,,
,,,,SERVICES,,VVIP/VIP,
SER,SERVICE CODE,CATEGORY,SUB-CATEGORY,SERVICE DESCRIPTION,,,
1,1112001,CONSULTATION,CONSULTATION,GENERAL PRACTITIONER'S CONSULTION (E.R.),,170,FLAT RATE
2,1112002,CONSULTATION,CONSULTATION,ER DIFFERENCE - GP & CONSULTANT,,0,FLAT RATE
3,1112003,CONSULTATION,CONSULTATION,CONSULTANT'S CONSULTATION (OPD),,170,FLAT RATE
4,1112004,CONSULTATION,CONSULTATION,INPATIENT DOCTOR CONSULTATION REFERRED,,170,FLAT RATE
5,1112005,CONSULTATION,CONSULTATION,INPATIENT DOCTOR'S DAILY VISIT  ,,170,FLAT RATE
6,1112006,CONSULTATION,CONSULTATION,BARIATRIC CONSULTATION,,170,FLAT RATE
7,1112007,CONSULTATION,CONSULTATION,CARDIOLOGY CONSULTANT CONSULTATION,,170,FLAT RATE
8,1112008,CONSULTATION,CONSULTATION,SPECIALIST CONSULTAION (OPD),,170,FLAT RATE
9,1112009,CONSULTATION,CONSULTATION,COLO-RECTAL SURGERY CONSULTATION,,170,FLAT RATE
10,1112010,CONSULTATION,CONSULTATION,CONSULTATION - INTERVENTIONAL CARDIOLOGIST,,170,FLAT RATE
11,1112011,CONSULTATION,CONSULTATION,CONSULTATION - VISITING DOCTORS,,170,FLAT RATE
12,1112012,CONSULTATION,CONSULTATION,CONSULTATION 1ST SPECIALIST,,170,FLAT RATE
13,1112013,CONSULTATION,CONSULTATION,CONSULTATION FEE - SENIOR CONSULTANT DERMATOLOGIST,,170,FLAT RATE
14,1112014,CONSULTATION,CONSULTATION,CONSULTATION FEE - VISITING DOCTOR (SKINCARE),,170,FLAT RATE
15,1112015,CONSULTATION,CONSULTATION,CONSULTATION FEE (SKINCARE),,170,FLAT RATE
16,1112016,CONSULTATION,CONSULTATION,DENTAL CONSULTANT CONSULTATION,,170,FLAT RATE
17,1112017,CONSULTATION,CONSULTATION,DENTAL SPECIALIST CONSULTATION,,170,FLAT RATE
