SERVICE CODE,SERVICE DESCRIPTION,CATEGORY,gowth
1112001,GENERAL PRACTITIONER'S CONSULTION (E.R.),CONSULTATION,170.0
1112002,ER DIFFERENCE - GP & CONSULTANT,CONSULTATION,0.0
1112003,CONSULTANT'S CONSULTATION (OPD),CONSULTATION,170.0
1112004,INPATIENT DOCTOR CONSULTATION REFERRED,CONSULTATION,170.0
1112005,INPATIENT DOCTOR'S DAILY VISIT  ,CONSULTATION,170.0
1112006,BARIATRIC CONSULTATION,CONSULTATION,170.0
1112007,CARDIOLOGY CONSULTANT CONSULTATION,CONSULTATION,170.0
1112008,SPECIALIST CONSULTAION (OPD),CONSULTATION,170.0
1112009,COLO-RECTAL SURGERY CONSULTATION,CONSULTATION,170.0
1112010,CONSULTATION - INTERVENTIONAL CARDIOLOGIST,CONSULTATION,170.0
1112011,CONSULTATION - VISITING DOCTORS,CONSULTATION,170.0
1112012,CONSULTATION 1ST SPECIALIST,CONSULTATION,170.0
1112013,CONSULTATION FEE - SENIOR CONSULTANT DERMATOLOGIST,CONSULTATION,170.0
1112014,CONSULTATION FEE - VISITING DOCTOR (SKINCARE),CONSULTATION,170.0
1112015,CONSULTATION FEE (SKINCARE),CONSULTATION,170.0
1112016,DENTAL CONSULTANT CONSULTATION,CONSULTATION,170.0
1112017,DENTAL SPECIALIST CONSULTATION,CONSULTATION,170.0
1112018,DERMATOLOGY CONSULTATION,CONSULTATION,170.0
1112022,ENDOCRINOLOGY CONSULTATION,CONSULTATION,170.0
1112023,ENT SPECIALIST CONSULTATION,CONSULTATION,170.0
1112025,FOLLOW UP (IVF) WITHIN 7 DAYS,CONSULTATION,170.0
1112028,GASTROENTEROLOGY CONSULTATION ,CONSULTATION,170.0
1112029,GYNAECOLOGY CONSULTATION,CONSULTATION,170.0
1112030,INPATIENT VISIT - NEURO SURGEON,CONSULTATION,170.0
1112031,INTERNAL MEDICINE CONSULTATION,CONSULTATION,170.0
1112032,INTERVENTIONAL RADIOLOGY CONSULTATION,CONSULTATION,170.0
1112033,IVF CONSULTATION,CONSULTATION,170.0
1112034,IVF CONSULTATION FOLLOW UP VISIT,CONSULTATION,170.0
1112035,NEPHROLOGY CONSULTATION,CONSULTATION,170.0
1112036,NEURO SURGERY CONSULTATION,CONSULTATION,170.0
1112037,NEUROLOGY CONSULTATION,CONSULTATION,170.0
1112038,ONCOLOGY CONSULTATION,CONSULTATION,170.0
1112039,OPHTHALMOLOGY CONSULTATION,CONSULTATION,170.0
1112040,ORTHODONTIST CONSULTATION,CONSULTATION,170.0
1112041,ORTHOPAEDIC CONSULTATION,CONSULTATION,170.0
1112044,PAEDIATRIC CONSULTATION,CONSULTATION,170.0
1112045,PEDIATRIC CARDIOLOGY CONSULTATION,CONSULTATION,170.0
1112046,PEDIATRIC SURGERY CONSULTATION,CONSULTATION,170.0
1112047,PSYCHIATRIC CONSULTATION,CONSULTATION,170.0
1112048,PSYCHIATRIC FOLLOW-UP (WITHIN 7 DAYS),CONSULTATION,170.0
1112049,PSYCHO THERAPY (PER SESSION),CONSULTATION,170.0
1112050,RHEUMATOLOGY  CONSULTATION,CONSULTATION,170.0
1112051,SURGERY CONSULTATION,CONSULTATION,170.0
1112052,UROLOGY CONSULTATION,CONSULTATION,170.0
1112058,CONSULTATION FOR OPD SERVICES,CONSULTATION,170.0
2182001,HAEMODIALYSIS FIRST SESSIONS ,NEPHROLOGY,1200.0
2182002,HAEMODIALYSIS REGULER SESSION,NEPHROLOGY,1000.0
8123001,MRI WITHOUT CONTRAST ,RADIOLOGY,1300.0
8123002,MRI ADDITIONAL ORGAN,RADIOLOGY,1300.0
8123003,MRI WITH CONTRAST ,RADIOLOGY,1300.0
8123004,MRI PELVIMETRY,RADIOLOGY,1300.0
8123005,CONTRAST ONLY FOR MRI / CT SCAN ,RADIOLOGY,0.0
8123007,MRI SPECTROMETRY,RADIOLOGY,1300.0
8123008,MRI UROGRAPHY,RADIOLOGY,1300.0
8123009,MRI CHOLANGIOGRAPHY / GALL BLADDER,RADIOLOGY,1300.0
