Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,PACKAGES ,Admission Days (LOS),Unnamed: 6,Unnamed: 7,A+ / A / B+ / B
1.0,PACKAGE CODE ,CATEGORY,SUB-CATEGORY,SERVICE DESCRIPTION,ICU,WORD,,
2.0,1011001,E.N.T.,NOSE SURG.,ANTERIOR NASAL PACK (U.G.A.),0,D/C,,1693.3749999999998
3.0,1011002,E.N.T.,NOSE SURG.,MIDDLE MEATUS ANTROSTOMY/BILATERAL,0,2,,7964.609999999999
2.0,1011003,E.N.T.,NOSE SURG.,SINSUS PUNCTURE (U.G.A.) / BILATERAL,0,1,,2779.3199999999997
4.0,1011004,E.N.T.,NOSE SURG.,CRYO-TURBINECTOMY,0,1,,4976.099999999999
5.0,1011005,E.N.T.,NOSE SURG.,CAUTERIZATION OF THE NOSE / ENDOSCOPIC ,0,1,,6594.9
3.0,1011006,E.N.T.,NOSE SURG.,ETHMOIDECTOMY / ENDOSCOPIC ,0,1,,12038.4
6.0,1011007,E.N.T.,NOSE SURG.,TURBINECTOMY / PARTIAL / ENDOSCOPIC ,0,1,,4976.099999999999
7.0,1011008,E.N.T.,NOSE SURG.,POLYPECTOMY AND ETHMOIDECTOMY / ENDOSCOPIC ,0,2,,10282.8
4.0,1011009,E.N.T.,NOSE SURG.,POLYPECTOMY AND ETHMOIDECTOMY / RECURRENT / ENDOSCOPIC ,0,2,,12540.0
8.0,1011010,E.N.T.,NOSE SURG.,EXAMINATION UNDER GENERAL ANESTHESIA,0,D/C,,1425.0
9.0,1011011,E.N.T.,NOSE SURG.,NASAL SINUS SURGERY / EXTERNAL ,0,1,,12038.4
5.0,1011012,E.N.T.,NOSE SURG.,NOSE FRACTURE,0,1,,3950.1
10.0,1011013,E.N.T.,NOSE SURG.,FUNCTIONAL ENDOSCOPIC SINUS SURGERY (FESS SURGERY),0,2,,13109.999999999998
11.0,1011014,E.N.T.,NOSE SURG.,NASAL LASER SURGERY,0,1,,4976.099999999999
6.0,1011015,E.N.T.,NOSE SURG.,NOSE MICROSURGERY,0,1,,7964.609999999999
12.0,1011016,E.N.T.,NOSE SURG.,NASAL BIOPSY,0,D/C,,2411.1
13.0,1011017,E.N.T.,NOSE SURG.,NASAL CAUTERY UNDER (U.G.A.),0,D/C,,2036.0399999999997
7.0,1011018,E.N.T.,NOSE SURG.,NASAL FOREIGN BODY REMOVAL (U.G.A.),0,D/C,,2089.62
14.0,1011019,E.N.T.,NOSE SURG.,NASAL SEPTAL CORRECTION,0,1,,5343.75
15.0,1011020,E.N.T.,NOSE SURG.,OPEN REDUCTION / FRACTURED NOSE,0,2,,10868.0
8.0,1011021,E.N.T.,NOSE SURG.,ORO-ANTRAL FISTULA REPAIR,0,1,,8276.4
16.0,1011022,E.N.T.,NOSE SURG.,POSTERIOR NASAL PACK  (U.G.A.),0,D/C,,2303.9399999999996
17.0,1011023,E.N.T.,NOSE SURG.,ANTRAL FOREIGN BODY REMOVAL,0,1,,4001.3999999999996
9.0,1011024,E.N.T.,NOSE SURG.,RHINOPLASTY / REVISION (MEDIUM),0,1,,4275.0
18.0,1011025,E.N.T.,NOSE SURG.,RHINOPLASTY / MAJOR,0,2,,13656.249999999998
