Code,Name,Gross Price,LOS ,Type,Discount
CON,Consultation,160,,Cons,0.0
FMNUM-0001,REFERRAL FROM OTHER DOCTOR-OP,160,,Cons,0.0
FMNUM-0500,SECOND OPINION CONSULTATION,160,,Cons,0.0
FMADM-9901,NORMAL SUITE,1700,,service,0.15
FMADM-9902,FIRST CLASS,900,,service,0.15
FMADM-9903,SECOND CLASS,500,,service,0.15
FMADM-9915,CLASS DIFFERENCE ( From Second to first ),400,,service,0.15
FMADM-9910,TICU,275,,service,0.15
FMICU-0010,ABDOMINAL TAPPING,321.32098388671875,,service,0.15
FMANA-0030,OPD ASSISTANT ANAESTHETEST,344.2725067138672,,service,0.15
FMANA-0021,NASOGASTRIC TUBE INSERTION,321.32098388671875,,service,0.15
FMANA-0031,MASK G. ANAESTHESIA,657.9430053710937,,service,0.15
FMANA-0048,IPIDURAL INJECTION,130.05850067138672,,service,0.15
FMANA-0050,I.V SADATION,344.2725067138672,,service,0.15
FMANAPC008,PRESS NEEDLE FOR OBESITY,191.2625,,service,0.15
FMANA-0017,INSERTION OF SUB_CLAVIAN CATH.,489.6319946289062,,service,0.15
FMANAPC001,EPIDURAL BLOCK,1950.8775268554687,,service,0.15
FMANA-0057,EPIDURAL ANAESTHESIA - OPD (PAIN RELIEF),1591.3040161132812,,service,0.15
FMANA-0033,HALOTHANE PER CC,38.2525016784668,,service,0.15
FMANAPC004,ACUPUNCTURE SETT,512.5834838867188,,service,0.15
FMANAPC006,CHEMICAL,336.6219879150391,,service,0.15
FMANA-0036,I.V. REGIONAL ANAESTHESIA,657.9430053710937,,service,0.15
FMANAPC002,STELLATE BLOCK,3886.4538818359374,,service,0.15
FMANA-0032,LOCAL ANAESTHESIA ASSISTANT/HR,221.86450805664063,,service,0.15
FMANA-0035,I.V. ANAESTHESIA,657.9430053710937,,service,0.15
FMANA-0063,ANESTHESIA IN MRI,1109.3224731445312,,service,0.15
FMANA-0065,EPIDURAL LABOUR PAIN RELIEF,1331,,service,0.15
FMANA-0066,EPIDURAL BACKACHE RELIEF,2656.5,,service,0.15
FMANA-0064,EPIDUURAL PAIN RELIEF DURING ANAESTHESIA,1331,,service,0.15
CAR-0001,Heart Catherization,8085,1 Day,PKG,0.0
CAR-0002,A.V. Fistula,5457.375,1 Day,PKG,0.0
CAR-0003,LHC + Graft,8662.5,1 Day,PKG,0.0
CAR-0004,Single Vessel PTCA ,23100,1 Day,PKG,0.0
CAR-0006,Coronary Stenting ( Per Stent) including Drug Elusion,17325,1 Day,PKG,0.0
CAR-0007,PTCA SV +  Stent,34650,1 ICU + 1 Ward,PKG,0.0
CAR-0008,Coronary Angiography & Single Vessel PCI in One Session without Stent,28875,1 ICU + 1 Ward,PKG,0.0
CAR-0009,PTCA SV + 2 Stents,47355,1 ICU + 3 Wards,PKG,0.0
CAR-0010,Permanent Pacemaker Implementation ( Complete),23100,1 Day,PKG,0.0
CAR-0011,PTCA SV + 3 Stents,57750,1 ICU + 3 Wards,PKG,0.0
CAR-0012,Intra Aortic Balloon Pump,23100,1 ICU + 3 Wards,PKG,0.0
CAR-0013,Directional Arthrectomy,27720,1 ICU + 3 Wards,PKG,0.0
CAR-0014,RT Heart Catherization w/o Shunt Run,6930,Day Case,PKG,0.0
CAR-0015,Temporary Pacemaker,4620,Day Case,PKG,0.0
