CCHI No.  1014,مستشفي السعودي الألماني - جدة,Effective: 01-Jun-2021
AXA Code:  1052,Saudi German Hospital - Jeddah,Duration: 2 Years
Code,Name,Type
CON,Consultation,Cons
FMNUM-0001,REFERRAL FROM OTHER DOCTOR-OP,Cons
FMNUM-0500,SECOND OPINION CONSULTATION,Cons
FMADM-9901,NORMAL SUITE,service
FMADM-9902,FIRST CLASS,service
FMADM-9903,SECOND CLASS,service
FMADM-9915,CLASS DIFFERENCE ( From Second to first ),service
FMADM-9910,TICU,service
FMICU-0010,ABDOMINAL TAPPING,service
FMANA-0030,OPD ASSISTANT ANAESTHETEST,service
FMANA-0021,NASOGASTRIC TUBE INSERTION,service
FMANA-0031,MASK G. ANAESTHESIA,service
FMANA-0048,IPIDURAL INJECTION,service
FMANA-0050,I.V SADATION,service
FMANAPC008,PRESS NEEDLE FOR OBESITY,service
FMANA-0017,INSERTION OF SUB_CLAVIAN CATH.,service
FMANAPC001,EPIDURAL BLOCK,service
FMANA-0057,EPIDURAL ANAESTHESIA - OPD (PAIN RELIEF),service
FMANA-0033,HALOTHANE PER CC,service
FMANAPC004,ACUPUNCTURE SETT,service
FMANAPC006,CHEMICAL,service
FMANA-0036,I.V. REGIONAL ANAESTHESIA,service
FMANAPC002,STELLATE BLOCK,service
FMANA-0032,LOCAL ANAESTHESIA ASSISTANT/HR,service
FMANA-0035,I.V. ANAESTHESIA,service
FMANA-0063,ANESTHESIA IN MRI,service
FMANA-0065,EPIDURAL LABOUR PAIN RELIEF,service
FMANA-0066,EPIDURAL BACKACHE RELIEF,service
FMANA-0064,EPIDUURAL PAIN RELIEF DURING ANAESTHESIA,service
CAR-0001,Heart Catherization,PKG
CAR-0002,A.V. Fistula,PKG
CAR-0003,LHC + Graft,PKG
CAR-0004,Single Vessel PTCA ,PKG
CAR-0006,Coronary Stenting ( Per Stent) including Drug Elusion,PKG
CAR-0007,PTCA SV +  Stent,PKG
CAR-0008,Coronary Angiography & Single Vessel PCI in One Session without Stent,PKG
CAR-0009,PTCA SV + 2 Stents,PKG
CAR-0010,Permanent Pacemaker Implementation ( Complete),PKG
CAR-0011,PTCA SV + 3 Stents,PKG
CAR-0012,Intra Aortic Balloon Pump,PKG
CAR-0013,Directional Arthrectomy,PKG
CAR-0014,RT Heart Catherization w/o Shunt Run,PKG
CAR-0015,Temporary Pacemaker,PKG
CAR-0016,Pulmonary Valvuplasty with RHC + Shunt,PKG
CAR-0017,Cardioversion/Defibrillation,PKG
CAR-0018,VVD (Permanent Pacemaker) without cost of Peacemaker,PKG
CAR-0019,Mitral Valvuloplasty,PKG
FMCTS-0023,EXTERNAL PACE-MAKER,service
FMCTS-0026,ONE-WAY VALVE FOR CHEST TUBE  (HEIMLICH'S VALVE),service
FMCTS-0027,DIAGNOSTIC ASPIRATION,service
FMCTS-0045,ASPIRATION BIOPSY,service
FMCTSS0002,GAUZE FIXATION OF FLAIL CHEST,service
FMCTSS0004,INTERCOSTAL NERVE BLOCK,service
FMCTSS0005,CHEMICAL PLEUROCTESIS,service
FMCTSS0009,DIAGNOSTIC RIGID BRONCHOSCOPY,service
FMCTSS0010,THERAPEUTIC RIGID BRONCHOSCOPY,service
FMCTSS0011,DIAG. RIGID OESOPHAGOSCOPY,service
FMCTSS0012,THERA. RIGID OESOPHAGOSCOPY,service
FMCTSS0013,NEEDLE LUNG BIOPSY,service
FMCTSS0014,NEEDLE PLEURAL BIOPSY,service
FMCTSS0015,THORACENTESIS,service
FMCTSS0018,PERICARDIOTHENTESIS,service
FMERDA0002,ABSCESS INCISION DEEP,service
MTSUR-0002,ABSCESS INCISION DEEP,service
FMCTSS0026,PDA CLOSURE BY COIL,service
FMCTSS0027,ASD CLOSURE BY DEVICE,service
FMCTSS0028,PDA CLOSURE BY DEVICE,service
FMCTSS0001,CHEST TUBE INSERTION,service
FMCTS-0042,ASPIRATION OF COLD ABSCESS,service
FMCTS-1000,DAY  CARE  SUPERVISION,service
FMDNTP0004,ACRYLIC JACKET CROWN,service
FMDNL-0048,ACRYLIC JACKET CROWN,service
FMCARS0024,EECP FULL COURSE,service
FMCARS0025,EECP 35 SISSIONS,service
FMCARS0026,EECP ONE SESSION,service
FMCARS0027,EECP 12 SESSIONS,service
FMCARS0028,EECP,service
FMCAR-0000,CARDIOLOGY CONSULTATION- IN PT,service
FMCAR-0020,24 HOURS AMBULATORY BP MONITORING,service
FMCAR-0021,48 HOURS AMBULATORY BY MONITORING,service
FMDNL-0054,ACRYLIC JACKET CROWN,service
FMDNTO0032,ACTIVATOR,service
FMODT-0032,ACTIVATOR,service
FMENT-2000,ADDITIONAL FEE FOR COMPLICATED,service
FMNEP-2000,ADDITIONAL FEE FOR COMPLICATED,service
FMNUM-2000,ADDITIONAL FEE FOR COMPLICATED,service
FMCAR-0008,CARDIAC CATHETERIZATION,service
FMCAR-0009,E.C.G. FOR INPATIENT,service
FMNEU-2000,ADDITIONAL FEE FOR COMPLICATEDOPERATIONS,service
FMCAR-0011,SURFACE PACEMAKER(NON-INVASIVE,service
FMCAR-0012,EXTERNAL TEMPORARY PACEMAKER,service
FMCAR-0013,PERICARDIOCENTESIS-6,service
FMCAR-0014,ECHO M-MODE ONLY,service
FMCAR-0015,HYPERTENSION CHECK-UP I,service
FMCAR-0016,HYPERTENSION CHECK-UP II,service
FMCAR-0017,PERMANENT  PACEMAKER-7,service
FMCAR-0018,PORTABLE ECHO SCREENING,service
FMCAR-0019,PORTABLE ECHO FULL STUDY,service
FMCARS0015,BALLON VALVULOPLASTY,service
FMCARS0016,P.T.C.A. (SINGLE VESSEL),service
FMCARS0017,P.T.C.A. (MULTI VESSEL),service
FMCAR-0001,REFERRAL FROM OTHER DOCTOR OP,service
FMCARS0019,BALOON ATRIAL SEPTOSTOMY,service
FMORT-2000,ADDITIONAL FEE FOR COMPLICATEDOPERATIONS,service
FMDER-0137,ADD'L FEE FOR COM.OR OVER 3HRS,service
FMENTS0021,ADD'L FEE FOR COM.OR OVER 3HRS,service
FMINT-0032,ADD'L FEE FOR COM.OR OVER 3HRS,service
FMNEP-0030,ADD'L FEE FOR COM.OR OVER 3HRS,service
FMCARS0001,CARDIO VERSION (DC SHOCK),service
FMCARS0002,TEMPORARY PACEMAKER LEVEL REPOSITIONING,service
FMCARS0003,EXTERNAL PACEMAKER USE /DAY,service
FMCARS0004,ATRIAL PACING,service
FMCARS0005,PERMANENT PACEMAKER IMPLANTATION (DDD),service
FMCARS0006,TRANSESOPHAGEAL ECHOCARDIOGRAPHY (TEE),service
FMCARS0007,PHARMACOLOGICAL TEST,service
FMCARS0008,PHARMACOLOGICAL STRESS ECHOCARDIOGRAPHY,service
FMCARS0009,ABULATORY BP MONITORING,service
FMCARS0010,INTRA-AROTIC BALLOON INSERTION,service
FMCARS0011,INTRA-AORTIC BALLOON PUMP USE / DAY,service
FMCARS0012,RIGHT HEART CATHETERIZATION,service
FMCARS0014,CORONARY ANGIOGRAPHY,service
FMCARS0030,EXTENDED AMBULATORY ECG MONITORING FOR SEVEN DAYS,service
FMCARS0018,CORONARY STENTING,service
FMCAR-0025,PPM INTERROGATION,service
FMCAR-0026,PROCEDURE CD COPY,service
CAR-0005,Coronary Stenting ( Per Stent) including the Conventional Bare Stent,PKG
CAR-0020,VVI (Permanent Pacemaker),PKG
CAR-0021,Coronary Artery Bypass Grafting,PKG
FMNUM-0013,ADD'L FEE FOR COM.OR OVER 3HRS,service
CAR-0023,Valve Replacement without Cost of Valve,PKG
CAR-0024,DDDI (Permanent Pacemaker),PKG
CAR-0025,ASD Closure,PKG
CAR-0026,Percardiocentesis,PKG
CAR-0027,PTCA TV + 4 Stents,PKG
FMNEU-0069,ADD'L FEE FOR COM.OR OVER 3HRS,service
CAR-0029,Aortic Aneurysm,PKG
CAR-0030,Aorto Bifemoral Bypass (Excluding Sythetic Bypass Graft),PKG
CAR-0031,Arterial Embolectomy & Venous Thumbectomy,PKG
CAR-0032,Cardiac Catheterization Peadia,PKG
CAR-0033,Congenital Heart (Excluding Prosthesis Cost),PKG
CAR-0034,Femoro Post Tibial Bypass (Excluding Sythetic Bypass Graft),PKG
CAR-0035,Intra-Aortic Balloon Insertion,PKG
CAR-0036,Left Common Illiac Femoral  Bypass (Excluding Sythetic Bypass Graft),PKG
CAR-0037,Ligation of Patient Ducts Arterious Through Left Thoracutomy (Close Heart Surgery,PKG
CAR-0038,Open Lung Biopsy,PKG
CAR-0040,Thalium Stress Test,PKG
CAR-0041,Thoracoscopy Diagnostic,PKG
CAR-0042,Thoracoscopy Therapeutic,PKG
CAR-0043,Thoractomy Evacutation of Hemothorax & Suturing of Lung Blebs,PKG
FMCAT-0038,PERMANENT PACEMAKER PROGRAMMING,service
FMCAT-0039,CORONARY THROMBECTOMY,service
FMCAT-0037,CAT LAB PROCEDURE EXTRA COPY,service
FMOBGZ9999,USE OF DELIVERY ROOMS,service
FMOBG-0179,ADD'L FEE FOR COM.OR OVER 3HRS,service
FMONC-0025,ADD'L FEE FOR COM.OR OVER 3HRS,service
FMDNTF0001,AMALGAM FILLING ONE S,service
FMDNTF0002,AMALGAM FILLING TWO S,service
FMDNTF0003,AMALGAM FILLING > 2 S,service
FMDNTF0004,AMALGAM CORE,service
FMDNTF0005,REINFORCEMENT EACH PIN,service
FMDNTF0006,COMPOSITE FILLING - SIMPLE,service
FMDNTF0007,COMPOSITE FILLING COMPOUND,service
FMDNTF0008,COMPOSITE CORE,service
FMDNTF0009,TEMPORARY FILLING,service
FMDNTF0010,CHILDREN TOOTH FILLING  ONE    SURFACE,service
FMDNTF0011,CHILDREN TOOTH FILLING TWO     SURFACES,service
FMDNTF0012,FLOURIDE TREATMENT (CHILDREN)  PER VISIT,service
FMDNTF0013,KETAC FILLING ONE SURFACE,service
FMDNTF0014,KETAC FILLING TWO SURFACE,service
FMDNTF0015,CHILD. KETAC FILLING 1 SURFACE,service
FMDNTF0016,CHILD. KETAC FILLING 2 SURFACE,service
FMDNTP0001,TEMPORARY ACRYLIC CROWN,service
FMDNTP0002,TEMPORARY READY MADE CROWN,service
FMDNTP0003,TEMPORARY METALIC CROWN,service
FMORT-0645,ADD'L FEE FOR COM.OR OVER 3HRS,service
FMDNTP0005,ISOSIT JACKET CROWN,service
FMDNTP0006,ISOSIT VENEER CROWN,service
FMDNTP0007,METALIC CASTING CROWN,service
FMDNTP0008,PORCELAIN FACING JACKET,service
FMDNTP0009,PORCELAIN FACING CROWN,service
FMDNTP0010,PORCELAIN JACKET CROWN,service
FMDNTP0011,PROCELAIN CROWN  (TYPE I),service
FMDNTP0012,PROCELAIN CROWN (TYPE II),service
FMDNTP0013,PORCELAIN CROWN (TYPE III),service
FMDNTP0014,PORCELAIN CRWON (TYPE IV),service
FMDNTP0015,POR. JACKET PRECIOUS METAL,service
FMDNTP0016,PORCELAIN  CROWN PRECIOUS MET.,service
FMDNTP0017,INLAY METALLIC,service
FMDNTP0018,INLAY METALLIC 2 SURFACES,service
FMDNTP0019,INLAY METALLIC 3 SURFACES,service
FMDNTP0020,ONLAY CORE + POST,service
FMDNTP0021,ADDITIONAL POST,service
FMDNTP0022,METALLIC CROWN 3/4,service
FMDNTP0023,CEMENTATION OF CROWN,service
FMDNTP0024,REMOVAL OF CROWN,service
FMDNTP0025,REMOVAL OF BRIDGE,service
FMDNTP0026,FULL DENTURE ACRYLIC TYPE I,service
FMDNTP0027,FULL DENTURE ACRYLIC TYPE II,service
FMDNTP0028,FULL DENTURE ACRYLIC TYPE III,service
