Code,Name,Gross Price,LOS ,Type,Discount
AN001,WALEED SAAD AL DIN TAHA EL SAYED,160,,Cons,0
AN004,WALID NABAWY ABDUL HAMID MOHAMED,160,,Cons,0
AN012,RASIM MUSEYIB OGLY,160,,Cons,0
AN014,HESHAM EL MAHDY HAFEEZ SHEHATA,160,,Cons,0
AN017,SAYED  NOOR,160,,Cons,0
AN018,AHMED ABDEL AZIZ MOUSA AHWD,160,,Cons,0
AN019,ASHRAF ABDALLA YOUSSEF SELIM TORKI,160,,Cons,0
C1,Specialist Consultation,160,,Cons,0
CC001,AHMED MOHAMED AHMED MOHAMED,160,,Cons,0
CC008,IBRAHIM ABDEL SALAM SAYED AHMED SALEM,160,,Cons,0
CC009,OSAMA  KAMEL MOHD,160,,Cons,0
CC012,ABOZAID RADI ELASHMAWI ABDELNABI,160,,Cons,0
CC015,REHAM ALI EL SHENAWY,160,,Cons,0
CC016,RAMY TAHA YOUSSEF ABDELRAHMAN SAMRA GHONIM,160,,Cons,0
CC017,TAREK SAMHY TUHAMY,160,,Cons,0
CD001,MOHAMED HALIM MOHAMED MAHMOUD ABDULLAH,160,,Cons,0
CD007,MOHAMED ZEINHOM ALI AHMED SALEH,160,,Cons,0
CD008,KHALED HOSSAMELDIN,160,,Cons,0
CD009,GEORG DELLE  KARTH,160,,Cons,0
CD010,MOHIB MAHMOUD TALAAT,160,,Cons,0
COMGT,CO MANAGEMENT CODE  .,160,,Cons,0
CT006,ASHRAF FAWAZY MAHMOUD GABER,160,,Cons,0
CT011,MAREK  EHRLICH,160,,Cons,0
CT012,LUCIA  TORRACCA,160,,Cons,0
CT013,CARLO DE VINCENTIIS,160,,Cons,0
D1,Dental Consultation,160,,Cons,0
DN006,MAHER ABDUL HAMEED A. FATAH ABDUL MUTAAL,160,,Cons,0
DN014,MAX  HEILAND,160,,Cons,0
DN015,ANWAR ABDOU ELGHAREEB EBRAHEM,160,,Cons,0
DN016,SHAIMA GALAL ABDULHAMEED MOHAMMED,160,,Cons,0
DR001,MUSTAFA AL SAEED,160,,Cons,0
DR004,FIERLBECK,160,,Cons,0
DR011,DALIA YOUSRY ABDELRAHMAN OTHMAN,160,,Cons,0
DR012,MED GERHARD  HAIDL,160,,Cons,0
DR013,EMAN ABDELAZIZ MOHAMED SOLIMAN,160,,Cons,0
DR014,HANY ABDELAZIZ ABDELSALAM ABDELAZIZ,160,,Cons,0
ER007,AHMED SAYED GAFAR,160,,Cons,0
ER021,MOHAMED FOUAD MOHAMMED AHMED BARAKAT,160,,Cons,0
ER022,LOAY ABD AL RHMAN,160,,Cons,0
ET003,AHMED ADLY MOHMED,160,,Cons,0
ET014,ALAA EL DIN ABDEL KHALIK ALI SOLTAN,160,,Cons,0
ET015,AMR FATHALLA,160,,Cons,0
ET016,KHALED AHMED MOHIE SAIF,160,,Cons,0
ET025,AHMED ABDEL KHALEQ AL SAFTI,160,,Cons,0
ET028,ROBERT  DENNERLEIN,160,,Cons,0
ET029,HANY  AMEIN,160,,Cons,0
ET030,RASHA MOHAMED REFAAT GAD ELSEBAEI,160,,Cons,0
EX050,OSAMA EL TOHAMI,160,,Cons,0
EX053,ABD AL RAHMAN  MAHROUS,160,,Cons,0
EX073,YASSER GABER IBRAHIM,160,,Cons,0
EX082,IBRAHIM ABDEL RAHIM,160,,Cons,0
EX084,ELHAM KOUJAH,160,,Cons,0
EX085,AHMED ALBADRI,160,,Cons,0
EX087,YOUSEF  ALAMRI,160,,Cons,0
EX088,HAMDI H. AL MARAMHY,160,,Cons,0
EX103,AHMED  MAHMOUD,160,,Cons,0
EX105,YOUSEF  EL BOOQ,160,,Cons,0
EX106,KHALED A DARAHIM,160,,Cons,0
EX107,MOHAMMED BASHAR  QABANI,160,,Cons,0
FMACU-0500,SECOND OPINION CONSULTATION,160,,Cons,0
FMACUA0000,ACUPUNCTURE CONSULTATION-IN-PT,160,,Cons,0
FMCAR-0000,CARDIOLOGY CONSULTATION- IN PT,160,,Cons,0
FMCAR-0500,SECOND OPINION CONSULTATION,160,,Cons,0
FMCTS-0000,CARDIO THORACIC SUR.IN-PT. CONSULTATION,160,,Cons,0
FMDER-0000,DERMATOLOGY CONSULTATION-IN-PT,160,,Cons,0
FMDER-0001,REFERRAL FROM OTHER DOCTOR-OP,160,,Cons,0
FMDER-0500,SECOND OPINION CONSULTATION,160,,Cons,0
FMDER-1000,DAY CARE SUPERVISION,160,,Cons,0
FMDER-1001,DOCTOR S DAYCARE SUPERVISION,160,,Cons,0
FMDNT-1001,DOCTOR S DAYCARE SUPERVISION,160,,Cons,0
FMDNTD0005,DENTAL CONSULTATION O.P.D.,160,,Cons,0
FMENT-0000,ENT CONSULTATION(IN-PATIENT),160,,Cons,0
FMENT-0500,SECOND OPINION CONSULTATION,160,,Cons,0
FMENT-1000,DAY CARE SUPERVISION,160,,Cons,0
FMERD-0001,ER CONSULTATION,160,,Cons,0
FMERD-1000,DAY CARE SUPERVISION,160,,Cons,0
FMERD-9903,CONSULTATION-IN AND OUTPATIENT,160,,Cons,0
FMERDA0023,HOME VISIT CONSULTANT ON DUTY,160,,Cons,0
FMERDA0024,HOME VISIT CONSULTANT OFF DUTY,160,,Cons,0
FMERDA0038,CONSULTANT TO/FROM OTHER HOSPT,160,,Cons,0
FMERDA0077,HOME VISIT SPECIALIST ON DUTY,160,,Cons,0
FMERDA0078,HOME VISIT SPECIALIST OFF DUTY,160,,Cons,0
FMERDA0094,CODE YELLOW CONSULTATION,160,,Cons,0
FMERDV0005,COMSULTATION,160,,Cons,0
FMERDV0006,HOTEL CONSULTATION,160,,Cons,0
FMEXS-0001,EXTERNAL DOCTOR CONSULTATION,160,,Cons,0
FMINT-0500,SECOND OPINION CONSULTATION,160,,Cons,0
FMIVF-0036,I.V.F. CHECK-UP,160,,Cons,0
FMNEU-0000,NEURO-SURGERY CONSULTATION-IP,160,,Cons,0
FMNEU-0500,SECOND OPINION CONSULTATION,160,,Cons,0
FMNEU-1000,DAY CARE SUPERVISION,160,,Cons,0
FMNEU-1001,DOCTOR S DAYCARE SUPERVISION,160,,Cons,0
FMNUM-0000,NEUROLOGY CONSULTATION (IN-PT),160,,Cons,0
FMNUM-0500,SECOND OPINION CONSULTATION,160,,Cons,0
FMOBG-0000,OB-GYNE CONSULTATION - (IN-PT),160,,Cons,0
FMOBG-0500,SECOND OPINION CONSULTATION,160,,Cons,0
FMODT-0052,ORTHODONTIC FOLLOWUP TYPE I,160,,Cons,0
FMODT-0053,ORTHODONTIC FOLLOWUP TYPE II,160,,Cons,0
FMODT-0054,ORTHODONTIC FOLLOWUP TYPE III,160,,Cons,0
FMODT-0500,SECOND OPINION CONSULTATION,160,,Cons,0
FMONC-0500,SECOND OPINION CONSULTATION,160,,Cons,0
FMOPT-0000,OPHTHALMOLOGY CONSULTATION(IP),160,,Cons,0
FMOPT-0500,SECOND OPINION CONSULTATION,160,,Cons,0
FMPDS-0000,PAED. SURGERY CONSULTATION IP,160,,Cons,0
FMPDS-0081,EMERGENCY P.SURGERY CONSUL.,160,,Cons,0
FMPDS-0084,PEDIATRIC SURGEON EMERGE. CALL,160,,Cons,0
FMPDS-1001,DOCTOR S DAYCARE SUPERVISION,160,,Cons,0
FMPDT-0000,PAEDIATRIC CONSULTATION(IN-PT),160,,Cons,0
FMPDT-0002,FOLLOW-UP & EXAM. & CONSULTATN NURSERY,160,,Cons,0
FMPDT-0094,INTERPARTMENT CONSULT & EXAM OF PATIENT,160,,Cons,0
FMPDT-0099,PSYCHP. CONS.INCLUDING PRNTS. DISTURBED BEHAVIOR 1 SESSION,160,,Cons,0
FMPDT-0100,CONSULTATION OF PARENTS,160,,Cons,0
FMPDT-0500,SECOND OPINION CONSULTATION,160,,Cons,0
FMPDTR0000,REFERRAL II FROM OTHER DOCTOR,160,,Cons,0
FMPSD-0000,PLASTIC SURGERY CONSULTATION (IN-PATIENT),160,,Cons,0
FMPSY-0500,SECOND OPINION CONSULTATION,160,,Cons,0
