Code,Name,Gross Price,LOS ,Type,Discount
CAR-0001,Heart Catherization1 Day,7700.0,,PKG,0
CAR-0002,A.V. Fistula1 Day,5197.5,,PKG,0
CAR-0003,LHC + Graft1 Day,8250.0,,PKG,0
CAR-0004,Single Vessel PTCA 1 Day,22000.0,,PKG,0
CAR-0005,Coronary Stenting ( Per Stent) including the Conventional Bare Stent1 Day,6292.0,,PKG,0
CAR-0006,Coronary Stenting ( Per Stent) including Drug Elusion1 Day,16500.0,,PKG,0
CAR-0007,PTCA SV + Stent1 ICU + 1 Ward,33000.0,,PKG,0
CAR-0008,Coronary Angiography & Single Vessel PCI in One Session without Stent1 ICU + 1 Ward,27500.0,,PKG,0
CAR-0009,PTCA SV + 2 Stents1 ICU + 3 Wards,45100.0,,PKG,0
CAR-0010,Permanent Pacemaker Implementation ( Complete)1 Day,22000.0,,PKG,0
CAR-0011,PTCA SV + 3 Stents1 ICU + 3 Wards,55000.0,,PKG,0
CAR-0012,Intra Aortic Balloon Pump1 ICU + 3 Wards,22000.0,,PKG,0
CAR-0013,Directional Arthrectomy1 ICU + 3 Wards,26400.0,,PKG,0
CAR-0014,RT Heart Catherization w/o Shunt RunDay Case,6600.0,,PKG,0
CAR-0015,Temporary PacemakerDay Case,4400.0,,PKG,0
CAR-0016,Pulmonary Valvuplasty with RHC + Shunt1 ICU + 3 Wards,22000.0,,PKG,0
CAR-0017,Cardioversion/DefibrillationDay Case,3300.0,,PKG,0
CAR-0018,VVD (Permanent Pacemaker) without cost of Peacemaker1 ICU + 3 Wards,49500.0,,PKG,0
CAR-0019,Mitral Valvuloplasty1 ICU + 1 Ward,38500.0,,PKG,0
CAR-0020,VVI (Permanent Pacemaker)1 ICU + 3 Wards,44000.0,,PKG,0
CAR-0021,Coronary Artery Bypass Grafting7 - 8 Days,49500.0,,PKG,0
CAR-0022,VVIR (Permanent Pacemaker)1 ICU + 3 Wards,60500.0,,PKG,0
CAR-0023,Valve Replacement without Cost of Valve8 Days,55000.0,,PKG,0
