Code,Name,Gross Price
C1,Specialist Consultation,160
CRCA010072,MOHAMED S.M. NOUH,160
CRCI060563,NASHAT SAED REZK EISA,160
CRCS090555,FAISAL SAMADI,160
CSCS010642,TALAL AHMED REDA MAHMOUD MEAWAD,160
CSCS030672,AMRO SALEM ABDELREHIM,160
D1,Dental Consultation,160
DMDL010639,MOHAMED KHAFAGA,160
DMDL030555,KHALED SOUD MASOUD,160
DMDL030570,MARWA EL SAYED AHMED EL GENDY,160
DMDL030659,MOHAMED ABOULSEOUD ELSAID,160
DRDE010001,NAEIM MOHAMED A. NABY DAWOUD,160
DRDE030662,RASHA ELSAYED ALY NASSER,160
DRDE040439,LAMIA HASSAN MOHAMMED,160
EDCA090044,ABDUL AZIZ AL ZAIDI,160
EDCR090341,HASSAN A.OSMAN,160
EDCR090443,MOHAMAD SALAH EL DIN HAMOUDA,160
EDCR090527,MONA EL SAYED,160
EDCR090677,AHMED MOHAMMED AL MASRY,160
EDCR090679,ABDULAZIZ ALDAMMAS,160
EDCR100328,KHALED EL NEMR,160
EDCS090657,SEWAILEM TALIE ALMUTAIRY,160
EDDL100568,MOHAMMAD BILAL,160
EDDM090390,MEDHAT AL HUSSEINY,160
EDET100190,ABDULLAH AL MUTIRI,160
EDIM090591,MOHAMMED EL NASSER,160
EDNE090267,AHMED ANDIJANI,160
EDOG100216,FATMAH MOHAMMED HOSNY,160
EDOR090470,MOHAMMED ELRAKAYBI,160
EDOR090644,WAZAN SALEH ALJEHNI,160
EDPE090460,SAEED ALI ALGHWERY,160
ERER030564,MOHAMED ABD AL AZIM ABD ALLA,160
ERER060005,MAGDY MOHD. ABDEL HAMID,160
ERER060601,IBRAHIM AWAD TAHA,160
ERER060609,KASHIF AHMED BUTT,160
ETEN010001,TAREK ALY HELAL,160
ETEN010629,KHALED ABD EL BAREY ELSAYED,160
ETEN030620,MOHAMED FAROUK ATTIA,160
ETEN090606,MOHAMMED AHMED MOHAMMED RASHAD,160
FMACU-0500,SECOND OPINION CONSULTATION,160
FMCTS-0000,CARDIO THORACIC SUR.IN-PT. CONSULTATION,160
FMDER-0000,DERMATOLOGY CONSULTATION-IN-PT,160
FMDER-0500,SECOND OPINION CONSULTATION,160
FMDNTD0005,DENTAL CONSULTATION O.P.D.,160
FMENT-0000,ENT CONSULTATION(IN-PATIENT),160
FMENT-0500,SECOND OPINION CONSULTATION,160
FMERD-0001,ER CONSULTATION,160
FMERD-9903,Consultation-In and Outpatient,160
FMERDA0038,CONSULTANT TO/FROM OTHER HOSPT,160
FMERDA0077,HOME VISIT SPECIALIST ON DUTY,160
FMERDA0078,HOME VISIT SPECIALIST OFF DUTY,160
FMERDA0094,CODE YELLOW CONSULTATION,160
FMERDV0006,HOTEL CONSULTATION,160
FMEXS-0001,External Doctor Consultation,160
