SERVICE CODE,CATEGORY,SERVICE DESCRIPTION,SGH DMM Price,type,Department,Unified code ,Service Description2,LOS,Type3,NPHIES Code (Hyphenated )2
2112016,ROOM & BOARD,ROOM DIFFERENCE (SEMI PVT - PVT),120.0,service,Room & Board,fmrmb-9929,Room Difference (Semi Pvt - Pvt),0,Service,83610-01-10
2122009,ENT,CRYOTURBINECTOMY,300.0,service,ENT,FMENT-3115,Cryoturbinectomy,1,PKG,41695-00-00
2122038,ENT,PURE TONE AUDIOMETRY,100.0,service,ENT,FMENTE0002,Audiometry - Pure Tone,,Service,11306-00-00
2122041,ENT,PURE TONE AUDIOMETRY + SPEECH,300.0,service,ENT,FMENTE0001,Audiometry (Pure Tone + Speech ),,Service,11306-00-00
2122042,ENT,REPEATED EAR DRESSING FOR OTITIS EXTERNA EACH,75.0,service,ENT,fment-0102,Repeated Ear Dressing For Otitis Externa Each,0,Service,30055-00-00
2122056,ENT,TYMPANOMETRY,100.0,service,ENT,FMENTE0005,Tympanometry,,Service,11324-00-01
2122060,ENT,VESTIBULAR ABSCESS DRAINAGE,300.0,service,ENT,fment-0103,Vestibular Abscess Drainage,0,Service,92514-99-00
2132001,UROLOGY,CYSTOSCOPY ,700.0,service,UROLOGY,FMURO-3004,Cystoscopy,1,PKG,36812-00-00
2142009,PHYSICAL THERAPY,PHYSIOTHERAPY ULTRASOUND,60.0,service,Physiotherapy,fmptd-1029,Physiotherapy Ultrasound,0,Service,90908-00-00
2142016,PHYSICAL THERAPY,PHYSIOTHERAPY CHEST,60.0,service,Home Care ,FMHC-0030,Chest Physiotherapy,,Service,83620-00-00
2152005,RESPIRATORY,SMALL VOLUME NEBULIZER AND INCENTIVE SPIROMETER,40.0,service,INTERNAL MEDICINE,fmint-2002,Small Volume Nebulizer And Incentive Spirometer,0,Service,92043-00-00
2152010,RESPIRATORY,SPIROMETRY,975.0,service,Pediatrics,FMPDT-0181,Spirometry,0,Service,11500-00-00
2162001,PSYCHIATRY,PSYCHOLOGICAL ASSESSMENT- CATEGORY 1 - I.Q. - ADULT / CHILD,550.0,service,Psychiatry ,fmpsy-0501,Psychological Assessment- Category 1 - I.Q. - Adult / Child,0,Service,83600-01-70
2162007,PSYCHIATRY,PSYCHOLOGICAL ASSESSMENT- CATEGORY 2 - PANIC & PHOBIA,275.0,service,Psychiatry ,fmpsy-0502,Psychological Assessment- Category 2 - Panic & Phobia,0,Service,96059-00-00
2162033,PSYCHIATRY,RELAXATION THERAPY,325.0,service,Psychiatry ,FMPSYB0010,Relaxation Therapy,0,Service,96101-00-00
2172037,GASTRO-ENTEROLOGY,PROCTOSCOPY,175.0,service,Endoscopy,FSSUR-0002,Proctoscopy,,Service,32075-00-00
2172046,GASTRO-ENTEROLOGY,ENDOSCOPIC SUBMUCOSAL DISSECTION  ,12000.0,service,Endoscopy,FMENDE0140,Endoscopic submucosal dissection,2,PKG,90297-01-00
2182003,NEPHROLOGY,PERITONEAL DIALYSIS ,3500.0,service,NEPHROLOGY,FMNEP-0006,Peritoneal Dialysis,0,Service,13100-07-00
2182005,NEPHROLOGY,CONTINOUS HAEMOFILTRATION 12 TO 24 HOURS PER SESSION,7500.0,service,Anaesthia ,FMICU-0089,Continous Haemofiltration 12 To 24 Hours Per Session,0,Service,99999-99-99
2182009,NEPHROLOGY,ACTIVATED CLOTTING TIME,40.0,service,LABORATORY,FMLAB-1012,Activated Clotting Time,,Service,73100-05-00
2192016,OBS/GYN ,COLPOSCOPY WITH BIOPSY ,850.0,service,OB & GYNE,END-0004,Colposcopy With Biopsy,1,PKG,35614-00-00
3112005,GENERAL ,I.V. INJECTION,25.0,service,Dermatology ,FMDER-0091,I.V. Injection,,Service,96199-19-00
3112013,GENERAL ,AMBULANCE FEE LESS THAN 50 KMS,400.0,service,Emergency,FMERD-0039,Ambulance Fee Less Than 50 Kms,0,Service,83500-00-10
3112039,GENERAL ,BANDAGE AC,60.0,service,Emergency,FMERDA0111,Ac Bandage,,Service,90676-00-00
3112042,GENERAL ,ENEMA,50.0,service,Pediatrics,FMPDT-0098,Enema,0,Service,92077-00-00
3112058,GENERAL ,LOCAL INJECTION,85.0,service,Physiotherapy,FMPTD-0082,Local Injection,,Service,50124-01-10
3112059,GENERAL ,EAR PIERCING,85.0,service,Pediatrics,FMPDT-0022,Ear Piercing,,Service,90111-00-10
3112074,GENERAL ,SKIN TEST,500.0,service,Emergency,FMERDA0070,Skin Test,,Service,12000-00-00
3112109,GENERAL,EXCISION OF SIMPLE OR SMALL LIPOMA UNDER L.A.,2160.0,service,SURGERY,FMSUR-3079,Excision Of Simple Or Small Lipoma Under L.A.,DAY CASE,PKG,31205-00-10
3171015,CARDIO VASCULAR,INFUSION SYRINGE PUMP,250.0,service,Neurology,FMNUR-0088,Infusion Syringe Pump,0,Service,96199-19-00
3171020,CARDIO VASCULAR,MOUTH CARE,85.0,service,Vascular Surgery,fmvas-0089,Mouth Care,0,Service,97986-00-00
3171021,CARDIO VASCULAR,NG FEEDING 24 HOURS,150.0,service,Vascular Surgery,fmvas-0090,Ng Feeding 24 Hours,0,Service,92036-00-00
3171027,CARDIO VASCULAR,PRESSURE RELIEVING MATRESS,350.0,service,Room & Board,fmvas-0091,Pressure Relieving Matress,0,Service,96092-00-00
3171034,CARDIO VASCULAR,SKIN PREPARATION,100.0,service,Vascular Surgery,fmvas-0092,Skin Preparation,0,Service,99999-99-99
3171042,CARDIO VASCULAR,TPN ADMINISTRATION,150.0,service,Medication,fmvas-0093,Tpn Administration,,Service,96098-00-00
3182009,DERMATOLOGY ,LOCAL INJECTION ,85.0,service,Physiotherapy,FMPTD-0082,Local Injection,,Service,50124-01-10
3182022,DERMATOLOGY ,TESTICULAR BIOPSY ,1300.0,service,Dermatology ,FMDER-0010,Testicular Biopsy,0,Service,30644-04-00
6112009,ORTHOPAEDIC ,PLASTER CAST REMOVAL,90.0,service,Home Care ,FMHC-0061,Plaster Cast Removal,0,Service,83620-00-00
6112010,ORTHOPAEDIC ,REMOVAL OF K-WIRE,400.0,service,Orthopedics,FMORT-0441,Removal Of K Wire,DAY CASE,PKG,47927-00-01
6112012,ORTHOPAEDIC ,CERVICAL TRACTION,85.0,service,Orthopedics,FMORT-0568,Cervical Traction,0,Service,47684-00-00
