ServiceCode,Service Description,LOS,Type,NPHIES Code (Hyphenated )2,  PRICE ,additional date
7677,PHENYLEPHRINE 1% 10MG/ML X 10,0,consumable,99999,65.55,
15541,BALLOON PTCA 3.0X15 PANTERA LEO (NC SPRINTER) BIOTRONIK# 367017,0,consumable,47732,2647.013,
16010,"CATHETER CENTRAL VENOUS 3 LUMEN 5.5FR, HYUSUNG#HS-C 300/KJ 5510 SAUDI MAIS",0,consumable,10729,1075.883,
16168,CLIP SMALL LIGATING TIT EVEREST RED #EVC010,0,consumable,65058,338.7237,
16201,"CATHETER CENTRAL VENOUS 3 LUMEN 7FR X 15CM, 0.035-70 J GUIDE AXEL MEDICAL #63715",0,consumable,10729,863.6303,
16359,ELECTRO SURGICAL PENCIL  DISPOSABLE CHINA # .,0,consumable,11490,222.3466,
16445,INFUSION SET WINGED NON-CORING 22GX0.75' BARD #2205222,0,consumable,17180,191.268,
16679,DRAPE SURGICAL COVER 150x120/175/190CM STERILE #JM-OP6076,0,consumable,47783,56.76963,
16873,ICD SINGLE CHAMBER PRO MRI ELLIPSE VR DEVICE SYS. ABBOTT # CD1377-36QC,0,consumable,35852,99903.38,
16987,LIGASURE BLUNT TIP LAPAROSCOPIC 5MM-37CM COVIDIEN #LF1637,0,consumable,43387,5248.023,
17021,MESH PHYSIO 15X20CM ETHICON# PHY1520R / COVIDIEN# SYM2015,0,consumable,61423,14345.1,
17031,MASK CPAP NOVASTAR L DRAGER #MP01581,0,consumable,57814,1891.662,
17050,MASK N95 SMALL VFLEX 3M #1805S,0,consumable,64847,34.36847,
17060,MESH 3DMAX RIGHT LARGE 10.3 CM X 15.7 CM BARD # 0117321,0,consumable,61218,3885.131,
17096,NAIL ELASTIC TITANIUM DIFFERENT SIZES & COLOUR,0,consumable,47900,702.3122,
17399,SODIUM CHLORIDE 0.9% 1000ML BAG FOR IRRIGATION.,0,consumable,58475,47.98916,
17503,SPIROMETER AIR INCENTIVE INTERTECT #2000/8888-719033,0,consumable,31266,55.2,
17538,MASK LARYNGEAL SIZE 4 DISPOSABLE #321400000,0,consumable,45036,126.132,
17539,MASK LARYNGEAL SZ 3 CHILD 30-50KG DISP. #100/220/300,0,consumable,99999,110.4,
17556,CATHETER DOUBLE LUMEN CVC 7FR 20CM #ZKDND7F/20,0,consumable,99999,276,
17571,ADMISSION KIT BLUE F/MALE PATIENT,0,consumable,33961,22.08,
17592,CABLE PACING TEMPORARY MYOCARDIAL LEAD #TME66Z/45041-02,0,consumable,99999,1328.25,
17601,SYRINGE 50/60ML CATHETER TIP STERILE #9664,0,consumable,64940,5.52,
17605,GELFOAM SPONGE STERILE 12-7MM NDC #0009-0315-02,0,consumable,48170,276,
17609,PLATE LOCKING HUMERUS LATERAL DISTAL 2.7/3.5TYP II 3 holes?65mm LL # A71770306,0,consumable,61573,3000.517,
17634,MASK FACE SURGEON BLUE TIE ON,0,consumable,35177,0.345,
17644,DIAPER INFANT MEDIUM (5 -9 KG),0,consumable,99999,3.6984,
17670,INFLATION DEVICE KIT #1003326/91600012/AC2205P,0,consumable,47489,552,
17686,ID BAND ADULT #JM-B3403,0,consumable,99999,0.9246,
17762,NEBULIZER MISTY PEDIATRIC #64095/1484/8906,0,consumable,31309,17.5398,
17763,SPONGE LAP PREWASHED 45x45CM 12PLY X-RAY DETECTABLE STERILE,0,consumable,13692,17.93138,
17765,BANDAGE COTTON GAUZE 10CMx4M,0,consumable,47011,11.04,
17786,STENT CORONARY DRUG ELUTED 3.5 X 22 MM #  MEDTRONIC /RSINT35022X,0,consumable,56285,8607.06,
17791,STENT CORONARY DRUG ELUTED 2.5 X12MM  # ENSP25012X MEDTRONIC,0,consumable,56285,10758.83,
17796,STENT CORONARY DRUG ELUTED 2.25X20MM TAXUS#(H749389402022,0,consumable,56285,8607.06,
17808,SOLUTION ALPHADINE 10% POV. ODINES,0,consumable,13913,657.4838,
17856,SCREW CORTICAL TITANIUM 3.5X40MM IRINE#T50003540,0,consumable,56642,53.79413,
18101,CATHETER FOLEY BALLOON 2WAY 16FR 30ML SILICONE.,0,consumable,32031,51.3498,
18130,CATHETEREMBOLECTOMY4CH80CMRUSCH#337000/300480/54148,0,consumable,58174,1526.887,
18136,DRESSING SURGICAL 9x15CM MOLNLYCKE #67100/072590,0,consumable,64853,4.347,
18137,BANDAGE ELASTIC 10CMx5YDS LENKELAST,0,consumable,10284,11.04,
18175,SUCTION TUBE 270/260CM BOTH SIDES W/CONNECTOR,0,consumable,34923,22.08,
18206,STENT CORONARY DRUG SIROLIMUS ELUTING ORSIRO 2.75X35 BIOTRONIK #391236,0,consumable,58760,10328.47,
18210,DRESSING SURGICAL 9x20CM MOLNLYCKE #30513/671100,0,consumable,64853,5.796,
18268,SCREW LOCKING 2.7?14MM SELF TAPPING IRENE #T50092714,0,consumable,56642,322.2268,
18351,BLOOD ADMINISTRATION SET #JM-S2422/TB-A200B,0,consumable,38569,11.04,
18358,DRESSING SURGICAL 6x7CM MOLNLYCKE #30510/670800,0,consumable,64853,1.1592,
18386,STENT CORONARY DRUG SIROLIMUS ELUTING ORSIRO 2.25X26 BIOTRONIK # 264489,0,consumable,99999,8893.962,
18459,DIAPER INFANT SMALL (3-6 KG),0,consumable,35008,3.3534,
18462,BANDAGE ELASTIC 15CMx5YDS LENKELAST,0,consumable,34864,11.9922,
18473,BANDAGE DELTA ROLL 10CMx2.75M #51693,0,consumable,58963,11.04,
18474,BANDAGE DELTA ROLL 15CMx2.75M #51694,0,consumable,58963,11.04,
18495,DIAPERS ADULT SIZE LARGE,0,consumable,11239,5.52,
18498,STOCKING ANTI-EMBOLISM THIGH LARGE LENGTH 31-36CM,0,consumable,30878,55.2,
18499,WOUND DRAINAGE 14CH MEDINORM #50-11-505/50-22-505E,0,consumable,11305,55.2,
18501,URINAL MALE PLASTIC DISPOSABLE #JM-U3015/13554-0030,0,consumable,40955,16.56,
18502,BEDPAN PLASTIC DISPOSABLE,0,consumable,10335,16.56,
18503,URINE METER/UREOFIX 500 #441500/0/40-0010/M06450,0,consumable,32072,49.68,
18511,BANDAGE POP GYPSONA 15x270CM,0,consumable,99999,26.0544,
