Department,3,DESC,LOS,Type,NPHIES Code (Hyphenated )2,Riyadh,Discount,Riyadh.1
Consultation,CONS,Consultation,0,Consultation,83600-00-00,150,0.0,VIP & A
Consultation,SGHTELE-01,Tele Consultation,0,Consultation,83600-03-50,150,0.0,SR150
consumable,7677,PHENYLEPHRINE 1% 10MG/ML X 10,0,consumable,99999,65.55,0.03,0.15
consumable,15541,BALLOON PTCA 3.0X15 PANTERA LEO (NC SPRINTER) BIOTRONIK# 367017,0,consumable,47732,2647.013,0.03,0.05
consumable,16010,"CATHETER CENTRAL VENOUS 3 LUMEN 5.5FR, HYUSUNG#HS-C 300/KJ 5510 SAUDI MAIS",0,consumable,10729,1075.883,0.03,0.03
consumable,16168,CLIP SMALL LIGATING TIT EVEREST RED #EVC010,0,consumable,65058,338.7237,0.03,
consumable,16201,"CATHETER CENTRAL VENOUS 3 LUMEN 7FR X 15CM, 0.035-70 J GUIDE AXEL MEDICAL #63715",0,consumable,10729,863.6303,0.03,
consumable,16359,ELECTRO SURGICAL PENCIL  DISPOSABLE CHINA # .,0,consumable,11490,222.3466,0.03,
consumable,16445,INFUSION SET WINGED NON-CORING 22GX0.75' BARD #2205222,0,consumable,17180,191.268,0.03,
consumable,16679,DRAPE SURGICAL COVER 150x120/175/190CM STERILE #JM-OP6076,0,consumable,47783,56.76963,0.03,
consumable,16873,ICD SINGLE CHAMBER PRO MRI ELLIPSE VR DEVICE SYS. ABBOTT # CD1377-36QC,0,consumable,35852,99903.38,0.03,
consumable,16987,LIGASURE BLUNT TIP LAPAROSCOPIC 5MM-37CM COVIDIEN #LF1637,0,consumable,43387,5248.023,0.03,
consumable,17021,MESH PHYSIO 15X20CM ETHICON# PHY1520R / COVIDIEN# SYM2015,0,consumable,61423,14345.1,0.03,
consumable,17031,MASK CPAP NOVASTAR L DRAGER #MP01581,0,consumable,57814,1891.662,0.03,
consumable,17050,MASK N95 SMALL VFLEX 3M #1805S,0,consumable,64847,34.36847,0.03,
consumable,17060,MESH 3DMAX RIGHT LARGE 10.3 CM X 15.7 CM BARD # 0117321,0,consumable,61218,3885.131,0.03,
consumable,17096,NAIL ELASTIC TITANIUM DIFFERENT SIZES & COLOUR,0,consumable,47900,702.3122,0.03,
consumable,17399,SODIUM CHLORIDE 0.9% 1000ML BAG FOR IRRIGATION.,0,consumable,58475,47.98916,0.03,
consumable,17503,SPIROMETER AIR INCENTIVE INTERTECT #2000/8888-719033,0,consumable,31266,55.2,0.03,
