Unified Codes,Unified Descr.,LOS, SBS Codes,type,Gross Price,Unnamed: 6
7112009,F-Relfex - Each Nerve,,96052-00-01,services,650,
 FMDNTC108, Arthrocentesis (Two Side),2,96215-00-10,PKG,9000,
CAR-0004,Cardiac Catherization Peadia,,38206-00-00,PKG,9000,
CAR-0009,"Ptca Sv +  One Stent (Drug Eluting), Sr.12500 Will Be Charged Every Other Stent",1 ccu/ 1 ward,38306-00-00,PKG,43641.15,
CAR-0012,Ptca Tv Without Stent,(3 days),38300-00-00,PKG,43641.3992214375,
CAR-0015,THORACOSCOPY THERAPEUTIC,,38436-00-00,PKG,13200,
CAR-0017,Thoracotomy For Evacuationof Haemothorax And Lobectomy,,38418-00-00,PKG,33377.181,
CAR-0021,Insertion of swanz ganz catheter,,13818-00-00,PKG,19609.545,
CAR-0022,OPEN LUNG BIOPSY WITHOUT HISTOPATH,(2 days),38418-02-01,PKG,8700,
CAR-0023,PERCUTANEOUS TRANSTHORACIC NEEDLE ASPIRATION,DAY CASE,30216-02-00,PKG,2400,
CAR-0025,Cath Lab With Ptca Multi-Vessel (Without Stent Price) (2-3 Days).,3,38303-00-00,PKG,21931.2,
CAR-0026,SINGLE VALVE REPLACEMENT WITHOUT VALVE COST,,38488-01-00,PKG,54000,
CAR-0027,Single Valve Replacement +Valve Cost,,38488-01-00,PKG,64433.407499999994,
CAR-0030,External pacemaker ( procedure cost),,99999-99-99,PKG,6441.909,
CAR-2024,PTCA-SV+ 3 DRUG ELUTING STENTS,,38306-01-00,PKG,47640,
CAR-2101,Intra Cardiac Tumor Excision,(2 days),38456-00-00,PKG,85995,
CMTAI0002,Tai Chi Service (8 Sessions),,95550-03-00,services,900,
CONS,Consultation,,83600-00-20,services,220,
DNT-0001,I & D Facial Abscess L.A.,2,97379-00-00,PKG,5000,
DNT-0002,Removal Of Arch Bars & Wires,,45823-00-00,PKG,15120,
DNT-0003,Removal Of Facial Foreign Bodies,2,92087-00-00,PKG,12000,
DNT-0004,Closure Of  Facial Laceration,2,97377-00-00,PKG,12000,
DNT-0005,Excision Of Minor Salivary Gland ( Mucocele ),2,90138-00-00,PKG,12000,
DNT-0006,Removal Of Salivary Stone,,30266-02-00,PKG,2577.3362999999995,
DNT-0007,Frenectomy Lip / Tongue G.A.,2,30278-00-00,PKG,12000,
DNT-0008,I & D Facial Abscess  G.A.,2,97379-00-00,PKG,15000,
DNT-0009,Closed Reduction Of Nasal Bone Fractures,,47738-00-00,services,2749,
DNT-0010,Closure Of Deep/Multiple Facial Lacerationg.A,3,30035-00-10,PKG,15000,
DNT-0011,Excision Of Localized Oral Tumor With Histopathology,1,90141-01-00,PKG,15000,
DNT-0012,Closed Reduction Of Midface Fractures,2,90681-00-00,PKG,20000,
DNT-0013,Closure Of Oro-Antral Fistula,,83700-00-00,services,8160,
DNT-0014,Orif Frontal Bone Fractures,1,90530-00-00,PKG,30000,
DNT-0015,Orif - Midface Fractures  - Unilateral,1,90530-02-00,PKG,30000,
DNT-0016,Orif - Mandibular Condyle Fracture,1,47789-00-01,PKG,30000,
DNT-0017,Closed Reduction Of Mandibular  Fracture  & Imf,2,47756-00-01,PKG,30000,
DNT-0018,Reduction & Fixation Of Alveolar Bone Fracture,1,90530-00-00,PKG,30000,
DNT-0019,Removal Of Facial / Mandibular Plates,,83700-00-00,services,7270,
DNT-0020,Excision Of Sublingual Gland,1,30259-00-00,PKG,30000,
DNT-0021,Excision Of Facial Benign Cutaneous Neoplasm + Histop. G.A.,2,92514-99-00,PKG,28803.323486148754,
DNT-0022,Excision Of Facial Cyst G.A.,1,30223-03-01,PKG,30000,
DNT-0023,Enuculation Of Maxillary / Mandibular Cyst,2,30283-00-00,PKG,30000,
DNT-0024,Orif - Midface Fractures  - Bi-Lateral,3,90530-03-00,PKG,37000,
DNT-0025,Orif Orbital Floor Fracture ( Blow Out ),3,45590-00-01,PKG,37000,
