Code,Discription,Price,SBS CODE,category
CONS,Consultation,60,83600-00-20,CONSULTATION
FMCAT-0061,PERMANENT PACEMAKER INSERTION WITH CRT-D PACEMAKER TRIPLE CHAM,104500,38353-00-00,services
FMXRY-9948,AMV NIDUS EMBOLIZATION +FLOW DEPENDENT ANEURYSM EM,89100,35321-10-00,Radiology
FMCAT-0062,PERMANENT PACEMAKER INSERTION WITH CRT-B PACEMAKER TRIPLE CHAM,88000,38353-00-00,services
FMCTS-0084,CORONARY ARTERY BYPASS GRAFTING + REPAIR OF VENTICULAR SEPTUM &,88000,99999-99-99,services
FMCAT-0074,FLOW DIVERTER ASSISTED EMBOLIZATION + COILING,82500,35321-10-00,services
FMXRY-9945,FLOW DRIVERTER ASSISTED EMBOLOZATION + COILING,82500,35321-02-00,Radiology
MS-S-003368,SWAB GAUZGE 5X5CM 8PLY XRAY DETECTABLE STERILE,1.1025,35792,supplies
FMCAT-0060,PERMANENT PACEMAKER INSERTION WITH DDDR-ICD PACEMAKER DOUBLE C,77000,38353-00-00,services
FMXRY-0976,INTRACEREBRAL AVM EMBOLIZATION,75064,35321-02-00,Radiology
FMXRY-0982,INTRACEREBRAL ARTERIOVENOUS MALFORMATION EMBOLIZAT,75064,35321-02-00,Radiology
SMC1021,BAG URINE COLLECTING PAEDIATRIC,2.345,58917,supplies
FMPSDK0076,FREE MICROVASCULAR INTEROLATERAL THIGH FLAP,69300,45563-00-00,services
SMJ0009,ELECTRODE ECG PREGELLED PEDIATRI STERILE DISP,2.45,35035,supplies
FMXRY-9946,BY LIQUID EMBOLICS (cyanoacrylates),66000,99999-99-99,Radiology
FMXRY-9947,"BY PRECIPITATED POLYMER (Onyx, Phil)",66000,99999-99-99,Radiology
SME1037,SWAB GAUZE 10X10CM 12/16 PLY X-RAY DETECTABLE NON-STERILE,2.63375,35792,supplies
FMPSDK0077,MICROVASCULAR FOOT REPLANTATION,56650,99999-99-99,services
FMCTSS0029,EXCISION OF LEFT ATRIAL MYOXANA,55000,38670-00-00,services
SMJ0011,ELECTRODE ECG PREGELLED ADULT STERILE DISP.,3.675,35035,supplies
SMJ1960,ELECTRODE RESTING ECG KENDALL # 31447793,3.675,17460,supplies
MS-S-000520,SWAB GAUZE XRAY DETECTABLE 10X10CM 12 PLY STERILE.,4.655,35792,supplies
FMORT-0874,BILIATERAL FEMORAL FOR FIXED BY INLS,55000,99999-99-99,services
FMXRY-0989,HEAD & NECK MALFORMATION EMBOLIZATION,52206,35321-03-00,Radiology
FMCAT-0056,PTCA TV + ONE STENT (DRUG ELUTING DES),49500,38306-00-00,services
SMI1162,"CATHETER SUCTION 12CHX22""W/CONTROL BD #3294(JM-C2412R)",4.9,10749,supplies
FMDNTS0241,BIMAXILLARY COMPLICATED,45122,365,services
FMORW-0049,KNEE EXTARTICULATION WITH TEH  LINA KNEE,44028,96092-00-00,services
FMORW-0044,UPPERARM PROSTHESIS WORK PROST HESIS,42691,96092-00-00,services
SML0335,"CATHETER SUCTION 14CHX22"" W/CONTROL BD #3073 (JM-C2408R)",4.9,34923,supplies
FMADM-0005,MEDICAL SERVICES (TAV),40440,99999-99-99,services
FMADM-0006,MEDICAL SERVICES (YAPI),40440,99999-99-99,services
FMORW-0050,ABOVE KNEE PROSTHESIS WITH TEH LINA KNEE,40024,96092-00-00,services
FMORW-0053,HIP EXARTICULATION PROSTHESIS  FREE KNEE,40024,96092-00-00,services
FMORW-0048,KNEE EXARTICULATION PROSTHESIS,38693,96092-00-00,services
FMCAT-0055,PTCA DV + ONE STENT (DRUG ELUTING DES),38500,38306-00-00,services
FMCAT-0059,PERMANENT PACEMAKER INSERTION WITH DDDR PACEMAKER DOUBLE CHA,38500,38353-00-00,services
FMXRY-0987,SCREENING FOR BREAST CANCER,38500,59303-00-00,Radiology
FMORW-0052,ABOVE KNEE PROSTHESIS FREE KNEE,37356,96092-00-00,services
FMODT-0112,GRADE VII MALOCCL TOTAL,36575,963,services
FMXRY-0937,CAROTID STENTING,35145,35307-00-00,Radiology
FMDNTS0240,BIMAXILLARY WITH GRAFTING,34859,365,services
FMORW-0051,ABOVE KNEE PROSTHESIS KNEE     ADJUSTABLE,34689,96092-00-00,services
SML0328,CATHETER SUCTION 6CH W/CONTROL,4.9,34923,supplies
FMORT-0859,INTERLOCKING NAIL HUMERUS,34375,47451-00-01,services
FMERDA0064,I.M. OR SUBCUTICULAR INJECTION,6,96197-19-00,services
FMCAT-0039,VASCULAR STENT PLACEMENT SINGLE VESSAL ONE STENT,33000,35309-06-00,services
FMCAT-0054,PTCA SV + ONE STENT (DRUG ELUTING DES),33000,38306-00-00,services
FMPDS-0160,HEPATO JEJENOSTOMY-CHOLONNGEO GUGENESTOMY,33000,30460-07-00,services
FMINT-0099,INSULIN INJECTION IN THE CLINI C,6,96200-06-00,services
FMODT-0110,GRADE VI MALOCCL.  TOTAL,32901,963,services
FMODT-0116,GRADE VII MALOCCL. TOTAL,31647,99999-99-99,services
FMDNTS0239,BIMAXILLARY WITHOUT GRAFT,30767,365,services
FMORW-0046,BELOW KNEE PROSTHESIS WITH CUFF,30492,96092-00-00,services
FMNEU-0092,STEREOTATIC THALAMOTOMY,30322,40801-00-00,services
FMNEU-0093,STEREOTATIC POLIDOTOMY,30322,40801-00-00,services
FMODT-0106,GRADE V MALOCCL. TOTAL,29249,963,services
FMODT-0107,GRADE V MALOCCLUSION  TOTAL,29249,963,services
FMSUR-9091,AUXILLARY ARTERY REPAIR,28952,90222-00-00,services
FMODT-0111,GRADE VI MALOCCLUSSION TOTAL,28468,99999-99-99,services
FMXRY-0936,VASCULAR STENT PLACEMENT,28105,38312-00-00,Radiology
FMCAT-0057,INFERIOR VENA CAVA FILTER,27500,35330-01-01,services
FMCTSS0026,OPEN HEART SURGERY BY EXTERNAL TEAM,27500,99999-99-99,services
FMPDT-0016,I.M. INJECTION UP TO 4 YEARS,6,96197-19-00,services
FMNEU-9930,EXCISION OF CAREBRAL ABCESS,27500,39709-00-00,services
FMORT-0845,RADIAL HEAD REPLACEMENT,27500,49112-00-01,services
FMPTDO0001,I.M. INJECTION,6,96197-19-00,services
SMI1161,CATHETER SUCTION 10CHX56CM W/CONTROL BD #3072,6.125,63649,supplies
FMORW-0047,BELOW KNEE PROSTHESIS WITH CUFF PLUS ISCHIEDICUS SUPPORT,26015,96092-00-00,services
SMI1164,"CATHETER SUCTION 16CHX22"" W/ CONTROL BD #02-3069",6.125,16779,supplies
FMODT-0090,GRADE IV MALOCCL. TOTAL,25586,963,services
FMDNTO0025,GRADE VII MALOCCL TOTAL,25410,963,services
FMPSDH0023,SKIN GRAFT WITH INTEGRA 15% + 3 SHEET,24409,90672-01-00,services
FMDNTO0021,GRADE VI MALOCCL. TOTAL,22869,963,services
FMORW-0045,BELOW KNEE PROSTHESIS WITHOUT  CUFF,22682,96092-00-00,services
FMXRY-0942,IVC FILTER PLACEMENT,22495,35330-00-01,Radiology
FMNEP-0017,HEMODIALYSIS TYPE C1 (48 SE),22176,13100-00-00,services
FMODT-0091,GRADE IV MALOCCLUSION TOTAL,22165,963,services
FMCAT-0058,PERMANENT PACEMAKER INSERTION WITH V.V.I PACEMAKER SINGLE CHAMB,22000,38353-00-00,services
FMODT-0025,GRADE VII MALOCCL. TOTAL,22000,99999-99-99,services
SML0332,"CATHETER SUCTION 8CHX14"" W/CONTROL BD #3071 (JM-C2408R0",6.125,34923,supplies
SMA2040,PHOTOTHERAPY EYE PROTECTOR .#4645/NASCOR#B001,6.125,64273,supplies
FMODT-0085,GRADE III MALOCCL. TOTAL,21945,963,services
FMORW-0070,POLIO ABOVE KNEE WALKING BRACE THIGH CUFF,21346,96092-00-00,services
FMXRY-0927,CHEMOEMBOLIZATION,21098,35321-10-00,Radiology
FMXRY-0964,THROMBOLYSIS,21098,96206-01-00,Radiology
FMNUR-0001,INTRAMUSCULAR OR SUBCUTICULAR  INJECTION,7,96197-19-00,services
FMPDT-0174,PRIMPERAN INJECTION,7,96196-19-00,services
MS-P-000023,PROBE COVER F/FILAC THERMOMETER (ORAL & RECTAL),8.575,37340,supplies
FMPSD-2005,DORGALIN PEDIA ISLAND FLAP,20625,45563-00-00,services
FMPSD-2007,REPAIR OF COMPLETE CLEFT PALATE ONE STAGE,20625,45707-00-00,services
FMURO-2086,LASER STONE DESINTIGRATION STAG HORN SINGLE KIDNEY,20625,36546-00-00,services
SME1045,SPONGE GAUZE TELETRAST BIG 24X24CM X-RAY DETECTABLE #877124/2 #482299,9.8,44971,supplies
FMACUA0025,ACUPUNCTURE MEDEL,11,93173-00-00,services
FMDNTO0017,GRADE V MALOCCL. TOTAL,20328,963,services
FMODT-0017,GRADE V MALOCCLUSION TOTAL,20328,99999-99-99,services
FMCAT-0040,AORTIC ILIAC ANGIOPLASTY SINGLE VESSAL,19800,38300-00-00,services
FMCAT-0053,PTCA SV + ONE STENT (NORMAL STENT) B.M.S,19800,38306-00-00,services
FMNEU-0175,ATTEMPT ENDOVASCULAR AVM EMBOLIZATION,19800,35321-10-00,services
FMODT-0021,GRADE VI MALOCCLUSSION TOTAL,19800,99999-99-99,services
FMNUR-0002,I.V. INJECTION,11,96199-19-00,services
FMLAB-9861,ONCOTYPE DX,19250,73350-05-50,Laboratory
FMODT-0086,GRADE III MALOCCLUSSION  TOTAL,18997,963,services
FMDNTO0060,GRADE SVERE MALOCCLUSION TOTAL,18821,963,services
FMODT-0102,GRADE SVERE MALOCCLUSION TOTAL,18821,963,services
FMCAT-0033,CORONARY STENTING PTCA TV (4 STENTS),18700,38306-01-00,services
FMORW-0028,CHENEAU SCOLIOSIS BRACE,18678,96092-00-00,services
FMORW-0040,FOREARM PROSTHESIS COSMETIC &  WORK HOOK,18678,96092-00-00,services
FMORW-0041,UPPERARM PROSTHESIS & ELBOW JOINT COSMETIC,18678,96092-00-00,services
FMNUR-0035,NASAL TUBE SUCTIONING,11,96157-00-00,services
FMODT-0080,GRADE II MALOCCL. TOTAL REM. STAGE I,18282,963,services
FMODT-0113,GRADE VII MALOCCL IST DEPOSIT,18282,963,services
FMXRY-0973,RECURRENT VARICOCELE EMBOLIZATION-BILATERAL,18271,35321-06-00,Radiology
FMPDT-0017,I.V. INJECTION UP TO 4 YEARS,11,90029-00-00,services
FMNEU-0091,STEREOTATIC GUIDED-CRANEOTOMY,18194,40801-00-00,services
FMORT-0683,EXPLORATION AND REPAIR OF BRAC HIAL FLEXUS.,18194,39300-00-00,services
FMORT-0556,ORTHOSIS V,18150,96092-00-00,services
