WIPRO CODE,NAME,Price,SBS
MS-R-000830, ROD CARBON CONNECTING 8x300MM IMPLANTCAST #CF08-300,1980,46453
MS-S-008854, SCREW LOCKING 5.0x30MM CHM #3.5210.030,1566,56642
MS-A-000122,ABLATOR ASPIRATING SIZE 50 DEG ARTHREX #AR¿9803A-50,3255,58039
MS-A-000123,ABLATOR ASPIRATION TOOTH BRUSH 90 DEG ARTHREX #AR-9705A-90,3276.875,58039
MS-A-000147,ABLATOR MENISCECTOMY 90 DEGREE COOLCUT ARTHREX # AR-9802M-90,3675,58039
MS-A-000513,"ACETABULAR CUP SIZE 56MM, HIPOKRAT # 77.2300",11812.5,34076
MS-A-000087,ACETABULAR REVISION SYSTEM 54X20MM ZIMMER #4894-054-20,22500,60516
SMF3112,ACID CITRIC POWDER F/HEAMODIALYSIS MACHINE 1KG/BAG PSI,61.25,35849
MS-A-000517,"ACT+TEST CUVETTE-SILICA KAOLIN BASED ACTIVATED CLOTTING TIME TEST CUVVETTE, ACCRIVA DAIGNOSTICS # JACT",787.5,55994
MS-A-000086,ADAPTER DRIVER SOFAMOR # 7480523,3589.25,33968
MS-A-000481,"ADAPTOR -Y 9,5FR DOUBLE , B/BRAUN # 5020743 B.BRAUN # 5020743",1050,60538
SML1517,ADAPTOR MALE LUER LOCK MEDINORM #15-00-310/4074-1,4.9,60538
MS-A-000121,ADAPTOR WITH VALVE ROTATING BALTON # YCONV,651,47483
MS-A-000120,ADAPTOR Y-TYPE ROTATING W/ VALVE BALTON # RYVA,966,47483
MS-A-000109,ADHESION BARRIER REF#9380003 MEDISHIELD 46516,8556.625,64416
MS-A-000030,ADMISSION KIT BLUE F/MALE PATIENT,189.875,33961
MS-A-000025,ADMISSION KIT RED F/FEMALE PATIENT,180.705,33961
SMA1180,ADULT DIAPER LARGE SIZE,14.35,11239
SMA1179,ADULT DIAPER MEDIUM SIZE,14.595,11239
SMA1178,ADULT DIAPER SMALL SIZE # HARMONY,13.23,11239
MS-A-000504,AIR MATTRESS WITH PUMP N/A # *,1330,35183
SMI1654,AIRWAY GUEDEL INFANT SIZE 00 BLUE STER DISP. #1-1504-50,11.6375,42424
SMI8910,AIRWAY GUEDEL SIZE 0 CHILD BLACK,18.27,42424
MS-A-000017,AIRWAY GUEDEL SIZE 00 STERILE DISPOSABLE.,26.355,42424
SMI1166,AIRWAY GUEDEL SIZE 01 CHILD WHITE 60MM STR.DISP.#27166,26.355,42424
SMI1167,AIRWAY GUEDEL SIZE 02 CHILD GREEN 70MM STER.DISP.#1-1504-70,26.355,42424
SMI1169,AIRWAY GUEDEL SIZE 04 ADULT RED 90MM STER. DIS. #1-1504-90,26.355,33089
SMI1168,AIRWAY GUEDEL SIZE 3 ADULT ORANGE 80MM STER. DISP. #1-1504-80,26.355,33089
SMI1393,AIRWAY NASO PHARYNGEAL DISPOSABLE SIZE 7.0 MM #100/210/070/8888-247031,245,42421
SMI9870,AIRWAY NASOPHARYNGEAL 32FR/8MM # 038-95-008,196,42422
SMI5357,AIRWAY NASOPHARYNGEAL DISPOSABLE SIZE 8 PORTEX #100/210/080,196,42422
MS-A-000136,ALLOGRAFT (BONE GRAFT) BIO-IMPLANT CANCELLOUS (1-8MM) 30CC SOFAMOR # PCAN30,6964.125,47967
MS-A-000038,ALLOGRAFT CANCELLOUS CRUSHED 1-4MMX15CC ISOTIS# 03-0100-150,9187.5,47967
MS-A-000037,ALLOGRAFT CANCELLOUS CRUSHED 1-4MMX30CC ISOTIS# 03-0100-300,11812.5,47967
MS-A-000082,AMBU BAG DISPOSABLE ADULT,630,17591
SMI1324,AMNIOHOOK STERILE DISPOSABLE,12.25,64022
SMA3449,ANAESTHETIC FACE MASK (STRAWB) SIZE1 #038-52-430SFS,121.905,46232
SMA3448,ANAESTHETIC FACE MASK (STRAWB) SIZE2#038-52-420SFS,682.5,46232
MS-A-000079,ANCHOR BIOPUSHLOCK 3.5 X 19.5MM ARTHREX #AR-1926B,4330.375,45061
MS-A-000514,"ANCHOR SUTURE 4.5 CORK SCREW W/ONE # 2 FIBER WIRE AND ONE #2 TIGER WIRE, ARTHREX # AR-1928SF-45",3094,45062
MS-A-000515,"ANCHOR SUTURE CORK SCREW FT II # 2 FIBER WIRE AND ONE #2 TIGER WIRE, ARTHREX # AR-1928SF-2",3094,45062
MS-A-000494,ANEURYSM EMBOLIZATION SYSTEM W4-7-3 TERUMO # W4-7-3,117000,60940
MS-A-000138,ANKLE FOOT ORTHOSIS ABOVE KNEE,1500,36206
MS-A-000029,ANTERIOR CERVICAL PLATE 45MM # 876-145,6737.5,46653
SMI9922,"AORTEC CANNULA 7MM/21FR W/CON # RA-1137,CALMID",1312.5,34893
SMI9926,"AORTEC ROOT CANNULA W/VENT LINE #AR-11114,CALMED",787.5,34893
MS-A-000126,APPLICATOR ARISTA AH 3G EUROPE FOR HEMOSTATIC # SM0002,2800,38771
MS-A-000127,APPLICATOR ARISTA AH 5G EUROPE FOR HEMOSTATIC# SM0007,3500,58059
MS-A-000128,APPLICATOR FLEXITIP 14CM FOR HEMOSTATIC # AM0004,1800,60502
MS-A-000155,"APPLICATOR STERILE SOLU PREP 2% CHG 35ML , 3M # 100.24",575.75,60502
SME0009,APRON PLASTIC WHITE DISP.,0.98,31044
SMY1017,"ARM BOARD FOR CHILD 9""",17.15,37047
SME1055,ARM SLEEVE STERILE KINIDRAPE #623501,73.5,61939
SMD1106,ARM SLING MEDIUM SCOTT,131.81,13622
SMD1270,ARM SLING STRAP ADULT X-LARGE,147,13622
SMD1269,ARM SLING STRAP CHILD SMALL SCOTT #1202-01,167.23,13622
SMD1107,ARM SLING STRAP LARGE SCOTT #1203-03/80/0-01,159.25,13622
SMI9566,ARTERIAL FILTERS ADULT GAF40-2BP,2625,33309
MS-A-000124,"ARTICULAR SURFACE LPS-FLEX 14MM , ZIMMER # 5964-32-14",6737.5,46585
MS-A-000077,ARTICULAR SURFACE LPS-FLEX 9MM ZIMMER #596404009,6737.5,46585
MS-A-000146,ASPIRATING ABLATOR 30° COOLCUT ARTHREX # AR-9803A-30,3675,58039
MS-A-000497,AVITENE COLLAGEN HEMOSTAT 105004 N/A # 105004,2044,47201
SMA1012,BABY DIAPER INFANT (3-6KG),4.305,35008
SMA1014,BABY DIAPER LARGE SIZE 10-20KG,5.88,35008
SMA1013,BABY DIAPER MEDIUM 6 -10KG,5.495,35008
SMA3496,BABY DIAPER NEONATAL 1-3 KG,1.47,35008
SMA3440,BABY WET WIPES PKT OF 72/80PCS.,82.705,61694
MS-B-000898,"BACTERIN , MEDTRONIC # B140117 ¿ 103415",5512.5,47257
MS-B-000903,BACTERIN CANCELLOUS 4-10 MM X 15CC # MEDTRONIC,14512.5,47257
MS-B-001185,BAG ACCESS PLASTIC INFUSION ADAPTOR C100 PHASEAL C100 BD # 272515306,306.25,35127
MS-B-001642,BAG AMBU DISPOSABLE F/PEDIA AMBU # 1,630,17591
MS-B-000967,BAG BSS FOR CENTURION PHACO MACHINE ALCON # 7950176,673.75,63972
MS-B-000586,BAG COLOSTOMY 32MM DRAINABLE CONVATEC #20911 / 402531,85.75,31076
MS-B-000468,BAG COLOSTOMY 57MM CONVATEC #402534,85.75,31076
MS-B-000469,BAG COLOSTOMY 70MM CONVATEC #402535,110.25,31076
MS-B-000470,BAG COLOSTOMY STOMAHESIVE 57MM CONVATEC#125145,220.5,46206
MS-B-000471,BAG COLOSTOMY STOMAHESIVE 70MM CONVATEC#400949,245,46206
SME1112,BAG COLOSTOMY W/ GUM 19-64MM DRAINABLE CONV. #22771,245,61021
MS-B-000731,BAG ENDO DETACHABLE 3X6 # RB002,1380,58982
MS-B-001032,"BAG FOR URINE RESERVOIR SIZE 45 MM , CONVATEC # 2984",1260,58917
MS-B-001639,BAG MULTIBIC SOLUTION FRESENIUS # N/A,866.25,35127
MS-B-000953,BAG RESERVOIR 2 LITER W/15 FR SMD #314-2-12B,147,58917
SMC1021,BAG URINE COLLECTING PAEDIATRIC,2.345,58917
SMC0018,BAG URINE DRAINAGE 2000ML NONSTERILE DISP.,10.185,58917
SMO6907,"BALL HEAD 28MM,12/14,49.5MM LINK #128-747",3567.8125,33175
SMO6908,"BALL HEAD 28MM,12/14,53.0MM LINK #128-748",3420.8125,33175
SMO6909,"BALL HEAD 28MM,12/14,60.0MM LINK #128-783",3368.75,33175
SMO11325,BALL HEAD PROS. 24/46MM LINK #128-743/46,3045,33175
SMO11611,BALL HEAD PROS. 24/49.5MM LINK #120-743/49,4042.5,33175
SMO11014,BALL HEAD PROS. 28MM LINK #128-748,3027.5,33175
SMO10969,BALL HEAD PROSTHESIS 28MM H/N-1 46MM LINK#128-746,6125,33175
MS-B-000504,BALLON ULTRA THIN DILAT CAT 12-4-5. 8-120 BOSTON #M001165340,5527.8125,47732
MS-B-001818,"BALLOON BAKRI POSTPARTUM W/RAPID INSILLATION, COOK # J-SOSR-100500",2537.5,12155
MS-B-001955,BALLOON CATHETER BALT USA # ECL2L 6X12,12862.5,32584
MS-B-000372,BALLOON CATHETER DILATOR 600MM/18FR ECLIPSE,8050,32584
MS-B-000062,BALLOON CATHETER PTCA ALL SIZES.,1820,47732
MS-B-000482,BALLOON CATHETER RELIANT 12FR MEDTRONIC #AB46,12993.75,17184
MS-B-000068,BALLOON CAYOTE 4FR ALL SIZES,4961.25,17184
MS-B-000771,BALLOON CONICAL AMPHIRION DEEP INVATEC#MB-AMC,7656.25,17184
MS-B-000306,BALLOON DILATOR URETERIC 15FR 4CM # BD4145,3255,38821
MS-B-001210,BALLOON DRUG COATED LUTONIX CORONARY DCB DIFF. SIZES BARD #9020,15187.5,17521
MS-B-000526,BALLOON DRUG ELUTING 2.0X20MM INVATEC #20020B12,9975,47732
MS-B-000669,BALLOON DRUG ELUTING IN-PACT FALCON ALL SIZES INVATEC # 072-FL-2002B12,9187.5,47732
MS-B-001802,"BALLOON EXPANDABLE VIABAHN,DIFFERENT SIZES#GORE MEDICAL USA#BXAXXXX2E GORE # BXAXXXX2E",32062.5,62218
MS-B-000930,"BALLOON IN-PACT FALCON DEB ALL SIZE , MEDTRONIC # FLCP25014B12",11812.5,47732
MS-B-000069,BALLOON MUSTANG 5FR ALL SIZES/INVATEC#MB-AMR,3552.5,17184
MS-B-000769,BALLOON PACIFIC XTREME LONG REGULAR INVATEC#MB-PAR,4287.5,17184
SMI8873,BALLOON PTCA 2.5MMX20MM X1S MEDTRONIC #X1S2520,3325,47732
SMI6316,BALLOON PTCA X1S 1.5X20MM AVE MEDTRONIC #X1S1520,3325,47732
MS-B-001739,"BALLOON STERLING OTW 3.5X40X135CM , BOSTON # H74939031354010",4134.375,17184
MS-B-001912,"BALLOON STERLING OTW 6X30MM X135CM , BOSTON # H74939031603010",4134.375,17184
MS-B-001209,BALLOON VENOUS LARGE DIAMETER ATLAS GOLD DIFF. SIZES ATLAS BARD #ATG,6125,44794
SMI8938,BALOON PTCA MAVERICK MONORAIL 2.0X20MM #302752020,3255,47732
MS-B-000416,BAND TR 20CM RADIAL ARTERY HAEMOSTASIS DEVICE TERUMO #XX*RF06,1155,58704
SMA1997,"BAND-AID SPOTS 7/8X7/8"" #4930",0.63,34864
SMA1112,BAND-AID STRIPS 19X72MM,0.49,34864
MS-B-000797,BANDAGE CONTACT LENSE 6PK,218.45425,36054
SMA1030,BANDAGE COTTON CONFORMING 10CMX4.5M LOHM.#14413 /DAM#872320/5,6.125,10284
SME1033,BANDAGE COTTON CONFORMING 6/4CMX4M LOHM#14410 /DAM#872316/1,6.37,47011
SME1034,BANDAGE COTTON CONFORMING 8CMX4M MOLIL.#14412 /DAM# 872318/9,6.755,47011
SME1035,BANDAGE COTTON ELASTIC 10CM X4M S&N #3823/931525/2,9.555,33536
MS-B-001814,"BANDAGE CREPE 4.5MTR X 10CM, LOCAL . # NA",15.925,10284
MS-B-000081,BANDAGE CREPE 4.5MTR X 15CM,20.23,10284
MS-B-000082,BANDAGE CREPE 4.5MTR X 7.5CM,13.475,10284
MS-B-000083,BANDAGE CREPE 4.5MTR X5CM,9.205,10284
SMA1041,BANDAGE DELTA ROLL 10CMX2.75M LOH #92842 /DAM#325532/8,30.625,47011
SMA1042,BANDAGE DELTA ROLL 15CMX2.75M LOH#92843,16.905,47011
SMA1043,BANDAGE DELTA ROLL 20CMX2.75M JJ #51695/92844,44.1,58963
SMA1040,BANDAGE DELTA ROLL 7.5CMX2.75M LOH#92841 /DAM#325531/9,22.197,58963
SMA1025,BANDAGE ELASTIC ADH-7.5CMX4.5M TENSOPLAST # 62-4058,16.555,34864
SMA1015,BANDAGE ELASTIC CRAPE 8CMX4.5M LOHM#19461 /DAM#872202/8,18.375,44952
SMA1018,BANDAGE ELASTIC CRAPE LENKELAST 15CM #50419464,14.7,44952
SMA1016,BANDAGE ELASTIC CREPE 10CMX4.5 LOHM # 19462 /DAM#872204/6,16.31,44952
SMA1017,BANDAGE ELASTIC CREPE 12CM,36.75,10284
SMD1084,"BANDAGE FIBREGLASS WHITE 2"" 3M #82002/S&N #4791",122.5,33536
SMD1085,"BANDAGE FIBREGLASS WHITE 3"" 3M #82003/S&N #4792",127.295,33536
SMD1086,"BANDAGE FIBREGLASS WHITE 4""3M #82004/S& N #4793/25203",159.25,33536
SMD1087,"BANDAGE FIBREGLASS WHITE 5"" 3M #82005/J&J #6825/4797/25204",196,33536
SMA0035,BANDAGE GAUZE COTTON 10CM X 4M #1-008-044,17.045,58964
SMA0032,BANDAGE GAUZE COTTON 4CMX4M,10.29,58964
SMA0034,BANDAGE GAUZE COTTON 7.5/8CMX4M LOH.#14412 / 1-008-0042,13.23,58964
SMD1026,BANDAGE POP GYPSONA 10CM X 270CM #62-7072,62.475,10284
SMD1027,BANDAGE POP GYPSONA 15CM #62-7074,23.275,10284
SMD1024,BANDAGE POP GYPSONA 5CMX270CM #62-7070,9.9225,33536
SMA1244,BANDAGE TRIANGULAR 90X90 127CM # 874 100/7,66.15,47011
SMA1134,BANDAGE TUB .F/HEAD 4R HARTMANN #427114/8/ (LOHMAN),330.75,31724
SMA1135,BANDAGE TUBULAR F/HEAD 5R HARTMANN #427115/7 (LO RL,330.75,31724
MS-B-001179,BASE F/ COLOSTOMY BAG STOMAHESIVE 32MM CONVATEC # 125142,196,46206
MS-B-001031,"BASE FOR URINE RESERVOIR SIZE 45 MM , CONVATEC # 125144",945,46206
SMY1282,BATH SITZ PORTABLE,140.875,35340
MS-B-001842,"BEARING HUMERAL 44-36MM, BIOMET # XL-115363",3395,48092
MS-B-001180,BEARING PS FEMORAL COMPLETE FIXED LEFT MEDIUM SMALL LINK #ORT-LIN-318-413/26,12375,32831
SMC1034,BEDPAN PLASTIC RE-USABLE .,428.75,34867
SMI9987,"BELLOW & WATER TRAP,SENSORMEDICS#766897",2100,15783
MS-B-001883,"BENCH MARK 6F 071MP+ BER SELECT,PENUMBRA #BMK6F95MBER120",10368.75,10691
MS-B-000507,BI-BAG 5008S 900GM FRESENIUS#5060801,414.05,35849
SMD3697,BILATERAL A.F.O SPLINT .,4593.75,36206
MS-B-001810,"BIO 1-QUIQSET 15CC, SBM SAS # QUICK26240",12993.75,17751
MS-B-001043,BIOCOMPOSITE PUSH LOCK 4.5MMX28MM ARTHREX# AR-1922BCM,4318.125,45027
SMY6956,BIOLOGICAL INDICATOR STEAM STERILIZATION #1292E,3150,13732
MS-B-001812,"BIPOLAR HEAD 56MM, CHM # 21510056",9450,33695
MS-B-000147,BIT DRILL 1.1MM W/STOP L44.5/8M SYN#317.18,2100,32390
MS-B-000620,BIT DRILL 1.5MM X 50/12MM SYNTHES #03.503.412,2094.75,32390
MS-B-000534,BIT DRILL 1.5X90MM 2-FLUTE SYNTHES #03.503.551,2485,32390
MS-B-000906,"BIT DRILL 1.8 MM , SYNTHES # 310.508",1410,32390
MS-B-001821,"BIT DRILL STAINLESS STEEL 3.2MM, MEDTRONIC # 7756131",4667.25,43390
MS-B-001733,BIT DRILL Y-KNOT 1.8MM CONMED # Y18D,2100,11332
MS-B-000677,BLADE DERMATOME ZIMMER #00-8800-000-10  ,2422,45493
MS-B-001160,BLADE F/ LARYNGOSCOPE DIS. CURVED MACINTOSH SIZE 1 ; TIMESCO # DS-3940-157,245,46828
MS-B-001159,BLADE F/ LARYNGOSCOPE DIS. STRAIGHT MILLER SIZE 2 ;TIMESCO # DS-3940-185-15,281.75,46828
MS-B-000783,BLADE F/LARYNGOSCOP MILLAR DISPOABLE SIZE 00,281.75,46828
MS-B-001136,BLADE F/LARYNGOSCOPE DISP. CURVED MACINTOSH SIZE 2 # 7042000,245,46828
MS-B-000420,BLADE F/LARYNGOSCOPE DISPOSABLE CURVED MACINTOSH SIZE 3 #7043000,245,46828
MS-B-000421,BLADE F/LARYNGOSCOPE DISPOSABLE CURVED MACINTOSH SIZE 4 #7044000,245,46828
MS-B-000782,BLADE F/LARYNGOSCOPE DISPOSABLE MILLER SIZE 0,281.75,46828
MS-B-000772,BLADE F/LARYNGOSCOPE DISPOSABLE MILLER SIZE 1,281.75,46828
MS-B-001140,"BLADE F/NAIL PROXIMATE FEMORAL 100MM , SYNTHES # 04.027.035S",4950.75,47788
MS-B-001139,"BLADE F/NAIL PROXIMATE FEMORAL 110MM , SYNTHES # 04.027.037S",8663.8125,47788
MS-B-000738,BLADE F/SURGICAL HAIR REMOVAL CLIPPER 3M #9660,269.5,63267
MS-B-001844,"BLADE HELICAL TFNA PERFORATED, L100MM, SYNTHES # 04.038.400S",8602.125,47788
MS-B-001008,BLADE OSCIL 25.4 X 95 X 0.9MM # 5071-121,1560,46476
MS-B-000999,BLADE OSCIL FINE 5.5 X 25.5 X 0.6MM #5071246,3675,46476
MS-B-001203,BLADE OSCILLATOR 12.7 X 90 X 0.89 MM CONMED # 507158300,1816.5,46476
MS-B-001206,BLADE OSCILLATOR 19.5 X 41 X 0.4 MM CONMED # 507113200,1092,46476
MS-B-001202,"BLADE OSCILLATOR 19.5 X 90 X 1.2 MM , CONMED # 507118400",1911,46476
MS-B-001205,BLADE OSCILLATOR 25.4 X 95 X 1.0 MM CONMED # 507153800,2544.5,46476
