Code,Discription,Price,Class VIP A,SBS Mappping
CONS,Consultation,60,consultation fee,83600-00-20
FMCAT-0061,PERMANENT PACEMAKER INSERTION WITH CRT-D PACEMAKER TRIPLE CHAM,104500,114950,38353-00-00
FMXRY-9948,AMV NIDUS EMBOLIZATION +FLOW DEPENDENT ANEURYSM EM,89100,98010,35321-10-00
FMCAT-0062,PERMANENT PACEMAKER INSERTION WITH CRT-B PACEMAKER TRIPLE CHAM,88000,96800,38353-00-00
FMCTS-0084,CORONARY ARTERY BYPASS GRAFTING + REPAIR OF VENTICULAR SEPTUM &,88000,96800,99999-99-99
FMCAT-0074,FLOW DIVERTER ASSISTED EMBOLIZATION + COILING,82500,90750,35321-10-00
FMXRY-9945,FLOW DRIVERTER ASSISTED EMBOLOZATION + COILING,82500,90750,35321-02-00
FMORW-0043,UPPERARM PROSTHESIS (MYOELECTR IC 4 CHANNELS),77374,85112,96092-00-00
FMCAT-0060,PERMANENT PACEMAKER INSERTION WITH DDDR-ICD PACEMAKER DOUBLE C,77000,84700,38353-00-00
FMXRY-0976,INTRACEREBRAL AVM EMBOLIZATION,75064,82571,35321-02-00
FMXRY-0982,INTRACEREBRAL ARTERIOVENOUS MALFORMATION EMBOLIZAT,75064,82571,35321-02-00
FMORW-0042,UPPERARM PROSTHESIS (MYOELECTR IC 2 CHANNELS),74707,82178,96092-00-00
FMPSDK0076,FREE MICROVASCULAR INTEROLATERAL THIGH FLAP,69300,76230,45563-00-00
FMORT-0844,ANTERIOR CERVICAL DISECTOMY+CAGEINSRTN+BONESUBST.+PLAT 2LEVL,68750,75625,40333-01-00
FMXRY-9946,BY LIQUID EMBOLICS (cyanoacrylates),66000,72600,99999-99-99
FMXRY-9947,"BY PRECIPITATED POLYMER (Onyx, Phil)",66000,72600,99999-99-99
FMORW-0039,FOREARM PROSTHESIS ELECTRIC (MYOELECTRIC),60038,66042,96092-00-00
FMPSDK0077,MICROVASCULAR FOOT REPLANTATION,56650,62315,99999-99-99
FMCTSS0029,EXCISION OF LEFT ATRIAL MYOXANA,55000,60500,38670-00-00
FMORT-0082,POSTERIOR CORPECTOMY OF LUMBAR SPINE FROM POSTERIOR APPROACH,55000,60500,48639-00-00
FMORT-0857,OPEN REDUCTION INTERNAL FIXATION OF BICODYLAR FRACTURE TIBIA,55000,60500,47566-01-01
FMORT-0873,ILIZAROVE EXTERNAL FIXATOR FOR COMPOUND FRACTURE,55000,60500,50130-00-01
FMORT-0874,BILIATERAL FEMORAL FOR FIXED BY INLS,55000,60500,99999-99-99
FMXRY-0989,HEAD & NECK MALFORMATION EMBOLIZATION,52206,57427,35321-03-00
FMCAT-0056,PTCA TV + ONE STENT (DRUG ELUTING DES),49500,54450,38306-00-00
FMORT-0083,CORRECTION & FIXATION OF SPINAL DEFEMITY DISSECTION IN LAYER,48125,52938,90604-00-00
FMDNTS0241,BIMAXILLARY COMPLICATED,45122,49635,365
FMORW-0049,KNEE EXTARTICULATION WITH TEH  LINA KNEE,44028,48431,96092-00-00
FMORW-0044,UPPERARM PROSTHESIS WORK PROST HESIS,42691,46961,96092-00-00
FMORT-0843,ANTERIOR CERVICAL DISECTOMY+CAGEINSRTN+BONESUBST.+PLAT 1LEVL,41250,45375,40333-00-00
FMADM-0005,MEDICAL SERVICES (TAV),40440,44484,99999-99-99
FMADM-0006,MEDICAL SERVICES (YAPI),40440,44484,99999-99-99
FMORW-0050,ABOVE KNEE PROSTHESIS WITH TEH LINA KNEE,40024,44027,96092-00-00
FMORW-0053,HIP EXARTICULATION PROSTHESIS  FREE KNEE,40024,44027,96092-00-00
FMORW-0048,KNEE EXARTICULATION PROSTHESIS,38693,42563,96092-00-00
FMCAT-0055,PTCA DV + ONE STENT (DRUG ELUTING DES),38500,42350,38306-00-00
FMCAT-0059,PERMANENT PACEMAKER INSERTION WITH DDDR PACEMAKER DOUBLE CHA,38500,42350,38353-00-00
FMXRY-0987,SCREENING FOR BREAST CANCER,38500,42350,59303-00-00
FMORW-0052,ABOVE KNEE PROSTHESIS FREE KNEE,37356,41092,96092-00-00
FMODT-0112,GRADE VII MALOCCL TOTAL,36575,40233,963
FMXRY-0937,CAROTID STENTING,35145,38660,35307-00-00
FMDNTS0240,BIMAXILLARY WITH GRAFTING,34859,38345,365
FMORW-0051,ABOVE KNEE PROSTHESIS KNEE     ADJUSTABLE,34689,38158,96092-00-00
FMORT-0858,OPEN REDUCTN INT. FIX. OF COMMIMTED FRACT PROXICAL HUMERUS W,34375,37813,47429-01-01
FMORT-0859,INTERLOCKING NAIL HUMERUS,34375,37813,47451-00-01
FMORT-0081,OPEN REDUCTN & INT FIX WT HEADLES SCREW OF FRACT HEAD  FEMUR,34100,37510,47528-01-01
FMCAT-0039,VASCULAR STENT PLACEMENT SINGLE VESSAL ONE STENT,33000,36300,35309-06-00
FMCAT-0054,PTCA SV + ONE STENT (DRUG ELUTING DES),33000,36300,38306-00-00
FMPDS-0160,HEPATO JEJENOSTOMY-CHOLONNGEO GUGENESTOMY,33000,36300,30460-07-00
FMPSD-2004,BILATERAL MID FACE DISSECTION WITH ORBICULERIS ORIS MUSCLE BILATER,33000,36300,45683-00-00
FMODT-0110,GRADE VI MALOCCL.  TOTAL,32901,36192,963
FMODT-0116,GRADE VII MALOCCL. TOTAL,31647,34812,99999-99-99
FMDNTS0239,BIMAXILLARY WITHOUT GRAFT,30767,33844,365
FMORW-0046,BELOW KNEE PROSTHESIS WITH CUFF,30492,33542,96092-00-00
FMNEU-0092,STEREOTATIC THALAMOTOMY,30322,33355,40801-00-00
FMNEU-0093,STEREOTATIC POLIDOTOMY,30322,33355,40801-00-00
FMODT-0106,GRADE V MALOCCL. TOTAL,29249,32174,963
FMODT-0107,GRADE V MALOCCLUSION  TOTAL,29249,32174,963
FMSUR-9091,AUXILLARY ARTERY REPAIR,28952,31848,90222-00-00
FMODT-0111,GRADE VI MALOCCLUSSION TOTAL,28468,31315,99999-99-99
FMXRY-0936,VASCULAR STENT PLACEMENT,28105,30916,38312-00-00
FMCAT-0057,INFERIOR VENA CAVA FILTER,27500,30250,35330-01-01
FMCTSS0026,OPEN HEART SURGERY BY EXTERNAL TEAM,27500,30250,99999-99-99
FMNEU-9929,MICROSCOPIC LUMBAR DISECTOMY,27500,30250,48636-00-00
FMNEU-9930,EXCISION OF CAREBRAL ABCESS,27500,30250,39709-00-00
FMORT-0845,RADIAL HEAD REPLACEMENT,27500,30250,49112-00-01
FMORT-0854,ORIF FRACTURE SUBTROCHANTERIC FEMUR,27500,30250,47528-01-01
FMPSDF0030,PANECELECTOMY OF REDUDANT ABDOMEN 4TH DEGREE,27500,30250,30165-00-00
FMORW-0047,BELOW KNEE PROSTHESIS WITH CUFF PLUS ISCHIEDICUS SUPPORT,26015,28617,96092-00-00
FMXRY-0978,PERCUTANEOUS DISCECTOMY CERVICAL,25949,28544,40333-00-00
