Departemnt,code,Discription,Price,Revised,SBS
X-RAY,FMXRAY1442,IR. Neuro. INTRACRANIAL ANEURYSM COILING (5 COILS),198000.0,198000.0,83700-00-00
X-RAY,FMXRAY1443,IR. Neuro. BRAIN ANEURYSM FLOW DIVERTER,198000.0,198000.0,83700-00-00
X-RAY,FMXRAY1435,IR. TUMOR RADIO-EMBOLIZATION,176000.0,176000.0,83700-00-00
CSS,MS-S-002908,STENT GRAFT CAPTIVIA 36/36/150CM MEDTRONIC #VAMF3636C150T,172631.25,172631.25,43583
X-RAY,FMXRAY1446,IR. Neuro. AVM EMBOLIZATION (1 SESSION),165000.0,165000.0,83700-00-00
X-RAY,FMXRAY1447,IR. Neuro. TUMOR EMBOLIZATION,165000.0,165000.0,83700-00-00
X-RAY,FMXRAY1448,IR. Neuro. Spine AVM Embolization,165000.0,165000.0,83700-00-00
X-RAY,FMXRAY1449,IR. Neuro. BLEEDING EMBOLIZATION,165000.0,165000.0,83700-00-00
CSS,MS-P-000839,PACEMAKER CRT-D W/CORONARY SINUS INTODUSER ATRIAL & VENT ELECTRODE #ST JUDE,136012.5,136012.5,47263
X-RAY,FMXRAY1384,IR. STENTING OF AORTA (EVAR),132000.0,132000.0,83700-00-00
X-RAY,FMXRAY1438,IR. Neuro. ACUTE STROKE THROMBECTOMY,132000.0,132000.0,83700-00-00
X-RAY,FMXRAY1441,IR. Neuro. INTRACRANIAL ANEURYSM COILING (2 COILS),132000.0,132000.0,83700-00-00
CSS,MS-P-000947,PACEMAKER ICD SINGLE CHAMBER W/ARTIRIAL DIAGNOSTICSBIOTRONIK #368852,129735.0,129735.0,47267
CSS,MS-P-000971,PACEMAKER VDDR ICD LUMAX BITRONIC # 540HF-T,125550.0,125550.0,37265
CSS,MS-D-001069,DEVICE EMBOLIZATION PIPELINE 4X20MM W/SHEILD TECH  MEDTRONIC # PED2-400-20,119272.5,119272.5,43978
CSS,MS-D-001083,DEVICE PIPELINE W/ SHIELD TECH FLEX EMBOLIZATION MEDTRONIC # PED2-450-25,119272.5,119272.5,64358
CSS,MS-D-001084,DEVICE PIPELINE WITH SHIELD TECH FLEX EMBOLIZATION MEDTRONIC # PED2-425-20,119272.5,119272.5,64358
CSS,MS-D-001085,DEVICE SHIELD FLEX EMBOLIZATION PIPELINE MEDTRONIC # PED2-250-14,119272.5,119272.5,43978
CSS,MS-D-001086,DEVICE SHIELD FLEX EMBOLIZATION PIPELINE MEDTRONIC # PED2-475-20,119272.5,119272.5,43978
CSS,MS-D-001193,DEVICE PIPELINE W/ SHIELD TECH FLEX EMBOLIZATION MEDTRONIC # PED2-375-20,119272.5,119272.5,64358
