SERVICE CODE,SERVICE DESCRIPTION,الـوصـــــــــــــــــــف ,CASH  PRICE
1112001,GENERAL PRACTITIONER'S CONSULTION (E.R.), كشف طبيب الطـــوارئ,125.0
1112002,ER DIFFERENCE - GP & CONSULTANT, فرق كشف الطوارئ ما بين الطبيب العام و الإستشاري,0.0
1112003,CONSULTANT'S CONSULTATION (OPD), كشـف الأستــشــــــاري,125.0
1112004,INPATIENT DOCTOR CONSULTATION REFERRED, كشف الأستشاري لمرضى التنويم ,125.0
1112005,INPATIENT DOCTOR'S DAILY VISIT  , متابعة الطبيب لمرضى التنويـــم,125.0
1112006,BARIATRIC CONSULTATION, إستشارة عيادة علاج البدانة,125.0
1112007,CARDIOLOGY CONSULTANT CONSULTATION, كشف استـشـاري الأمراض القلـبيـة,125.0
1112008,SPECIALIST CONSULTAION (OPD), كشف أخصائي,125.0
1112009,COLO-RECTAL SURGERY CONSULTATION, كشف استـشـاري الجهاز الهضمي,125.0
1112010,COLO-RECTAL SURGERY CONSULTATION, كشف أستشارى أمراض القلب ( طبيب سعودي ),125.0
1112011,CONSULTATION - VISITING DOCTORS, كشف الإسـتـشـاري الزائــر,750.0
1112012,CONSULTATION 1ST SPECIALIST,كشف أخصائي أول,125.0
1112013,CONSULTATION FEE - SENIOR CONSULTANT DERMATOLOGIST, كشفية استشارى الجلدية,125.0
1112014,CONSULTATION FEE - VISITING DOCTOR , كشف الإستـشـاري الزائر ,125.0
1112015,CONSULTATION FEE 1ST SPECIALIST, قيمـة الكشـف أخصائي أول,125.0
1112016,DENTAL CONSULTANT CONSULTATION, كشف اسـتـشـاري الأسـنــان,125.0
1112017,DENTAL SPECIALIST CONSULTATION, كشف أخصائي الاسنان,125.0
1112018,DERMATOLOGY CONSULTATION, كشف استـشـاري  الجلـديـة,125.0
1112019,DIABETIC EDUCATION WITH BLOOD SUGAR TEST, التعليم االغذائى مع فحص السكر بالدم ,125.0
1112020, DIETITIAN CONSULTATION , كشفية أخصائية التغذية,125.0
1112021,SECA TEST BY DIETITIAN, فحص على جهاز السيكا من قبل أخصائية التغذية,100.0
1112022,ENDOCRINOLOGY CONSULTATION, كشف استـشاري الغـدد الصمـاء,125.0
1112023,ENT SPECIALIST CONSULTATION, كشف أخصائي الأنف و الأذن و الحنجرة,125.0
1112024,FAMILY THERAPY , جلسة عائلية لدى استشاري النفسية,125.0
1112025,FOLLOW UP (IVF) WITHIN 7 DAYS, زيارة متابعة إستشاري العقم - خلال سبعة أيــــام,125.0
1112026,FOLLOW-UP CONSULTATION (WITHIN 14 DAYS), زيارة مجانية خلال اربعة عشر يــــوم,0.0
1112027,FREE FOLLOW UP ( DENTAL ), متابعة مجانيـة لطـبيب الأسنـان,0.0
1112028,GASTROENTEROLOGY CONSULTATION ,كشف أستشاري جهازهضمي,125.0
1112029,GYNAECOLOGY CONSULTATION, كشف اسـتـشــاري أمـراض النساء و  الولادة,125.0
1112030,INPATIENT VISIT - NEURO SURGEON, كشف استشاري جراحة المخ والأعصاب لمرضى التنويم ,125.0
1112031,INTERNAL MEDICINE CONSULTATION, كشف أستشاري الأمراض الباطنه,125.0
1112032,INTERVENTIONAL RADIOLOGY CONSULTATION,كشفية استشارى اشعة تداخلية,125.0
1112033,IVF CONSULTATION, كشفية استشاري العقم ,125.0
1112034,IVF CONSULTATION FOLLOW UP VISIT, متابعة استشاري العقم ,125.0
1112035,NEPHROLOGY CONSULTATION, كشف اسـتـشـاري أمـراض الـكـلــى,125.0
1112036,NEURO SURGERY CONSULTATION, كشف  استـشـاري جراحة المخ و الأعصاب ,125.0
1112037,NEUROLOGY CONSULTATION, كشف استشاري الأعـصـاب,125.0
1112038,ONCOLOGY CONSULTATION,كشف استشاري اورام,125.0
1112039,OPHTHALMOLOGY CONSULTATION, كشف استـشــاري العـيــون,125.0
1112040,ORTHODONTIST CONSULTATION, استشارة طبيب التقويم,125.0
1112041,ORTHOPAEDIC CONSULTATION, كشف استـشاري العـظــام,125.0
1112042,OUTSIDE CONSULTATION CONSULTANT, كشف خارجي للأستشاري,500.0
1112043,OUTSIDE CONSULTATION SPECIALIST, كشف خارجي للأخصائي,450.0
1112044,PAEDIATRIC CONSULTATION, كشف اسـتشـاري الأطـفــال,125.0
1112045,PEDIATRIC CARDIOLOGY CONSULTATION,كشفية استشاري قلب أطفال,125.0
1112046,PEDIATRIC SURGERY CONSULTATION,كشفية استشاري جراحة أطفال,125.0
1112047,PSYCHIATRIC CONSULTATION, كشف استشاري النفسيـــة,125.0
1112048,PSYCHIATRIC FOLLOW-UP (WITHIN 7 DAYS), متابعة استشاري النفسية (7 أيــام ),125.0
1112049,PSYCHO THERAPY (PER SESSION), جلسة لـدى استشـاري النفسيــة,125.0
1112050,RHEUMATOLOGY  CONSULTATION, كشف أستشـاري العـلاج الـطبيعـي,125.0
