SERVICE CODE,CATEGORY,SUB-CATEGORY,SERVICE DESCRIPTION,الـوصـــــــــــــــــــف ,CASH  PRICE
1112001,CONSULTATION,CONSULTATION,GENERAL PRACTITIONER'S CONSULTION (E.R.), كشف طبيب الطـــوارئ,200.0
1112002,CONSULTATION,CONSULTATION,ER DIFFERENCE - GP & CONSULTANT, فرق كشف الطوارئ ما بين الطبيب العام و الإستشاري,300.0
1112003,CONSULTATION,CONSULTATION,CONSULTANT'S CONSULTATION (OPD), كشـف الأستــشــــــاري,500.0
1112004,CONSULTATION,CONSULTATION,INPATIENT DOCTOR CONSULTATION REFERRED, كشف الأستشاري لمرضى التنويم ,500.0
1112005,CONSULTATION,CONSULTATION,INPATIENT DOCTOR'S DAILY VISIT  , متابعة الطبيب لمرضى التنويـــم,300.0
1112006,CONSULTATION,CONSULTATION,BARIATRIC CONSULTATION, إستشارة عيادة علاج البدانة,500.0
1112007,CONSULTATION,CONSULTATION,CARDIOLOGY CONSULTANT CONSULTATION, كشف استـشـاري الأمراض القلـبيـة,500.0
1112008,CONSULTATION,CONSULTATION,SPECIALIST CONSULTAION (OPD), كشف أخصائي,300.0
1112009,CONSULTATION,CONSULTATION,COLO-RECTAL SURGERY CONSULTATION,173,500.0
1112010,CONSULTATION,CONSULTATION,CONSULTATION - INTERVENTIONAL CARDIOLOGIST, كشف أستشارى أمراض القلب ( طبيب سعودي ),600.0
1112011,CONSULTATION,CONSULTATION,CONSULTATION - VISITING DOCTORS, كشف الإسـتـشـاري الزائــر,750.0
1112012,CONSULTATION,CONSULTATION,CONSULTATION 1ST SPECIALIST,كشف أخصائي أول,350.0
1112013,CONSULTATION,CONSULTATION,CONSULTATION FEE - SENIOR CONSULTANT DERMATOLOGIST, كشفية استشارى الجلدية,500.0
1112014,CONSULTATION,CONSULTATION,CONSULTATION FEE - VISITING DOCTOR , كشف الإستـشـاري الزائر ,750.0
1112015,CONSULTATION,CONSULTATION,CONSULTATION FEE 1ST SPECIALIST, قيمـة الكشـف أخصائي أول,300.0
1112016,CONSULTATION,CONSULTATION,DENTAL CONSULTANT CONSULTATION, كشف اسـتـشـاري الأسـنــان,500.0
1112017,CONSULTATION,CONSULTATION,DENTAL SPECIALIST CONSULTATION, كشف أخصائي الاسنان,300.0
