DEPARTMENT,CODE,SERVICE DESCRIPTION,Price 2022,price 2023,TYPE,LOS
DENTAL,FMDNTS0233,TRANSPLANTATION W/ SMAL FLAB,1476.70614,1580.0755698,SERVICE,
DENTAL,FMDNTS0141,TRANSPOSITION FLAP (LARGE),5533.090290000001,5920.406610300001,SERVICE,
DENTAL,FMDNTS0140,TRANSPOSITION FLAP (MODERATE),4425.5606849999995,4735.34993295,SERVICE,
DENTAL,FMDNTS0139,TRANSPOSITION FLAP (SMALL),3874.0747499999998,4145.2599825,SERVICE,
CARDIOLOGY,FMCAR-0007,TREADMILL EXERCISE STRESS TEST,1367.3205,1463.0329350000002,SERVICE,
DENTAL,FMDNTI0052,TRNASPLANTATION W/ LARGE FLAB,2212.02072,2366.8621704,SERVICE,
NEWBORN,NBD-ROOM,USE OF FACILITIES,261.31014,279.6018498,SERVICE,
PAEDIATRICS/SUG,FMPDT-9999,USE OF FACILITIES (R & B),267.38712,286.1042184,SERVICE,
NEUROSURGERY,FMNEU-0176,USE OF LAZER,1883.8638,2015.7342660000002,SERVICE,
X-RAY,FMXRY-0814,UTERINE FIBROID EMBOLIZATION,23274.8334,24904.071738000002,SERVICE,
VASCULAR SURGERY,FMVAS-0048,VAC DRESSING FOR DIABETIC FOOT,1039.1635800000001,1111.9050306000001,SERVICE,
OBSTETRICS & GYNE,FMOBG-0173,VAGINAL ULTRASOUND,512.7451875,548.6373506250001,SERVICE,
OBSTETRICS & GYNE,FMOBG-0201,VAGINOPLASTY,2871.37305,3072.3691635000005,SERVICE,
DERMATOLOGY,MTDER-0015,VASCULAR LASER LARGE,3087.10584,3303.2032488000004,SERVICE,
DERMATOLOGY,MTDER-0014,VASCULAR LASER MEDIUM,2455.09992,2626.9569144,SERVICE,
SURGERY CLINIC,FMSUR-0251,VENOUS DUPLEX,376.77275999999995,403.14685319999995,SERVICE,
E. N. T.,FMENTL0026,VOICE DISORDER SESSION,540.85122,578.7108054,SERVICE,
LABORATORY,FMLAB-6034,WOUND SWAB C/S,334.2339,357.63027300000005,SERVICE,
urology,URO-0047,Ureterolithotomy,11518.481519999998,12324.775226399997,PKG,4 Days
urology,URO-0042,Pyeloplasty,14862.5568,15902.935776000002,PKG,4 Days
OBG-YN,OBG-0026,Radical Hysterectomy,26009.474400000003,27830.137608000005,PKG,4 Days
PLASTIC SURGERY,FMPSDG0008,RADICAL MASTECTOMY,4953.9540959999995,5300.7308827199995,SERVICE,
OBG-YN,OBG-0043,Radical vulvectomy,17091.94032,18288.376142400004,PKG,5 Days
E. N. T.,FMENTR0008,RADIO FREQUENCY APPLICATION TO,3704.527008,3963.84389856,SERVICE,
EMERGENCY,FMERDA0053,RECTAL TUBE INSERTION,72.92376,78.0284232,SERVICE,
NEUROSURGERY,FMNEU-0179,RECURRENT LUMBAR DISC,5833.9008,6242.273856000001,SERVICE,
OPTHALMOLOGY,FMOPTA0001,REFERRAL FROM OTHER DOCTOR,187.40800000000002,200.52656000000002,service,
UROLOGY CLINIC,FMURO-0001,REFERRAL FROM OTHER DOCTOR-OP,187.40800000000002,200.52656000000002,service,
DENTAL,FMDNTS0235,REIMPLANTATION W/ WIRE FIXATN,1889.94078,2022.2366346000001,SERVICE,
ORTHOPAEDIC,MTORT-0009,RELEASE OF TRIGGER FINGER,1215.396,1300.47372,SERVICE,
DENTAL,FMDNTS0056,REMOV. OF MADIBULAR  TOR. LRGE,2212.02072,2366.8621704,SERVICE,
DENTAL,FMDNTS0055,REMOV. OF MANDIBULAR TOR.SMLL.,1476.70614,1580.0755698,SERVICE,
DENTAL,FMDNTS0054,REMOV. OF TORES PALATINUS LRGE,2210.501475,2365.23657825,SERVICE,
ORTHOPAEDIC,MTORT-0010,REMOVAL OF BAND OR STAPLE,1215.396,1300.47372,SERVICE,
DENTAL,FMDNTS0051,REMOVAL OF DENTURE FISSURATUM SMALL,741.3915599999999,793.2889692,SERVICE,
ORTHOPAEDIC,MTORT-0011,REMOVAL OF EXTERNAL FIXATOR,2278.8675,2438.388225,SERVICE,
