Service Code,Service Name, Price,NPHIES ID
FMLAB-5035,"""HEPATITIS """"B"""" MARKERS (HBS AG, ANTI-HBS, HBEAG, ANTI-HBE, ANTI-HBC""",776.0,731002380
FMPSYB0034,(1) SESSION OF BIOFEEDBACK,200.0,961520000
FMPSYB0035,(15) SESSION OF BIOFEEDBACK,2675.0,961520000
FMPSYB0036,(20) SESSION OF BIOFEEDBACK,3335.0,961520000
FMLAB-9353,(DIALYSATE OR WATER) ALUMINUM,400.0,730500200
FMPDT-0055,1 X DI-VACCINE FOR CHILDREN    INCL CONSULTATION & VACCINE,145.0,921460000
FMPDT-0037,1 X DPT VACCINATION INCLUDING  CONSULTATION & VACCINE,145.0,921490000
FMPDT-0049,1 X DT VACCINATION INCLUDING   CONSULTATION & VACC,145.0,921460000
FMPDT-0050,1 X POLIO VACCINE INCLUDING    CONSULTATION & VACCINE,145.0,921500000
FMPDT-0059,1.C. & RESPIRATION OF CHILD    OLDER THAN 4 YRS,1690.0,836000270
FMLAB-9203,11 DEOXY-CORTISOL (COMPOUND S),464.0,730501110
FMLAB-9001,17 - HYDROXY PROGESTERONE,500.0,730502010
FMLAB-9204,17 OH CORTECOSTEROID (17-KETOGENIC STEROID),376.0,730500890
FMLAB-9968,17-KETOSTEROID FRACTIONATION,1050.0,730502160
FMLAB-3001,17-KETOSTEROIDS,500.0,730502150
FMLAB-3002,17-OXOGENIC STEROIDS,400.0,733000370
FMXRY-0410,1ST PASS STUDY,520.0,613200100
FMPDT-0056,1XDI-VACCINE FOR ADULT INCL    CONSULTATION & VACCINE,145.0,921460000
FMLAB-9335,21- DESOXYCORTISOL,652.0,730501100
FMCAR-0020,24 HOURS AMBULATORY BP MONITORING,500.0,920010010
FMNUM-0020,24 HOURS MONITORING,5340.0,110000000
FMPSDG0012,2ND STAGE TISSUE EXPANDER      REMOVAL & RECONSTURCION,2100.0,455420001
MTSUR-0037,2ND SUTURE WITH ANAESTHESIA,1010.0,300260010
MTSUR-0036,2ND SUTURE WITHOUT ANAESTHESIA,280.0,300260010
FMORT-0579,2NDARY SUTURING OF WOUND 2ND   GRADE,585.0,300260020
FMXRY-0536,3D BREAST EXAMINATION,484.0,550700000
FMXRY-0538,3D FOLLOW-UP STUDY,428.0,909080000
FMXRY-0537,3D GUIDED BIOPSY,900.0,909080011
FMXRY-0535,3D PREGNANCY,600.0,557000200
FMXRY-1044,3D ULTRASOUND,937.5,909080000
FMXRY-0229,4 INTRACRANIAL ARTERIES 1ST RN,5800.0,599700200
FMCAR-0021,48 HOURS AMBULATORY BY MONITORING,700.0,117080000
FMCARS0034,48 HOURS ECG MONITORING (HOLTER MONITORING),1426.0,117090000
FMNUM-0021,48 HOURS MONITORING,10660.0,110040010
FMNUM-0022,5 DAYS MONITORING,16500.0,110000000
FMLAB-9101,5-NUCLEOTIDASE,327.25,730502560
FMCARS0035,72 HOURS ECG MONITORING (HOLTER MONITORING),2358.0,117090000
FMLAB-2111,7-DEHYDROCHOLESTEROL,2400.0,731000980
FMLAB-9002,A D H-ANTIDIURETIC HORMONE,948.0,730503850
FMXRY-0013,A.C. JOINT W/ WEIGHT BEARING,150.0,577000011
FMXRY-0014,A.C. JOINT W/& W/O WHGHT.BEAR-,250.0,577000021
FMERDA0001,ABCESS  INCISSION SUFERCIAL,145.0,302230100
FMSUR-0005,ABCESS INSICION DEEP,300.0,302230301
FMXRY-0502,ABDOMEN & PELVIS COMBINED,881.25,564010000
FMXRY-0313,ABDOMEN & PELVIS W/ W/OUT CONT,1250.0,565010000
FMXRY-0312,ABDOMEN &PELVIS W/O CONTRAST,1000.0,565010000
FMXRY-0087,ABDOMEN ERECT.,237.5,589000090
FMXRY-0086,ABDOMEN FLAT (KUB),200.0,587000000
FMXRY-0088,ABDOMEN FLAT.ERECT/DECUBITUS,290.0,589000030
FMXRY-0310,ABDOMEN OR PELVIS W/ CONTRAST,1250.0,565070000
FMXRY-0311,ABDOMEN OR PELVIS W/ W/O CONT.,1250.0,589000090
FMXRY-0309,ABDOMEN OR PELVIS W/O CONTRAST,1000.0,565010000
VAS-0024,Abdominal Aortic Aneurysm,28050.0,331150000
FMVAS-0012,ABDOMINAL AORTIC ANEURYSM EXCISION AND GRAFTING,7200.0,331150000
FMPSDF0010,ABDOMINAL FLAP TO THE HAND     (1ST STAGE),3060.0,452060501
FMPSDF0011,ABDOMINAL FLAP TO THE HAND     (2ND STAGE),1025.0,452060501
FMOBG-0036,ABDOMINAL HYSTERECTOMY,3609.375,356530100
FMOBG-0120,ABDOMINAL LIPOIDECTOMY,4961.25,301650000
FMOBG-0182,ABDOMINAL METROPLASTY,3150.0,904350100
