Service Code,Service Name, Price,NPHIES ID
FMORT-0263, MYECTOMY OF HAND,2442,30229-00-01
FMORT-0237, REPAIR OF ELBOW,3263,90536-00-01
FMORT-0230, REPAIR OF HAND FINGER,2442,90548-00-01
FMORT-0235, REPAIR OF SHOULDER,3890,90533-00-01
FMLAB-9203,11 DEOXY-CORTISOL (COMPOUND S),512,73050-11-10
FMLAB-9001,17 - HYDROXY PROGESTERONE,551,73050-20-10
FMLAB-9204,17 OH CORTECOSTEROID (17-KETOGENIC STEROID),415,73050-08-90
FMLAB-9968,17-KETOSTEROID FRACTIONATION,1158,73050-21-60
FMPSDG0012,2ND STAGE TISSUE EXPANDER      REMOVAL & RECONSTURCION,2315,45542-00-01
FMNUM-0021,48 HOURS MONITORING,11753,11004-00-10
FMLAB-9101,5-NUCLEOTIDASE,361,73050-25-60
FMXRY-0086,ABDOMEN FLAT (KUB),221,58700-00-00
FMXRY-0088,ABDOMEN FLAT.ERECT/DECUBITUS,320,58900-00-30
FMSUR-0101,ABDOMINO-PERINEAL RESECTN OF  RECTUM,6134,32039-00-00
FMORT-0637,ACETABULUM RECONSTRUCTION,2558,90552-00-01
FMLAB-4001,ACETAMINOPHEN,507,73300-03-60
FMLAB-9336,ACETYCHOLINESTERASE (Amniotic Fluid),485,73050-02-90
FMSUR-0145,ACHALSIA OF CARDIA,4600,30532-00-00
ORT-0042,Achilles Tendon Length,6741,49727-00-00
FMLAB-9005,ACTH-ADRENOCORTICOTROPHIC HORMONE,423,73050-00-50
FMLAB-9992,ACTIVATED PROTEIN C RESISTANCE APC,604,73100-04-50
FMPDT-2000,ADDITIONAL FEE FOR COMPLCATED,1555,83600-02-20
MTNEU-0014,ADDITIONAL FEE FOR COMPLICATED CASE,706,83670-00-40
FMORT-2000,ADDITIONAL FEE FOR COMPLICATEDOPERATIONS,1637,83600-02-40
FMDNTS0236,ADD'L FEE FOR COMP.PROC./ 3HRS,832,83610-00-50
FMORT-0296,ADDUCTIONTENOTOMY OF HIP,1665,50375-01-00
FMLAB-9277,"ADENO VIRUS ABS. (CSF, S)",467,73100-19-00
FMLAB-9339,ADENO VIRUS ANTIGEN DTECTION,829,73050-47-60
FMSUR-0274,ADJ. SILICONE GASTRIC BANDING,3048,31587-00-00
SUR-0101,Adrenalectomy,15729,36500-01-00
FMPTD-0127,ADULT MECHANICAL VENTILATOR ICU (24 HOURS),375,13882-01-00
FMLAB-4002,ALCOHOL (ETHANOL) (Serum ORUrine),347,73300-04-10
FMLAB-9007,ALDOLASE,291,73050-01-30
FMLAB-2005,ALKALINE PHOSPHATASE,127,73100-07-70
FMLAB-9270,ALKALINE PHOSPHATASE ISO ENZYMES,1240,73050-27-80
FMLAB-9620,ALKALINE PHOSPHATASE-BONE (OSTASE),441,73050-27-60
FMLAB-9348,ALPHA 2 GLYCOPROTEIN,110,73100-11-60
FMLAB-9349,ALPHA 2 MACROGLOBULIN,110,73050-01-70
FMLAB-9351,ALPHA-MANNOSIDASE,198,73050-11-60
FMLAB-7029,"AMENORRHEA ""PRIMARY"" OVARIAN INSUFF.[ FSH, LH, ESTRADAIOL, PROLACTIN]",662,73000-02-50
FMLAB-9014,AMINO ACIDS (QUANTITATIVE) (URINE or PLASMA),2906,73050-02-70
FMLAB-2006,AMMONIA,276,73050-02-80
FMOBG-0205,AMNIO-INFUSION,905,16621-00-00
FMLAB-9791,AMNIOTIC FLUID CHROMSOMAL ANALYSIS,2549,73200-05-10
FMLAB-9818,AMOEBA ANTIBODIES (IHA),146,73050-48-50
FMORT-0320,AMPUTATION THROUGH CARPALS,2558,44325-00-01
FMSUR-0141,ANASTOMOSIS OF ABDOMINAL VSCLT,6478,33836-09-00
FMLAB-9362,ANDROSTERONE,265,73050-03-30
FMXRY-0651,ANESTHESIA ONLY,717,92514-99-00
NEU-0032,Aneurysm -Clipping without coils,41289,39800-00-00
FMVAS-0011,ANEURYSM EXCISION AND GRAFTING,3616,33172-00-00
FMNEU-0028,ANEURYSM SURGERY,5821,39800-01-00
FMLAB-9806,ANGELMAN SYNDROME CHROMOSOME 15 MICRODELETION BY MULTI-FISH,2293,73350-05-40
FMLAB-9017,ANGIOSTENSIN-1 CONVERTING ENZYME (ACE),525,73050-03-50
FMORT-0200,ANKLE FUSION(TIBUTALAR FUSION),3065,49712-00-00
FMOBG-0016,ANTENATAL (CTG)MONITORING/HR,120,16514-01-00
FMORT-0654,ANTERIOR SPINAL RELEASE BY     SCOLIOSIS,3528,40351-00-00
