Service Code,Service Name, Price,NPHIES ID,2022 Prices,2023 prices
FMLAB-5035,"""HEPATITIS """"B"""" MARKERS (HBS AG ANTI-HBS HBEAG ANTI-HBE ANTI-HBC""",776,73050-49-10,941.0086399999999,1006.8792447999999
FMPSYB0034,(1) SESSION OF BIOFEEDBACK,200,96152-00-00,242.528,259.50496
FMPSYB0035,(15) SESSION OF BIOFEEDBACK,2675,96152-00-00,3243.812,3470.8788400000003
FMPSYB0036,(20) SESSION OF BIOFEEDBACK,3335,96152-00-00,4044.1544,4327.245208
FMLAB-9353,(DIALYSATE OR WATER) ALUMINUM,400,73050-02-00,485.056,519.00992
FMPDT-0055,1 X DI-VACCINE FOR CHILDREN    INCL CONSULTATION  VACCINE,145,92146-00-00,175.8328,188.141096
FMPDT-0037,1 X DPT VACCINATION INCLUDING  CONSULTATION  VACCINE,145,92149-00-00,175.8328,188.141096
FMPDT-0049,1 X DT VACCINATION INCLUDING   CONSULTATION  VACC,145,92157-00-40,175.8328,188.141096
FMPDT-0050,1 X POLIO VACCINE INCLUDING    CONSULTATION  VACCINE,145,92150-00-00,175.8328,188.141096
FMPDT-0059,1.C.  RESPIRATION OF CHILD    OLDER THAN 4 YRS,1690,83600-02-70,2049.3615999999997,2192.816912
FMLAB-9203,11 DEOXY-CORTISOL (COMPOUND S),464,73050-11-10,562.66496,602.0515072
FMLAB-9001,17 - HYDROXY PROGESTERONE,500,73050-20-10,606.3199999999999,648.7624
FMLAB-9204,17 OH CORTECOSTEROID (17-KETOGENIC STEROID),376,73050-19-90,455.95264,487.8693248
FMLAB-9968,17-KETOSTEROID FRACTIONATION,1050,73050-21-60,1273.272,1362.40104
FMLAB-3001,17-KETOSTEROIDS,500,73050-21-50,606.3199999999999,648.7624
FMLAB-3002,17-OXOGENIC STEROIDS,400,73300-03-70,485.056,519.00992
FMXRY-0410,1ST PASS STUDY,520,99999-99-99,630.5727999999999,674.712896
FMPDT-0056,1XDI-VACCINE FOR ADULT INCL    CONSULTATION  VACCINE,145,92146-00-00,175.8328,188.141096
FMLABM0031,2 SWAB SAMPLING,64,99999-99-99,77.60896,83.0415872
FMLAB-9335,21- DESOXYCORTISOL,652,73050-11-00,790.6412799999999,845.9861696
FMCAR-0020,24 HOURS AMBULATORY BP MONITORING,500,99999-99-99,606.3199999999999,648.7624
FMNUM-0020,24 HOURS MONITORING,5340,11000-00-00,6475.4976,6928.782432
FMPSDG0012,2ND STAGE TISSUE EXPANDER      REMOVAL  RECONSTURCION,2100,45542-00-01,2546.544,2724.80208
MTSUR-0037,2ND SUTURE WITH ANAESTHESIA,1010,99999-99-99,1224.7664,1310.500048
MTSUR-0036,2ND SUTURE WITHOUT ANAESTHESIA,280,99999-99-99,339.5392,363.306944
FMORT-0579,2NDARY SUTURING OF WOUND 2ND   GRADE,585,30026-00-20,709.3944,759.0520080000001
FMXRY-0536,3D BREAST EXAMINATION,484,55070-00-00,586.9177599999999,628.0020032
FMXRY-0538,3D FOLLOW-UP STUDY,428,90908-00-00,519.00992,555.3406144
FMXRY-0537,3D GUIDED BIOPSY,900,90908-00-11,1091.376,1167.77232
FMXRY-0535,3D PREGNANCY,600,55700-02-00,727.584,778.51488
FMXRY-1044,3D ULTRASOUND,938,99999-99-99,1137.45632,1217.0782624
FMXRY-0229,4 INTRACRANIAL ARTERIES 1ST RN,5800,59970-02-00,7033.312,7525.643840000001
FMCAR-0021,48 HOURS AMBULATORY BY MONITORING,700,99999-99-99,848.848,908.26736
FMNUM-0021,48 HOURS MONITORING,10660,11004-00-10,12926.7424,13831.614368
FMNUM-0022,5 DAYS MONITORING,16500,11000-00-00,20008.559999999998,21409.1592
FMLAB-9101,5-NUCLEOTIDASE,327,73050-25-60,396.53328,424.29060960000004
FMLAB-2111,7-DEHYDROCHOLESTEROL,2400,99999-99-99,2910.336,3114.05952
FMLAB-9002,A D H-ANTIDIURETIC HORMONE,948,73050-38-50,1149.5827199999999,1230.0535104
FMXRY-0014,A.C. JOINT W/ W/O WHGHT.BEAR-,250,57700-00-11,303.15999999999997,324.3812
FMXRY-0013,A.C. JOINT W/ WEIGHT BEARING,150,57700-00-11,181.896,194.62872
FMOBG-0065,A.I.H.,281,16512-00-00,340.75183999999996,364.60446879999995
FMERDA0001,ABCESS  INCISSION SUFERCIAL,145,30223-01-00,175.8328,188.141096
FMSUR-0005,ABCESS INSICION DEEP,300,99999-99-99,363.792,389.25744
FMXRY-0502,ABDOMEN  PELVIS COMBINED,881,55036-00-00,1068.33584,1143.1193488000001
FMXRY-0313,ABDOMEN  PELVIS W/ W/OUT CONT,1250,56507-00-00,1515.8,1621.906
FMXRY-0087,ABDOMEN ERECT.,238,58900-00-90,288.60832,308.81090240000003
FMXRY-0086,ABDOMEN FLAT (KUB),200,58700-00-00,242.528,259.50496
FMXRY-0088,ABDOMEN FLAT.ERECT/DECUBITUS,290,58900-00-30,351.6656,376.282192
FMXRY-0310,ABDOMEN OR PELVIS W/ CONTRAST,1250,56407-00-00,1515.8,1621.906
FMXRY-0311,ABDOMEN OR PELVIS W/ W/O CONT.,1250,56407-00-00,1515.8,1621.906
FMXRY-0309,ABDOMEN OR PELVIS W/O CONTRAST,1000,56401-00-00,1212.6399999999999,1297.5248
FMXRY-0312,ABDOMEN PELVIS W/O CONTRAST,1000,56501-00-00,1212.6399999999999,1297.5248
FMOBG-0139,ABDOMINAL  METROPLASTY,3308,99999-99-99,4011.4131199999997,4292.2120384
VAS-0024,Abdominal Aortic Aneurysm,28050,33115-00-00,34014.551999999996,36395.57064
FMVAS-0012,ABDOMINAL AORTIC ANEURYSM EXCISION AND GRAFTING,7200,99999-99-99,8731.008,9342.17856
FMPSDF0010,ABDOMINAL FLAP TO THE HAND     (1ST STAGE),3060,45206-05-01,3710.6784,3970.425888
FMPSDF0011,ABDOMINAL FLAP TO THE HAND     (2ND STAGE),1025,45206-05-01,1242.956,1329.96292
