Service Code,Service Name, Price,NPHIES ID
FMCAR-0002,E.C.G.,99.0,11700-00-00
FMCAR-0003,E.C.G. WITH ERGOMETRY,853.0,11700-00-00
FMCAR-0004,ECHO CARDIOGRAM 2D + M MODE,671.0,55113-00-00
FMCAR-0005,ECHO CARDIOGRAM 2D + M MODE +  DOPPLER (FULL STUDY),935.0,55113-00-00
FMCAR-0006,HOLTER MONITOR 24 HOURS ECG,671.0,11709-00-00
FMCAR-0007,TREADMILL EXERCISE STRESS TEST,671.0,11712-00-00
FMCAR-0009,E.C.G. FOR INPATIENT,121.0,11700-00-00
FMCAR-0010,VENOUS DUPLEX,242.0,90911-00-00
FMCAR-0011,SURFACE PACEMAKER(NON-INVASIVE,1821.0,38353-00-00
FMCAR-0013,PERICARDIOCENTESIS,2426.0,38359-00-00
FMCAR-0014,ECHO M-MODE ONLY,347.0,55113-00-00
FMCAR-0015,HYPERTENSION CHECK-UP I,550.0,92001-00-10
FMCAR-0016,HYPERTENSION CHECK-UP II,1155.0,92001-00-10
FMCAR-0017,PERMANENT  PACEMAKER,4400.0,38353-00-00
FMCAR-0018,ECHO REPEAT,495.0,55113-00-00
FMCAR-0019,ECHO FOLLOW UP,385.0,55113-00-00
FMCAR-0020,REPROGRAMING OF PERMANET PACEMAKER,880.0,11718-00-00
FMCAR-0021,DOBUTAMINE STRESS NUCLEAR SCANNING,3520.0,61302-00-00
FMCAR-1000,DAY CARE SUPERVISION,127.0,83700-00-00
FMCARS0001,CARDIO VERSION (DC SHOCK),1100.0,13400-00-00
FMCARS0002,TEMPORARY PACEMAKER,1100.0,38353-00-00
FMCARS0004,ATRIAL PACING,1100.0,38256-00-00
FMCARS0005,PERMANENT PACEMAKER IMPLANTATI ON (DDD),6600.0,38353-00-00
FMCARS0006,TRANSESOPHAGEAL ECHOCARDIOGRAP HY (TEE),1320.0,55118-00-00
FMCARS0007,PHARMACOLOGICAL TEST,770.0,73300-00-60
FMCARS0008,PHARMACOLOGICAL STRESS ECHOCAR DIOGRAPHY,2860.0,55113-00-00
FMCARS0009,AMBULATORY BP MONITORING,550.0,92001-00-00
FMCARS0010,INTRA-AROTIC BALLOON INSERTION,2200.0,38362-00-00
FMCARS0011,INTRA-AORTIC BALLOON PUMP USE  / DAY,660.0,38362-00-00
FMCARS0012,RIGHT HEART CATHETERIZATION,1650.0,38200-00-00
FMCARS0013,LEFT HEART CATHETERIZATION,1650.0,38203-00-00
FMCARS0014,CORONARY ANGIOGRAPHY,2200.0,38215-00-00
FMCARS0018,CORONARY STENTING,1100.0,38306-00-00
FMCARS0020,STRESS TRANOESPHAGEAL ECHO,1320.0,55118-00-00
FMCARS0021,ECHO FULL STUDY,880.0,55113-00-00
FMCARS0022,ECHO CARDIOGRAM FOR PEDIATRIC,1595.0,55113-00-00
FMCARS0023,TRANSOESOPHAGAL ECHO PROSTHESIS (TEE2),3300.0,96092-00-00
FMCARS0024,EXERCISE ECHO TEST,2200.0,11712-00-00
FMCARS0025,48 HRS. HOLTER MONITORING,1980.0,11709-00-00
FMINT-0096,RIYADH BANK PROMOTION CHECK UP,1430.0,83600-02-10
FMLAB-1006,PLATELET CONCENTRATE (6 UNITS),4290.0,73250-02-90
FMLAB-1011,ACID PHOSPHATASE-STAIN,176.0,73050-27-40
FMLAB-1013,ANTI-BODY SCREENING,550.0,73250-00-40
FMLAB-1014,ANTI-THROMBIN III,165.0,73100-03-90
FMLAB-1015,BLOO GROUP (ABO) + RH (D),66.0,73250-00-80
FMLAB-1016,BLEEDING TIME (B.T) TEMPLATE,55.0,73100-00-00
FMLAB-1017,BLOOD FILM FOR FILARIA,55.0,73050-43-50
FMLAB-1018,BLOOD FILM FOR MALARIA,55.0,73100-25-40
FMLAB-1023,CBC WITH AUTOMATED DIFF.,121.0,73100-00-80
FMLAB-1024,CLOTTING TIME (C.T),44.0,73100-08-50
FMLAB-1032,COLD AGGLUTININS TITRE,110.0,73100-12-30
FMLAB-1033,COOMBS TEST -DIRECT POLYCLONAL TYPE,66.0,73250-00-30
FMLAB-1034,COOMB'S TEST-INDIRECT,66.0,73250-00-40
FMLAB-1035,CROSSMATCH WITH NEGATIVE DIRECT COOMBS TEST/NEGATIVE ANTIBODYSCREENING,110.0,73100-27-80
FMLAB-1036,DONOR BLEEDING,99.0,13757-00-00
FMLAB-1037,DONOR SCREENING,385.0,73250-01-00
FMLAB-1038,ESR,44.0,73100-09-00
FMLAB-1039,ESTERASE  STAIN,270.0,73050-08-20
FMLAB-1040,BLOOD FILM FOR LEISHMANIA,66.0,73100-24-40
FMLAB-1042,FIBRINOGEN,165.0,73100-05-80
FMLAB-1043,FRESH FROZEN PLASMA (FFP),715.0,73250-02-00
FMLAB-1045,HCT.,50.0,73100-00-60
FMLAB-1046,IRON STAIN,176.0,73100-07-60
FMLAB-1047,NAPHTHOL ACETATE ESTERASE,176.0,73050-00-20
FMLAB-1049,NON-SPECIFIC ESTERASE,176.0,73050-39-70
FMLAB-1051,OSMOTIC FRAGILITY TEST (QUANTITATIVE),352.0,73100-08-00
FMLAB-1054,PARTIAL THROMBOPLASTIN TIME    (PTT),77.0,73100-09-50
FMLAB-1055,PERIODIC ACID-SCHIFF (PAS) STAIN,270.0,73200-07-20
FMLAB-1056,PEROXIDASE  STAIN,270.0,73050-04-80
FMLAB-1058,PLATELET COUNT,94.0,73100-01-60
FMLAB-1063,PROTEIN C,418.0,73050-30-40
FMLAB-1065,PROTHROMBIN TIME (P.T) W/ INR,77.0,73100-02-30
FMLAB-1067,RH-ANTIBODY TITRE,550.0,73250-00-00
FMLAB-1068,RH-PHENOTYPE,165.0,73250-01-30
FMLAB-1069,SICKLING TEST,66.0,73100-09-80
FMLAB-1071,THERAPEUTIC PLASMA EXCHANGE (TPE),2541.0,13750-00-00
FMLAB-1072,THROMBIN TIME,105.0,73100-09-20
FMLAB-1075,LEUKOCYTE FILTER,165.0,73050-39-70
FMLAB-1079,NEONATAL FRESH FROZEN PLASMA,1210.0,73250-02-00
FMLAB-1080,NEONATAL BLOOD UNIT,303.0,13706-02-00
FMLAB-1083,FOLLOW UP - CBC,44.0,73000-00-20
FMLAB-1085,ANTI BODY IDENTIFICATION,550.0,73250-00-20
FMLAB-1088,LEUCOCYTE  COUNT & DIFFERENTIA L,88.0,73100-00-10
FMLAB-1095,DONOR-HEMOGLOBIN&BLOOD GROUP,110.0,73250-00-60
FMLAB-1101,PLATELET CONCENTRATE (1 UNIT),550.0,73250-02-90
FMLAB-1112,SCECO CHECK UP,633.0,83600-02-10
FMLAB-1113,INHALATION PANEL 20,1210.0,73000-00-20
FMLAB-1505,TRIPLE TEST PROFILE (DOWN SYNDROME PROFILE),856.0,73350-06-80
FMLAB-1507,ISOCHROMOSOME X TURNER SYNDROME FISH,1426.0,73200-04-70
FMLAB-2003,ALBUMIN,66.0,73050-00-80
FMLAB-2004,ALBUMIN & GLOBULIN,99.0,73050-00-80
FMLAB-2005,ALKALINE PHOSPHATASE,66.0,73100-07-70
FMLAB-2006,AMMONIA,253.0,73050-02-80
FMLAB-2007,AMYLASE,55.0,73050-03-00
FMLAB-2008,BICARBONATE,209.0,73050-06-40
FMLAB-2009,BILIRUBIN DIRECT & TOTAL,105.0,73050-04-30
FMLAB-2010,BILIRUBIN DIRECT,66.0,73050-04-40
FMLAB-2011,BILIRUBIN TOTAL,55.0,73050-04-30
FMLAB-2012,BLOOD GASES & pH(ABG),220.0,73050-14-50
FMLAB-2013,C.K. (CPK),121.0,73050-09-40
FMLAB-2014,CK-MB,121.0,73050-09-70
FMLAB-2016,CARBON DIOXIDE,110.0,73050-06-40
FMLAB-2017,CHOLESTEROL,66.0,73050-08-10
FMLAB-2018,CHOLESTEROL (HDL),88.0,73050-23-60
FMLAB-2019,LIPID PROFILE (CHOLESTEROL`TRIGLYCERIDE` HDL& LDL),457.0,73000-00-60
FMLAB-2020,CHOLINESTERASE (PSEUDO CHOLINESTERASE) (S),215.0,73050-08-30
FMLAB-2021,COMPLEMENT C3,292.0,73100-12-50
FMLAB-2022,COMPLEMENT C4,292.0,73100-12-40
FMLAB-2023,CREATININE,88.0,73050-09-80
FMLAB-2024,CREATININE CLEARANCE,165.0,73050-10-00
FMLAB-2025,CSF GLUCOSE,66.0,73400-00-70
FMLAB-2026,CSF PROTEIN,66.0,73050-25-00
FMLAB-2027,D-XYLOSE IN URINE,363.0,73050-39-00
FMLAB-2028,ELECTROLYTE CHLORIDE,66.0,73050-07-70
FMLAB-2029,ELECTROLYTE SODIUM,66.0,73050-33-10
FMLAB-2030,ELECTROLYTE POTASSIUM,66.0,73050-29-10
FMLAB-2031,ELECTROLYTES NA & K,132.0,73000-00-30
FMLAB-2032,"ELECTROLYTES NA,K,CL",187.0,73000-00-30
FMLAB-2033,PROTEIN ELECTROPHORESIS,558.0,73050-23-40
FMLAB-2034,HAEMOGLOBIN ELECTROPHORESIS,330.0,73050-18-00
FMLAB-2035,LIPOPROTEIN ELECTROPHORESIS,160.0,73050-23-30
FMLAB-2037,GGT,99.0,73050-15-40
FMLAB-2040,"GLUCOSE ""RBS""",55.0,73050-15-80
FMLAB-2041,"GLUCOSE ""FBS""",55.0,73050-15-50
FMLAB-2042,"GLUCOSE ""PPBS""",55.0,73050-15-70
FMLAB-2043,"GLUCOSE ""FBS & PPBS""",110.0,73050-15-50
FMLAB-2045,GLUCOSE TOLERANCE TEST (OGTT) 75GM,220.0,73050-15-80
FMLAB-2046,GLYCOSYLATED HB. (HB A1C),165.0,73050-18-50
FMLAB-2048,IMMUNOGLOBULIN A. (IgA),220.0,73100-10-60
FMLAB-2049,IMMUNOGLOBULIN G. (IgG),242.0,73100-10-60
FMLAB-2050,IMMUNOGLOBULIN M. (IgM),242.0,73100-10-60
FMLAB-2051,IMMUNOGLOBULIN E.(IgE),242.0,73100-10-10
FMLAB-2053,IRON,66.0,73050-21-10
FMLAB-2054,LDH (LACTATE DEHYDROGENASE),209.0,73050-21-80
FMLAB-2055,LIPASE,121.0,73050-23-00
FMLAB-2056,MAGNESIUM SERUM,55.0,73050-24-00
FMLAB-2057,MICROALBUMINURIA,94.0,73050-00-90
FMLAB-2058,OCCULT BLOOD IN STOOL,44.0,73050-04-80
FMLAB-2060,PHOSPHORUS,55.0,73050-28-20
FMLAB-2064,SGOT (AST),55.0,73050-35-90
FMLAB-2065,SGPT (ALT),55.0,73050-36-00
FMLAB-2066,SEMEN FRUCTOSE,539.0,73050-13-60
FMLAB-2067,STONE ANALYSIS,858.0,73000-00-70
