PACKAGE CODE ,CATEGORY,SUB-CATEGORY,PACKAGES,Admission Days (LOS) ICU,Admission Days (LOS) WORD,NEW PRICE,3
1011001,E.N.T.,NOSE SURG.,ANTERIOR NASAL PACK (U.G.A.),0,D/C,1581.0,4
1011002,E.N.T.,NOSE SURG.,MIDDLE MEATUS ANTROSTOMY/BILATERAL,0,2,7928.5,5
1011003,E.N.T.,NOSE SURG.,SINSUS PUNCTURE (U.G.A.) / BILATERAL,0,1,2676.5,6
1011004,E.N.T.,NOSE SURG.,CRYO-TURBINECTOMY,0,1,4898.5,7
1011005,E.N.T.,NOSE SURG.,CAUTERIZATION OF THE NOSE / ENDOSCOPIC ,0,1,6565.0,8
1011006,E.N.T.,NOSE SURG.,ETHMOIDECTOMY / ENDOSCOPIC ,0,1,12120.0,9
1011007,E.N.T.,NOSE SURG.,TURBINECTOMY / PARTIAL / ENDOSCOPIC ,0,1,4898.5,10
1011008,E.N.T.,NOSE SURG.,POLYPECTOMY AND ETHMOIDECTOMY / ENDOSCOPIC ,0,2,10352.5,11
1011009,E.N.T.,NOSE SURG.,POLYPECTOMY AND ETHMOIDECTOMY / RECURRENT / ENDOSCOPIC ,0,2,12625.0,12
1011010,E.N.T.,NOSE SURG.,EXAMINATION UNDER GENERAL ANESTHESIA,0,D/C,1275.0,13
1011011,E.N.T.,NOSE SURG.,NASAL SINUS SURGERY / EXTERNAL ,0,1,12120.0,14
1011012,E.N.T.,NOSE SURG.,NOSE FRACTURE,0,1,3888.5,15
1011013,E.N.T.,NOSE SURG.,FUNCTIONAL ENDOSCOPIC SINUS SURGERY (FESS SURGERY),0,2,12240.0,16
1011014,E.N.T.,NOSE SURG.,NASAL LASER SURGERY,0,1,4898.5,17
1011015,E.N.T.,NOSE SURG.,NOSE MICROSURGERY,0,1,7928.5,18
1011016,E.N.T.,NOSE SURG.,NASAL BIOPSY,0,D/C,2295.0,19
1011017,E.N.T.,NOSE SURG.,NASAL CAUTERY UNDER (U.G.A.),0,D/C,1938.0,20
1011018,E.N.T.,NOSE SURG.,NASAL FOREIGN BODY REMOVAL (U.G.A.),0,D/C,1989.0,21
1011019,E.N.T.,NOSE SURG.,NASAL SEPTAL CORRECTION,0,1,5625.0,22
1011020,E.N.T.,NOSE SURG.,OPEN REDUCTION / FRACTURED NOSE,0,2,11440.0,23
1011021,E.N.T.,NOSE SURG.,ORO-ANTRAL FISTULA REPAIR,0,1,8332.5,24
1011022,E.N.T.,NOSE SURG.,POSTERIOR NASAL PACK  (U.G.A.),0,D/C,2193.0,25
1011023,E.N.T.,NOSE SURG.,ANTRAL FOREIGN BODY REMOVAL,0,1,3939.0,26
1011024,E.N.T.,NOSE SURG.,RHINOPLASTY / REVISION (MEDIUM),0,1,4500.0,27
1011025,E.N.T.,NOSE SURG.,RHINOPLASTY / MAJOR,0,2,12750.0,28
1011026,E.N.T.,NOSE SURG.,RHINOPLASTY / MEDIUM,0,1,6942.0,29
1011027,E.N.T.,NOSE SURG.,SEPTOPLASTY,0,1,6312.5,30
1011028,E.N.T.,NOSE SURG.,SEPTORHINOPLASTY,0,2,12625.0,31
1011029,E.N.T.,NOSE SURG.,TURBINECTOMY WITH SUBMUCOUS DIATHERMY,0,1,4898.5,32
1011030,E.N.T.,NOSE SURG.,SUBMUCOUS RESECTION OF NASAL SPETUM,0,1,4306.5,33
1011031,E.N.T.,NOSE SURG.,SINSUS PUNCTURE / UNILATERAL (U.G.A.),0,D/C,2040.0,34
1012001,E.N.T.,THROAT SURG.    ,ADENOIDECTOMY,0,1,2193.0,35
1012002,E.N.T.,THROAT SURG.    ,ADENOTONSILECTOMY,0,1,4845.0,36
1012003,E.N.T.,THROAT SURG.    ,BRONCHOSCOPY,0,D/C,5555.0,37
1012004,E.N.T.,THROAT SURG.    ,CLEFT PALATE REPAIR,0,2,12120.0,38
1012005,E.N.T.,THROAT SURG.    ,ESOPHAGOSCOPY,0,D/C,2958.0,39
1012006,E.N.T.,THROAT SURG.    ,HYPOPHARYNGOSCOPY DIAGNOSTIC,0,D/C,3208.5,40
1012007,E.N.T.,THROAT SURG.    ,HYPOPHARYNGOSCOPY THERAPUTIC /  FOREIGN BODY REMOVAL ,0,1,4898.5,41
1012008,E.N.T.,THROAT SURG.    ,QUINSY INCISION WITH DRAINAGE (U.G.A.),0,D/C,2193.0,42
1012009,E.N.T.,THROAT SURG.    ,LASER ASSISTED UVULOPALATOPLASTY (L.A.U.P.) ,0,1,6817.5,43
1012010,E.N.T.,THROAT SURG.    ,LARYNX LASER SURGERY,0,1,7221.5,44
1012011,E.N.T.,THROAT SURG.    ,TONSILLECTOMY / LASER ,0,1,4292.5,45
1012012,E.N.T.,THROAT SURG.    ,LYMPH NODE BIOPSY ,0,1,5807.5,46
1012013,E.N.T.,THROAT SURG.    ,MICRO-LARYNGOSCOPY,0,D/C,2193.0,47
1012014,E.N.T.,THROAT SURG.    ,MICRO-LARYNGOSURGERY,0,2,7575.0,48
1012015,E.N.T.,THROAT SURG.    ,"PAN-ENDOSCOPY, TRIPLE PROCEDURE",0,1,4191.5,49
1012016,E.N.T.,THROAT SURG.    ,THROAT PLASTIC SURGERY,0,1,10100.0,50
1012017,E.N.T.,THROAT SURG.    ,SUBMANDIBULAR GLAND STONE REMOVAL / MEDIUM,0,1,4005.0,51
1012018,E.N.T.,THROAT SURG.    ,SUBMANDIBULAR GLAND RESECTION,0,1,6918.5,52
1012019,E.N.T.,THROAT SURG.    ,THROAT FOREIGN BODY REMOVAL (U.G.A.),0,D/C,1989.0,53
1012020,E.N.T.,THROAT SURG.    ,TONSILLECTOMY,0,1,3927.0,54
1012021,E.N.T.,THROAT SURG.    ,TRACHEOSTOMY,0,1,12120.0,55
1012022,E.N.T.,THROAT SURG.    ,THROAT TUMOR SURGERY,0,2,11615.0,56
1012023,E.N.T.,THROAT SURG.    ,UVULO-PALATO-PHARYNGOPLASTY / SNORING SURGERY,0,1,5959.0,57
1013001,E.N.T.,EAR SURG.,PROMINANT EAR SURGERY,0,1,11615.0,58
1013002,E.N.T.,EAR SURG.,MYRINGOTOMY / BILATERAL (U.G.A.),0,1,3888.5,59
1013003,E.N.T.,EAR SURG.,CORTICAL MASTOIDECTOMY,0,1,3315.0,60
1013004,E.N.T.,EAR SURG.,EAR FOREIGN BODY REMOVAL (U.G.A.),0,D/C,1989.0,61
1013005,E.N.T.,EAR SURG.,ENDOLYMPHATIC SHUNT,0,2,13635.0,62
1013006,E.N.T.,EAR SURG.,EXPLORATORY TYMPANOTOMY,0,1,9090.0,63
1013007,E.N.T.,EAR SURG.,FACIAL NERVE SURGERY,0,2,14140.0,64
1013008,E.N.T.,EAR SURG.,HEARING AID / IMPLANTABLE ,0,2,9948.5,65
1013009,E.N.T.,EAR SURG.,EXTERNAL EAR ABSCESS INCISION WITH DRAINAGE,0,D/C,1989.0,66
1013010,E.N.T.,EAR SURG.,LABYRINTHECTOMY,0,2,13130.0,67
1013011,E.N.T.,EAR SURG.,LASER EAR SURGERY,0,1,9948.5,68
1013012,E.N.T.,EAR SURG.,MASTOID ABSCESS DRAINAGE UNDER (U.G.A.),0,D/C,1989.0,69
1013013,E.N.T.,EAR SURG.,MYRINGOPLASTY,0,1,8585.0,70
1013014,E.N.T.,EAR SURG.,MYRINGOTOMY WITH GROMMET (U.G.A.) / BILATERAL,0,D/C,4947.0,71
1013015,E.N.T.,EAR SURG.,MYRINGOTOMY WITH GROMMET (U.G.A.) / UNILATERAL ,0,D/C,3927.0,72
1013016,E.N.T.,EAR SURG.,OSSICULOPLASTY,0,2,11615.0,73
1013017,E.N.T.,EAR SURG.,EAR LOBULE PLASTIC SURGERY,0,1,4898.5,74
1013018,E.N.T.,EAR SURG.,PRE-AURICLAR  FISTULA EXCISION ,0,2,9595.0,75
1013019,E.N.T.,EAR SURG.,RADICAL MASTOIDECTOMY,0,2,14140.0,76
1013020,E.N.T.,EAR SURG.,STAPEDECTOMY,0,2,14140.0,77
1013021,E.N.T.,EAR SURG.,SUCTION CLEARANCE UNDER (U.G.A.),0,D/C,2193.0,78
1013022,E.N.T.,EAR SURG.,TYMPANOPLASTY ,0,1,9595.0,79
1013023,E.N.T.,EAR SURG.,TYMPANOPLASTY WITH MASTOIDECTOMY,0,2,12120.0,80
1013024,E.N.T.,EAR SURG.,TYMPANOPLASTY SECOND STAGE,0,2,7322.5,81
1013025,E.N.T.,EAR SURG.,UNILATERAL MYRINGOTOMY (U.G.A.),0,D/C,1887.0,82
1013026,E.N.T.,EAR SURG.,VESTIBULAR NEURECTOMY ,0,2,18685.0,83
1014001,E.N.T.,HEAD & NECK SURG.,NECK DISSECTION / BLOCK,0,3,23230.0,84
1014002,E.N.T.,HEAD & NECK SURG.,BRANCHIAL FISTULECTOMY,0,2,24240.0,85
1014003,E.N.T.,HEAD & NECK SURG.,PARTIAL LARYNGECTOMY,0,2,18180.0,86
