SERVICE CODE,CATEGORY,SUB-CATEGORY,SERVICE DESCRIPTION,REVISED PRICES,5
1112001,CONSULTATION,CONSULTATION,GENERAL PRACTITIONER'S CONSULTION (E.R.),125.0,6
1112002,CONSULTATION,CONSULTATION,ER DIFFERENCE - GP & CONSULTANT,0.0,7
1112003,CONSULTATION,CONSULTATION,CONSULTANT'S CONSULTATION (OPD),125.0,8
1112004,CONSULTATION,CONSULTATION,INPATIENT DOCTOR CONSULTATION REFERRED,125.0,9
1112005,CONSULTATION,CONSULTATION,INPATIENT DOCTOR'S DAILY VISIT  ,125.0,10
1112006,CONSULTATION,CONSULTATION,BARIATRIC CONSULTATION,125.0,11
1112007,CONSULTATION,CONSULTATION,CARDIOLOGY CONSULTANT CONSULTATION,125.0,12
1112008,CONSULTATION,CONSULTATION,SPECIALIST CONSULTAION (OPD),125.0,13
1112009,CONSULTATION,CONSULTATION,COLO-RECTAL SURGERY CONSULTATION,125.0,14
1112010,CONSULTATION,CONSULTATION,CONSULTATION - INTERVENTIONAL CARDIOLOGIST,125.0,15
1112012,CONSULTATION,CONSULTATION,CONSULTATION 1ST SPECIALIST,125.0,16
1112013,CONSULTATION,CONSULTATION,CONSULTATION FEE - SENIOR CONSULTANT DERMATOLOGIST,125.0,17
1112015,CONSULTATION,CONSULTATION,CONSULTATION FEE (SKINCARE),125.0,18
1112016,CONSULTATION,CONSULTATION,DENTAL CONSULTANT CONSULTATION,125.0,19
1112017,CONSULTATION,CONSULTATION,DENTAL SPECIALIST CONSULTATION,125.0,20
1112018,CONSULTATION,CONSULTATION,DERMATOLOGY CONSULTATION,125.0,21
1112022,CONSULTATION,CONSULTATION,ENDOCRINOLOGY CONSULTATION,125.0,22
1112023,CONSULTATION,CONSULTATION,ENT SPECIALIST CONSULTATION,125.0,23
1112019,CONSULTATION,CONSULTATION,DIABETIC EDUCATION WITH BLOOD SUGAR TEST,125.0,24
1112020,CONSULTATION,CONSULTATION,ENDOCRINOLOGIST CONSULTATION & BLOOD SUGAR TEST,125.0,25
1112021,CONSULTATION,CONSULTATION,"ENDOCRINOLOGIST CONSULTATION,BLOOD SUGAR& DIABETIC EDUCATION",125.0,26
1112025,CONSULTATION,CONSULTATION,FOLLOW UP (IVF) WITHIN 7 DAYS,125.0,27
1112028,CONSULTATION,CONSULTATION,GASTROENTEROLOGY CONSULTATION ,125.0,28
1112029,CONSULTATION,CONSULTATION,GYNAECOLOGY CONSULTATION,125.0,29
1112030,CONSULTATION,CONSULTATION,INPATIENT VISIT - NEURO SURGEON,125.0,30
1112031,CONSULTATION,CONSULTATION,INTERNAL MEDICINE CONSULTATION,125.0,31
1112032,CONSULTATION,CONSULTATION,INTERVENTIONAL RADIOLOGY CONSULTATION,125.0,32
1112033,CONSULTATION,CONSULTATION,IVF CONSULTATION,125.0,33
1112034,CONSULTATION,CONSULTATION,IVF CONSULTATION FOLLOW UP VISIT,125.0,34
1112035,CONSULTATION,CONSULTATION,NEPHROLOGY CONSULTATION,125.0,35
1112036,CONSULTATION,CONSULTATION,NEURO SURGERY CONSULTATION,125.0,36
1112037,CONSULTATION,CONSULTATION,NEUROLOGY CONSULTATION,125.0,37
1112038,CONSULTATION,CONSULTATION,ONCOLOGY CONSULTATION,125.0,38
1112039,CONSULTATION,CONSULTATION,OPHTHALMOLOGY CONSULTATION,125.0,39
1112040,CONSULTATION,CONSULTATION,ORTHODONTIST CONSULTATION,125.0,40
1112041,CONSULTATION,CONSULTATION,ORTHOPAEDIC CONSULTATION,125.0,41
1112044,CONSULTATION,CONSULTATION,PAEDIATRIC CONSULTATION,125.0,42
1112045,CONSULTATION,CONSULTATION,PEDIATRIC CARDIOLOGY CONSULTATION,125.0,43
1112046,CONSULTATION,CONSULTATION,PEDIATRIC SURGERY CONSULTATION,125.0,44
