Service Code,Description,Price 2022 ,Type,LOS
FMCAR-0007,TREADMILL EXERCISE STRESS TEST,778.53,service,
FMXRY-0263,FISTULOGRAM,638.14,service,
CAR-0001,Heart Catherization,8933.9709375,PKG,1 day
CAR-0002,A.V. Fistula,6030.4303552500005,PKG,1 day
CAR-0003,LHC + Graft,9572.11171875,PKG,1 day
CAR-0004,Single Vessel PTCA one V3,25525.63125,PKG,1 day
CAR-0005,Single Vessel PTCA Stenting,21696.7865625,PKG,1 day
CAR-0006,Coronary Stenting ( Per Stent) including the Conventional Bare Stent,7300.3305375,PKG,1 day
CAR-0007,PTCA SV ,20420.504999999997,PKG,1 ICU + 1 Ward
CAR-0008,Coronary Stenting ( Per Stent) including Drug Elusion,19144.2234375,PKG,1 day
CAR-0009,PTCA SV +  Stent,38288.446875,PKG,1 ICU + 1 Ward
CAR-0010,Coronary Angiography & Single Vessel PCI in One Session,25525.63125,PKG,1 ICU + 1 Ward
CAR-0011,PTCA SV + 2 Stents,52327.5440625,PKG,1 ICU + 3 Wards
CAR-0012,Permanent Pacemaker Implementation ( Complete),25525.63125,PKG,1 day
CAR-0013,PTCA SV + 3 Stents,63814.078125,PKG,1 ICU + 3 Wards
CAR-0014,Intra Aortic Balloon Pump,25525.63125,PKG,1 ICU + 3 Wards
CAR-0015,Directional Arthrectomy,30630.7575,PKG,1 ICU + 3 Wards
CAR-0016,RT Heart Catherization w/o Shunt Run,7657.689375,PKG,day case
CAR-0017,Temporary Pacemaker,5105.126249999999,PKG,day case
CAR-0018,Pulmonary Valvuplasty with RHC + Shunt,25525.63125,PKG,1 ICU + 3 Wards
CAR-0019,Cardioversion/Defibrillation,3828.8446875,PKG,day case
CAR-0020,VVD (Permanent Pacemaker) without cost of Peacemaker,57432.6703125,PKG,1 ICU + 3 Wards
CAR-0021,Mitral Valvuloplasty,44669.8546875,PKG,1 ICU + 1 Ward
CAR-0022,VVI (Permanent Pacemaker),51051.2625,PKG,1 ICU + 3 Wards
CAR-0024,VVIR (Permanent Pacemaker),70195.4859375,PKG,1 ICU + 3 Wards
CAR-0026,DDDI (Permanent Pacemaker),76576.89375,PKG,1 ICU + 3 Wards
CAR-0027,ASD Closure,63814.078125,PKG,8 Days
CAR-0028,Percardiocentesis,1914.42234375,PKG,day case
CAR-0029,PTCA TV + 4 Stents,102102.525,PKG,1 ICU + 3 Wards
CAR-0031,Aortic Aneurysm,25525.63125,PKG,5 Days
CAR-0032,Aorto Bifemoral Bypass (Excluding Sythetic Bypass Graft),51051.2625,PKG,5 Days
CAR-0033,Arterial Embolectomy & Venous Thumbectomy,19144.2234375,PKG,3 Days
CAR-0034,Cardiac Catheterization Peadia,11486.534062499999,PKG,1 day
CAR-0035,Congenital Heart (Excluding Prosthesis Cost),51051.2625,PKG,10 Days
CAR-0036,Femoro Post Tibial Bypass (Excluding Sythetic Bypass Graft),38288.446875,PKG,5 Days
CAR-0037,Intra-Aortic Balloon Insertion,7657.689375,PKG,1 day
CAR-0038,Left Common Illiac Femoral  Bypass (Excluding Sythetic Bypass Graft),31907.0390625,PKG,4 Days
CAR-0039,Ligation of Patient Ducts Arterious Through Left Thoracutomy (Close Heart Surgery,38288.446875,PKG,4 Days
CAR-0040,Open Lung Biopsy,8933.9709375,PKG,1 day
CAR-0041,Thalium Stress Test,3190.70390625,PKG,1 day
CAR-0042,Thoracoscopy Diagnostic,12762.815625,PKG,3 Days
CAR-0043,Thoracoscopy Therapeutic,19144.2234375,PKG,4 Days
CAR-0044,Thoractomy Evacutation of Hemothorax & Suturing of Lung Blebs,38288.446875,PKG,5 Days
CAR-0050,Cost Of The Valve,5788.125,PKG,0 DAY
CON,Consultation,150.0,service,
ENT-0001,Adenoidectomy,3828.8446875,PKG,1 day
ENT-0002,SMD,2552.5631249999997,PKG,1 day
ENT-0003,Excision of Lumps from Neck & Head,3828.8446875,PKG,2 days
ENT-0004,Drainage of Abscess Neck,2807.8194375,PKG,1 day
ENT-0005,Upper Endoscopy Biopsy,3828.8446875,PKG,day case
ENT-0006,Drainage of Quinsy,2807.8194375,PKG,1 day
ENT-0007,Nasal Polypectomy,4977.4980937499995,PKG,1 day
ENT-0008,Direct Laryngoscopy with Biopsy,6381.4078125,PKG,1 day
ENT-0009,Myringotomy & Insert of Ear Gromets,3828.8446875,PKG,1 day
ENT-0010,Antral Washout,2297.3068125,PKG,day case
ENT-0011,Myringotomy & Gromet Tube Insertion  ( Bilateral),3350.239074,PKG,day case
ENT-0012,Excision of Uvula A292,3828.8446875,PKG,day case
ENT-0013,Gromet Tube,638.1407812499999,PKG,OPD
ENT-0014,Tonsillectomy with or without Adenoidectomy,4594.613625,PKG,1 day
ENT-0015,Reduction of Fracture Nasal Bone,3828.8446875,PKG,1 day
ENT-0016,SMR Submucus Resection ,7019.54859375,PKG,2 days
ENT-0017,Tracheostomy,6381.4078125,PKG,2 days
ENT-0018,Foreign Body Oesophagus,3828.8446875,PKG,1 day
ENT-0019,Nasal Cautherization for Epistaxis,1914.42234375,PKG,day case
ENT-0020,Partial Inferior Turbinectomy (Unilateral/Bilateral),3828.8446875,PKG,day case
ENT-0021,Bronchoscopy (Foreign Body Removal from Trachea),5105.126249999999,PKG,1 day
ENT-0022,Turbinectomy,3828.8446875,PKG,1-2 Days
ENT-0023,Simple Mastoidectomy,7657.689375,PKG,2 days
ENT-0024,Bronchoscopy,3828.8446875,PKG,1 day
ENT-0025,Intra Nasal Antrostomy,4594.613625,PKG,2 days
ENT-0026,Suction Clearance Ears,2297.3068125,PKG,day case
ENT-0027,Removal  of Foreign Body from Trachea,3828.8446875,PKG,day case
ENT-0028,Removal of Foreign Body from Ear,1659.1660312499998,PKG,OPD
ENT-0029,Aural Polypectomy,4211.7291562499995,PKG,2 days
ENT-0030,Cordal Nodule of Benign Tumour from the Vocal Cord,7657.689375,PKG,1 day
ENT-0031,Radical Mastoidectomy,10720.765124999998,PKG,2 days
ENT-0032,Septoplasty,6381.4078125,PKG,2 days
ENT-0033,Caldwell- LUC Operation,7402.4330625,PKG,3 Days
ENT-0034,Turbinectomy/Unilateral,3828.8446875,PKG,day case
ENT-0035,Oro-Antral Fistula,7402.4330625,PKG,2 days
