TARIFF,SERVICE_NAMEE,CODE,NAME,DEPARTMENT_NAME,OP_PRICE,IP_PRICE
MALATH,CONSULTATIONS,ANAN011271,MEDHAT ABDELFATTAH MOHAMED,ANAESTHESIA,120.0,120
MALATH,CONSULTATIONS,ANAN011467,GEHAN FAWZY MAHMOUD EZZ,ANAESTHESIA,120.0,120
MALATH,CONSULTATIONS,CRCA011211,ESLAM ABDELKARIM MOURSY EISSA,CARDIOLOGY,115.0,115
MALATH,CONSULTATIONS,CRCA011221,ABDELAZIZ AL ZAIDI,CARDIOLOGY,120.0,120
MALATH,CONSULTATIONS,CRCA011347,SAYED MOHAMED MANTAWY,CARDIOLOGY,120.0,120
MALATH,CONSULTATIONS,CRCA030785,HANI NABIL SHEBLY,CARDIOLOGY,115.0,115
MALATH,CONSULTATIONS,CRCA030800,ADEL ABDELGAWAD ABDELAZIM,CARDIOLOGY,115.0,115
MALATH,CONSULTATIONS,CRCA030990,ABDELKAREEM HAMED ABDELKAREEM HUSSIEN,CARDIOLOGY,115.0,115
MALATH,CONSULTATIONS,CRCA031282,ASMAA GOMAA EID MOUSTAFA,CARDIOLOGY,120.0,120
MALATH,CONSULTATIONS,CSCS011364,MOHAMMED  FOUAD,CARDIO THORACIC SURGERY,120.0,120
MALATH,CONSULTATIONS,CSCS031085,AHMED ABDELAZIZ AHMED MOHAMMED,CARDIO THORACIC SURGERY,100.0,100
MALATH,CONSULTATIONS,DMDL011289,HORIYA ABDULLAH HUSAIN ALMASARI,DENTAL,120.0,120
MALATH,CONSULTATIONS,DMDL030659,MOHAMED ABOULSEOUD ELSAID,DENTAL,115.0,115
MALATH,CONSULTATIONS,DMDL030965,REIHAM WAHEID KHAMSAN,DENTAL,115.0,115
MALATH,CONSULTATIONS,DMDL081464,WALA  ALHEMAIDI,DENTAL,120.0,120
MALATH,CONSULTATIONS,DRDE010993,MOUSTAFA AHMED ELSAIED HUSSEIN,DERMATOLOGY,230.0,115
MALATH,CONSULTATIONS,DRDE011278,SOHAIR SALAH FATHALLA ELKASHEF,DERMATOLOGY,120.0,120
