Service Code,Desc.,Price as of 01/08/2024,Price as of 01/08/2025 and onward,Gross/Net,Discount % Yes/No,MCA Category Code,Service Category Description,Nphies Code,Nphies Description
1112001,GENERAL PRACTITIONER'S CONSULTION (E.R.),190,190,Net,no,11.0,Portal Professional Fees,83600-00-00,Office Assessment  for diagnosis  treatment  and counselling a new or established patient by General Practitioner
1112002,ER DIFFERENCE - GP & CONSULTANT,0,0,Net,no,11.0,Portal Professional Fees,83600-00-00,Office Assessment  for diagnosis  treatment  and counselling a new or established patient by General Practitioner
1112003,CONSULTANT'S CONSULTATION (OPD),190,190,Net,no,11.0,Portal Professional Fees,83600-00-20,Office Assessment  for diagnosis and treatment  and counselling of a new or established patient by Consultant
1112004,INPATIENT DOCTOR CONSULTATION REFERRED,190,190,Net,no,11.0,Portal Professional Fees,83600-02-70,Assessment  for diagnosis  treatment and counselling of a new or established Inpatient by Consultant
1112005,INPATIENT DOCTOR'S DAILY VISIT  ,190,190,Net,no,11.0,Portal Professional Fees,83600-02-70,Assessment  for diagnosis  treatment and counselling of a new or established Inpatient by Consultant
1112006,BARIATRIC CONSULTATION,190,190,Net,no,11.0,Portal Professional Fees,83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112007,CARDIOLOGY CONSULTANT CONSULTATION,190,190,Net,no,11.0,Portal Professional Fees,83600-01-20,Assessment by Licensed Cardiopulmonologist
1112008,SPECIALIST CONSULTAION (OPD),190,190,Net,no,11.0,Portal Professional Fees,83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112009,COLO-RECTAL SURGERY CONSULTATION,190,190,Net,no,11.0,Portal Professional Fees,83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112010,CONSULTATION - INTERVENTIONAL CARDIOLOGIST,190,190,Net,no,11.0,Portal Professional Fees,83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112011,CONSULTATION - VISITING DOCTORS,787.5,825.0000000000001,Gross,yes,11.0,Portal Professional Fees,83600-00-00,Office Assessment  for diagnosis  treatment  and counselling a new or established patient by General Practitioner
1112012,CONSULTATION 1ST SPECIALIST,190,190,Net,no,11.0,Portal Professional Fees,83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112013,CONSULTATION FEE - SENIOR CONSULTANT DERMATOLOGIST,190,190,Net,no,11.0,Portal Professional Fees,83700-00-00,Unlisted services yet to be defined.
1112014,CONSULTATION FEE - VISITING DOCTOR,787.5,825.0000000000001,Gross,yes,11.0,Portal Professional Fees,83700-00-00,Unlisted services yet to be defined.
1112015,CONSULTATION FEE,190,190,Net,no,11.0,Portal Professional Fees,83700-00-00,Unlisted services yet to be defined.
1112016,DENTAL CONSULTANT CONSULTATION,190,190,Net,no,11.0,Portal Professional Fees,97014-00-00,Dental consultation
1112017,DENTAL SPECIALIST CONSULTATION,190,190,Net,no,11.0,Portal Professional Fees,97014-00-00,Dental consultation
1112018,DERMATOLOGY CONSULTATION,190,190,Net,no,11.0,Portal Professional Fees,83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112019,DIABETIC EDUCATION,190,190,Net,no,11.0,Portal Professional Fees,95550-14-00,"Allied health intervention, diabetes education"
1112020,DIETITIAN CONSULTATION ,190,190,Net,no,11.0,Portal Professional Fees,83600-01-00,"Assessment of regulated healthcare professionals licensed to assess, diagnose, and treat nutritional problems."
1112021,SECA TEST BY DIETITIAN,190,190,Net,no,11.0,Portal Professional Fees,83600-01-00,"Assessment of regulated healthcare professionals licensed to assess, diagnose, and treat nutritional problems."
1112022,ENDOCRINOLOGY CONSULTATION,190,190,Net,no,11.0,Portal Professional Fees,83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112023,ENT SPECIALIST CONSULTATION,190,190,Net,no,11.0,Portal Professional Fees,83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112024,FAMILY THERAPY ,147,154,Net,no,11.0,Portal Professional Fees,96102-00-00,Family/carer-focussed therapy
1112025,FOLLOW UP (IVF) WITHIN 7 DAYS,0,0,Net,no,11.0,Portal Professional Fees,83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112026,FOLLOW-UP CONSULTATION (WITHIN 14 DAYS),0,0,Net,no,11.0,Portal Professional Fees,83600-00-50,Secondary follow up treatment with the same condition within the mandated timelines Consultant
1112027,FREE FOLLOW UP ( DENTAL ),0,0,Net,no,11.0,Portal Professional Fees,83600-00-40,Secondary follow up treatment with the same condition within the mandated timelines for specialist
1112028,GASTROENTEROLOGY CONSULTATION ,190,190,Net,no,11.0,Portal Professional Fees,83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112029,GYNAECOLOGY CONSULTATION,190,190,Net,no,11.0,Portal Professional Fees,83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112030,INPATIENT VISIT - NEURO SURGEON,190,190,Net,no,11.0,Portal Professional Fees,83600-02-70,Assessment  for diagnosis  treatment and counselling of a new or established Inpatient by Consultant
1112031,INTERNAL MEDICINE CONSULTATION,190,190,Net,no,11.0,Portal Professional Fees,83600-02-70,Assessment  for diagnosis  treatment and counselling of a new or established Inpatient by Consultant
