Category,code,Service Description,Price as of 01/08/2024,Price as of 01/08/2025 and onward,LOS,Service type,LOS.1,Gross/Net,Discount % Yes/No,MCA Category Code,Service Category Description,Nphies Code,Nphies Description
CONSULTATION,1112001,GENERAL PRACTITIONER'S CONSULTION (E.R.),190,190,,Service,,Flate rate,no,11.0,Portal Professional Fees,83600-00-00,Office Assessment  for diagnosis  treatment  and counselling a new or established patient by General Practitioner
CONSULTATION,1112002,ER DIFFERENCE - GP & CONSULTANT,0,0,,Service,,Flate rate,no,11.0,Portal Professional Fees,83600-00-00,Office Assessment  for diagnosis  treatment  and counselling a new or established patient by General Practitioner
CONSULTATION,1112003,CONSULTANT'S CONSULTATION (OPD),190,190,,Service,,Flate rate,no,11.0,Portal Professional Fees,83600-00-20,Office Assessment  for diagnosis and treatment  and counselling of a new or established patient by Consultant
CONSULTATION,1112004,INPATIENT DOCTOR CONSULTATION REFERRED,190,190,,Service,,Flate rate,no,11.0,Portal Professional Fees,83600-02-70,Assessment  for diagnosis  treatment and counselling of a new or established Inpatient by Consultant
CONSULTATION,1112005,INPATIENT DOCTOR'S DAILY VISIT  ,190,190,,Service,,Flate rate,no,11.0,Portal Professional Fees,83600-02-70,Assessment  for diagnosis  treatment and counselling of a new or established Inpatient by Consultant
CONSULTATION,1112006,BARIATRIC CONSULTATION,190,190,,Service,,Flate rate,no,11.0,Portal Professional Fees,83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
CONSULTATION,1112007,CARDIOLOGY CONSULTANT CONSULTATION,190,190,,Service,,Flate rate,no,11.0,Portal Professional Fees,83600-01-20,Assessment by Licensed Cardiopulmonologist
CONSULTATION,1112008,SPECIALIST CONSULTAION (OPD),190,190,,Service,,Flate rate,no,11.0,Portal Professional Fees,83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
CONSULTATION,1112009,COLO-RECTAL SURGERY CONSULTATION,190,190,,Service,,Flate rate,no,11.0,Portal Professional Fees,83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
CONSULTATION,1112010,CONSULTATION - INTERVENTIONAL CARDIOLOGIST,190,190,,Service,,Flate rate,no,11.0,Portal Professional Fees,83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
CONSULTATION,1112011,CONSULTATION - VISITING DOCTORS,787.5,825.0000000000001,,Service,,Gross,yes,11.0,Portal Professional Fees,83600-00-00,Office Assessment  for diagnosis  treatment  and counselling a new or established patient by General Practitioner
