HCP Name,;,Department,S. Type,Code,Provider Service Description,LOS
SGH Jeddah ,1011001,ENT,PD,1011001,ANTERIOR NASAL PACK (U.G.A.),D/C
SGH Jeddah ,1011002,ENT,PD,1011002,MIDDLE MEATUS ANTROSTOMY/BILATERAL,2
SGH Jeddah ,1011003,ENT,PD,1011003,SINSUS PUNCTURE (U.G.A.) / BILATERAL,1
SGH Jeddah ,1011004,ENT,PD,1011004,CRYO-TURBINECTOMY,1
SGH Jeddah ,1011005,ENT,PD,1011005,CAUTERIZATION OF THE NOSE / ENDOSCOPIC ,1
SGH Jeddah ,1011006,ENT,PD,1011006,ETHMOIDECTOMY / ENDOSCOPIC ,1
SGH Jeddah ,1011007,ENT,PD,1011007,TURBINECTOMY / PARTIAL / ENDOSCOPIC ,1
SGH Jeddah ,1011008,ENT,PD,1011008,POLYPECTOMY AND ETHMOIDECTOMY / ENDOSCOPIC ,2
SGH Jeddah ,1011009,ENT,PD,1011009,POLYPECTOMY AND ETHMOIDECTOMY / RECURRENT / ENDOSCOPIC ,2
SGH Jeddah ,1011010,ENT,PD,1011010,EXAMINATION UNDER GENERAL ANESTHESIA,D/C
SGH Jeddah ,1011011,ENT,PD,1011011,NASAL SINUS SURGERY / EXTERNAL ,1
SGH Jeddah ,1011012,ENT,PD,1011012,NOSE FRACTURE,1
SGH Jeddah ,1011013,ENT,PD,1011013,FUNCTIONAL ENDOSCOPIC SINUS SURGERY (FESS SURGERY),2
SGH Jeddah ,1011014,ENT,PD,1011014,NASAL LASER SURGERY,1
SGH Jeddah ,1011015,ENT,PD,1011015,NOSE MICROSURGERY,1
SGH Jeddah ,1011016,ENT,PD,1011016,NASAL BIOPSY,D/C
SGH Jeddah ,1011017,ENT,PD,1011017,NASAL CAUTERY UNDER (U.G.A.),D/C
SGH Jeddah ,1011018,ENT,PD,1011018,NASAL FOREIGN BODY REMOVAL (U.G.A.),D/C
SGH Jeddah ,1011019,ENT,PD,1011019,NASAL SEPTAL CORRECTION,1
SGH Jeddah ,1011020,ENT,PD,1011020,OPEN REDUCTION / FRACTURED NOSE,2
SGH Jeddah ,1011021,ENT,PD,1011021,ORO-ANTRAL FISTULA REPAIR,1
SGH Jeddah ,1011022,ENT,PD,1011022,POSTERIOR NASAL PACK  (U.G.A.),D/C
SGH Jeddah ,1011023,ENT,PD,1011023,ANTRAL FOREIGN BODY REMOVAL,1
SGH Jeddah ,1011024,ENT,PD,1011024,RHINOPLASTY / REVISION (MEDIUM),1
SGH Jeddah ,1011025,ENT,PD,1011025,RHINOPLASTY / MAJOR,2
SGH Jeddah ,1011026,ENT,PD,1011026,RHINOPLASTY / MEDIUM,1
SGH Jeddah ,1011027,ENT,PD,1011027,SEPTOPLASTY,1
SGH Jeddah ,1011028,ENT,PD,1011028,SEPTORHINOPLASTY,2
SGH Jeddah ,1011029,ENT,PD,1011029,TURBINECTOMY WITH SUBMUCOUS DIATHERMY,1
SGH Jeddah ,1011030,ENT,PD,1011030,SUBMUCOUS RESECTION OF NASAL SPETUM,1
SGH Jeddah ,1011031,ENT,PD,1011031,SINSUS PUNCTURE / UNILATERAL (U.G.A.),D/C
SGH Jeddah ,1012001,ENT,PD,1012001,ADENOIDECTOMY,1
SGH Jeddah ,1012002,ENT,PD,1012002,ADENOTONSILECTOMY,1
SGH Jeddah ,1012003,ENT,PD,1012003,BRONCHOSCOPY,D/C
SGH Jeddah ,1012004,ENT,PD,1012004,CLEFT PALATE REPAIR,2
SGH Jeddah ,1012005,ENT,PD,1012005,ESOPHAGOSCOPY,D/C
SGH Jeddah ,1012006,ENT,PD,1012006,HYPOPHARYNGOSCOPY DIAGNOSTIC,D/C
SGH Jeddah ,1012007,ENT,PD,1012007,HYPOPHARYNGOSCOPY THERAPUTIC /  FOREIGN BODY REMOVAL ,1
SGH Jeddah ,1012008,ENT,PD,1012008,QUINSY INCISION WITH DRAINAGE (U.G.A.),D/C
SGH Jeddah ,1012009,ENT,PD,1012009,LASER ASSISTED UVULOPALATOPLASTY (L.A.U.P.) ,1
SGH Jeddah ,1012010,ENT,PD,1012010,LARYNX LASER SURGERY,1
SGH Jeddah ,1012011,ENT,PD,1012011,TONSILLECTOMY / LASER ,1
SGH Jeddah ,1012012,ENT,PD,1012012,LYMPH NODE BIOPSY ,1
SGH Jeddah ,1012013,ENT,PD,1012013,MICRO-LARYNGOSCOPY,D/C
SGH Jeddah ,1012014,ENT,PD,1012014,MICRO-LARYNGOSURGERY,2
SGH Jeddah ,1012015,ENT,PD,1012015,"PAN-ENDOSCOPY, TRIPLE PROCEDURE",1
SGH Jeddah ,1012016,ENT,PD,1012016,THROAT PLASTIC SURGERY,1
SGH Jeddah ,1012017,ENT,PD,1012017,SUBMANDIBULAR GLAND STONE REMOVAL / MEDIUM,1
SGH Jeddah ,1012018,ENT,PD,1012018,SUBMANDIBULAR GLAND RESECTION,1
SGH Jeddah ,1012019,ENT,PD,1012019,THROAT FOREIGN BODY REMOVAL (U.G.A.),D/C
SGH Jeddah ,1012020,ENT,PD,1012020,TONSILLECTOMY,1
SGH Jeddah ,1012021,ENT,PD,1012021,TRACHEOSTOMY,1
SGH Jeddah ,1012022,ENT,PD,1012022,THROAT TUMOR SURGERY,2
SGH Jeddah ,1012023,ENT,PD,1012023,UVULO-PALATO-PHARYNGOPLASTY / SNORING SURGERY,1
SGH Jeddah ,1013001,ENT,PD,1013001,PROMINANT EAR SURGERY,1
SGH Jeddah ,1013002,ENT,PD,1013002,MYRINGOTOMY / BILATERAL (U.G.A.),1
SGH Jeddah ,1013003,ENT,PD,1013003,CORTICAL MASTOIDECTOMY,1
SGH Jeddah ,1013004,ENT,PD,1013004,EAR FOREIGN BODY REMOVAL (U.G.A.),D/C
SGH Jeddah ,1013005,ENT,PD,1013005,ENDOLYMPHATIC SHUNT,2
SGH Jeddah ,1013006,ENT,PD,1013006,EXPLORATORY TYMPANOTOMY,1
SGH Jeddah ,1013007,ENT,PD,1013007,FACIAL NERVE SURGERY,2
SGH Jeddah ,1013008,ENT,PD,1013008,HEARING AID / IMPLANTABLE ,2
SGH Jeddah ,1013009,ENT,PD,1013009,EXTERNAL EAR ABSCESS INCISION WITH DRAINAGE,D/C
SGH Jeddah ,1013010,ENT,PD,1013010,LABYRINTHECTOMY,2
SGH Jeddah ,1013011,ENT,PD,1013011,LASER EAR SURGERY,1
SGH Jeddah ,1013012,ENT,PD,1013012,MASTOID ABSCESS DRAINAGE UNDER (U.G.A.),D/C
SGH Jeddah ,1013013,ENT,PD,1013013,MYRINGOPLASTY,1
SGH Jeddah ,1013014,ENT,PD,1013014,MYRINGOTOMY WITH GROMMET (U.G.A.) / BILATERAL,D/C
SGH Jeddah ,1013015,ENT,PD,1013015,MYRINGOTOMY WITH GROMMET (U.G.A.) / UNILATERAL ,D/C
SGH Jeddah ,1013016,ENT,PD,1013016,OSSICULOPLASTY,2
SGH Jeddah ,1013017,ENT,PD,1013017,EAR LOBULE PLASTIC SURGERY,1
SGH Jeddah ,1013018,ENT,PD,1013018,PRE-AURICLAR  FISTULA EXCISION ,2
SGH Jeddah ,1013019,ENT,PD,1013019,RADICAL MASTOIDECTOMY,2
SGH Jeddah ,1013020,ENT,PD,1013020,STAPEDECTOMY,2
SGH Jeddah ,1013021,ENT,PD,1013021,SUCTION CLEARANCE UNDER (U.G.A.),D/C
SGH Jeddah ,1013022,ENT,PD,1013022,TYMPANOPLASTY ,1
SGH Jeddah ,1013023,ENT,PD,1013023,TYMPANOPLASTY WITH MASTOIDECTOMY,2
SGH Jeddah ,1013024,ENT,PD,1013024,TYMPANOPLASTY SECOND STAGE,2
SGH Jeddah ,1013025,ENT,PD,1013025,UNILATERAL MYRINGOTOMY (U.G.A.),D/C
SGH Jeddah ,1013026,ENT,PD,1013026,VESTIBULAR NEURECTOMY ,2
SGH Jeddah ,1014001,ENT,PD,1014001,NECK DISSECTION / BLOCK,3
SGH Jeddah ,1014002,ENT,PD,1014002,BRANCHIAL FISTULECTOMY,2
SGH Jeddah ,1014003,ENT,PD,1014003,PARTIAL LARYNGECTOMY,2
SGH Jeddah ,1014004,ENT,PD,1014004,SUPERFICIAL PAROTIDECTOMY,2
SGH Jeddah ,1014005,ENT,PD,1014005,THYROGLOSSAL CYST EXCISION ,2
SGH Jeddah ,1014006,ENT,PD,1014006,TOTAL LARYNGECTOMY ,2
SGH Jeddah ,1014007,ENT,PD,1014007,TOTAL PAROTIDECTOMY,2
SGH Jeddah ,2011001,SUR,PD,2011001,ANAL DILATATION (U.G.A.),1
SGH Jeddah ,2011002,SUR,PD,2011002,ANESTHESIA (G.A OR SEDATION)  FOR  PROCEDURE,D/C
SGH Jeddah ,2011003,SUR,PD,2011003,CIRCUMCISION (ADULT) (U.G.A.),D/C
SGH Jeddah ,2011004,SUR,PD,2011004,CIRCUMCISION (ADULT) (U.L.A.),D/C
SGH Jeddah ,2011005,SUR,PD,2011005,CIRCUMCISION (LESS THAN ONE YEAR),D/C
SGH Jeddah ,2011006,SUR,PD,2011006,DERMOID CYST EXCISION,1
SGH Jeddah ,2011007,SUR,PD,2011007,DIVISION OF TONGUE TIE (U.L.A.),D/C
SGH Jeddah ,2011008,SUR,PD,2011008,ENDOSCOPIC POLYPECTOMY,D/C
SGH Jeddah ,2011009,SUR,PD,2011009,EXCISION OF BREAST LUMP FOR BIOPSY (U.G.A.) (WITHOUT HISTOPATHOLOGY),1
SGH Jeddah ,2011010,SUR,PD,2011010,EXCISION OF BREAST LUMP / LUMPECTOMY - MULTIPLE OR SINGLE (U.G.A.),D/C
SGH Jeddah ,2011011,SUR,PD,2011011,EXCISION OF SIMPLE CYST OR LIPOMA (U.G.A.) WITH HISTOPATHOLOGY ,D/C
SGH Jeddah ,2011012,SUR,PD,2011012,EXCISION OF SIMPLE OR SMALL LIPOMA UNDER (U.G.A.),D/C
SGH Jeddah ,2011013,SUR,PD,2011013,EXCISION OF SIMPLE OR SMALL LIPOMA UNDER (U.L.A.),0
SGH Jeddah ,2011014,SUR,PD,2011014,EXCISION OF SIMPLE TUMOUR / CHRONIC ABCESS OF BREAST,D/C
SGH Jeddah ,2011015,SUR,PD,2011015,EXCISION OF SIMPLE TUMOURS OR CHRONIC BREAS ABSCESS,D/C
SGH Jeddah ,2011016,SUR,PD,2011016,EXCISION OF SINGLE / MULTIPLE NEUROFIBROMA,D/C
SGH Jeddah ,2011017,SUR,PD,2011017,INCISION WITH DRAINAGE LARGE OR DEEP ABSESS UNDER G.A.,D/C
SGH Jeddah ,2011018,SUR,PD,2011018,EXCISION OF INGROWING TOE NAIL (U.G.A.),D/C
SGH Jeddah ,2011019,SUR,PD,2011019,IMPERFORATED ANUS / LOW ,D/C
SGH Jeddah ,2011020,SUR,PD,2011020,PERCUTANEOUS LIVER BIOPSY,D/C
SGH Jeddah ,2011021,SUR,PD,2011021,PERIANAL ABSCESS (U.G.A.),D/C
SGH Jeddah ,2011022,SUR,PD,2011022,TONGUE TIE RELEASE (U.G.A.),D/C
SGH Jeddah ,2011023,SUR,PD,2011023,FOREIGN BODY REMOVAL (U.L.A.),D/C
SGH Jeddah ,2011024,SUR,PD,2011024,THROMBOSED PILES OR EXCISION OF PERIANAL SKIN TAGS REMOVAL,D/C
SGH Jeddah ,2011025,SUR,PD,2011025,SUB-MANDIBULAR SALIVARY GLAND STONE REMOVAL,D/C
SGH Jeddah ,2011026,SUR,PD,2011026,OESOPHAGEAL SCLEROTHERAPY ,D/C
SGH Jeddah ,2011027,SUR,PD,2011027,ENTEROSCOPY SINGLE BALLOON ,D/C
SGH Jeddah ,2011028,SUR,PD,2011028,SUTURING LARGE WOUND (U.G.A.),D/C
SGH Jeddah ,2011029,SUR,PD,2011029,THORACOCENTESIS,0
SGH Jeddah ,2012001,SUR,PD,2012001,ACHALSIA OF CARDIA,1
SGH Jeddah ,2012002,SUR,PD,2012002,ADHESIOLYSIS / OPEN,1
SGH Jeddah ,2012003,SUR,PD,2012003,AMPUTATION / LIMB GANGRENE,2
SGH Jeddah ,2012004,SUR,PD,2012004,ANAL FISSURECTOMY,1
SGH Jeddah ,2012005,SUR,PD,2012005,APPENDECTOMY ,1
SGH Jeddah ,2012006,SUR,PD,2012006,COLOSTOMY CLOSURE WITH ANASTOMOSIS,1
SGH Jeddah ,2012007,SUR,PD,2012007,BURIED PENIS OR CONCEALED PENIS CORRECTION,1
SGH Jeddah ,2012008,SUR,PD,2012008,ERCP DIAGONSTIC ,D/C
SGH Jeddah ,2012009,SUR,PD,2012009,ENDOSCOPIC SPHINCTEROTOMY,D/C
SGH Jeddah ,2012010,SUR,PD,2012010,ENDOSCOPIC SPHINCTEROTOMY WITH DRAIN INSERTION,D/C
SGH Jeddah ,2012011,SUR,PD,2012011,ENDOSCOPIC SPHINCTEROTOMY WITH STONE CRUSHING,D/C
SGH Jeddah ,2012012,SUR,PD,2012012,ENDOSCOPIC SPHINCTEROTOMY WITH STONE EXTRACTION,D/C
SGH Jeddah ,2012013,SUR,PD,2012013,EPIGASTRIC HERNIA REPAIR / OPEN,1
SGH Jeddah ,2012014,SUR,PD,2012014,EXCISION OF BIG OR MULTIPLE LIPOMA (U.L.A.),1
SGH Jeddah ,2012015,SUR,PD,2012015,EXCISION OF BIG OR MULTIPLE LIPOMA (U.G.A.),1
SGH Jeddah ,2012016,SUR,PD,2012016,EXCISION OF SUBMANDIBULAR GLAND,1
SGH Jeddah ,2012017,SUR,PD,2012017,"GASTROSTOMY, COLOSTOMY (WITHOUT CONSUMABLES)",2
SGH Jeddah ,2012018,SUR,PD,2012018,HAEMORRHOIDECTOMY / SURGICAL,1
SGH Jeddah ,2012019,SUR,PD,2012019,HAEMORRHOIDECTOMY BY STAPPLER,1
SGH Jeddah ,2012020,SUR,PD,2012020,HYDROCELE,1
SGH Jeddah ,2012021,SUR,PD,2012021,"INGUINAL, UMBILICAL OR FEMORAL HERNIA",1
SGH Jeddah ,2012022,SUR,PD,2012022,APPENDECTOMY / LAPARASCOPIC ,1
SGH Jeddah ,2012023,SUR,PD,2012023,LAPARASCOPY / DIAGNOSTIC,1
SGH Jeddah ,2012024,SUR,PD,2012024,LAPARASCOPY (DIAGNOSTIC) WITH BIOPSY,1
SGH Jeddah ,2012025,SUR,PD,2012025,MASTECTOMY / GYNAECOMASTIA - MALES (UNI OR BILATERAL),1
SGH Jeddah ,2012026,SUR,PD,2012026,ORCHIDECTOMY,1
SGH Jeddah ,2012027,SUR,PD,2012027,MASTECTOMY / PARTIAL WITH HISTOPATHOLOGY,1
SGH Jeddah ,2012028,SUR,PD,2012028,COLONOSCOPY / PEDIATRIC ,2
SGH Jeddah ,2012029,SUR,PD,2012029,ENDOSCOPY / PEDIATRIC ,2
SGH Jeddah ,2012030,SUR,PD,2012030,PILONIDAL SINUS,2
SGH Jeddah ,2012031,SUR,PD,2012031,POST HAEMORRHOIDECTOMY ANUS STRICTURE ,2
SGH Jeddah ,2012032,SUR,PD,2012032,REMOVAL OF FOREIGN BODY (U.G.A.),1
SGH Jeddah ,2012033,SUR,PD,2012033,ANAL FISTULA / LOW - SIMPLE ,2
SGH Jeddah ,2012034,SUR,PD,2012034,INCISIONAL HERNIA WITH OR W/O HERNIOPLASTY,2
SGH Jeddah ,2012035,SUR,PD,2012035,SPERMATOCELE,1
SGH Jeddah ,2012036,SUR,PD,2012036,ERCP / THERAPEUTIC ,D/C
SGH Jeddah ,2012037,SUR,PD,2012037,THYROGLOSSAL CYST / FISTULA,1
SGH Jeddah ,2012038,SUR,PD,2012038,UNDESCENDED TESTIS WITHIN THE INGUINAL CANAL,1
SGH Jeddah ,2012039,SUR,PD,2012039,VARICOCELES,1
SGH Jeddah ,2012040,SUR,PD,2012040,VARICOSE VEINS STRIPPING  (BILATERAL),1
