HCP Name,S. Type,Code,Provider Service Description,Prie,Discount,LOS
SGH Madina,PD,1011001,ANTERIOR NASAL PACK (U.G.A.),1581,0.15,D/C
SGH Madina,PD,1011002,MIDDLE MEATUS ANTROSTOMY/BILATERAL,7929,0.15,2
SGH Madina,PD,1011003,SINSUS PUNCTURE (U.G.A.) / BILATERAL,2677,0.15,1
SGH Madina,PD,1011004,CRYO-TURBINECTOMY,4899,0.15,1
SGH Madina,PD,1011005,CAUTERIZATION OF THE NOSE / ENDOSCOPIC ,6565,0.15,1
SGH Madina,PD,1011006,ETHMOIDECTOMY / ENDOSCOPIC ,12120,0.15,1
SGH Madina,PD,1011007,TURBINECTOMY / PARTIAL / ENDOSCOPIC ,4899,0.15,1
SGH Madina,PD,1011008,POLYPECTOMY AND ETHMOIDECTOMY / ENDOSCOPIC ,10353,0.15,2
SGH Madina,PD,1011009,POLYPECTOMY AND ETHMOIDECTOMY / RECURRENT / ENDOSCOPIC ,12625,0.15,2
SGH Madina,PD,1011010,EXAMINATION UNDER GENERAL ANESTHESIA,1275,0.15,D/C
SGH Madina,PD,1011011,NASAL SINUS SURGERY / EXTERNAL ,12120,0.15,1
SGH Madina,PD,1011012,NOSE FRACTURE,3889,0.15,1
SGH Madina,PD,1011013,FUNCTIONAL ENDOSCOPIC SINUS SURGERY (FESS SURGERY),12240,0.15,2
SGH Madina,PD,1011014,NASAL LASER SURGERY,4899,0.15,1
SGH Madina,PD,1011015,NOSE MICROSURGERY,7929,0.15,1
SGH Madina,PD,1011016,NASAL BIOPSY,2295,0.15,D/C
SGH Madina,PD,1011017,NASAL CAUTERY UNDER (U.G.A.),1938,0.15,D/C
SGH Madina,PD,1011018,NASAL FOREIGN BODY REMOVAL (U.G.A.),1989,0.15,D/C
SGH Madina,PD,1011019,NASAL SEPTAL CORRECTION,5625,0.15,1
SGH Madina,PD,1011020,OPEN REDUCTION / FRACTURED NOSE,11440,0.15,2
SGH Madina,PD,1011021,ORO-ANTRAL FISTULA REPAIR,8333,0.15,1
SGH Madina,PD,1011022,POSTERIOR NASAL PACK  (U.G.A.),2193,0.15,D/C
SGH Madina,PD,1011023,ANTRAL FOREIGN BODY REMOVAL,3939,0.15,1
SGH Madina,PD,1011024,RHINOPLASTY / REVISION (MEDIUM),4500,0.15,1
SGH Madina,PD,1011025,RHINOPLASTY / MAJOR,12750,0.15,2
SGH Madina,PD,1011026,RHINOPLASTY / MEDIUM,6942,0.15,1
SGH Madina,PD,1011027,SEPTOPLASTY,6313,0.15,1
SGH Madina,PD,1011028,SEPTORHINOPLASTY,12625,0.15,2
SGH Madina,PD,1011029,TURBINECTOMY WITH SUBMUCOUS DIATHERMY,4899,0.15,1
SGH Madina,PD,1011030,SUBMUCOUS RESECTION OF NASAL SPETUM,4307,0.15,1
SGH Madina,PD,1011031,SINSUS PUNCTURE / UNILATERAL (U.G.A.),2040,0.15,D/C
SGH Madina,PD,1012001,ADENOIDECTOMY,2193,0.15,1
SGH Madina,PD,1012002,ADENOTONSILECTOMY,4845,0.15,1
SGH Madina,PD,1012003,BRONCHOSCOPY,5555,0.15,D/C
SGH Madina,PD,1012004,CLEFT PALATE REPAIR,12120,0.15,2
SGH Madina,PD,1012005,ESOPHAGOSCOPY,2958,0.15,D/C
SGH Madina,PD,1012006,HYPOPHARYNGOSCOPY DIAGNOSTIC,3209,0.15,D/C
SGH Madina,PD,1012007,HYPOPHARYNGOSCOPY THERAPUTIC /  FOREIGN BODY REMOVAL ,4899,0.15,1
SGH Madina,PD,1012008,QUINSY INCISION WITH DRAINAGE (U.G.A.),2193,0.15,D/C
SGH Madina,PD,1012009,LASER ASSISTED UVULOPALATOPLASTY (L.A.U.P.) ,6818,0.15,1
SGH Madina,PD,1012010,LARYNX LASER SURGERY,7222,0.15,1
SGH Madina,PD,1012011,TONSILLECTOMY / LASER ,4293,0.15,1
SGH Madina,PD,1012012,LYMPH NODE BIOPSY ,5808,0.15,1
SGH Madina,PD,1012013,MICRO-LARYNGOSCOPY,2193,0.15,D/C
SGH Madina,PD,1012014,MICRO-LARYNGOSURGERY,7575,0.15,2
SGH Madina,PD,1012015,"PAN-ENDOSCOPY, TRIPLE PROCEDURE",4192,0.15,1
SGH Madina,PD,1012016,THROAT PLASTIC SURGERY,10100,0.15,1
SGH Madina,PD,1012017,SUBMANDIBULAR GLAND STONE REMOVAL / MEDIUM,4005,0.15,1
SGH Madina,PD,1012018,SUBMANDIBULAR GLAND RESECTION,6919,0.15,1
SGH Madina,PD,1012019,THROAT FOREIGN BODY REMOVAL (U.G.A.),1989,0.15,D/C
SGH Madina,PD,1012020,TONSILLECTOMY,3927,0.15,1
SGH Madina,PD,1012021,TRACHEOSTOMY,12120,0.15,1
SGH Madina,PD,1012022,THROAT TUMOR SURGERY,11615,0.15,2
SGH Madina,PD,1012023,UVULO-PALATO-PHARYNGOPLASTY / SNORING SURGERY,5959,0.15,1
SGH Madina,PD,1013001,PROMINANT EAR SURGERY,11615,0.15,1
SGH Madina,PD,1013002,MYRINGOTOMY / BILATERAL (U.G.A.),3889,0.15,1
SGH Madina,PD,1013003,CORTICAL MASTOIDECTOMY,3315,0.15,1
SGH Madina,PD,1013004,EAR FOREIGN BODY REMOVAL (U.G.A.),1989,0.15,D/C
SGH Madina,PD,1013005,ENDOLYMPHATIC SHUNT,13635,0.15,2
SGH Madina,PD,1013006,EXPLORATORY TYMPANOTOMY,9090,0.15,1
SGH Madina,PD,1013007,FACIAL NERVE SURGERY,14140,0.15,2
SGH Madina,PD,1013008,HEARING AID / IMPLANTABLE ,9949,0.15,2
SGH Madina,PD,1013009,EXTERNAL EAR ABSCESS INCISION WITH DRAINAGE,1989,0.15,D/C
SGH Madina,PD,1013010,LABYRINTHECTOMY,13130,0.15,2
SGH Madina,PD,1013011,LASER EAR SURGERY,9949,0.15,1
SGH Madina,PD,1013012,MASTOID ABSCESS DRAINAGE UNDER (U.G.A.),1989,0.15,D/C
SGH Madina,PD,1013013,MYRINGOPLASTY,8585,0.15,1
SGH Madina,PD,1013014,MYRINGOTOMY WITH GROMMET (U.G.A.) / BILATERAL,4947,0.15,D/C
SGH Madina,PD,1013015,MYRINGOTOMY WITH GROMMET (U.G.A.) / UNILATERAL ,3927,0.15,D/C
SGH Madina,PD,1013016,OSSICULOPLASTY,11615,0.15,2
SGH Madina,PD,1013017,EAR LOBULE PLASTIC SURGERY,4899,0.15,1
SGH Madina,PD,1013018,PRE-AURICLAR  FISTULA EXCISION ,9595,0.15,2
SGH Madina,PD,1013019,RADICAL MASTOIDECTOMY,14140,0.15,2
SGH Madina,PD,1013020,STAPEDECTOMY,14140,0.15,2
SGH Madina,PD,1013021,SUCTION CLEARANCE UNDER (U.G.A.),2193,0.15,D/C
SGH Madina,PD,1013022,TYMPANOPLASTY ,9595,0.15,1
SGH Madina,PD,1013023,TYMPANOPLASTY WITH MASTOIDECTOMY,12120,0.15,2
SGH Madina,PD,1013024,TYMPANOPLASTY SECOND STAGE,7323,0.15,2
SGH Madina,PD,1013025,UNILATERAL MYRINGOTOMY (U.G.A.),1887,0.15,D/C
SGH Madina,PD,1013026,VESTIBULAR NEURECTOMY ,18685,0.15,2
SGH Madina,PD,1014001,NECK DISSECTION / BLOCK,23230,0.15,3
SGH Madina,PD,1014002,BRANCHIAL FISTULECTOMY,24240,0.15,2
