HCP Name,S. Type,Code,Provider Service Description,Price,Discount 
SGH Madina,CONSULTATION,SGHTELE,TELE MEDICINE SPECIALIST,100.0,0.0
SGH Madina,CONSULTATION,1112002,ER DIFFERENCE - GP & CONSULTANT,0.0,0.0
SGH Madina,CONSULTATION,1112001,GENERAL PRACTITIONER'S CONSULTION (E.R.),140.0,0.0
SGH Madina,CONSULTATION,1112003,CONSULTANT'S CONSULTATION (OPD),140.0,0.0
SGH Madina,CONSULTATION,1112004,INPATIENT DOCTOR CONSULTATION REFERRED,140.0,0.0
SGH Madina,CONSULTATION,1112005,INPATIENT DOCTOR'S DAILY VISIT  ,140.0,0.0
SGH Madina,CONSULTATION,1112006,BARIATRIC CONSULTATION,140.0,0.0
SGH Madina,CONSULTATION,1112007,CARDIOLOGY CONSULTANT CONSULTATION,140.0,0.0
SGH Madina,CONSULTATION,1112008,SPECIALIST CONSULTAION (OPD),140.0,0.0
SGH Madina,CONSULTATION,1112009,COLO-RECTAL SURGERY CONSULTATION,140.0,0.0
SGH Madina,CONSULTATION,1112010,CONSULTATION - INTERVENTIONAL CARDIOLOGIST,140.0,0.0
SGH Madina,CONSULTATION,1112011,CONSULTATION - VISITING DOCTORS,140.0,0.2
SGH Madina,CONSULTATION,1112012,CONSULTATION 1ST SPECIALIST,140.0,0.0
SGH Madina,CONSULTATION,1112013,CONSULTATION FEE - SENIOR CONSULTANT DERMATOLOGIST,140.0,0.0
SGH Madina,CONSULTATION,1112014,CONSULTATION FEE - VISITING DOCTOR,140.0,0.2
SGH Madina,CONSULTATION,1112015,CONSULTATION FEE,140.0,0.0
SGH Madina,CONSULTATION,1112016,DENTAL CONSULTANT CONSULTATION,140.0,0.0
SGH Madina,CONSULTATION,1112017,DENTAL SPECIALIST CONSULTATION,140.0,0.0
SGH Madina,CONSULTATION,1112018,DERMATOLOGY CONSULTATION,140.0,0.0
SGH Madina,CONSULTATION,1112019,DIABETIC EDUCATION,140.0,0.0
