Service Code,Service Description,Service Category Description,Nphies Code,Nphies Description,Service Price Up to 2024,Service Price as of 2025,Service Discount,Service Category Code,additional date
7129081,2002-10-01 00:00:00,Portal Laboratory,73200-08-30,Special stained specimen slides to examine tissue,575.0,603.75,20.0,31.0,
7129082,2003-10-01 00:00:00,Portal Laboratory,73200-08-30,Special stained specimen slides to examine tissue,575.0,603.75,20.0,31.0,
7121459,2004-10-01 00:00:00,Portal Laboratory,73200-08-40,"Immunocytochemistry  or immunohistochemistry, per specimen; initial single antibody stain procedure",575.0,603.75,20.0,31.0,
6013001,“Z” PLASTY  SCAR EXCISION  GRAFT ,Portal Package Deals,45515-00-00,Revision of scar of other site <= 7 cm in length,13200.0,13860.0,10.0,88.0,
7121001,11-DEOXYCORTISOL (COMPOUND S),Portal Laboratory,73000-03-10,"Metyrapone Panel, includes  cortisol x 2 and 11 deoxycortisol x 2",475.0,498.75,20.0,31.0,
1112002,ER DIFFERENCE - GP & CONSULTANT,Portal Professional Fees,83600-00-00,Office Assessment  for diagnosis  treatment  and counselling a new or established patient by General Practitioner,0.0,0.0,0.0,11.0,
7121002,17 OH PROGESTRON,Portal Laboratory,73050-20-10,Progesterone 17 hydroxy 17ohp,455.0,477.75,20.0,31.0,
7121003,17-HYDROXYCORTISOTERIODS  URINE,Portal Laboratory,73050-19-90,"Measurement of (Quantitative) hydroxycorticosteroids, 17- (17-OHCS)",425.0,446.25,20.0,31.0,
7121004,17-KETOSTERIODS  URINE,Portal Laboratory,73050-21-50,Measurement of (Quantitative) ketosteroids 17- total,425.0,446.25,20.0,31.0,
7121005,17-OH-PREGNENOLONE,Portal Laboratory,73050-29-50,Measurement of (Quantitative) pregnenolone,800.0,840.0,20.0,31.0,
8128011,1ST PASS STUDY,Portal X-Ray,61320-01-00,Cardiac first pass blood flow study,1332.0,1398.6000000000001,20.0,98.0,
7121006,21 HYDROXYLASE ABS,Portal Laboratory,73000-01-20,"ACTH 21 hydroxylase deficiency Profile, includes cortisol x2 and",480.0,504.0,20.0,31.0,
7112020,24H EEG (VIDEO EEG),Portal Medical Procedures,92011-00-00,Video and radiotelemetered electroencephalographic [EEG] monitoring,5000.0,5250.0,20.0,85.0,
6128001,3/4 CROWN  PRECIOUS,Portal Dental,97613-03-00,"Zirconium fused to ceramic crown, indirect; per crown",1312.5,1378.125,20.0,51.0,
6121023,3D AIR WAY CBCT IMAGING ,Portal Dental,97039-00-10,"Cone beam computerised tomography of jaw, limited view (less than a jaw) ; each jaw",1260.0,1323.0,20.0,51.0,
6121019,3D CBCT IMPLANT STUDY FOR   (1) IMPLANT ,Portal Dental,97039-00-10,"Cone beam computerised tomography of jaw, limited view (less than a jaw) ; each jaw",1890.0,1984.5,20.0,51.0,
