Service Code,Service Description,Price,Gross/Net,Discount %,Yes/No,MCA Category Code,Service Category Description,Nphies Code,Nphies Description
1112001,GENERAL PRACTITIONER'S CONSULTION (E.R.),180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-00,Office Assessment  for diagnosis  treatment  and counselling a new or established patient by General Practitioner
1112002,ER DIFFERENCE - GP & CONSULTANT,0.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-00,Office Assessment  for diagnosis  treatment  and counselling a new or established patient by General Practitioner
1112003,CONSULTANT'S CONSULTATION (OPD),180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-20,Office Assessment  for diagnosis and treatment  and counselling of a new or established patient by Consultant
1112004,INPATIENT DOCTOR CONSULTATION REFERRED,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-02-70,Assessment  for diagnosis  treatment and counselling of a new or established Inpatient by Consultant
1112005,INPATIENT DOCTOR'S DAILY VISIT  ,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-02-70,Assessment  for diagnosis  treatment and counselling of a new or established Inpatient by Consultant
1112006,BARIATRIC CONSULTATION,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112007,CARDIOLOGY CONSULTANT CONSULTATION,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-01-20,Assessment by Licensed Cardiopulmonologist
1112008,SPECIALIST CONSULTAION (OPD),180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112009,COLO-RECTAL SURGERY CONSULTATION,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112010,CONSULTATION - INTERVENTIONAL CARDIOLOGIST,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
