Unified Code,Unified Description,Type,SBS V2,LOS,2025 Price,Discount 3 years contract,2026 Price,2027 Price
FMRMB-9919,CCU,Accomodation,83610-04-10,-,1672,0.25,1839.0,2042.0
FMADM-9915,Class Difference ( From Second To First ),Accomodation,83610-01-10,-,334.95,0.25,368.0,409.0
FMRMB-9928,Companion Charges Per Day,Accomodation,83610-04-40,-,189.4585,0.25,208.0,231.0
FMADM-0545,DISPOSABLES I.C.U.,Accomodation,83000-00-02,-,184.338,0.25,203.0,225.0
FMADM-0546,DISPOSABLES WARD,Accomodation,83610-00-70,-,160.7837,0.25,177.0,196.0
FMADM-0544,DISPOSABLES  NICU,Accomodation,83610-03-60,-,184.338,0.25,203.0,225.0
FMRMB-9920,First Class Deluxe,Accomodation,83610-01-30,-,1212.75,0.25,1334.0,1481.0
FMRMB-9901,FIRSTCLASS,Accomodation,83610-01-00,-,409.64,0.25,451.0,500.0
FMRMB-9905,ICU,Accomodation,83610-03-70,-,1638.56,0.25,1802.0,2001.0
FMRMB-9904,Isolation,Accomodation,83610-00-90,-,418,0.25,460.0,510.0
FMADM-0543,ISOLATION DISPOSABLES PER DAY,Accomodation,83610-00-70,-,327.712,0.25,360.0,400.0
FMPDT-1010,Level Iii Nicu Nursery,Accomodation,83610-02-70,-,179.2175,0.25,197.0,219.0
FMRMB-9906,NICU,Accomodation,83610-03-40,-,1638.56,0.25,1802.0,2001.0
FMACC-013,Nicu Admission 1 Day,Accomodation,83610-03-40,-,1638.56,0.25,1802.0,2001.0
FMRMB-9912,Normal Baby Crib,Accomodation,83610-02-70,-,731.5,0.25,805.0,893.0
FMRMB-9909,Picu,Accomodation,83610-03-10,-,1638.56,0.25,1802.0,2001.0
fmrmb-9929,Room Difference (Semi Pvt - Pvt),Accomodation,83610-01-10,-,122.892,0.25,135.0,150.0
FMRMB-9924,Room Upgrade From private to deluxe,Accomodation,83610-02-00,-,420,0.25,462.0,513.0
FMRMB-9926,Room Upgrade From Private to Royal,Accomodation,83610-01-80,-,2265,0.25,2492.0,2766.0
FMRMB-9925,Room Upgrade From Private to Suite,Accomodation,83610-01-60,-,1265,0.25,1392.0,1545.0
FMRMB-9911,ROYAL SUITE,Accomodation,83610-01-70,-,3000,0.25,3300.0,3663.0
FMRMB-9902,Secondclass,Accomodation,83610-00-80,-,292.6,0.25,322.0,357.0
FMICU-0070,Special  Nursing Care,Accomodation,95550-13-00,-,153.615,0.25,169.0,188.0
FMRMB-9910,SUITE,Accomodation,83610-01-50,-,4096.4,0.25,4506.0,5002.0
