code,description,type
10669,Cast stockinette,medical-devices
10671,Cast sock,medical-devices
10672,Cast walking heel,medical-devices
10688,"Angiographic catheter, single-use",medical-devices
10691,Vascular microcatheter,medical-devices
10695,Bartholin's gland catheter,medical-devices
10696,Biliary drainage catheter,medical-devices
10718,"Eustachian catheter, single-use",medical-devices
10729,Centrally-inserted central venous catheter,medical-devices
10735,Nephrostomy catheter,medical-devices
10741,Pericardiocentesis catheter,medical-devices
10747,"Cardiac septostomy catheter, balloon",medical-devices
10749,Airway suction catheter,medical-devices
10759,Umbilical catheter,medical-devices
10760,Cardiac occluder delivery catheter,medical-devices
10789,Blood donor chair/couch,medical-devices
10790,"Cardiopulmonary rehabilitation chair, manual",medical-devices
10795,Flotation therapy chair,medical-devices
10796,"Stand-up chair, electric",medical-devices
10825,Orthopaedic chisel,medical-devices
10827,Mastoid chisel,medical-devices
10828,Nasal chisel,medical-devices
11337,Fingernail drill bit,medical-devices
11339,Middle ear drill bit,medical-devices
11371,"Ear irrigation kit, single-use",medical-devices
11387,Echoencephalograph,medical-devices
11389,Ophthalmic ultrasound imaging system,medical-devices
11391,Eikonometer,medical-devices
11402,Electrocardiocontourograph,medical-devices
11413,"Electrocardiograph, professional, single-channel",medical-devices
11425,Electrode conductive medium,medical-devices
11434,Intracardiac catheter-tip electrode,medical-devices
11436,Cystoscopic electrode,medical-devices
11440,"Analytical scalp electrode, single-use",medical-devices
11441,"Electromyographic needle electrode, single-use",medical-devices
10847,External ventricular circulatory assist system,medical-devices
10876,"Umbilical cord clamp, reusable",medical-devices
10895,"Surgical clip remover, reusable",medical-devices
10904,Surgical instrument clip,medical-devices
10907,"Nose clip, single-use",medical-devices
10908,Penile clip,medical-devices
10943,Sputum specimen container IVD,medical-devices
10960,Colposcope,medical-devices
10969,Intermittent venous compression system,medical-devices
10980,Cardiac catheterization laboratory computer,medical-devices
10986,Conductive apron,medical-devices
10992,Floor/equipment/cloth electrical conductivity tester,medical-devices
10994,Shoe electrical conductivity tester,medical-devices
10995,"Contact lens thermal cleaner, line-powered",medical-devices
11010,"Infusion controller, line-powered",medical-devices
11049,Infant bed crib top,medical-devices
11052,"Cricothyrotome, single-use",medical-devices
11062,Crutch pad,medical-devices
11067,"General cryosurgical system, cryogen gas, mechanical",medical-devices
11068,"Ophthalmic cryosurgical system, mechanical",medical-devices
11090,"Cubicle curtain, reusable",medical-devices
11095,Foot cushion,medical-devices
11100,Wheelchair cushion,medical-devices
11111,Cystometer,medical-devices
11130,External defibrillator electrode pad,medical-devices
11155,"Rubber dam, Hevea-latex",medical-devices
11158,Dental floss,medical-devices
11159,Dental restorative gold,medical-devices
11168,Dentifrice,medical-devices
11170,Denture cushion,medical-devices
11171,"Denture repair kit, professional",medical-devices
11172,Preformed complete denture,medical-devices
11177,Skin abrasion unit,medical-devices
11179,"Dermatome, line-powered",medical-devices
11182,Dermal hygrometer,medical-devices
11202,"Device operating status label/tag, reusable",medical-devices
11226,Peritoneal dialysis system,medical-devices
11239,Adult nappy,medical-devices
11245,Microwave diathermy treatment system,medical-devices
11246,Short-wave diathermy treatment system generator,medical-devices
11248,Physical therapy ultrasound system,medical-devices
11255,Mitral valve dilator,medical-devices
11256,Common bile duct dilator,medical-devices
11260,Nasal dilator,medical-devices
