Unified Code,Unified Description,Type,SBS V2,LOS,2025 Price,2026 Price,2027 Price,Discount 3 years contract
FMRMB-9919,CCU,Accomodation,83610-04-10,-,2000.0,2150.0,2279.0,0.15
FMADM-9915,Class Difference ( From Second To First ),Accomodation,83610-01-10,-,334.95,360.07125,381.675525,0.15
FMRMB-9928,Companion Charges Per Day,Accomodation,83610-04-40,-,185.0,198.875,210.8075,0.15
FMADM-0545,DISPOSABLES I.C.U.,Accomodation,83000-00-02,-,180.0,193.5,205.11,0.15
FMADM-0546,DISPOSABLES WARD,Accomodation,83610-00-70,-,157.0,168.775,178.9015,0.15
FMADM-0544,DISPOSABLES  NICU,Accomodation,83610-03-60,-,180.0,193.5,205.11,0.15
FMRMB-9920,First Class Deluxe,Accomodation,83610-01-30,-,1212.75,1303.70625,1381.928625,0.15
FMRMB-9901,FIRSTCLASS,Accomodation,83610-01-00,-,806.0598,866.514285,918.5051421000001,0.15
FMRMB-9905,ICU,Accomodation,83610-03-70,-,1900.0,2042.5,2165.05,0.15
FMRMB-9904,ISOLATION,Accomodation,83610-00-90,-,400.0,430.0,455.8,0.15
FMADM-0543,ISOLATION DISPOSABLES PER DAY,Accomodation,83610-00-70,-,320.0,344.0,364.64,0.15
FMPDT-1010,Level Iii Nicu Nursery,Accomodation,83610-02-70,-,175.0,188.125,199.4125,0.15
FMRMB-9906,NICU,Accomodation,83610-03-40,-,1900.0,2042.5,2165.05,0.15
FMACC-013,Nicu Admission 1 Day,Accomodation,83610-03-40,-,1600.0,1720.0,1823.2,0.15
FMRMB-9912,Normal Baby Crib,Accomodation,83610-02-70,-,700.0,752.5,797.6500000000001,0.15
FMRMB-9909,Picu,Accomodation,83610-03-10,-,1900.0,2042.5,2165.05,0.15
fmrmb-9929,Room Difference (Semi Pvt - Pvt),Accomodation,83610-01-10,-,120.0,129.0,136.74,0.15
FMRMB-9924,Room Upgrade From private to deluxe,Accomodation,83610-02-00,-,420.0,451.5,478.59,0.15
FMRMB-9926,Room Upgrade From Private to Royal,Accomodation,83610-01-80,-,2265.0,2434.875,2580.9675,0.15
FMRMB-9925,Room Upgrade From Private to Suite,Accomodation,83610-01-60,-,1265.0,1359.875,1441.4675,0.15
FMRMB-9911,ROYAL SUITE,Accomodation,83610-01-70,-,3000.0,3225.0,3418.5,0.15
FMRMB-9902,Secondclass,Accomodation,83610-00-80,-,441.0,474.075,502.5195,0.15
FMICU-0070,Special  Nursing Care,Accomodation,95550-13-00,-,150.0,161.25,170.925,0.15
FMRMB-9910,SUITE,Accomodation,83610-01-50,-,2000.0,2150.0,2279.0,0.15
FMRMB-9908,Ticu,Accomodation,83610-02-30,-,1900.0,2042.5,2165.05,0.15
CONS,Consultation,Consultation,83600-00-20,-,190.0,204.25,216.505,0.0
