Unified Code,Unified Description,Type,SBS V2,LOS,2025 Price,Discount 3 years contract,2026 Price,2027 Price
FMCAT -0085 ,"(Transcatheter aortic valve implantation (including TAVI valve kit, vascular closure devices, temporary pacemaker )",PKG,38488-08-00,3 DAYS + 1 days CCU,225750.0,0.0,248325.0,270674.0
FMNEU-3100,Bilateral - Deep Brain stimulation with implant - Inclusive PKG,PKG,5,96155-00-00,228000.0,0.0,228000.0,
FMCAR-3095,Percutaneous Ventricular Assist Device (Impella),PKG,90218-02-00,5,190000.0,0.0,209000.0,227810.0
FMNEU-3590,Revision Of Failed Scoliosis Or Kyphosis Surgery more than 10 levels - Including implants,PKG,90011-02-00,4,180500.0,0.0,180500.0,
FMNEU-3588,Posterior Spinal Fusion And Fixation For Scoliosis Or Kyphosis more than 10 levels  - Including implants,PKG,48645-00-00,4 days ,156750.0,0.0,156750.0,
FMXRAY1442,IR. Neuro. INTRACRANIAL ANEURYSM COILING (5 COILS),PKG,35321-02-00,5,139000.0,0.0,152900.0,166661.0
FMSUR-3352,Cerebral aneurysm Repair ,PKG,59970-02-00,8,130000.0,0.0,143000.0,155870.0
FMXRAY1446,IR. Neuro. AVM EMBOLIZATION (1 SESSION),PKG,40318-00-00,3 DAYS + 2 days ICU,130000.0,0.0,143000.0,155870.0
FMXRAY1728,IR.VEIN OF GALEN MALFORMATION EMBOLIZATION,PKG,35321-02-00,5days including ICU,130000.0,0.0,143000.0,155870.0
FMSUR-3355,BRAIN ARTERIO VENOUS MALFORMATION (AVM ) EMBOLIZATION + guiding cathers + wires + high flow catheter + embolic material ( liquid ),PKG,39803-00-00,1 DAYS + 2 days ICU,120000.0,0.0,132000.0,143880.0
FMNEU-3402,ENDOVASCULAR INTERVENTION FOR CEREBRAL ANEURYSM,PKG,33116-00-00,8,120000.0,0.0,132000.0,143880.0
FMSUR-8585,Peritonectomy with hyperthermic intraperitoneal chemotherapy (HIPEC) excluding discharge medication and room upgrade,PKG,96211-00-00,5 days LOS 2 days ICU ,120000.0,0.0,132000.0,143880.0
FMCAR-3068,Implantation of ICD Single including the device,PKG,90203-08-00,2,110250.0,0.0,121275.0,132190.0
FMURO-3125,Kidney Transplant ( RECEPIENT ),PKG,36503-00-00,5,105000.0,0.0,115500.0,125895.0
FMCAT-0053 ,Leadless Pacemaker Insertion - (including the pacemaker price),PKG,4,38353-00-00,114000.0,0.0,114000.0,
FMCAR-9650,Minimally Invasive Aortic Valve Replacement (MIAVR) - Inclusive PKG - Inclusive PKG,PKG,4,38488-08-00,109250.0,0.0,109250.0,
FMCAR-9651,Minimally Invasive Mitral Valve Replacement (MIMVR) - Inclusive PKG - Inclusive PKG,PKG,4,38489-02-00,109250.0,0.0,109250.0,
FMCAR-3037,"Melody Valve Implantation Consumable (Sheath, Wire, Catheter, Long Sheath And Valve)",PKG,38490-00-00,2,96000.0,0.0,105600.0,115104.0
FMCAR-3027,"Radiofrequency Pulmonary Valve Perforation Consumable (Hotwire, Cautery Cable, Nykaneing Catheter, Rent Of Baylis Machine)",PKG,38456-18-00,2,95700.0,0.0,105270.0,114744.0
FMXRAY1438,Ir. Neuro. Acute Stroke Thrombectomy,PKG,90230-00-00,3 DAYS + 2 days ICU,95000.0,0.0,104500.0,113905.0
