Unified Code,Unified Description,Type,SBS V2,LOS,Discount 3 years contract,Price 2026
FMRMB-9919,CCU,Accomodation,83610-04-10,-,0.15,2251.8
FMADM-9915,Class Difference ( From Second To First ),Accomodation,83610-01-10,-,0.15,318.9
FMRMB-9928,Companion Charges Per Day,Accomodation,83610-04-40,-,0.15,201.7
FMADM-0545,DISPOSABLES I.C.U.,Accomodation,83000-00-02,-,0.15,196.2
FMADM-0546,DISPOSABLES WARD,Accomodation,83610-00-70,-,0.15,171.1
FMADM-0544,DISPOSABLES  NICU,Accomodation,83610-03-60,-,0.15,196.2
FMRMB-9920,First Class Deluxe,Accomodation,83610-01-30,-,0.15,1170.9
FMRMB-9901,FIRSTCLASS,Accomodation,83610-01-00,-,0.15,757.1
FMRMB-9905,ICU,Accomodation,83610-03-70,-,0.15,1925.3
FMRMB-9904,Isolation,Accomodation,83610-00-90,-,0.15,436.0
FMADM-0543,ISOLATION DISPOSABLES PER DAY,Accomodation,83610-00-70,-,0.15,348.8
FMPDT-1010,Level Iii Nicu Nursery,Accomodation,83610-02-70,-,0.15,190.8
FMRMB-9906,NICU,Accomodation,83610-03-40,-,0.15,1925.3
FMACC-013,Nicu Admission 1 Day,Accomodation,83610-03-40,-,0.15,1744.0
FMRMB-9912,Normal Baby Crib,Accomodation,83610-02-70,-,0.15,763.0
FMRMB-9909,Picu,Accomodation,83610-03-10,-,0.15,1925.3
fmrmb-9929,Room Difference (Semi Pvt - Pvt),Accomodation,83610-01-10,-,0.15,130.8
FMRMB-9924,Room Upgrade From private to deluxe,Accomodation,83610-02-00,-,0.15,435.2
FMRMB-9926,Room Upgrade From Private to Royal,Accomodation,83610-01-80,-,0.15,2598.5
FMRMB-9925,Room Upgrade From Private to Suite,Accomodation,83610-01-60,-,0.15,1501.8
FMRMB-9911,ROYAL SUITE,Accomodation,83610-01-70,-,0.15,3332.8
FMRMB-9902,Secondclass,Accomodation,83610-00-80,-,0.15,419.9
FMICU-0070,Special  Nursing Care,Accomodation,95550-13-00,-,0.15,163.5
FMRMB-9910,SUITE,Accomodation,83610-01-50,-,0.15,2289.0
FMRMB-9908,Ticu,Accomodation,83610-02-30,-,0.15,1957.1
CONS,Consultation,Consultation,83600-00-20,-,0.0,190.8
FMINT-0092,Dietitian Consultation Fee,Consultation,96067-00-00,-,0.0,190.8
FMPSY-CONS,Psychiatric Consultation,Consultation,83600-00-10,-,0.0,190.8
FMXRAY-0328,C.T. POST COLCHICINE,CT,60100-00-00,-,0.0,872.0
FMXRAY1688,Control Follow C.T.,CT,99999-99-92,-,0.0,872.0
FMXRAY1550,CT ABDOMEN & PELVIS (Liver Volumetry protocol),CT,56501-00-00,-,0.0,1264.4
FMXRAY1549,Ct Abdomen & Pelvis Without Contrast,CT,56501-00-00,-,0.0,1264.4
