CODE,SERVICES,Price,20% increase -april 2021
FMANA-0002,LUMBAR PUNCTURE,325,390.0
FMANA-0017,INSERTION OF SUB_CLAVIAN CATH.,250,300.0
FMANA-0021,NASOGASTRIC TUBE INSERTION,180,216.0
FMANA-0030,OPD ASSISTANT ANAESTHETEST,180,216.0
FMANA-0031,MASK G. ANAESTHESIA,450,540.0
FMANA-0032,LOCAL ANAESTHESIA ASSISTANT/HR,120,144.0
FMANA-0033,HALOTHANE PER CC,20,24.0
FMANA-0035,I.V. ANAESTHESIA,450,540.0
FMANA-0036,I.V. REGIONAL ANAESTHESIA,450,540.0
FMANA-0048,IPIDURAL INJECTION,68,81.6
FMANA-0050,I.V SADATION,180,216.0
FMANA-0057,EPIDURAL ANAESTHESIA - OPD (PAIN RELIEF),850,1020.0
FMANA-0063,ANESTHESIA IN MRI,700,840.0
FMANAPC001,EPIDURAL BLOCK,1020,1224.0
FMANAPC002,STELLATE BLOCK,2000,2400.0
FMANAPC004,ACUPUNCTURE SETT,260,312.0
FMANAPC006,CHEMICAL,176,211.2
FMANAPC008,PRESS NEEDLE FOR OBESITY,100,120.0
FMCAT-0018,AORTHOGRAPHY,1200,1440.0
FMCTS-0002,THORACOTOMY PLUS BIOPSY,3500,4200.0
FMCTS-0003,LOBECTOMY,4200,5040.0
FMCTS-0004,PNEUMONECOMY,4200,5040.0
FMCTS-0005,SEGMENTECTOMY,4900,5880.0
FMCTS-0006,STERNOTOMY PLUS BIOPSY,3500,4200.0
FMCTS-0007,STERNOTOMY + EXCISION OF MASS,7000,8400.0
FMCTS-0008,REPAIR OF DIAPHERNIA,3500,4200.0
FMCTS-0009,EXCISION OF CHEST WALL TUMOUR,7000,8400.0
FMCTS-0010,DECORTICATION,4900,5880.0
FMCTS-0011,EXCISION OF LUNG CYST,4900,5880.0
FMCTS-0012,REP.OF RUPTURE BRONC./TRACHEA,7000,8400.0
FMCTS-0013,THORACOPLASTY,7000,8400.0
FMCTS-0014,REPAIR OF OESOP. INJ.,5600,6720.0
FMCTS-0015,RESECTION OF SUP.SULCUS T.,7000,8400.0
FMCTS-0016,SCALENE L.N. BIOPSY,1750,2100.0
FMCTS-0017,CERVICAL RIB EXCISION,3500,4200.0
FMCTS-0018,HELLER'S OP. FOR ACHOLASIA,4200,5040.0
FMCTS-0019,MEDIASTINOSCOPY DIAGNOSTIC,2100,2520.0
FMCTS-0020,MEDIASTINOSCOPY OPERATIVE,3500,4200.0
FMCTS-0021,THORACOSCOPY,4900,5880.0
FMCTS-0022,INTERNAL PACE-MAKER,4900,5880.0
FMCTS-0023,EXTERNAL PACE-MAKER,4450,5340.0
FMCTS-0024,PERICARDIECTOMY,8000,9600.0
FMCTS-0025,EXCISION OF PERICARDIAL CYST,4200,5040.0
FMCTS-0026,ONE-WAY VALVE FOR CHEST TUBE  (HEIMLICH'S VALVE),210,252.0
FMCTS-0027,DIAGNOSTIC ASPIRATION,415,498.0
FMCTS-0028,EXCISION OF MEDIASTINAL MASS,5145,6174.0
FMCTS-0029,SUPERFICIAL LYMPHNODE BIOPSY,315,378.0
FMCTS-0030,DIAGNOSTIC THORACOSCOPY,3674.9999999999995,4410.0
FMCTS-0031,EXTRAPLEURAL PNEUMONECTOMY,5880,7056.0
FMCTS-0032,EXCISION OF SUPERIOR SULCU     TUMUR,7460,8952.0
FMCTS-0033,DRAINAGE OF LUNG ABSCESS,1850,2220.0
FMCTS-0034,MUSCLE FLAP FOR CLOSURE OF     PLEURAL POUCH,7349.999999999999,8820.0
FMCTS-0035,DRAINAGE OF CHEST WALL ABSCESS,525,630.0
FMCTS-0036,EXCISION OF CHEST WALL SINUS,3674.9999999999995,4410.0
FMCTS-0037,RESECTION OF PHARYNGEAL DIVERT ICULUM,5145,6174.0
FMCTS-0038,REPAIR OF EVENTIATION OF DIAPH RAGM,5145,6174.0
FMCTS-0039,REPAIR OF TRACHEO-OESOPHAGEAL  FISTULA,5145,6174.0
FMCTS-0040,WOUND SUTURING,105,126.0
FMCTS-0041,MINI THORACOTOMY,1100,1320.0
FMCTS-0042,ASPIRATION OF COLD ABSCESS,270,324.0
FMCTS-0043,EXCISION OF LYMPH NODE,315,378.0
FMCTS-0044,THORACOSTOMY,735,882.0
FMCTS-0045,ASPIRATION BIOPSY,415,498.0
FMCTS-0046,LIGATION OF PATENT DUCTUS      ARTERIOSOUS,4650,5580.0
FMCTS-0047,RIBRESECTION,3734.4999999999995,4481.4
FMCTS-0048,EXPLORATORY THORACOTOMY,2803.5,3364.2
FMCTS-0079,SUPERFICIAL LYMPHNODE BIOPSY,315,378.0
FMCTS-1000,DAY  CARE  SUPERVISION,105,126.0
FMCTSS0001,CHEST TUBE INSERTION,2350,2820.0
FMCTSS0002,GAUZE FIXATION OF FLAIL CHEST,1880,2256.0
FMCTSS0003,SURGICAL FIX. OF FLAIL CHEST,4410,5292.0
FMCTSS0004,INTERCOSTAL NERVE BLOCK,950,1140.0
FMCTSS0005,CHEMICAL PLEUROCTESIS,1880,2256.0
FMCTSS0006,CLS OF BRONCHO-PLEURAL FISTULA,7349.999999999999,8820.0
FMCTSS0007,ELOESSER FLAP,2205,2646.0
FMCTSS0008,REPAIR OF CHEST WALL DEFECT,8820,10584.0
FMCTSS0009,DIAGNOSTIC RIGID BRONCHOSCOPY,2800,3360.0
FMCTSS0010,THERAPEUTIC RIGID BRONCHOSCOPY,3272.5,3927.0
FMCTSS0011,DIAG. RIGID OESOPHAGOSCOPY,1880,2256.0
FMCTSS0012,THERA. RIGID OESOPHAGOSCOPY,2350,2820.0
FMCTSS0013,NEEDLE LUNG BIOPSY,1880,2256.0
FMCTSS0014,NEEDLE PLEURAL BIOPSY,1880,2256.0
FMCTSS0015,THORACENTESIS,1400,1680.0
FMCTSS0016,CLOSURE OF PATENT DUCTUS,5145,6174.0
FMCTSS0017,SHUNTING PROCEDURE,5145,6174.0
FMCTSS0018,PERICARDIOTHENTESIS,2350,2820.0
FMCTSS0019,PERICARDIAL WINDOW,3674.9999999999995,4410.0
