SER,PACKAGE CODE ,CATEGORY,SUB-CATEGORY,SERVICE DESCRIPTION,الـوصـــــــــــــــــــف ,Admission Days (LOS),Unnamed: 7,SNC GROSS PRICE FOR ALL CLASSES 10% decrease
,,,,,,ICU,WORD,
1.0,1011001.0,E.N.T.,NOSE SURG.,ANTERIOR NASAL PACK UNDER GENERAL ANESTHESIA,حشو أمامي لنزيف الأنف تحت مخدر عام,0,D/C,1605.0
2.0,1011002.0,E.N.T.,NOSE SURG.,BILATERAL MIDDLE MEATAL ANSTROSTOMY,تنظيف جيوب انفية بالمنظار ( ناحيتين ),0,2,7546.0
3.0,1011003.0,E.N.T.,NOSE SURG.,BILATERAL SINSUS PUNCTURE G.A.,بذل جيب أنفي على الجانبين ( م.ع. ),0,1,2634.0
4.0,1011004.0,E.N.T.,NOSE SURG.,CRYOTURBINECTOMY,استئصال لحمية الانف بالتبريد,0,1,4715.0
5.0,1011005.0,E.N.T.,NOSE SURG.,ENDOSCOPIC CAUTERY,كي لإيقاف نزيف خلف الأنف,0,1,6248.0
6.0,1011006.0,E.N.T.,NOSE SURG.,ENDOSCOPIC ETHMOIDECTOMY ,استئصال الجيوب المصفاوية منظار,0,1,11405.0
7.0,1011007.0,E.N.T.,NOSE SURG.,ENDOSCOPIC PARTIAL TURBINECTOMY,كى واستئصال غضاريف الانف بالمنظار,0,1,4715.0
8.0,1011008.0,E.N.T.,NOSE SURG.,ENDOSCOPIC POLYPECTOMY AND ETHMOIDECTOMY,ازالة لحمية الانف + جيوب الانف بالمنظار,0,2,9742.0
9.0,1011009.0,E.N.T.,NOSE SURG.,ENDOSCOPIC RECON. POLYPECTOMY AND ETHMOIDECTOMY,اصلاح بالمنظار عملية ازالة لحمية وجيوب انفية,0,2,11880.0
10.0,1011010.0,E.N.T.,NOSE SURG.,EXAMINATION UNDER GENERAL ANESTHESIA,فحص تحت مخدر عام,0,D/C,1350.0
11.0,1011011.0,E.N.T.,NOSE SURG.,EXTERNAL NASAL SINUS SURGERY,جراحة خارجية للجيوب الأنفية,0,1,11405.0
12.0,1011012.0,E.N.T.,NOSE SURG.,FRACTURE NOSE,كسر الأنف,0,1,3743.0
13.0,1011013.0,E.N.T.,NOSE SURG.,FUNCTIONAL ENDOSCOPIC SINUS SURGERY (FESS SURGERY),استئصال كامل للجيوب بالمنظار,0,2,12420.0
14.0,1011014.0,E.N.T.,NOSE SURG.,LASER SURGERY,جراحة بالليزر,0,1,4715.0
15.0,1011015.0,E.N.T.,NOSE SURG.,MICROSURGERY OF THE NOSE,جراحة ميكروسكوبية للانف,0,1,7546.0
16.0,1011016.0,E.N.T.,NOSE SURG.,NASAL BIOPSY,عينة من الأنف,0,D/C,2285.0
17.0,1011017.0,E.N.T.,NOSE SURG.,NASAL CAUTERY UNDER G.A.,كى الأنف لإيقاف نزيف ( م.ع. ),0,D/C,1929.0
18.0,1011018.0,E.N.T.,NOSE SURG.,NASAL FOREIGN BODY REMOVAL G.A.,إستخراج جسم غريب من الأنف (م.ع.),0,D/C,1980.0
19.0,1011019.0,E.N.T.,NOSE SURG.,NASAL SEPTAL CORRECTION SURGERY,جراحة تصليح انحراف الحاجز الانفي ,0,1,5063.0
20.0,1011020.0,E.N.T.,NOSE SURG.,OPEN REDUCTION OF FRACTURED NOSE,إصلاح مفتوح لأنف مكسور,0,2,10296.0
