SER,SERVICE CODE,CATEGORY,SUB-CATEGORY,SERVICE DESCRIPTION,الـوصـــــــــــــــــــف ,VIP & A,B,Unnamed: 8
,,,,,,VIP & A,B,
1.0,1112001,CONSULTATION,CONSULTATION,GP CONSULTION FEE (E.R.), كشف طبيب الطـــوارئ,160,100,FLAT RATE
2.0,1112002,CONSULTATION,CONSULTATION,ER DIFFERENCE - GP & CONSULTANT, فرق كشف الطوارئ ما بين الطبيب العام و الإستشاري,0,0,FLAT RATE
3.0,1112003,CONSULTATION,CONSULTATION,CONSULTANT'S FEE (OPD), كشـف الأستــشــــــاري,160,100,FLAT RATE
4.0,1112004,CONSULTATION,CONSULTATION,DOCTOR CONSULTATION FEE Inpatient, كشف الأستشاري للمرضى المنومين,160,100,FLAT RATE
5.0,1112005,CONSULTATION,CONSULTATION,VISITINF DOCTOR FEE (INPATIENT), متابعة الطبيب للمرضى المنومين,160,100,FLAT RATE
6.0,1112006,CONSULTATION,CONSULTATION,CONSULTATION FEE -BARIATRIC, إستشارة عيادة علاج البدانة,160,100,FLAT RATE
7.0,1112007,CONSULTATION,CONSULTATION,CONSULTATION FEE-CARDIOLOGY CONSULTANT, كشف استـشـاري القلب,160,100,FLAT RATE
8.0,1112008,CONSULTATION,CONSULTATION,CARDIOLOGY SPECIALIST CONSULTAION, كشف أخصائي القلب,160,100,FLAT RATE
9.0,1112009,CONSULTATION,CONSULTATION,CONSULTATION FEE- COLO-RECTAL SURGERY ,كشفية استشاري جراحة القولون والمستقيم,160,100,FLAT RATE
10.0,1112010,CONSULTATION,CONSULTATION,CONSULTATION - INTERVENTIONAL CARDIOLOGIST, كشف أستشارى أمراض القلب ,160,100,FLAT RATE
12.0,1112012,CONSULTATION,CONSULTATION,CONSULTATION SENIOR SPECIALIST (AESTHETIC MED),كشف أخصائي أول - تجميل,160,100,FLAT RATE
13.0,1112013,CONSULTATION,CONSULTATION,CONSULTATION FEE - SENIOR CONSULTANT DERMATOLOGIST, كشفية استشارى الجلدية,160,100,FLAT RATE
15.0,1112015,CONSULTATION,CONSULTATION,CONSULTATION FEE (AESTHETIC MEDICINE), قيمـة الكشـف ,160,100,FLAT RATE
16.0,1112016,CONSULTATION,CONSULTATION,DENTAL CONSULTion FEE, كشف اسـتـشـاري الأسـنــان,160,100,FLAT RATE
17.0,1112017,CONSULTATION,CONSULTATION,DENTAL SPECIALIST CONSULTATION FEE, كشف أخصائي الاسنان,160,100,FLAT RATE
18.0,1112018,CONSULTATION,CONSULTATION,DERMATOLOGY CONSULTATION, كشف استـشـاري  الجلـديـة,160,100,FLAT RATE
19.0,1112019,CONSULTATION,CONSULTATION,DIABETIC EDUCATION WITH BLOOD SUGAR TEST, التعليم االغذائى مع فحص السكر بالدم ,160,100,FLAT RATE
20.0,1112020,CONSULTATION,CONSULTATION,ENDOCRINOLOGIST CONSULTATION & BLOOD SUGAR TEST, كشفية استشاري الغـدد و  الـسكــر,160,100,FLAT RATE
21.0,1112021,CONSULTATION,CONSULTATION,"ENDOCRINOLOGIST CONSULTATION,BLOOD SUGAR& DIABETIC EDUCATION", كشفية استشاري الغـدد مع التعليم الغذائي لمرض السكر,160,100,FLAT RATE
22.0,1112022,CONSULTATION,CONSULTATION,CONSULTATION FEE ENDOCRINOLOGY, كشف استـشاري الغـدد الصمـاء,160,100,FLAT RATE
23.0,1112023,CONSULTATION,CONSULTATION,CONSULTATION FEE ENT, كشف استشاري الأنف و الأذن و الحنجرة,160,100,FLAT RATE
24.0,1112024,CONSULTATION,CONSULTATION,FAMILY THERAPY , جلسة عائلية لدى استشاري النفسية,160,100,FLAT RATE
