Department,SGH - CODE  ,SGH NAME ,Price 2021,SGH Service type,LOS
ACCOMMODATION,FMADM-9902,FIRST CLASS ,973.35,ACCOMMODATION,
ACCOMMODATION,FMADM-9906,ICU ,2141.37,ACCOMMODATION,
ACCOMMODATION,FMADM-9908,NEONATAL / PEADIATRIC ICU ( NICU ),2336.04,ACCOMMODATION,
ACCOMMODATION,FMADM-9901,SECOND CLASS,584.01,ACCOMMODATION,
ACCOMMODATION,FMADM-9904,NORMAL SUITE,1946.7,ACCOMMODATION,
ACCOMMODATION,FMADM-9907,CCU,2336.04,ACCOMMODATION,
ANAESTHESIA,FMANA-0002,LUMBAR PUNCTURE,421.785,service,
ANAESTHESIA,FMANA-0017,INSERTION OF SUB_CLAVIAN CATH.,324.45,service,
ANAESTHESIA,FMANA-0021,NASOGASTRIC TUBE INSERTION,233.604,service,
ANAESTHESIA,FMANA-0031,MASK G. ANAESTHESIA,584.01,service,
ANAESTHESIA,FMANA-0032,LOCAL ANAESTHESIA ASSISTANT/HR,155.736,service,
ANAESTHESIA,FMANA-0033,HALOTHANE PER CC,25.956000000000003,service,
ANAESTHESIA,FMANA-0035,I.V. ANAESTHESIA,584.01,service,
ANAESTHESIA,FMANA-0036,I.V. REGIONAL ANAESTHESIA,584.01,service,
ANAESTHESIA,FMANA-0048,IPIDURAL INJECTION,88.2504,service,
ANAESTHESIA,FMANA-0050,I.V SADATION,233.604,service,
ANAESTHESIA,FMANA-0057,EPIDURAL ANAESTHESIA - OPD (PAIN RELIEF),1103.13,service,
ANAESTHESIA,FMANAPC001,EPIDURAL BLOCK,1323.7559999999999,service,
ANAESTHESIA,FMANAPC002,STELLATE BLOCK,2595.6,service,
ANAESTHESIA,FMANAPC004,ACUPUNCTURE SETT,337.428,service,
ANAESTHESIA,FMANAPC008,PRESS NEEDLE FOR OBESITY,129.78,service,
ANAESTHESIA,FMANA-0030,OPD ASSISTANT ANAESTHETEST,233.604,service,
ANAESTHESIA,FMANA-0063,ANESTHESIA IN MRI,908.4599999999999,service,
ANAESTHESIA,FMANAPC006,CHEMICAL,228.4128,service,
CADIAC CATH,CAR-0001,RT Heart Catherization w/o Shunt Run,9084.6,PACKAGE DEAL,Day Case
CADIAC CATH,CAR-0006,Thoracoscopy Diagnostic,11161.08,PACKAGE DEAL,1 Day
CADIAC CATH,CAR-0007,PTCA SV without stent,20764.8,PACKAGE DEAL,1 ICU + 1 Ward
CADIAC CATH,CAR-0008,PTCA SV + One Stent (Normal Stent),30498.3,PACKAGE DEAL,1 ICU + 1 Ward
CADIAC CATH,CAR-0009,"PTCA SV +  One Stent (Drug Eluting), SR.12500 will be charged every other stent",38934,PACKAGE DEAL,1 ICU + 1 Ward
CADIAC CATH,CAR-0010,PTCA DV without stent,28551.6,PACKAGE DEAL,1 ICU + 1 Ward
CADIAC CATH,CAR-0011,PTCA DV +  One Stent (Drug Eluting) SR.12500 will be charged every other stent,45423,PACKAGE DEAL,1 ICU + 1 Ward
CADIAC CATH,CAR-0012,PTCA TV without stent,38934,PACKAGE DEAL,1 ICU + 1 Ward
CADIAC CATH,CAR-0013,"PTCA TV + One Stent (Drug Eluting),SR.12500 will be charged every other stent",58401,PACKAGE DEAL,1 ICU + 1 Ward
CADIAC CATH,CAR-0014,Intra Aortic Balloon Pump insertion (Procedure),4542.3,PACKAGE DEAL,1 ICU + 1 Ward
CADIAC CATH,CAR-0015,Thoracoscopy Therapeutic,18818.1,PACKAGE DEAL,4 Days
CADIAC CATH,CAR-0017,Thoracotomy Evacutation of Hemothorax & Suturing of Lung Blebs,37636.2,PACKAGE DEAL,5 Days
CADIAC CATH,CAR-0002,Cardiac Catherization (Coronary Angiography),9084.6,PACKAGE DEAL,1 Day
CADIAC CATH,CAR-0003,Permanent Pacemaker insertion without cost of Pacemaker,25047.54,PACKAGE DEAL,1 Day
CADIAC CATH,CAR-0004,Cardiac Catherization Peadia,9733.5,PACKAGE DEAL,1 Day
CADIAC CATH,CAR-0016,Femoro Post Tibial Bypass (Excluding Sythetic Bypass Graft),32445,PACKAGE DEAL,5 Days
CADIAC CATH,CAR-0019,Valve Replacement without Cost of Valve,64890,PACKAGE DEAL,7 Days
CARDIO THORACIC SURGERY,FMCAT-0018,AORTHOGRAPHY,1557.36,service,
CARDIO THORACIC SURGERY,FMCTS-0002,THORACOTOMY PLUS BIOPSY,4542.3,service,
CARDIO THORACIC SURGERY,FMCTS-0003,LOBECTOMY,5450.76,service,
CARDIO THORACIC SURGERY,FMCTS-0004,PNEUMONECOMY,5450.76,service,
CARDIO THORACIC SURGERY,FMCTS-0005,SEGMENTECTOMY,6359.22,service,
CARDIO THORACIC SURGERY,FMCTS-0006,STERNOTOMY PLUS BIOPSY,4542.3,service,
CARDIO THORACIC SURGERY,FMCTS-0007,STERNOTOMY + EXCISION OF MASS,9084.6,service,
CARDIO THORACIC SURGERY,FMCTS-0008,REPAIR OF DIAPHERNIA,4542.3,service,
CARDIO THORACIC SURGERY,FMCTS-0009,EXCISION OF CHEST WALL TUMOUR,9084.6,service,
CARDIO THORACIC SURGERY,FMCTS-0010,DECORTICATION,6359.22,service,
CARDIO THORACIC SURGERY,FMCTS-0011,EXCISION OF LUNG CYST,6359.22,service,
CARDIO THORACIC SURGERY,FMCTS-0012,REP.OF RUPTURE BRONC./TRACHEA,9084.6,service,
CARDIO THORACIC SURGERY,FMCTS-0013,THORACOPLASTY,9084.6,service,
CARDIO THORACIC SURGERY,FMCTS-0014,REPAIR OF OESOP. INJ.,7267.679999999999,service,
CARDIO THORACIC SURGERY,FMCTS-0015,RESECTION OF SUP.SULCUS T.,9084.6,service,
CARDIO THORACIC SURGERY,FMCTS-0016,SCALENE L.N. BIOPSY,2271.15,service,
CARDIO THORACIC SURGERY,FMCTS-0017,CERVICAL RIB EXCISION,4542.3,service,
CARDIO THORACIC SURGERY,FMCTS-0018,HELLER'S OP. FOR ACHOLASIA,5450.76,service,
CARDIO THORACIC SURGERY,FMCTS-0019,MEDIASTINOSCOPY DIAGNOSTIC,2725.38,service,
CARDIO THORACIC SURGERY,FMCTS-0020,MEDIASTINOSCOPY OPERATIVE,4542.3,service,
CARDIO THORACIC SURGERY,FMCTS-0021,THORACOSCOPY,6359.22,service,
CARDIO THORACIC SURGERY,FMCTS-0022,INTERNAL PACE-MAKER,6359.22,service,
CARDIO THORACIC SURGERY,FMCTS-0024,PERICARDIECTOMY,10382.4,service,
CARDIO THORACIC SURGERY,FMCTS-0025,EXCISION OF PERICARDIAL CYST,5450.76,service,
CARDIO THORACIC SURGERY,FMCTS-0026,ONE-WAY VALVE FOR CHEST TUBE  (HEIMLICH'S VALVE),272.538,service,
CARDIO THORACIC SURGERY,FMCTS-0028,EXCISION OF MEDIASTINAL MASS,6677.1810000000005,service,
CARDIO THORACIC SURGERY,FMCTS-0029,SUPERFICIAL LYMPHNODE BIOPSY,408.807,service,
CARDIO THORACIC SURGERY,FMCTS-0030,DIAGNOSTIC THORACOSCOPY,4769.414999999999,service,
CARDIO THORACIC SURGERY,FMCTS-0031,EXTRAPLEURAL PNEUMONECTOMY,7631.063999999999,service,
CARDIO THORACIC SURGERY,FMCTS-0032,EXCISION OF SUPERIOR SULCU     TUMUR,9681.588,service,
CARDIO THORACIC SURGERY,FMCTS-0033,DRAINAGE OF LUNG ABSCESS,2400.9300000000003,service,
CARDIO THORACIC SURGERY,FMCTS-0034,MUSCLE FLAP FOR CLOSURE OF     PLEURAL POUCH,9538.829999999998,service,
CARDIO THORACIC SURGERY,FMCTS-0035,DRAINAGE OF CHEST WALL ABSCESS,681.345,service,
CARDIO THORACIC SURGERY,FMCTS-0036,EXCISION OF CHEST WALL SINUS,4769.414999999999,service,
CARDIO THORACIC SURGERY,FMCTS-0037,RESECTION OF PHARYNGEAL DIVERT ICULUM,6677.1810000000005,service,
CARDIO THORACIC SURGERY,FMCTS-0038,REPAIR OF EVENTIATION OF DIAPH RAGM,6677.1810000000005,service,
CARDIO THORACIC SURGERY,FMCTS-0039,REPAIR OF TRACHEO-OESOPHAGEAL  FISTULA,6677.1810000000005,service,
CARDIO THORACIC SURGERY,FMCTS-0040,WOUND SUTURING,136.269,service,
CARDIO THORACIC SURGERY,FMCTS-0041,MINI THORACOTOMY,1427.5800000000002,service,
CARDIO THORACIC SURGERY,FMCTS-0042,ASPIRATION OF COLD ABSCESS,350.406,service,
CARDIO THORACIC SURGERY,FMCTS-0043,EXCISION OF LYMPH NODE,408.807,service,
CARDIO THORACIC SURGERY,FMCTS-0044,THORACOSTOMY,953.8829999999999,service,
CARDIO THORACIC SURGERY,FMCTS-0046,LIGATION OF PATENT DUCTUS      ARTERIOSOUS,6034.77,service,
CARDIO THORACIC SURGERY,FMCTS-0047,RIBRESECTION,4846.634099999999,service,
CARDIO THORACIC SURGERY,FMCTS-0048,EXPLORATORY THORACOTOMY,3638.3823,service,
CARDIO THORACIC SURGERY,FMCTS-0079,SUPERFICIAL LYMPHNODE BIOPSY,408.807,service,
CARDIO THORACIC SURGERY,FMCTSS0001,CHEST TUBE INSERTION,3049.83,service,
CARDIO THORACIC SURGERY,FMCTSS0003,SURGICAL FIX. OF FLAIL CHEST,5723.298,service,
CARDIO THORACIC SURGERY,FMCTSS0004,INTERCOSTAL NERVE BLOCK,1232.9099999999999,service,
CARDIO THORACIC SURGERY,FMCTSS0005,CHEMICAL PLEUROCTESIS,2439.864,service,
CARDIO THORACIC SURGERY,FMCTSS0006,CLS OF BRONCHO-PLEURAL FISTULA,9538.829999999998,service,
CARDIO THORACIC SURGERY,FMCTSS0007,ELOESSER FLAP,2861.649,service,
CARDIO THORACIC SURGERY,FMCTSS0008,REPAIR OF CHEST WALL DEFECT,11446.596,service,
CARDIO THORACIC SURGERY,FMCTSS0009,DIAGNOSTIC RIGID BRONCHOSCOPY,3633.8399999999997,service,
CARDIO THORACIC SURGERY,FMCTSS0010,THERAPEUTIC RIGID BRONCHOSCOPY,4247.0505,service,
CARDIO THORACIC SURGERY,FMCTSS0011,DIAG. RIGID OESOPHAGOSCOPY,2439.864,service,
CARDIO THORACIC SURGERY,FMCTSS0012,THERA. RIGID OESOPHAGOSCOPY,3049.83,service,
CARDIO THORACIC SURGERY,FMCTSS0013,NEEDLE LUNG BIOPSY,2439.864,service,
CARDIO THORACIC SURGERY,FMCTSS0014,NEEDLE PLEURAL BIOPSY,2439.864,service,
