code,discription ,old Price,2021 price
AN001,WALEED SAAD AL DIN TAHA EL SAYED,As per agree,As per agree
CC022,EMAD LABIB ABDELHAMID MAHMOUD,As per agree,As per agree
FMRMB-9919,CCU,1980,2376
CD007,MOHAMED ZEINHOM ALI AHMED SALEH,As per agree,As per agree
CD011,MOHAMMAD AL SHAHAT ALI OMAR,As per agree,As per agree
CD012,IBRAHIM ABDEL SALAM SAYED AHMED SALEM,As per agree,As per agree
CD013,MOSTAFA AHMED MAHMOUD ,As per agree,As per agree
CD014,OSAMA ALHADRAMY  ,As per agree,As per agree
CONS,OP Consultation,As per agree,As per agree
CT006,ASHRAF FAWAZY MAHMOUD GABER,As per agree,As per agree
CT011,MAREK  EHRLICH,As per agree,As per agree
CT013,CARLO DE VINCENTIIS,As per agree,As per agree
CT015,LABIB MAHROUS IBRAHIM AMRO,As per agree,As per agree
DN014,MAX  HEILAND,As per agree,As per agree
DN016,SHAIMA GALAL ABDULHAMEED MOHAMMED,As per agree,As per agree
DN017,ABEER  NAMANKANY,As per agree,As per agree
DN020,NAYERA  ATEF SAYED MOHAMMED MORSY,As per agree,As per agree
DN021,IBRAHIM MOHAMMED NOURWAI ,As per agree,As per agree
DN022,HADY MOHAMED ABDEL HAMID ,As per agree,As per agree
DN023,ALI AHMED ASSIRY ,As per agree,As per agree
DN024,MOHAMMED DHAIFALLAH M ALSEHAIMI,As per agree,As per agree
DR004,FIERLBECK  ,As per agree,As per agree
DR012,MED GERHARD  HAIDL,As per agree,As per agree
DR014,HANY ABDELAZIZ ABDELSALAM ABDELAZIZ ,As per agree,As per agree
DR016,INASS MOSTAFA MOHAMMAD ,As per agree,As per agree
DR017,MOHAMMED SAAD ABDUL KAREEM KARDI,As per agree,As per agree
DSPDS-0003,"INJ.OF SCLEROTHERAPY FOR HAE-  MANGIOMA, TONGUE/SITE",680,816
DT003,REEM MAGDY GHABBANY ,As per agree,As per agree
DT004,ABEER ABDULLAH ,As per agree,As per agree
ER007,AHMED SAYED GAFAR  ,As per agree,As per agree
ER024,MOHAMED TALAAT ATIA HAMED ,As per agree,As per agree
ER025,AHMED ELSAYED GHONAME GHOAME ,As per agree,As per agree
ER027,OSAMA FATHY FAHMY IBRAHIM ,As per agree,As per agree
ER028,MOHAMED ABDELHAMID MOHAMED ABDELHAMID,As per agree,As per agree
ER029,OMAR ABDULLAH MOHAMMED HARIZ,As per agree,As per agree
ER030,MAHMOUD BRAHIM KHATTRY,As per agree,As per agree
ET003,AHMED ADLY MOHMED,As per agree,As per agree
ET015,AMR FATHALLA ,As per agree,As per agree
ET016,KHALED AHMED MOHIE SAIF,As per agree,As per agree
ET025,AHMED ABDEL KHALEQ AL SAFTI ,As per agree,As per agree
ET028,ROBERT  DENNERLEIN,As per agree,As per agree
ET029,HANY  AMEIN,As per agree,As per agree
ET031,TALAL MOHAMMAD AL JERAISI ,As per agree,As per agree
ET032,AYMAN AMIN EL SAYED ,As per agree,As per agree
EX050,OSAMA EL TOHAMI,As per agree,As per agree
EX053,ABD AL RAHMAN  MAHROUS,As per agree,As per agree
EX088,HAMDI H. AL MARAMHY,As per agree,As per agree
EX105,YOUSEF  EL BOOQ,As per agree,As per agree
