Department,Service Code,Service Description,Final Price,Type,NPHIES Code (Hyphenated )
Radiology ,FMXRAY1360,IR. Angiography SUPERIOR/INFERIOR CAVOGRAHPY,13200.0,PKG,60024-00-00
Radiology ,FMXRAY1361,IR. Angiography ARCH / THORACIC AORTOGRAM,16500.0,PKG,59903-03-00
Radiology ,FMXRAY1362,IR. Angiography ABDOMIN / PELVIC AORTOGRAM,16500.0,PKG,59903-03-00
Radiology ,FMXRAY1363,IR. Angiography PULMONARY / BRONCHIAL ARTERIOGRAM,16500.0,PKG,59970-04-00
Radiology ,FMXRAY1364,IR. Angiography RENAL / MESENTRIC ARTERIOGRAM,16500.0,PKG,59970-04-00
Radiology ,FMXRAY1365,IR. Angiography SPLEENO PORTOGRAPHY,13200.0,PKG,58900-00-10
Radiology ,FMXRAY1366,IR. Angiography UL ARTERIOGRAM (UNILATERAL),19998.0,PKG,59970-03-00
Radiology ,FMXRAY1367,IR. Angiography UL ARTERIOGRAM (BILATERAL),16500.0,PKG,59970-03-00
Radiology ,FMXRAY1368,IR. Angiography LL ARTERIGRAM (UNILATERAL),13200.0,PKG,59970-03-00
Radiology ,FMXRAY1369,IR. Angiography LL ARTERIOGRAM (BILATERAL),16500.0,PKG,59970-03-00
Radiology ,FMXRAY1370,IR. ANGIOPLASTY OF UPPER LIMB (One SIDE),22000.0,PKG,35303-06-00
Radiology ,FMXRAY1371,IR. ANGIOPLASTY OF AORTOILIAC ARTERY,44000.0,PKG,35303-06-00
Radiology ,FMXRAY1372,IR. ANGIOPLASTY OF SPLENIC ARTERY,27500.0,PKG,35303-06-00
Radiology ,FMXRAY1373,IR. ANGIOPLASTY OF HEPATIC ARTERY,27500.0,PKG,35303-06-00
Radiology ,FMXRAY1374,IR. ANGIOPLASTY OF MESENTRIC ARTERY,27500.0,PKG,35303-06-00
Radiology ,FMXRAY1375,IR. ANGIOPLASTY OF RENAL ARTERY,27500.0,PKG,35303-06-00
Radiology ,FMXRAY1376,IR. ANGIOPLASTY AND STENTING OF RENAL ARTERY (UNI LATERAL),55000.0,PKG,35309-06-00
Radiology ,FMXRAY1377,IR. ANGIOPLASTY AND STENTING OF RENAL ARTERY (BI LATERAL),77000.0,PKG,35309-06-00
Radiology ,FMXRAY1378,IR. ANGIOPLASTY OF FEOMRO-POPLITEAL ARTERY (UNI LATERAL),33000.0,PKG,32751-01-01
Radiology ,FMXRAY1379,IR. ANGIOPLASTY OF FEOMRO-POPLITEAL ARTERY (BI LATERAL),44000.0,PKG,32751-01-02
Radiology ,FMXRAY1380,IR. ANGIOPLASTY OF INFRAPOPLITEAL ARTERIES (UNI LATERAL),33000.0,PKG,32763-19-00
Radiology ,FMXRAY1381,IR. ANGIOPLASTY OF INFRAPOPLITEAL ARTERIES (BI LATERAL),44000.0,PKG,32763-19-00
Radiology ,FMXRAY1382,IR. ANGIOPLASTY + stenting OF FEOMRO-POPLITEAL ARTERY (UNI LATERAL),55000.0,PKG,90223-01-00
Radiology ,FMXRAY1383,IR. ANGIOPLASTY OF VEIN (extracranial),33000.0,PKG,35303-06-00
Radiology ,FMXRAY1384,IR. STENTING OF AORTA (EVAR),132000.0,PKG,35321-11-00
Radiology ,FMXRAY1385,IR. EVAR Revision/Endoleak,55000.0,PKG,90223-01-00
Radiology ,FMXRAY1386,IR. STENTING OF UL OR LL ARTERY (UNI LATERAL),44000.0,PKG,90223-01-00
Radiology ,FMXRAY1387,IR. Abdominal/pelvice bleeding embolization,49500.0,PKG,99999-99-99
Radiology ,FMXRAY1388,IR. PERCUTANEOUS TRANSHEPATIC CHOLANGIOGRAPHY (PTC),13200.0,PKG,30440-00-00
Radiology ,FMXRAY1389,IR. PERCUTANEOUS TRANSHEPATIC DRAINAGE (PTD),27500.0,PKG,30440-01-00
Radiology ,FMXRAY1390,IR. PERCUTANEOUS TRANSHEPATIC BILIARY METALIC STENTING,33000.0,PKG,30492-00-00
Radiology ,FMXRAY1391,IR. PERCUTENOUS NEPHROSTOMY (1 Side),18700.0,PKG,36552-00-01
Radiology ,FMXRAY1392,IR. PERCUTENOUS NEPHROSTOMY (2 Sides),27500.0,PKG,36552-00-02
Radiology ,FMXRAY1393,IR. PERMCATH INSERTION,21109.0,PKG,13815-01-00
Radiology ,FMXRAY1394,IR. PERMICATH REMOVAL,3300.0,PKG,34530-04-00
Radiology ,FMXRAY1395,IR. PICC LINE INSERTION,12866.04,PKG,35317-01-00
Radiology ,FMXRAY1396,IR. Gastrostomy tube insertion,11000.0,PKG,30375-07-00
Radiology ,FMXRAY1397,IR. GI STENTING,15400.0,PKG,30452-01-00
Radiology ,FMXRAY1398,IR. Additional LIQUID EMBOLICS (Cyanoacrylates) & PVA,11000.0,PKG,90223-01-00
Radiology ,FMXRAY1399,IR. Additional STENT,16500.0,PKG,35321-10-00
Radiology ,FMXRAY1400,IR. Additional COIL / BALLOON,5500.0,PKG,35321-10-00
