Tariff ID/Tariff Name,SGH ITEM CODE, SGH ITEM DESCRIPTION,Price,Effective from date
SAICO2023,FMRMB-9901,FIRSTCLASS,1000,2023-01-05
SAICO2023,FMRMB-9902,SECONDCLASS,700,2023-01-05
SAICO2023,FMRMB-9903,THIRDCLASS,700,2023-01-05
SAICO2023,FMRMB-9904,ISOLATION,2000,2023-01-05
SAICO2023,FMRMB-9905,ICU,2500,2023-01-05
SAICO2023,FMRMB-9906,NICU,2600,2023-01-05
SAICO2023,FMRMB-9908,TICU,1100,2023-01-05
SAICO2023,FMRMB-9909,PICU,2500,2023-01-05
SAICO2023,FMRMB-9910,SUITE,4000,2023-01-05
SAICO2023,FMRMB-9911,ROYAL SUITE,6500,2023-01-05
SAICO2023,FMRMB-9912,NORMAL BABY CRIB,275,2023-01-05
SAICO2023,FMRMB-9913,EMERGENCY,100,2023-01-05
SAICO2023,FMRMB-9915,DELIVERY ROOM,1650,2023-01-05
SAICO2023,FMRMB-9916,INTERMEDIATE CLASS,500,2023-01-05
SAICO2023,FMRMB-9917,DAY CASE,500,2023-01-05
SAICO2023,FMRMB-9918,NEWBORN ISOLATION,1000,2023-01-05
SAICO2023,FMRMB-9919,CCU,2500,2023-01-05
SAICO2023,FMRMB-9920,First Class Deluxe,1500,2023-01-05
SAICO2023,FMRMB-9921,INTERMEDIATE CARE,500,2023-01-05
SAICO2023,FMRMB-9922,PIC,1000,2023-01-05
SAICO2023,FMRMB-9923,PRIVATE ROOM,1000,2023-01-05
SAICO2023,FMRMB-9924,Room Upgrade From private to deluxe,390,2023-01-05
SAICO2023,FMRMB-9925,Room Upgrade From Private to Suite,1340,2023-01-05
SAICO2023,FMRMB-9926,Room Upgrade From Private to Royal,2340,2023-01-05
SAICO2023,FMXRAY1001,MRI BRAIN WITHOUT CONTRAST (Standard Protocol),1760,2023-01-05
SAICO2023,FMXRAY1002,MRI BRAIN WITH CONTRAST (Standard Protocol),2200,2023-01-05
SAICO2023,FMXRAY1003,MRI BRAIN STROKE PROTOCOL,1980,2023-01-05
SAICO2023,FMXRAY1004,MRI BRAIN (Quick=DWI/ADC) STROKE PROTOCOL,1760,2023-01-05
SAICO2023,FMXRAY1005,MRI BRAIN EPILEPSY PROTOCOL,1980,2023-01-05
SAICO2023,FMXRAY1006,MRI BRAIN DEMYELINATION PROTOCOL,1980,2023-01-05
